"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:4VDHlRakaVHzHE8PUdcU49","Rock and Roll, Hoochie Koo","spotify:artist:1FX4aA0cUcWndv39j1YoTm","Rick Derringer","spotify:album:2qUO0zPeu06VHisaFdmqpZ","All American Boy (Expanded Edition)","spotify:artist:1FX4aA0cUcWndv39j1YoTm","Rick Derringer","1973-10-19","https://i.scdn.co/image/ab67616d0000b2739d67c642d1f3c566e4b8f033","1","1","225306","https://p.scdn.co/mp3-preview/08b12fb4e3ec57def6e510e8d3761a4598bd46da?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","spotify:user:1219295164","2019-12-03T06:14:35Z"
"spotify:track:4DhbiXEuV7JxSR0wuqetTa","Free Ride","spotify:artist:7j9PMegEgVN1fNp8NZXNCI","The Edgar Winter Group","spotify:album:4CNEJF5wYGqhOYEKq8ciu8","They Only Come Out At Night","spotify:artist:3UNrI3SG1l2ezKikxQ2zuk","Edgar Winter","1972-11-30","https://i.scdn.co/image/ab67616d0000b27309a01850dfed5fdc478151b3","1","4","187173","https://p.scdn.co/mp3-preview/5a974854ce8f99d150dfc3128131b336ef0f74ce?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","spotify:user:1219295164","2019-12-03T06:14:54Z"
"spotify:track:5aYVqxyetmT5OYmvZCA90X","Slow Ride","spotify:artist:6x33CmZWo2Ve4hxYl2Craq","Foghat","spotify:album:4NHPuxA6jrvjJ4ZxFncIwi","Fool for the City","spotify:artist:6x33CmZWo2Ve4hxYl2Craq","Foghat","1975","https://i.scdn.co/image/ab67616d0000b273f8afb2273e94685bfa8f7a22","1","3","494533","https://p.scdn.co/mp3-preview/fa6b9c3b03fed3c6e619b3bb4959d3d0909dd4e4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","spotify:user:1219295164","2019-12-03T06:15:12Z"
"spotify:track:24NwBd5vZ2CK8VOQVnqdxr","Sweet Emotion","spotify:artist:7Ey4PD4MYsKc5I2dolUwbH","Aerosmith","spotify:album:36IxIOGEBAXVozDSiVs09B","Toys In The Attic","spotify:artist:7Ey4PD4MYsKc5I2dolUwbH","Aerosmith","1975-04-08","https://i.scdn.co/image/ab67616d0000b2739662c6535fb4bf5767e50f32","1","6","274133","https://p.scdn.co/mp3-preview/8d7338ca736693a3f145ef410d2050678a734dc2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","spotify:user:1219295164","2019-12-03T06:15:30Z"
"spotify:track:1gcESexgftSuLuML57Y69q","All Right Now","spotify:artist:2e53aHBQdCMKWqHDuyJsjC","Free","spotify:album:1ydlm89JR8cV8VuSaNvHNL","Fire And Water","spotify:artist:2e53aHBQdCMKWqHDuyJsjC","Free","1970-06-26","https://i.scdn.co/image/ab67616d0000b273753c41c7fdc5e78ba017bbf5","1","7","330643","https://p.scdn.co/mp3-preview/388c9e4fb5f0a6f5bff9244182d0ee075a79f601?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","spotify:user:1219295164","2019-12-03T06:16:09Z"
"spotify:track:6FRwDxXsvSasw0y2eDArsz","Sunshine Of Your Love","spotify:artist:74oJ4qxwOZvX6oSsu1DGnw","Cream","spotify:album:6fRqzJT070Kp9RWlSXmKcY","Disraeli Gears","spotify:artist:74oJ4qxwOZvX6oSsu1DGnw","Cream","1967-11-02","https://i.scdn.co/image/ab67616d0000b273f7d3ba2473d4452b83ba61c4","1","2","250000","https://p.scdn.co/mp3-preview/2b03b9210192e1ce7dd977f7a277a780d91b8104?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","spotify:user:1219295164","2019-12-03T06:16:19Z"
"spotify:track:3RNyGLgSvmVRZ7xKUp8Wgd","In the Summertime","spotify:artist:2mbvqMGpwLsakeH45p1Jrb","Mungo Jerry","spotify:album:30UgyUTvmdYXNo7CeMabXY","In the Summertime","spotify:artist:2mbvqMGpwLsakeH45p1Jrb","Mungo Jerry","1970-01-01","https://i.scdn.co/image/ab67616d0000b27361609600ed06e708b784a85e","1","1","211880","https://p.scdn.co/mp3-preview/ea8c3f26e654c14d732263d1503554863abc1ef6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","spotify:user:1219295164","2019-12-03T06:16:32Z"
"spotify:track:5VSAonaAPhhGn0G7hMYwWK","Sister Golden Hair","spotify:artist:35U9lQaRWSQISxQAB94Meo","America","spotify:album:6Ef4yClroC8pMGktYOUd5n","Hearts","spotify:artist:35U9lQaRWSQISxQAB94Meo","America","1975","https://i.scdn.co/image/ab67616d0000b273697a6ee736a3c36177c4557d","1","10","199573","https://p.scdn.co/mp3-preview/ab5a1eddb6e6d8d0c072932580b600342d42232a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","spotify:user:1219295164","2019-12-03T06:17:03Z"
"spotify:track:41qGI8OkRygDpE62PU3RsU","Don't Bogart Me (aka Don't Bogart That Joint)","spotify:artist:1e3oBLWpiu34xzdzOIdNzS","The Fraternity Of Man","spotify:album:2dMyIMBK1nxqf1HTqdnPkm","Easy Rider (Music From The Soundtrack)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","1969-08-01","https://i.scdn.co/image/ab67616d0000b273760807bdf56b22a6f5c1495d","1","6","186826","https://p.scdn.co/mp3-preview/598564496d600cf50a355320911c26317bfe2eb0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","spotify:user:1219295164","2019-12-03T06:19:39Z"
"spotify:track:0J3CHAStO3pNGTnYnxKZod","If 6 Was 9","spotify:artist:776Uo845nYHJpNaStv1Ds4","Jimi Hendrix","spotify:album:3uFZf8rykoHo7XMIQVYW6r","Axis: Bold As Love","spotify:artist:776Uo845nYHJpNaStv1Ds4","Jimi Hendrix","1967-12-01","https://i.scdn.co/image/ab67616d0000b27319dcd95d28b63d10164327f2","1","7","334520","https://p.scdn.co/mp3-preview/195bd086d34c6a9ba85eccccd69dcaefe2d09a3e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","spotify:user:1219295164","2019-12-03T06:19:54Z"
"spotify:track:6gXrEUzibufX9xYPk3HD5p","Life in the Fast Lane - 2013 Remaster","spotify:artist:0ECwFtbIWEVNwjlrfc6xoL","Eagles","spotify:album:2widuo17g5CEC66IbzveRu","Hotel California (2013 Remaster)","spotify:artist:0ECwFtbIWEVNwjlrfc6xoL","Eagles","1976-12-08","https://i.scdn.co/image/ab67616d0000b2734637341b9f507521afa9a778","1","3","286219","https://p.scdn.co/mp3-preview/d8393c90573d9d7049519e5adfe3983b221bc78a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","spotify:user:1219295164","2019-12-03T06:21:19Z"
"spotify:track:4xh7W7tlNMIczFhupCPniY","Go Your Own Way - 2004 Remaster","spotify:artist:08GQAI4eElDnROBrJRGE0X","Fleetwood Mac","spotify:album:0BwWUstDMUbgq2NYONRqlu","Rumours (Super Deluxe)","spotify:artist:08GQAI4eElDnROBrJRGE0X","Fleetwood Mac","1977-02-04","https://i.scdn.co/image/ab67616d0000b273e52a59a28efa4773dd2bfe1b","1","5","223613","https://p.scdn.co/mp3-preview/302c9a7eb9231f5d3deccd69830473d20475bc92?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","spotify:user:1219295164","2019-12-03T06:21:37Z"
"spotify:track:1xKQbqQtQWrtQS47fUJBtl","Piece of My Heart","spotify:artist:4J69yWrKwWJgjv3DKTZcGo, spotify:artist:4NgfOZCL9Ml67xzM0xzIvC","Big Brother & The Holding Company, Janis Joplin","spotify:album:2rogKfOpmCFuqNhtGKf2dX","Cheap Thrills","spotify:artist:4J69yWrKwWJgjv3DKTZcGo, spotify:artist:4NgfOZCL9Ml67xzM0xzIvC","Big Brother & The Holding Company, Janis Joplin","1968-08-12","https://i.scdn.co/image/ab67616d0000b2731ba5ee8bc24979ce3eee4797","1","4","253333","https://p.scdn.co/mp3-preview/55f9c641ef8ef16d46394e6f4f2b780701ebfdf2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","spotify:user:1219295164","2019-12-03T06:22:20Z"
"spotify:track:07ANB9prOyNTWnMbDGNzdW","Fortunate Son","spotify:artist:3IYUhFvPQItj6xySrBmZkd","Creedence Clearwater Revival","spotify:album:4V56hbkzJHgxfJfc0vpue7","The Long Road Home - The Ultimate John Fogerty - Creedance Collection","spotify:artist:5ujCegv1BRbEPTCwQqFk6t","John Fogerty","2005-01-01","https://i.scdn.co/image/ab67616d0000b2737cf2e275f97617a6a2f99d5a","1","6","138053","","false","0","spotify:user:1219295164","2019-12-03T06:22:32Z"
"spotify:track:2f0P7iELCvAlV8j6Z3rGDE","Stranglehold","spotify:artist:21ysNsPzHdqYN2fQ75ZswG","Ted Nugent","spotify:album:71SdSYZuuy7fCWbx0iqtac","Ted Nugent","spotify:artist:21ysNsPzHdqYN2fQ75ZswG","Ted Nugent","1975","https://i.scdn.co/image/ab67616d0000b273de2a7bf50b6f6c7a1e7e0dee","1","1","503066","https://p.scdn.co/mp3-preview/0424c79f25eb29d13072c394fb6433532738ea32?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","spotify:user:1219295164","2019-12-03T06:22:49Z"
"spotify:track:1UBQ5GK8JaQjm5VbkBZY66","Sharp Dressed Man - 2008 Remaster","spotify:artist:2AM4ilv6UzW0uMRuqKtDgN","ZZ Top","spotify:album:5LMGAYhn2ywaxGZdtmXGpw","Eliminator","spotify:artist:2AM4ilv6UzW0uMRuqKtDgN","ZZ Top","1983-03-23","https://i.scdn.co/image/ab67616d0000b27328a00032ff3b86af3d7e0e54","1","3","258026","https://p.scdn.co/mp3-preview/5be9776759c263721e1f75d03a12cc033a15fd99?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","spotify:user:1219295164","2019-12-03T06:23:47Z"
"spotify:track:1dv3ePjze9tPq2pk8eWJdR","Gimme Shelter","spotify:artist:22bE4uQ6baNwSHPVcDxLCe","The Rolling Stones","spotify:album:0c78nsgqX6VfniSNWIxwoD","Let It Bleed","spotify:artist:22bE4uQ6baNwSHPVcDxLCe","The Rolling Stones","1969-12-05","https://i.scdn.co/image/ab67616d0000b27373d92707b0e7da0c493f5b86","1","1","270773","","false","0","spotify:user:1219295164","2019-12-03T06:24:14Z"
"spotify:track:51jnsY9d9kPv1sGw82L6Fe","Street Fighting Man","spotify:artist:22bE4uQ6baNwSHPVcDxLCe","The Rolling Stones","spotify:album:0aqZJlugIkTUWW1sa4BANp","Hot Rocks (1964-1971)","spotify:artist:22bE4uQ6baNwSHPVcDxLCe","The Rolling Stones","1971-12-20","https://i.scdn.co/image/ab67616d0000b273b11b3fc3c89477a7dd473bd7","2","2","195213","https://p.scdn.co/mp3-preview/458b857b4f09b2b62a9b4afa940407eca621b7b3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","spotify:user:1219295164","2019-12-03T06:24:27Z"
"spotify:track:11607FzqoipskTsXrwEHnJ","Sunday Morning","spotify:artist:1nJvji2KIlWSseXRSlNYsC, spotify:artist:0IwlY33zbBXN7zlS9DP2Cj","The Velvet Underground, Nico","spotify:album:4xwx0x7k6c5VuThz5qVqmV","The Velvet Underground & Nico 45th Anniversary","spotify:artist:1nJvji2KIlWSseXRSlNYsC, spotify:artist:0IwlY33zbBXN7zlS9DP2Cj","The Velvet Underground, Nico","1967-03-12","https://i.scdn.co/image/ab67616d0000b27398260c528e6eec9dd431c1d7","1","1","175893","https://p.scdn.co/mp3-preview/23c49dbbbe1b2eb98e7a1bfe3af3acb434d31cd6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","spotify:user:1219295164","2019-12-03T06:25:42Z"
"spotify:track:2YcxeBmk9hvMH7RFFyqnIr","Remember a Day","spotify:artist:0k17h0D3J5VfsdmQ1iZtE9","Pink Floyd","spotify:album:2vnJKtGjZXRUg0mYPZ3HGH","A Saucerful of Secrets","spotify:artist:0k17h0D3J5VfsdmQ1iZtE9","Pink Floyd","1968-06-29","https://i.scdn.co/image/ab67616d0000b2733c203633fe2f73f60852ffb8","1","2","272853","https://p.scdn.co/mp3-preview/03bab1a695896bedda14c654089a71805ee098a1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","spotify:user:1219295164","2019-12-03T06:27:47Z"
