"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:4UjQCjW8lpT35mc1EsT1bP","Crank That","spotify:artist:1IHadvTpb1JrZ5VxqH4FzS","Northeast Groovers","spotify:album:79Bto5Kn26MKh0GNj5l0uv","On Fire","spotify:artist:1IHadvTpb1JrZ5VxqH4FzS","Northeast Groovers","2010-12-13","https://i.scdn.co/image/ab67616d0000b2739b8655889f5dfacfca317d99","1","8","264640","https://p.scdn.co/mp3-preview/c7a06ce455d8aae2f0b7b85941ac38b62201af67?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","spotify:user:dc-music","2013-03-07T14:35:09Z"
"spotify:track:14BiZR8ARw04IFitpcli9V","The Twenty Minute Workout","spotify:artist:1IHadvTpb1JrZ5VxqH4FzS","Northeast Groovers","spotify:album:4pKISK9UXzq8Q5ZdNDSv4N","Straight From The Basement","spotify:artist:1IHadvTpb1JrZ5VxqH4FzS","Northeast Groovers","2010-12-11","https://i.scdn.co/image/ab67616d0000b2737cf4cd6b97e975d6ecf1fd27","1","6","345600","https://p.scdn.co/mp3-preview/b529e41daef171a1c414c8c07432e0700d80ad36?cid=9950ac751e34487dbbe027c4fd7f8e99","false","2","spotify:user:dc-music","2013-03-07T14:35:42Z"
"spotify:track:12y4piGTA8HYBtgUAaWiux","N.E.G. Jam","spotify:artist:1IHadvTpb1JrZ5VxqH4FzS","Northeast Groovers","spotify:album:6uJjC0GSVqqX1hIXew6MDJ","Jams","spotify:artist:1IHadvTpb1JrZ5VxqH4FzS","Northeast Groovers","2010-12-17","https://i.scdn.co/image/ab67616d0000b27396ba6a4250318b5d50182b00","1","1","403333","https://p.scdn.co/mp3-preview/6d7050d232c3fd1c3bed902b2420bc574fef4d47?cid=9950ac751e34487dbbe027c4fd7f8e99","false","2","spotify:user:dc-music","2013-03-07T14:36:09Z"
"spotify:track:0Tq67MSJZWLdJdxWDh8TFs","Freak-A-Dek Dug","spotify:artist:1IHadvTpb1JrZ5VxqH4FzS","Northeast Groovers","spotify:album:6uJjC0GSVqqX1hIXew6MDJ","Jams","spotify:artist:1IHadvTpb1JrZ5VxqH4FzS","Northeast Groovers","2010-12-17","https://i.scdn.co/image/ab67616d0000b27396ba6a4250318b5d50182b00","1","2","345133","https://p.scdn.co/mp3-preview/3a070e7b20b69536e2c6ced2a515d1941b001c2b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","spotify:user:dc-music","2013-03-07T14:36:44Z"
"spotify:track:3FIZ3Qx3E9ztQRiiMwPvb5","I Can See Clearly Now","spotify:artist:1IHadvTpb1JrZ5VxqH4FzS","Northeast Groovers","spotify:album:6uJjC0GSVqqX1hIXew6MDJ","Jams","spotify:artist:1IHadvTpb1JrZ5VxqH4FzS","Northeast Groovers","2010-12-17","https://i.scdn.co/image/ab67616d0000b27396ba6a4250318b5d50182b00","1","3","481960","https://p.scdn.co/mp3-preview/154c2acbb887729099cca996695e82ccf853567d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","2","spotify:user:dc-music","2013-03-07T14:37:11Z"
"spotify:track:0xzFC7DFrS5b5GQ7YxFyC9","Like Mike","spotify:artist:1IHadvTpb1JrZ5VxqH4FzS","Northeast Groovers","spotify:album:6uJjC0GSVqqX1hIXew6MDJ","Jams","spotify:artist:1IHadvTpb1JrZ5VxqH4FzS","Northeast Groovers","2010-12-17","https://i.scdn.co/image/ab67616d0000b27396ba6a4250318b5d50182b00","1","5","237973","https://p.scdn.co/mp3-preview/6411363eae0d61b882b96533f764097dd0f9d867?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","spotify:user:dc-music","2013-03-07T14:37:49Z"
"spotify:track:3lLnspos72NyWfMip3pzkz","Go Hard","spotify:artist:1IHadvTpb1JrZ5VxqH4FzS","Northeast Groovers","spotify:album:6uJjC0GSVqqX1hIXew6MDJ","Jams","spotify:artist:1IHadvTpb1JrZ5VxqH4FzS","Northeast Groovers","2010-12-17","https://i.scdn.co/image/ab67616d0000b27396ba6a4250318b5d50182b00","1","6","311600","https://p.scdn.co/mp3-preview/26c4628ab5681e75bbe9966f46f113ec52a91513?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","spotify:user:dc-music","2013-03-07T14:38:01Z"
"spotify:track:3mlzcz7dmjoGPVR7usBHIZ","Funky Now","spotify:artist:1IHadvTpb1JrZ5VxqH4FzS","Northeast Groovers","spotify:album:6uJjC0GSVqqX1hIXew6MDJ","Jams","spotify:artist:1IHadvTpb1JrZ5VxqH4FzS","Northeast Groovers","2010-12-17","https://i.scdn.co/image/ab67616d0000b27396ba6a4250318b5d50182b00","1","8","247426","https://p.scdn.co/mp3-preview/9c445a7e9a270588e1c32b9cd69977a05b484be6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","spotify:user:dc-music","2013-03-07T14:38:19Z"
"spotify:track:3lNIInNxxb5uWrqCYIv7lr","Scream On It","spotify:artist:1IHadvTpb1JrZ5VxqH4FzS","Northeast Groovers","spotify:album:6uJjC0GSVqqX1hIXew6MDJ","Jams","spotify:artist:1IHadvTpb1JrZ5VxqH4FzS","Northeast Groovers","2010-12-17","https://i.scdn.co/image/ab67616d0000b27396ba6a4250318b5d50182b00","1","9","317800","https://p.scdn.co/mp3-preview/be35d9b51974960b6b8d4ae00b95879e2c77fc0d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","spotify:user:dc-music","2013-03-07T14:38:42Z"
"spotify:track:5R8etLCfWWcQBhFRdALH1P","Tear The Roof Off This Mutha","spotify:artist:1IHadvTpb1JrZ5VxqH4FzS","Northeast Groovers","spotify:album:6uJjC0GSVqqX1hIXew6MDJ","Jams","spotify:artist:1IHadvTpb1JrZ5VxqH4FzS","Northeast Groovers","2010-12-17","https://i.scdn.co/image/ab67616d0000b27396ba6a4250318b5d50182b00","1","10","571786","https://p.scdn.co/mp3-preview/14863fd461c2a3aa8f8af50271edcd3ed9a08cf8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","spotify:user:dc-music","2013-03-07T14:38:50Z"
