"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:7uv632EkfwYhXoqf8rhYrg","Angel","spotify:artist:6FXMGgJwohJLUSr5nVlf9X","Massive Attack","spotify:album:49MNmJhZQewjt06rpwp6QR","Mezzanine","spotify:artist:6FXMGgJwohJLUSr5nVlf9X","Massive Attack","1998-01-01","https://i.scdn.co/image/ab67616d0000b2732fcb0a3c7a66e516b11cd26e","1","1","379533","https://p.scdn.co/mp3-preview/d8d069e27fd103a2fbb34fe9932dcbba686e31e1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","spotify:user:gomeztheband","2015-10-15T22:08:44Z"
"spotify:track:6ggO9aFrV9RHWT0wyXX3f9","Drop","spotify:artist:2vJObElaIZWYDLpiXiJMo9","Cornelius","spotify:album:4HUpDl3PQQL7yuxuV7RZSr","Point","spotify:artist:2vJObElaIZWYDLpiXiJMo9","Cornelius","2002-01-01","https://i.scdn.co/image/ab67616d0000b273479b36d870508b4a9dfc6a21","1","4","308386","","false","0","spotify:user:gomeztheband","2016-01-15T21:33:27Z"
"spotify:track:3nJWcZEsKzBUg7m6Jd8Y0Y","Pick Up the Phone","spotify:artist:1o4xLcugkCtDDOw7POAMha","The Notwist","spotify:album:0RzoubyYuHNAHqkiDMtQEl","Neon Golden","spotify:artist:1o4xLcugkCtDDOw7POAMha","The Notwist","2002","https://i.scdn.co/image/ab67616d0000b2736a7bc9dfeca27038633b1a7f","1","3","235906","","false","0","spotify:user:gomeztheband","2015-10-16T12:51:22Z"
"spotify:track:3EN23ywIcBmeQ984QLaZ3M","Feelin'","spotify:artist:47Z8LEl3LnQkcpva0xSthT","The La's","spotify:album:4tCf15W7qHi3jE0PdljddW","The La's","spotify:artist:47Z8LEl3LnQkcpva0xSthT","The La's","1990","https://i.scdn.co/image/ab67616d0000b2738a9c1b058c215b14983e0725","1","7","104733","https://p.scdn.co/mp3-preview/c61aa2213d2e83f53bbb8e27bd7d915bdec0d5b8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","spotify:user:gomeztheband","2015-10-15T22:30:16Z"
"spotify:track:2raNLL2FWxWNA4veLZIuAj","Humming","spotify:artist:6liAMWkVf5LH7YR9yfFy1Y","Portishead","spotify:album:3G36754KQVLyGuskraEAVA","Portishead","spotify:artist:6liAMWkVf5LH7YR9yfFy1Y","Portishead","1997-01-01","https://i.scdn.co/image/ab67616d0000b273d48721bfc334d8a5d1faeffb","1","6","362333","https://p.scdn.co/mp3-preview/e74dcf22539a7aad4004d5d02aabd15664ea0f8d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","spotify:user:gomeztheband","2015-10-15T22:08:23Z"
"spotify:track:6TXAZHsvrI7Ki20wTZAeu7","Travelin' Light","spotify:artist:06nsZ3qSOYZ2hPVIMcr1IN","J.J. Cale","spotify:album:4GIeoRcpLeLwgxQK8jo183","Troubadour","spotify:artist:06nsZ3qSOYZ2hPVIMcr1IN","J.J. Cale","1976-09","https://i.scdn.co/image/ab67616d0000b273594fe64d5315a2873e2bf76f","1","2","170666","https://p.scdn.co/mp3-preview/aa07a6b26bd73057003ec5ba41b494730771a511?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","spotify:user:gomeztheband","2015-10-15T22:09:27Z"
"spotify:track:6PVCcLstrgObm8aw6GsV02","Jockey Full Of Bourbon","spotify:artist:7x83XhcMbOTl1UdYsPTuZM","Tom Waits","spotify:album:5bbb7E51zaDCuD85uLyFkK","Rain Dogs","spotify:artist:7x83XhcMbOTl1UdYsPTuZM","Tom Waits","1985-09-30","https://i.scdn.co/image/ab67616d0000b2732549b23da8bec3c24653b619","1","4","166040","https://p.scdn.co/mp3-preview/ef6770fb557ec2e0bb4e4fc2b270a2537df21290?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","spotify:user:gomeztheband","2015-10-15T22:17:53Z"
"spotify:track:4643yHVr2Y0c4uKO24Vigi","I Want You","spotify:artist:3koiLjNrgRTNbOwViDipeA","Marvin Gaye","spotify:album:0EM4Q0JUVZ8FNqmT5CI2E7","I Want You","spotify:artist:3koiLjNrgRTNbOwViDipeA","Marvin Gaye","1976-03-16","https://i.scdn.co/image/ab67616d0000b273076df76a34dfb290c4893850","1","1","274693","https://p.scdn.co/mp3-preview/de3a307472089781d7b7bd74269343ad5e4af66b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","spotify:user:gomeztheband","2015-10-15T22:10:47Z"
"spotify:track:7J8F8mHNV79WSV3N2lVwHH","Pusherman","spotify:artist:2AV6XDIs32ofIJhkkDevjm","Curtis Mayfield","spotify:album:5ljIGCRRvS48V4ADzPGav2","Superfly (O.S.T.)","spotify:artist:2AV6XDIs32ofIJhkkDevjm","Curtis Mayfield","1972-07-01","https://i.scdn.co/image/ab67616d0000b27307b7db689327e99ad5602d57","1","2","300693","https://p.scdn.co/mp3-preview/41c389707e74b4eb1f11f390165a107940ad4891?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","spotify:user:gomeztheband","2015-10-15T22:11:03Z"
"spotify:track:1DfWmv1eJU1a9tuGpqKGFP","Gypsy Eyes","spotify:artist:776Uo845nYHJpNaStv1Ds4","Jimi Hendrix","spotify:album:5z090LQztiqh13wYspQvKQ","Electric Ladyland","spotify:artist:776Uo845nYHJpNaStv1Ds4","Jimi Hendrix","1968-10-25","https://i.scdn.co/image/ab67616d0000b273522088789d49e216d9818292","1","8","223680","https://p.scdn.co/mp3-preview/40eac238fa9a3902aff8091328af5dc9b97c10cf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","spotify:user:gomeztheband","2015-10-15T22:12:18Z"
"spotify:track:6Qb7gtV6Q4MnUjSbkFcopl","50 Ways to Leave Your Lover","spotify:artist:2CvCyf1gEVhI0mX6aFXmVI","Paul Simon","spotify:album:4A366gjTrYQwmRtkTezF2W","Still Crazy After All These Years","spotify:artist:2CvCyf1gEVhI0mX6aFXmVI","Paul Simon","1975-10-25","https://i.scdn.co/image/ab67616d0000b2733879ef4375b97d2b58bf0768","1","4","217346","https://p.scdn.co/mp3-preview/b82d798743c8fae13ce9ba649805a39375569222?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","spotify:user:gomeztheband","2015-10-15T22:12:32Z"
"spotify:track:1vhlVbHnbKJPD7pqCC0cE7","Iko Iko","spotify:artist:320TrJub4arztwXRm7kqVO","Dr. John","spotify:album:15jDv2HgLoilWgd4KWaLQn","Dr. John's Gumbo","spotify:artist:320TrJub4arztwXRm7kqVO","Dr. John","1972","https://i.scdn.co/image/ab67616d0000b2732675616f69de1bbb12dbd10f","1","1","248560","https://p.scdn.co/mp3-preview/42fca3c260805763a53c9da393c28945ef215275?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","spotify:user:gomeztheband","2015-10-15T22:21:57Z"
