"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:3nSK1M29hY2Jg2CjsJe98h","People = Shit","spotify:artist:05fG473iIaoy82BF1aGhL8","Slipknot","spotify:album:7yQmrL4bms0JIWamjA2ok1","Iowa","spotify:artist:05fG473iIaoy82BF1aGhL8","Slipknot","2001-08-27","https://i.scdn.co/image/ab67616d0000b27337f7f56faf32a554e29b72ee","1","2","215600","https://p.scdn.co/mp3-preview/2dd0ee3d74ecbc08faeea522b25bf3ce546f480b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","41","spotify:user:12100970879","2016-08-23T04:51:18Z"
"spotify:track:1aI4Tb7kO08PmSBW3OqyA6","Fountain of Youth","spotify:artist:0DZKzOGHDqGaf1N2pmsBRZ","Cane Hill","spotify:album:6iOeNFn2rfS6ZMut0ExYR5","Smile","spotify:artist:0DZKzOGHDqGaf1N2pmsBRZ","Cane Hill","2016-07-15","https://i.scdn.co/image/ab67616d0000b2738187d4a2a56e269d34941fb9","1","5","204461","https://p.scdn.co/mp3-preview/01477fccbc04a722f5f398ce69813c76d07e9d5a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","spotify:user:12100970879","2016-08-23T04:49:53Z"
"spotify:track:5MQyCfrUIB7NPDKzWlc9hj","Waking the Demon","spotify:artist:7iWiAD5LLKyiox2grgfmUT","Bullet For My Valentine","spotify:album:4rmEmbA5eugmKqzn9mHPdp","Scream Aim Fire Deluxe Edition","spotify:artist:7iWiAD5LLKyiox2grgfmUT","Bullet For My Valentine","2008-12-09","https://i.scdn.co/image/ab67616d0000b273ecebfe90550c152e3c9008ae","1","4","247693","https://p.scdn.co/mp3-preview/d4e0b62fcc95dda51b38c9194bb1a15c3eeb1ce0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","spotify:user:12100970879","2016-08-23T04:53:39Z"
"spotify:track:5q6kkjQ7opYayMMQocxWCu","Sunday School","spotify:artist:0DZKzOGHDqGaf1N2pmsBRZ","Cane Hill","spotify:album:04mMoC6Z8NqOTvUr9pNuTx","Cane Hill","spotify:artist:0DZKzOGHDqGaf1N2pmsBRZ","Cane Hill","2015-10-23","https://i.scdn.co/image/ab67616d0000b273ca896e7bed798e1fb31ca6a2","1","7","205687","https://p.scdn.co/mp3-preview/606c08736910ddfbe81fa098ac17ca8baff471a1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","spotify:user:12100970879","2016-08-23T04:50:34Z"
"spotify:track:6yHx2dNnWb1fEChGoulEVc","No Way Out","spotify:artist:7iWiAD5LLKyiox2grgfmUT","Bullet For My Valentine","spotify:album:1YjxZhd158jSm2906JqzXF","Venom (Deluxe Edition)","spotify:artist:7iWiAD5LLKyiox2grgfmUT","Bullet For My Valentine","2015-08-14","https://i.scdn.co/image/ab67616d0000b273b5836f92f626bb4fe05b016a","1","2","233933","https://p.scdn.co/mp3-preview/f206211bdb17447d674e46e33e0b60c38d577baf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","spotify:user:12100970879","2016-08-23T04:53:12Z"
"spotify:track:3VLryvQIFNVknBbfFzl6f1","Time Bomb","spotify:artist:0DZKzOGHDqGaf1N2pmsBRZ","Cane Hill","spotify:album:04mMoC6Z8NqOTvUr9pNuTx","Cane Hill","spotify:artist:0DZKzOGHDqGaf1N2pmsBRZ","Cane Hill","2015-10-23","https://i.scdn.co/image/ab67616d0000b273ca896e7bed798e1fb31ca6a2","1","2","207312","https://p.scdn.co/mp3-preview/cb03caa47e60dafe64ad7e854fbab3d60cc73de7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","spotify:user:12100970879","2016-08-23T04:50:32Z"
"spotify:track:3KMkRTHAN2jiaWUu2ym5AT","Ashes Of The Innocent","spotify:artist:7iWiAD5LLKyiox2grgfmUT","Bullet For My Valentine","spotify:album:4rmEmbA5eugmKqzn9mHPdp","Scream Aim Fire Deluxe Edition","spotify:artist:7iWiAD5LLKyiox2grgfmUT","Bullet For My Valentine","2008-12-09","https://i.scdn.co/image/ab67616d0000b273ecebfe90550c152e3c9008ae","1","15","253000","https://p.scdn.co/mp3-preview/0763936607644518bc034d2201ddd0a5e75ed63d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","spotify:user:12100970879","2016-08-23T04:53:47Z"
"spotify:track:02Rk6FniWkM4XnBUwvYXWd","Screwtape","spotify:artist:0DZKzOGHDqGaf1N2pmsBRZ","Cane Hill","spotify:album:6iOeNFn2rfS6ZMut0ExYR5","Smile","spotify:artist:0DZKzOGHDqGaf1N2pmsBRZ","Cane Hill","2016-07-15","https://i.scdn.co/image/ab67616d0000b2738187d4a2a56e269d34941fb9","1","9","227562","https://p.scdn.co/mp3-preview/4f439cee631c98d0cf778e07c5d3b47c9214373e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","spotify:user:12100970879","2016-08-23T04:50:44Z"
"spotify:track:2MvIMgtWyK88OiPi0J8Dg3","Psychosocial","spotify:artist:05fG473iIaoy82BF1aGhL8","Slipknot","spotify:album:0hFWapnP7orzXCMwNU5DuA","All Hope Is Gone","spotify:artist:05fG473iIaoy82BF1aGhL8","Slipknot","2008-08-22","https://i.scdn.co/image/ab67616d0000b273457163bec7e8e4decf8c6375","1","4","283400","https://p.scdn.co/mp3-preview/ec1ef486abd160951e4ecaaa513f67243279577d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","spotify:user:12100970879","2016-08-23T04:51:54Z"
"spotify:track:2iqFzm6jRNYlVF72DSQnPo","Gemini","spotify:artist:0DZKzOGHDqGaf1N2pmsBRZ","Cane Hill","spotify:album:04mMoC6Z8NqOTvUr9pNuTx","Cane Hill","spotify:artist:0DZKzOGHDqGaf1N2pmsBRZ","Cane Hill","2015-10-23","https://i.scdn.co/image/ab67616d0000b273ca896e7bed798e1fb31ca6a2","1","4","201000","https://p.scdn.co/mp3-preview/4988ccf2b4f1cf6ed6e26a195eba006c18587d25?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","spotify:user:12100970879","2016-08-23T04:50:48Z"
