"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:71OeleUvvObLd3jnN8DhwU","Headhunter V1.0","spotify:artist:2tyMOS8xKREgpEwHnLc6EX","Front 242","spotify:album:4UEBO0etZ0ZezM8NG0cIvB","FRONT BY FRONT","spotify:artist:2tyMOS8xKREgpEwHnLc6EX","Front 242","1988","https://i.scdn.co/image/ab67616d0000b273d420efcc876363268477085b","1","11","301240","","false","0","spotify:user:1219295164","2019-09-16T00:09:38Z"
"spotify:track:2C6flKwQ9tfH6P5Oyrwo8U","Bomb the Blocks - Bassnectar Remix","spotify:artist:1JPy5PsJtkhftfdr6saN2i, spotify:artist:6y6QM4mX5OsWxBIrtJztTH","Bassnectar, Persia","spotify:album:69NqlfqO2C9YJc9pD1Tk8v","Bomb the Blocks","spotify:artist:1JPy5PsJtkhftfdr6saN2i","Bassnectar","2007-05-01","https://i.scdn.co/image/ab67616d0000b27337e3364019fb77155ba092e1","1","1","279749","https://p.scdn.co/mp3-preview/0b2eecb7fec37c9be2455729cf7e16a196b6ec7c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","7","spotify:user:1219295164","2019-09-16T00:05:26Z"
"spotify:track:4chi6vkkap9sGxnpAb8NS0","Poison (95EQ)","spotify:artist:4k1ELeJKT1ISyDv8JivPpB","The Prodigy","spotify:album:3PyeqzVstelPt5jKzz88lI","Poison","spotify:artist:4k1ELeJKT1ISyDv8JivPpB","The Prodigy","1995-03-06","https://i.scdn.co/image/ab67616d0000b273d4e90d98c74f6c3461721e35","1","1","245000","","false","0","spotify:user:1219295164","2019-09-16T00:30:33Z"
"spotify:track:2d2pDpCfMdW8gCR6Zmr69g","Menofearthereaper","spotify:artist:5rIXueJu7zVE2gDZjUM6g8","Pop Will Eat Itself","spotify:album:2ZWYbyMqlZZ8wyqe3GcJmz","Dos Dedos Mis Amigos","spotify:artist:5rIXueJu7zVE2gDZjUM6g8","Pop Will Eat Itself","1994-01-01","https://i.scdn.co/image/ab67616d0000b273ab84ca0a3df6071384b104f6","1","8","387506","https://p.scdn.co/mp3-preview/eb30d6525ac3edebf8faad5ce727162b5ba7254b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","spotify:user:1219295164","2019-09-16T00:01:30Z"
"spotify:track:6Vorb2gk6FrW1qxawtiD0a","In Yer Face","spotify:artist:7hFdUW64G4iU1tz46ITRfN","808 State","spotify:album:0DaodaFidnrJJd6grUrGGC","ex:el","spotify:artist:7hFdUW64G4iU1tz46ITRfN","808 State","1991-03-01","https://i.scdn.co/image/ab67616d0000b273901782864e9d5e08a1408a2a","1","9","312733","","false","0","spotify:user:1219295164","2019-09-16T00:00:11Z"
"spotify:track:5kZhLH0cQbRm5Fydtb2rzZ","Omen","spotify:artist:4k1ELeJKT1ISyDv8JivPpB","The Prodigy","spotify:album:05FqRYaC6S9R1CnF85187v","Invaders Must Die","spotify:artist:4k1ELeJKT1ISyDv8JivPpB","The Prodigy","2009-11-08","https://i.scdn.co/image/ab67616d0000b27375a6ba8d66d1be8ef364b0b6","1","2","216026","https://p.scdn.co/mp3-preview/6ff97eec1f1579a768a35287a55c24b634636847?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","spotify:user:1219295164","2019-09-16T00:02:57Z"
"spotify:track:6eco0716lo6FVLTKWi0d3r","Get Down, Make Love","spotify:artist:0X380XXQSNBYuleKzav5UO","Nine Inch Nails","spotify:album:6IwZ3rIE9F6j1R1LyBrVXu","Pretty Hate Machine (Remastered)","spotify:artist:0X380XXQSNBYuleKzav5UO","Nine Inch Nails","1989-10-20","https://i.scdn.co/image/ab67616d0000b2733203ddc3ee157d9963a88b59","1","11","258773","https://p.scdn.co/mp3-preview/e43d8c3d45c0e2af5d5c9e98d663e66ba489c898?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","spotify:user:1219295164","2019-09-16T00:15:51Z"
"spotify:track:3o1nX61oecxnqXieA2ma0U","Terrible Lie","spotify:artist:0X380XXQSNBYuleKzav5UO","Nine Inch Nails","spotify:album:3umFHeEpc4yLXtrRcv9gLN","Pretty Hate Machine","spotify:artist:0X380XXQSNBYuleKzav5UO","Nine Inch Nails","1989-10-20","https://i.scdn.co/image/ab67616d0000b2739764c0993e45db213f0e359f","1","2","278866","https://p.scdn.co/mp3-preview/045bf1d6100e8d4148dcca7804c2e27aab426979?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","spotify:user:1219295164","2019-12-23T06:09:33Z"
"spotify:track:06UVb2bREPv8hvioVkaMvC","Down In It","spotify:artist:0X380XXQSNBYuleKzav5UO","Nine Inch Nails","spotify:album:3umFHeEpc4yLXtrRcv9gLN","Pretty Hate Machine","spotify:artist:0X380XXQSNBYuleKzav5UO","Nine Inch Nails","1989-10-20","https://i.scdn.co/image/ab67616d0000b2739764c0993e45db213f0e359f","1","3","226373","https://p.scdn.co/mp3-preview/44dabc4cf2bc96b04c7ea3bc45d86a7f28c5eccb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","spotify:user:1219295164","2019-12-23T06:49:47Z"
"spotify:track:0po7b87GkezJJiumLqTZlW","Beers, Steers & Queers","spotify:artist:7vCJSBATlld5vDKTH87tpG","Revolting Cocks","spotify:album:2ZMtDw61M0UjziEwVvYduj","Beers, Steers + Queers","spotify:artist:7vCJSBATlld5vDKTH87tpG","Revolting Cocks","2014-01-02","https://i.scdn.co/image/ab67616d0000b273c6c2f2b90724a2fe8e7cf589","1","1","356081","https://p.scdn.co/mp3-preview/dca4b2ddedc5dd56b26f3aaa8c43509a574eb1ea?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","spotify:user:1219295164","2019-12-23T06:50:49Z"
