"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:4UTsKFfwiZoaBPYod70RGk","Reckless Blues","spotify:artist:5ESobCkc6JI4tIMxQttqeg","Bessie Smith","spotify:album:1EcJIMuUYSVJD4BtB5yXtq","Essential Bessie Smith Vol 2","spotify:artist:5ESobCkc6JI4tIMxQttqeg","Bessie Smith","2011-07-01","https://i.scdn.co/image/ab67616d0000b27391593e8d706c3baa0a15dcc0","1","5","178027","","false","0","spotify:user:1229495632","2018-08-29T18:58:39Z"
"spotify:track:7dOz8RrPWP9UgJ8X8p1vU7","West End Blues","spotify:artist:0t4VVR2T9Sb0z3NdDdEU6S","Louis Armstrong & His Hot Five","spotify:album:2hYLiPQUj7ml70oaoLY8vI","The Essential Louis Armstrong","spotify:artist:19eLuQmk9aCobbVDHc6eek","Louis Armstrong","2004","https://i.scdn.co/image/ab67616d0000b273edee2ddbcd5853a01f8ee696","1","7","196600","https://p.scdn.co/mp3-preview/d16f3f9f3d18bec783f144c014c15927d6bda1ab?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","spotify:user:1229495632","2018-08-29T18:59:21Z"
"spotify:track:1DJuWIMF42ctlWoI5Wh7qh","Now's The Time","spotify:artist:5GBe2GMfPm3IFagD5XuKKs","Charlie Parker Quartet","spotify:album:3GiqSYNV0JVCq2KEwUoS1j","Charlie Parker","spotify:artist:4Ww5mwS7BWYjoZTUIrMHfC","Charlie Parker","1998-01-01","https://i.scdn.co/image/ab67616d0000b27364152380467dc3a1dc1ead78","1","1","180733","","false","0","spotify:user:1229495632","2018-08-29T19:00:27Z"
"spotify:track:2p77uME3lMujc6RVyZGSy7","A Sailboat In the Moonlight","spotify:artist:1YzCsTRb22dQkh9lghPIrp","Billie Holiday","spotify:album:43CdmtAd6dQuMvBdHJ8F6x","The Essential Billie Holiday","spotify:artist:1YzCsTRb22dQkh9lghPIrp","Billie Holiday","2010-10-26","https://i.scdn.co/image/ab67616d0000b2738091898c12b924f574ea6297","1","14","168840","https://p.scdn.co/mp3-preview/0808a76e5da061164e6d9d6dead08392bc1a7dcc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","spotify:user:1229495632","2018-08-29T19:01:26Z"
"spotify:track:4vLYewWIvqHfKtJDk8c8tq","So What (feat. John Coltrane, Cannonball Adderley & Bill Evans)","spotify:artist:0kbYTNQb4Pb1rPbbaF0pT4, spotify:artist:2hGh5VOeeqimQFxqXvfCUf, spotify:artist:5v74mT11KGJqadf9sLw4dA, spotify:artist:4jXfFzeP66Zy67HM2mvIIF","Miles Davis, John Coltrane, Cannonball Adderley, Bill Evans","spotify:album:4sb0eMpDn3upAFfyi4q2rw","Kind Of Blue (Legacy Edition)","spotify:artist:0kbYTNQb4Pb1rPbbaF0pT4","Miles Davis","1959-08-17","https://i.scdn.co/image/ab67616d0000b2730ebc17239b6b18ba88cfb8ca","1","1","562640","https://p.scdn.co/mp3-preview/e692f71aa410f2dd6dc50e59e7f75e31d925aca5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","spotify:user:1229495632","2018-08-29T19:00:42Z"
"spotify:track:7d4kI6lPecaRBIFfnfqBt5","Buzzard Lope","spotify:artist:1BUnRZrkCS0NoTiXefkW6U, spotify:artist:65wvRDSQYcDCO3VxvQZekE","Bessie Jones, Georgia Sea Island Singers","spotify:album:0BOwYcp6kwTlLH9UaZiMDj","Join the Band","spotify:artist:65wvRDSQYcDCO3VxvQZekE","Georgia Sea Island Singers","2012-02-07","https://i.scdn.co/image/ab67616d0000b273f51e37ce6ba57044a0bbbfa4","1","4","119213","https://p.scdn.co/mp3-preview/2926fa60afa2e312847549375a2cd51bc24ee8ae?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","spotify:user:1229495632","2018-08-29T19:01:58Z"
"spotify:track:47RJuSOe7cJnXylISr5VyR","Dead Man Blues","spotify:artist:4XepUkisa56DUeA3gbjDQD","Jelly Roll Morton","spotify:album:66I4GCpYXriR05CJqTi3vr","A Jazz Hour With Jelly Roll Morton: Doctor Jazz","spotify:artist:4XepUkisa56DUeA3gbjDQD","Jelly Roll Morton","2011-08-04","https://i.scdn.co/image/ab67616d0000b2733f43ebdb26fcabaca202ea8f","1","3","198626","https://p.scdn.co/mp3-preview/7dd7d3e9e8d24aa045796c3b1e61b6f12600f590?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","spotify:user:1229495632","2018-08-29T19:02:17Z"
"spotify:track:1xEEYhWxT4WhDQdxfPCT8D","Snake Rag","spotify:artist:08Zk65toyJllap1MnzljxZ","King Oliver's Creole Jazz Band","spotify:album:7xYnLZK3hR60bzd6sRNOvm","Louis Armstrong: Portrait Of The Artist As A Young Man 1923-1934","spotify:artist:19eLuQmk9aCobbVDHc6eek","Louis Armstrong","1923","https://i.scdn.co/image/ab67616d0000b2735598ce5525a549231b44f0cf","1","2","194533","https://p.scdn.co/mp3-preview/5ecb5e9383aa58476c9817ef5732cc2bdedcb7fe?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","spotify:user:1229495632","2018-08-29T19:02:31Z"
"spotify:track:4x7ohljraIJfSLqJJm6F67","You've Got To Be Modernistic","spotify:artist:0BMlIte9CqjItQ6mh2GoGi","James P. Johnson","spotify:album:4LyzcmOCXdphVWngoyJMX3","Piano Jazz Classics","spotify:artist:0BMlIte9CqjItQ6mh2GoGi","James P. Johnson","2010-12-01","https://i.scdn.co/image/ab67616d0000b2738c16037e7269f095a6785fd5","1","16","194306","https://p.scdn.co/mp3-preview/e332514315c13ce403cb747eccd8bf4e9b43aedb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","spotify:user:1229495632","2018-08-29T19:02:44Z"
"spotify:track:7erDb4BPelVIzV3ejJkfsa","Black and Tan Fantasy - 1999 Remastered","spotify:artist:4F7Q5NV6h5TSwCainz8S5A","Duke Ellington","spotify:album:3fEo4nLmRuSlyhqRA3jp0s","Beyond...Genius of","spotify:artist:4F7Q5NV6h5TSwCainz8S5A","Duke Ellington","1999","https://i.scdn.co/image/ab67616d0000b273f484c18b57af02a918cf52a5","1","2","187266","","false","0","spotify:user:1229495632","2018-08-29T19:07:10Z"
