"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:5rjIkoUvaX966BBUgd4jAR","Directions - Live at the Fillmore West, San Francisco, CA - April 1970","spotify:artist:0kbYTNQb4Pb1rPbbaF0pT4","Miles Davis","spotify:album:3qFhhUSLJxUKrRIbmcDo11","Black Beauty: Miles Davis At Fillmore West","spotify:artist:0kbYTNQb4Pb1rPbbaF0pT4","Miles Davis","1973","https://i.scdn.co/image/ab67616d0000b27344f801d7afed183e1ed034fc","1","1","646000","https://p.scdn.co/mp3-preview/2f010553c79fb5fa34120c5117441ddefad96d10?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","spotify:user:bj921lzna0sqge0jniovh8e3j","2019-09-26T22:39:55Z"
"spotify:track:20Z77BD3GnajqHrfBwJU9T","Neurotica","spotify:artist:7M1FPw29m5FbicYzS2xdpi","King Crimson","spotify:album:2xTjyvQ0ORUYw6rH0FQeYy","Beat","spotify:artist:7M1FPw29m5FbicYzS2xdpi","King Crimson","1982-06-18","https://i.scdn.co/image/ab67616d0000b273194963d24c76d6503ff1ba5e","1","5","288493","","false","0","spotify:user:bj921lzna0sqge0jniovh8e3j","2019-09-26T22:43:32Z"
"spotify:track:7uOR6TIGeytCAnKrUT4X91","Dawn - Remastered","spotify:artist:3Ao7NH7lRyQAeKQg2mlTcO","Mahavishnu Orchestra","spotify:album:6XHQCPGwvSaqv9MZ2tauqr","The Inner Mounting Flame","spotify:artist:3Ao7NH7lRyQAeKQg2mlTcO","Mahavishnu Orchestra","1971","https://i.scdn.co/image/ab67616d0000b27349b11a79f4241eed86269385","1","2","309866","https://p.scdn.co/mp3-preview/a87b2a6b05814ef2c2ecd7c7ed6e699c7ba93d04?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","spotify:user:bj921lzna0sqge0jniovh8e3j","2019-09-26T22:41:56Z"
"spotify:track:6QjReBcA4E9BpPOha4Ek6V","Miles Runs the Voodoo Down","spotify:artist:0kbYTNQb4Pb1rPbbaF0pT4","Miles Davis","spotify:album:1wVO8nHzgcim0IBzbXnYX0","Bitches Brew (Legacy Edition)","spotify:artist:0kbYTNQb4Pb1rPbbaF0pT4","Miles Davis","1970-04","https://i.scdn.co/image/ab67616d0000b2731856d277d15a9e3838dde9fe","2","1","841746","https://p.scdn.co/mp3-preview/cb0b4c3b1fa823678b69233047002d5c67919750?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","spotify:user:bj921lzna0sqge0jniovh8e3j","2019-10-01T06:40:23Z"
"spotify:track:0t6pM6f3bwiNetWnXekj56","Remembrance","spotify:artist:710FHFQeXKC6dZGCxt7kQh","Yussef Kamaal","spotify:album:1MioiNBndcGhsQOFk3l6fu","Black Focus","spotify:artist:710FHFQeXKC6dZGCxt7kQh","Yussef Kamaal","2016-11-04","https://i.scdn.co/image/ab67616d0000b273f8353f6c4d762485d81344f1","1","3","540546","https://p.scdn.co/mp3-preview/8a46cf5b255fa559f261d9450bd273da0e4f99fe?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","spotify:user:bj921lzna0sqge0jniovh8e3j","2019-09-26T22:41:51Z"
"spotify:track:0yocZjoDfRSIKpTMKY4EU8",".44","spotify:artist:2i1CPudyCUjL50Wqjv8AMI","Alfa Mist","spotify:album:38XUFMsLLAttgWdD40CTaL","Structuralism","spotify:artist:2i1CPudyCUjL50Wqjv8AMI","Alfa Mist","2019-04-26","https://i.scdn.co/image/ab67616d0000b2733979878917bb0159fa35b0ac","1","1","599053","https://p.scdn.co/mp3-preview/beb3f549f78129a8d8f2a31a47d6acf4a7e91d0a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","spotify:user:bj921lzna0sqge0jniovh8e3j","2019-09-26T22:40:23Z"
"spotify:track:6uh8siVtiO7lJwhFeAnavp","Think Twice","spotify:artist:0IVcLMMbm05VIjnzPkGCyp","J Dilla","spotify:album:5M92m91MsFyvA6Nu0tRj8t","Welcome To Detroit","spotify:artist:0IVcLMMbm05VIjnzPkGCyp","J Dilla","2001","https://i.scdn.co/image/ab67616d0000b27345b6fd284103451510017d5f","1","3","232533","","false","0","spotify:user:bj921lzna0sqge0jniovh8e3j","2019-10-01T07:12:30Z"
"spotify:track:5HOa3vZuIlpx3XnO9zMZH7","Suite for Artis Gilmore","spotify:artist:5FnpXrrMdJVZCK54oHWqUa, spotify:artist:21hln04kMnbpNlZHQfEu76, spotify:artist:4m39g9VyP8boZPyg5hUKLG","Makaya McCraven, Don Leisure, Darkhouse Family","spotify:album:5ZGkia2FMmgNk1hZrjmp6B","Where We Come From (Chicago x London Mixtape)","spotify:artist:5FnpXrrMdJVZCK54oHWqUa","Makaya McCraven","2018-07-27","https://i.scdn.co/image/ab67616d0000b273903460cf6b0d46e288234d97","1","4","182346","https://p.scdn.co/mp3-preview/59f62945a6f3557a48c61789d06b15df6f54cc22?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","spotify:user:bj921lzna0sqge0jniovh8e3j","2019-09-26T22:40:27Z"
"spotify:track:1tgmyTEKDOkwyvyE37AJDj","Till It's Done (Tutu)","spotify:artist:336vr2M3Va0FjyvB55lJEd","D'Angelo","spotify:album:5Hfbag0SsHxafx1SySFSX6","Black Messiah","spotify:artist:336vr2M3Va0FjyvB55lJEd","D'Angelo","2014-12-15","https://i.scdn.co/image/ab67616d0000b2735fb07fa92d5d658edadf053a","1","7","231920","https://p.scdn.co/mp3-preview/c9f6198cd030d8a7c47dc12f881c2e0dce4e8c1a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","spotify:user:bj921lzna0sqge0jniovh8e3j","2019-09-30T09:28:35Z"
"spotify:track:14hKtzUqlI1Sa1nfq0GXR3","Love Is the Message","spotify:artist:2rspptKP0lPBdlJJAJHqht, spotify:artist:2i1CPudyCUjL50Wqjv8AMI, spotify:artist:1ky3oGuE5XOsOzqiFEGwqR","Yussef Dayes, Alfa Mist, Mansur Brown","spotify:album:3xY7kpCMNcluddObRM7vRl","Love Is the Message","spotify:artist:2rspptKP0lPBdlJJAJHqht, spotify:artist:2i1CPudyCUjL50Wqjv8AMI","Yussef Dayes, Alfa Mist","2018-07-11","https://i.scdn.co/image/ab67616d0000b2734a31fed4dfc98a209f0deefb","1","1","449506","https://p.scdn.co/mp3-preview/3c24984ec8ed6c48b841f53df48f18e4dde99be7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","spotify:user:bj921lzna0sqge0jniovh8e3j","2019-10-01T07:11:41Z"
