"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:0FRyPq968HfykYgFjagGPF","Far From Born Again","spotify:artist:6kGMx9MqwnbKR2EYvZvvrG","Alex Cameron","spotify:album:33u2PRETjYklC6UqxJBGW2","Miami Memory","spotify:artist:6kGMx9MqwnbKR2EYvZvvrG","Alex Cameron","2019-09-13","https://i.scdn.co/image/ab67616d0000b273bf96842d5f15a8a49d12ab67","1","3","256240","https://p.scdn.co/mp3-preview/f17c035b32bd3d7cfd58b826f2826d62ac2c96b5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","spotify:user:badfuckingpony","2019-12-21T10:59:47Z"
"spotify:track:7iDNyK13DY5SCtr1IPp1iZ","Career Boy","spotify:artist:202HZzqKvPsMHcbwnDZx7u","Dorian Electra","spotify:album:4svcCm5yRZtKE0tXn4n1cn","Flamboyant","spotify:artist:202HZzqKvPsMHcbwnDZx7u","Dorian Electra","2019-07-17","https://i.scdn.co/image/ab67616d0000b2730bd2dd0041256bcca30a1d9a","1","2","217356","https://p.scdn.co/mp3-preview/7235c1215b1bb1b555ab782d7aeb0ed6f67e0665?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","spotify:user:badfuckingpony","2019-12-21T11:05:21Z"
"spotify:track:5hVghJ4KaYES3BFUATCYn0","EARFQUAKE","spotify:artist:4V8LLVI7PbaPR0K2TGSxFF","Tyler\, The Creator","spotify:album:5zi7WsKlIiUXv09tbGLKsE","IGOR","spotify:artist:4V8LLVI7PbaPR0K2TGSxFF","Tyler\, The Creator","2019-05-17","https://i.scdn.co/image/ab67616d0000b2737005885df706891a3c182a57","1","2","190066","https://p.scdn.co/mp3-preview/d6528c193bac76f7a04bdf1ea9453ec016a94f88?cid=9950ac751e34487dbbe027c4fd7f8e99","true","80","spotify:user:badfuckingpony","2019-12-21T11:17:50Z"
"spotify:track:4UQeq4HUvC5uPEA9pWTgPW","Gone","spotify:artist:25uiPmTg16RbhZWAqwLBy5, spotify:artist:04vj3iPUiVh5melWr0w3xT","Charli XCX, Christine and the Queens","spotify:album:1Z4Y3sPwR7D7PzPhnjpnbX","Gone","spotify:artist:25uiPmTg16RbhZWAqwLBy5, spotify:artist:04vj3iPUiVh5melWr0w3xT","Charli XCX, Christine and the Queens","2019-07-17","https://i.scdn.co/image/ab67616d0000b2730c40f0ad4ff7e8d13553cd88","1","1","245480","https://p.scdn.co/mp3-preview/d24b760a09b2ebac420a7248788549e54d112d5e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","50","spotify:user:badfuckingpony","2019-12-21T11:03:51Z"
"spotify:track:58aRrOlOxUYWioWhz172w4","money machine","spotify:artist:6PfSUFtkMVoDkx4MQkzOi3, spotify:artist:2Cm6C9PNHioyjRKBfO7n9N, spotify:artist:3sklFG9fuDAq3vbIZlkNH6","100 gecs, Dylan Brady, Laura Les","spotify:album:4CGanXs6KlVuXXdNrf82qE","1000 gecs","spotify:artist:6PfSUFtkMVoDkx4MQkzOi3, spotify:artist:2Cm6C9PNHioyjRKBfO7n9N, spotify:artist:3sklFG9fuDAq3vbIZlkNH6","100 gecs, Dylan Brady, Laura Les","2019-05-31","https://i.scdn.co/image/ab67616d0000b273acd9825c2d60ddee38f643b3","1","2","114460","","true","0","spotify:user:badfuckingpony","2019-12-21T10:59:02Z"
"spotify:track:0RbEyCpcx7ajb3rtx9Ph8E","Planet B","spotify:artist:6XYvaoDGE0VmRt83Jss9Sn","King Gizzard & The Lizard Wizard","spotify:album:4ZyqwfGjeSRHr71O2LMZvF","Planet B","spotify:artist:6XYvaoDGE0VmRt83Jss9Sn","King Gizzard & The Lizard Wizard","2019-04-15","https://i.scdn.co/image/ab67616d0000b273635570d437649aa5ab4cdcef","1","1","235931","","false","0","spotify:user:badfuckingpony","2019-12-21T11:07:54Z"
"spotify:track:068XDWvE8tDnQsKo8J3x1Z","Best Life","spotify:artist:7aA592KWirLsnfb5ulGWvU","Danny Brown","spotify:album:4G3BRVsGEpWzUdplFJ1VBl","uknowhatimsayin¿","spotify:artist:7aA592KWirLsnfb5ulGWvU","Danny Brown","2019-10-04","https://i.scdn.co/image/ab67616d0000b273b9aced11ec7fe35da74ee9fc","1","7","153508","https://p.scdn.co/mp3-preview/53b5a2029189806e2fbccdf784b9f58ff8e57c80?cid=9950ac751e34487dbbe027c4fd7f8e99","true","47","spotify:user:badfuckingpony","2019-12-21T11:04:16Z"
"spotify:track:1JkrD47SDpAbyvqKtolcea","Thotiana (feat. Cardi B, YG) [Remix]","spotify:artist:3Fl1V19tmjt57oBdxXKAjJ, spotify:artist:4kYSro6naA4h99UJvo89HB, spotify:artist:0A0FS04o6zMoto8OKPsDwY","Blueface, Cardi B, YG","spotify:album:5DjuLFcOMVFgqG972w6fgp","Thotiana (feat. Cardi B, YG) [Remix]","spotify:artist:3Fl1V19tmjt57oBdxXKAjJ","Blueface","2019-02-18","https://i.scdn.co/image/ab67616d0000b273b118c6d857db320e514200a9","1","1","297546","","true","22","spotify:user:badfuckingpony","2019-12-21T11:02:12Z"
"spotify:track:3VMbPy4RU3sxaZJ0wJcD1T","Uncomfortably Numb (feat. Hayley Williams)","spotify:artist:5FwydyGVcsQllnM4xM6jw4, spotify:artist:4gD9KIMsFWnjrKh35YJzXQ","American Football, Hayley Williams","spotify:album:4CZO8ZnjuJ9CFoIXQ7BuaB","Uncomfortably Numb (feat. Hayley Williams)","spotify:artist:5FwydyGVcsQllnM4xM6jw4","American Football","2019-01-22","https://i.scdn.co/image/ab67616d0000b273652365790c333a42f4baaabf","1","1","250418","https://p.scdn.co/mp3-preview/0fbd24dfd80ce6142060f53cfa5a64703154f391?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","spotify:user:badfuckingpony","2019-12-21T11:00:10Z"
"spotify:track:47eqsTEkth7jXvTdH1pukG","Lorem Ipsum (Arctic Anthem)","spotify:artist:2UwJRAgSOi1zcLkvUNc8XL","Anamanaguchi","spotify:album:6tu6n9zKNQGSxtZGGnmUhu","[USA]","spotify:artist:2UwJRAgSOi1zcLkvUNc8XL","Anamanaguchi","2019-10-25","https://i.scdn.co/image/ab67616d0000b2738a51c440aa36169765067e7a","1","2","289664","https://p.scdn.co/mp3-preview/a08f39ad4b7583c0a00b8ddae6541c1b640c6d7f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","spotify:user:badfuckingpony","2019-12-21T11:00:30Z"
