"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:0g1DaZgscf7qHu7EcumKKC","Nervous Young Inhumans (Single Edit)","spotify:artist:5PbpKlxQE0Ktl5lcNABoFf","Car Seat Headrest","spotify:album:5SlxfvkIPT6A0ynKvKeBr3","Nervous Young Inhumans (Single Edit)","spotify:artist:5PbpKlxQE0Ktl5lcNABoFf","Car Seat Headrest","2018-01-10","https://i.scdn.co/image/ab67616d0000b273dfc22a8fc8f27725975446df","1","1","214545","","false","0","spotify:user:tndausten","2018-01-17T23:06:22Z"
"spotify:track:3RNuruayCGWg2B6K9Qxya8","Music Is Worth Living For","spotify:artist:4YJR4xviDKHoelt9WKHlBa","Andrew W.K.","spotify:album:0inTgsxtnvEfpLxXgiDL5y","Music Is Worth Living For","spotify:artist:4YJR4xviDKHoelt9WKHlBa","Andrew W.K.","2018-01-12","https://i.scdn.co/image/ab67616d0000b2733f0059ee6ace7cb3a280441a","1","1","262693","https://p.scdn.co/mp3-preview/d6b623412e09bf63371309ba55dd2598378295a2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","spotify:user:tndausten","2018-01-17T23:06:41Z"
"spotify:track:0LKjWSiynTWaWVxGgxCqRQ","Heart Attack","spotify:artist:0asVlqTLu3TimnYVyY5Jxi","Tune-Yards","spotify:album:0xnqrFBMSof8rwn0iAIQSW","Heart Attack","spotify:artist:0asVlqTLu3TimnYVyY5Jxi","Tune-Yards","2018-01-11","https://i.scdn.co/image/ab67616d0000b273e1ea224badfd9c5616f7554b","1","1","223998","","false","0","spotify:user:tndausten","2018-01-17T23:07:00Z"
"spotify:track:51rXHuKN8Loc4sUlKPODgH","King's Dead (with Kendrick Lamar, Future & James Blake)","spotify:artist:28ExwzUQsvgJooOI0X1mr3, spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg, spotify:artist:1RyvyyTE3xzB2ZywiAwp0i, spotify:artist:53KwLdlmrlCelAZMaLVZqU","Jay Rock, Kendrick Lamar, Future, James Blake","spotify:album:1NXM5lF9YB7a3f1e4R48oH","King's Dead (with Kendrick Lamar, Future & James Blake)","spotify:artist:28ExwzUQsvgJooOI0X1mr3, spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg, spotify:artist:1RyvyyTE3xzB2ZywiAwp0i","Jay Rock, Kendrick Lamar, Future","2018-01-12","https://i.scdn.co/image/ab67616d0000b2739edc391d911405ea9f5c320e","1","1","229670","https://p.scdn.co/mp3-preview/29bddc4629482e037b78ee97be6c46178192bc80?cid=9950ac751e34487dbbe027c4fd7f8e99","true","72","spotify:user:tndausten","2018-01-17T23:07:20Z"
"spotify:track:2nztiaC89l53GJbOBP7MXe","Dunce","spotify:artist:5AihBcq33PSL5jtuPhz2DJ","Ed Schrader's Music Beat","spotify:album:06gkxwA69zigQhxBh7SZtN","Dunce","spotify:artist:5AihBcq33PSL5jtuPhz2DJ","Ed Schrader's Music Beat","2018-01-11","https://i.scdn.co/image/ab67616d0000b2732e3f92a8b6941bfba956044d","1","1","234567","","false","0","spotify:user:tndausten","2018-01-17T23:07:41Z"
"spotify:track:7fe3GLbIfkw73eaIHT8cRX","Phreqs","spotify:artist:1WiZz4d759EPtACSUBEfmt","Portal","spotify:album:7ErBp1WxmnGAQLwltfP6G6","Phreqs","spotify:artist:1WiZz4d759EPtACSUBEfmt","Portal","2017-11-23","https://i.scdn.co/image/ab67616d0000b273047a28a092cacd6cb5039bac","1","1","294000","https://p.scdn.co/mp3-preview/f27248a8ed51d5a4bcbc28346e43b5101ba54eeb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","4","spotify:user:tndausten","2018-01-17T23:07:55Z"
"spotify:track:310Qd5lOzFStXKZB3zWCtE","Learn How to Watch (feat. Mac Miller & MadeinTYO)","spotify:artist:7CCjtD0hCK005Bvg2WG1a7, spotify:artist:4LLpKhyESsyAXpc4laK94U, spotify:artist:5SyGEPymt1G2uto47tVWvZ","Carnage, Mac Miller, MadeinTYO","spotify:album:406X6MuFUEmz00tVOSbOoS","Learn How to Watch (feat. Mac Miller & MadeinTYO)","spotify:artist:7CCjtD0hCK005Bvg2WG1a7","Carnage","2018-01-12","https://i.scdn.co/image/ab67616d0000b2738afea373fa4d26d6fa7a896a","1","1","121850","https://p.scdn.co/mp3-preview/2d733ea40b7fbac99119781e05ddf0663ec3556e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","53","spotify:user:tndausten","2018-01-17T23:08:10Z"
"spotify:track:7DuqRin3gs4XTeZ4SwpSVM","In My View","spotify:artist:5mZC7ndY6oGMxJentRwsuV","Young Fathers","spotify:album:0wiJlyEi2GlwXJV755aGQg","In My View","spotify:artist:5mZC7ndY6oGMxJentRwsuV","Young Fathers","2018-01-17","https://i.scdn.co/image/ab67616d0000b273639c61150edc026dc53cce01","1","1","195445","https://p.scdn.co/mp3-preview/36ccc67862f56ae6cc9b06efa15bd5fea440b6f3?cid=9950ac751e34487dbbe027c4fd7f8e99","true","27","spotify:user:tndausten","2018-01-22T03:16:04Z"
"spotify:track:405KnSR4FWAoByENBCazFn","I'm Gon Make U Sick O'Me","spotify:artist:5SMVzTJyKFJ7TUb46DglcH, spotify:artist:19KwjzvIL92r29IINtlPNP","Parliament, Scarface","spotify:album:6u46p7ixRhDL36bfkI6MQ7","I'm Gon Make U Sick O'Me","spotify:artist:5SMVzTJyKFJ7TUb46DglcH","Parliament","2018-01-15","https://i.scdn.co/image/ab67616d0000b273beb9184060265130c3b1af39","1","1","322291","https://p.scdn.co/mp3-preview/9ed4658fbab72897b62ac522d89909926dcbd2d9?cid=9950ac751e34487dbbe027c4fd7f8e99","true","29","spotify:user:tndausten","2018-01-22T03:16:22Z"
"spotify:track:5PIjmf7o8WHzqOlOgIwGM6","Humanoid (Single)","spotify:artist:5nXldeedEas60jZnMi40p4","Cynic","spotify:album:7jO3M2izc6j3GcI3y0OBwY","Humanoid (Single)","spotify:artist:5nXldeedEas60jZnMi40p4","Cynic","2018-01-15","https://i.scdn.co/image/ab67616d0000b273d0f6505eb269185ba883fb9c","1","1","248570","https://p.scdn.co/mp3-preview/59cb0ba5fa4d7596b87de84a20a75b183fa17734?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","spotify:user:tndausten","2018-01-22T03:17:49Z"
