"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:5ytTd8NQEUZu7PQOqJAMdz","Architec - Architec : Recorded in '94","spotify:artist:5qnkHpjyS6CUxH1UUy82B7, spotify:artist:4CtSCGFVmPyBBygDYpxvXX","Tommy Guerrero, DJ Pause","spotify:album:1MrtUHtj3ZK9G5Z4G4ZUdz","Backintheday","spotify:artist:5qnkHpjyS6CUxH1UUy82B7","Tommy Guerrero","2002","https://i.scdn.co/image/ab67616d0000b27390a2d49582081e986c47812c","1","1","243320","https://p.scdn.co/mp3-preview/29de048324e234686b34b6f77f30202fb1fe2307?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","spotify:user:or2de24zunn9l5ven8yav60p1","2019-06-28T18:44:10Z"
"spotify:track:7F2vgfmVOAdvj2zpOVDyiw","Smooth - Smooth : Recorded in '94","spotify:artist:5qnkHpjyS6CUxH1UUy82B7","Tommy Guerrero","spotify:album:1MrtUHtj3ZK9G5Z4G4ZUdz","Backintheday","spotify:artist:5qnkHpjyS6CUxH1UUy82B7","Tommy Guerrero","2002","https://i.scdn.co/image/ab67616d0000b27390a2d49582081e986c47812c","1","3","180493","https://p.scdn.co/mp3-preview/18c6bd0806fa25578137014c0af0b9fef9937408?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","spotify:user:or2de24zunn9l5ven8yav60p1","2019-06-28T18:44:13Z"
"spotify:track:2OmsCcyjo8VSQ3r1UcS5ko","Rokin'On The Tables","spotify:artist:1uztVQIpuMEDtDTBoEECOX","Danny Breaks","spotify:album:7HVXPhAfuiPP6rlcjrfy6t","Another Dimension","spotify:artist:1uztVQIpuMEDtDTBoEECOX","Danny Breaks","2003-11-17","https://i.scdn.co/image/ab67616d0000b273b3ae793483986a52a6ed72e9","1","2","217480","https://p.scdn.co/mp3-preview/4e030a16e1f0945152e712ee8dbcb548156619ee?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","spotify:user:or2de24zunn9l5ven8yav60p1","2019-06-28T18:44:15Z"
"spotify:track:1ulTFKVKlAJ5VvpiFHmoWQ","Freedom in Truth - Freedom in Truth : Recorded in '94","spotify:artist:5qnkHpjyS6CUxH1UUy82B7","Tommy Guerrero","spotify:album:1MrtUHtj3ZK9G5Z4G4ZUdz","Backintheday","spotify:artist:5qnkHpjyS6CUxH1UUy82B7","Tommy Guerrero","2002","https://i.scdn.co/image/ab67616d0000b27390a2d49582081e986c47812c","1","2","210173","https://p.scdn.co/mp3-preview/b7aa42e870f03d40819b5458d6e62dd0567d4d38?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","spotify:user:or2de24zunn9l5ven8yav60p1","2019-06-28T18:46:08Z"
"spotify:track:2ZOTzPpILGocTnXT4oTvRR","Showstopper (Featuring Mr 45)","spotify:artist:46MgiigmxJhGhdvPHZ5IpD","P. Brothers","spotify:album:4hX8NHuh3AOgYsn1bSb0uW","Live Hardcore Worldwide Pt 2 - The Best of the Heavy Bronx Experience","spotify:artist:46MgiigmxJhGhdvPHZ5IpD","P. Brothers","2008-01-14","https://i.scdn.co/image/ab67616d0000b2737f9056eff84c49ce66f69af2","1","7","185922","","false","0","spotify:user:or2de24zunn9l5ven8yav60p1","2019-06-28T18:46:11Z"
"spotify:track:41aTJx3zjZuQbT4jIaV87g","Chase Me","spotify:artist:3H24Sx4OTtMrkpQlcpGLtu","Hexstatic","spotify:album:1Yta5y5Kz8xRyE9FE0GbFf","Master-View","spotify:artist:3H24Sx4OTtMrkpQlcpGLtu","Hexstatic","2004-10-11","https://i.scdn.co/image/ab67616d0000b273b165e01b90417f18fd7cecba","1","2","293146","https://p.scdn.co/mp3-preview/869b1ce20f59940abaa09ecec0654cd7185ab61f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","spotify:user:or2de24zunn9l5ven8yav60p1","2019-06-28T18:46:14Z"
"spotify:track:3ikwXw561IEOzPikYP1j0y","GNG BNG","spotify:artist:29XOeO6KIWxGthejQqn793","Flying Lotus","spotify:album:7pdhnkO0t8HiRv4dmggt2I","Los Angeles","spotify:artist:29XOeO6KIWxGthejQqn793","Flying Lotus","2008-07-09","https://i.scdn.co/image/ab67616d0000b2736b3a70af8e425b93a457df0c","1","10","218866","https://p.scdn.co/mp3-preview/092c029a0c499f158cafaa43cbb73abfe3017c74?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","spotify:user:or2de24zunn9l5ven8yav60p1","2019-06-28T18:46:49Z"
"spotify:track:5UUPtihBOLhuPJkxroCpH8","Showstopper Part 2 - 45 Rocks the House.","spotify:artist:46MgiigmxJhGhdvPHZ5IpD","P. Brothers","spotify:album:4hX8NHuh3AOgYsn1bSb0uW","Live Hardcore Worldwide Pt 2 - The Best of the Heavy Bronx Experience","spotify:artist:46MgiigmxJhGhdvPHZ5IpD","P. Brothers","2008-01-14","https://i.scdn.co/image/ab67616d0000b2737f9056eff84c49ce66f69af2","1","12","172640","","false","0","spotify:user:or2de24zunn9l5ven8yav60p1","2019-06-28T18:46:51Z"
"spotify:track:4zyPlHMdEzygdC9bGcfJPR","Request Denied","spotify:artist:57UnSUpae3SbRekxNa5Kgl","El-P","spotify:album:75QfNfqa1LT0R5MIRKqR2q","Cancer 4 Cure","spotify:artist:57UnSUpae3SbRekxNa5Kgl","El-P","2012","https://i.scdn.co/image/ab67616d0000b273d6f1e136647db2463b9b286e","1","1","272573","https://p.scdn.co/mp3-preview/91c6f2c6b5ab06e032b390dbef05ff20346199a8?cid=9950ac751e34487dbbe027c4fd7f8e99","true","31","spotify:user:or2de24zunn9l5ven8yav60p1","2019-06-28T18:46:53Z"
"spotify:track:3GUbTBqMh0D8ycT3Xih9bU","Arpeggio","spotify:artist:7Jdjjb3kJWyPmV5MbdVdTv","Jackson And His Computer Band","spotify:album:4c95fYZR0s4M2LNi1HbqOA","Rock On","spotify:artist:7Jdjjb3kJWyPmV5MbdVdTv","Jackson And His Computer Band","2005-08-22","https://i.scdn.co/image/ab67616d0000b273e0f2621e0e7164c6a976eec2","1","2","244706","https://p.scdn.co/mp3-preview/cb7bf82073ee418044c50460d96aa8391eb2ab11?cid=9950ac751e34487dbbe027c4fd7f8e99","false","7","spotify:user:or2de24zunn9l5ven8yav60p1","2019-06-28T18:46:56Z"
"spotify:track:2P0qVEspQn8xSsvBj9ZnNo","Whowanseekwar - Version","spotify:artist:17SOIcUyecWXTqLadEKGAH, spotify:artist:1Y8H7k2nvSEtMgcMd31Xzt","Tech Level 2, Wayne Lonesome","spotify:album:4KgF7iHvMXpuRKvX0KkFrL","Whowanseekwar","spotify:artist:1S6QAuhwE0gGUPYLWlsMKn","Soundmurderer","2003","https://i.scdn.co/image/ab67616d0000b2732304dc74c2dc9d4437e12dd1","1","4","326760","https://p.scdn.co/mp3-preview/7144a595d830d967fc17d567f2ef7fe55c0ab76b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","8","spotify:user:or2de24zunn9l5ven8yav60p1","2019-06-28T18:46:58Z"
