"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:6glsMWIMIxQ4BedzLqGVi4","So Fresh, So Clean","spotify:artist:1G9G7WwrXka3Z1r7aIDjI7","Outkast","spotify:album:2tm3Ht61kqqRZtIYsBjxEj","Stankonia","spotify:artist:1G9G7WwrXka3Z1r7aIDjI7","Outkast","2000-10-31","https://i.scdn.co/image/ab67616d0000b2732350e31bc346a6c20e9de166","1","4","240026","https://p.scdn.co/mp3-preview/96ab59abaee5b4e6ee39b64d602ed626b02e0a7b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","70","spotify:user:myplay.com","2020-12-04T22:03:52Z"
"spotify:track:65YUjU1RCMobliXwXtfpzA","No Scrubs","spotify:artist:0TImkz4nPqjegtVSMZnMRq","TLC","spotify:album:3dq455biBObErkzqox5TpS","20","spotify:artist:0TImkz4nPqjegtVSMZnMRq","TLC","2013-10-15","https://i.scdn.co/image/ab67616d0000b2734adaba666606b17f8a444149","1","10","216906","https://p.scdn.co/mp3-preview/248e694446d755cb43d1e30aae9cbc0c1fa66801?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","spotify:user:myplay.com","2020-12-05T00:40:50Z"
"spotify:track:6MLsahMK3VvH9NUwXOktdS","I'm Real (feat. Ja Rule) - Murder Remix","spotify:artist:2DlGxzQSjYe5N6G9nkYghR, spotify:artist:1J2VVASYAamtQ3Bt8wGgA6","Jennifer Lopez, Ja Rule","spotify:album:76QqoE30i9HVwxtxYMkWXT","J.Lo","spotify:artist:2DlGxzQSjYe5N6G9nkYghR","Jennifer Lopez","2001-01-23","https://i.scdn.co/image/ab67616d0000b273bfa0a1de59696c7a6fe15ebb","1","16","262133","https://p.scdn.co/mp3-preview/e2ef72a701d40fae1435a60dd5a92defaeb0c0fe?cid=9950ac751e34487dbbe027c4fd7f8e99","true","65","spotify:user:myplay.com","2020-12-05T00:40:50Z"
"spotify:track:7wBThXx7BGZHJJ3aN3OPvv","Confessions Part II","spotify:artist:23zg3TcAtWQy7J6upgbUnj","Usher","spotify:album:1RM6MGv6bcl6NrAG8PGoZk","Confessions (Expanded Edition)","spotify:artist:23zg3TcAtWQy7J6upgbUnj","Usher","2004-03-23","https://i.scdn.co/image/ab67616d0000b273365b3fb800c19f7ff72602da","1","5","211200","https://p.scdn.co/mp3-preview/16b5e6467b3df41f26638e4ae42beb1bbbc64e57?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","spotify:user:myplay.com","2020-12-05T00:40:50Z"
"spotify:track:0F7rEdewJ6cSLylOZZpDu7","I'm Sprung","spotify:artist:3aQeKQSyrW4qWr35idm0cy","T-Pain","spotify:album:67kj88d9xbscqqG8EdMpIu","Rappa Ternt Sanga","spotify:artist:3aQeKQSyrW4qWr35idm0cy","T-Pain","2005","https://i.scdn.co/image/ab67616d0000b273bfe8c2950592fbe9dd9d75c3","1","2","231040","","false","34","spotify:user:myplay.com","2020-12-05T00:40:50Z"
"spotify:track:0I3q5fE6wg7LIfHGngUTnV","Ms. Jackson","spotify:artist:1G9G7WwrXka3Z1r7aIDjI7","Outkast","spotify:album:2tm3Ht61kqqRZtIYsBjxEj","Stankonia","spotify:artist:1G9G7WwrXka3Z1r7aIDjI7","Outkast","2000-10-31","https://i.scdn.co/image/ab67616d0000b2732350e31bc346a6c20e9de166","1","5","270506","https://p.scdn.co/mp3-preview/07495099ccc8efb86eec89db4a3a95e03385921d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","82","spotify:user:myplay.com","2020-12-04T22:03:52Z"
"spotify:track:68vgtRHr7iZHpzGpon6Jlo","My Boo","spotify:artist:23zg3TcAtWQy7J6upgbUnj, spotify:artist:3DiDSECUqqY1AuBP8qtaIa","Usher, Alicia Keys","spotify:album:1RM6MGv6bcl6NrAG8PGoZk","Confessions (Expanded Edition)","spotify:artist:23zg3TcAtWQy7J6upgbUnj","Usher","2004-03-23","https://i.scdn.co/image/ab67616d0000b273365b3fb800c19f7ff72602da","1","18","223440","https://p.scdn.co/mp3-preview/132214d772dfacb85b3ed27bafc366b526c5da49?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","spotify:user:myplay.com","2020-12-04T22:03:52Z"
"spotify:track:2aIdVb8v9KTpEZnftkz2mD","Buy U a Drank (Shawty Snappin') (feat. Yung Joc)","spotify:artist:3aQeKQSyrW4qWr35idm0cy, spotify:artist:23LbwefIODbyGdRbAz3urj","T-Pain, Yung Joc","spotify:album:44Z1ZEmOyois0QoAgfUxrD","Epiphany","spotify:artist:3aQeKQSyrW4qWr35idm0cy","T-Pain","2007-06-05","https://i.scdn.co/image/ab67616d0000b273aad32187513cd6916ddd3c87","1","12","227960","","false","53","spotify:user:myplay.com","2020-12-04T22:03:52Z"
"spotify:track:7DFnq8FYhHMCylykf6ZCxA","Yo (Excuse Me Miss)","spotify:artist:7bXgB6jMjp9ATFy66eO08Z","Chris Brown","spotify:album:49gaz5rhWWgqCw61M9700v","Chris Brown (Expanded Edition)","spotify:artist:7bXgB6jMjp9ATFy66eO08Z","Chris Brown","2005","https://i.scdn.co/image/ab67616d0000b273f9685817281327d5fecb244e","1","3","229040","https://p.scdn.co/mp3-preview/a09bd6e4efcdac95f76844d1187083ecb998be71?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","spotify:user:myplay.com","2020-12-05T00:40:50Z"
"spotify:track:4MeDnO5yA2Zi6IMlVApRci","Freek-A-Leek","spotify:artist:4Js9eYwAf9rypNtV8pNSw9","Petey Pablo","spotify:album:2R7G5Z0RWWZU1V731JZG68","Still Writing In My Diary: 2nd Entry","spotify:artist:4Js9eYwAf9rypNtV8pNSw9","Petey Pablo","2004","https://i.scdn.co/image/ab67616d0000b273abba73f5c24c0066908196e1","1","4","235186","https://p.scdn.co/mp3-preview/fbdf8a5d728f3b93c64dd29bd962ddca6c2ff6f2?cid=9950ac751e34487dbbe027c4fd7f8e99","true","65","spotify:user:myplay.com","2020-12-04T22:03:52Z"
