"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:5OW31zCCrHUqMgT1hSnBC5","Brain Soup","spotify:artist:3a4OHGZwsqHc3eRChiDkS9","Nasty Cherry","spotify:album:1p5BZBgkGLVX9bRm0hrNlA","Season 1","spotify:artist:3a4OHGZwsqHc3eRChiDkS9","Nasty Cherry","2019-11-22","https://i.scdn.co/image/ab67616d0000b2730225954aa9485321987dc2ed","1","1","148145","https://p.scdn.co/mp3-preview/9833c45a5398bebdb4de5b545d396efdf33cace4?cid=9950ac751e34487dbbe027c4fd7f8e99","true","39","spotify:user:hanalarene","2020-03-11T04:02:57Z"
"spotify:track:7JKMxBTD9iNXRwuUphX6tY","Arizona","spotify:artist:3rlkp5krcVyqo8kpAKcqI7","Ms. White","spotify:album:5yWKtFAqWnIkgU4YKnEwfP","Marina","spotify:artist:3rlkp5krcVyqo8kpAKcqI7","Ms. White","2019-11-08","https://i.scdn.co/image/ab67616d0000b2732e0a4ab5acad5aebb0762080","1","2","243014","https://p.scdn.co/mp3-preview/122c182dbf64c6585580d70c60cc5bda558b4e75?cid=9950ac751e34487dbbe027c4fd7f8e99","true","39","spotify:user:hanalarene","2020-03-11T04:05:22Z"
"spotify:track:1rXVzDHh77MLvrwM8cFUpD","Midnight Driver","spotify:artist:4ht1mwP4ouSu79jOOktCY3","Fromm","spotify:album:6jU28TIxDs4HEkaJ4ea2zO","Midnight Candy","spotify:artist:4ht1mwP4ouSu79jOOktCY3","Fromm","2018-11-06","https://i.scdn.co/image/ab67616d0000b273726d534ee21640d3f00e8daa","1","1","265113","https://p.scdn.co/mp3-preview/24e8d770fd9bff0b13be904739d4b0753a4de577?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","spotify:user:hanalarene","2020-03-11T04:10:23Z"
"spotify:track:52juK6PG2pCl9P8idhgeYI","Grow","spotify:artist:2B2EixNjepQtd6N3mDcNnh","HOAX","spotify:album:28x7JwmWggLQoDY5XjcPp9","Grow","spotify:artist:2B2EixNjepQtd6N3mDcNnh","HOAX","2018-09-28","https://i.scdn.co/image/ab67616d0000b273fdf70c05a8246979ae9a772a","1","1","188184","https://p.scdn.co/mp3-preview/7a7861fcd80f24843eddedbc3e1ec393e4326aff?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","spotify:user:hanalarene","2020-03-11T04:18:09Z"
"spotify:track:0encug7QQRGW2FBLmg5Wu7","Blessin' Me","spotify:artist:2922Q2qAcxb0hRD0LtPcFc","Red Hearse","spotify:album:1BrBVH1v92OAzRDijSyhj9","Red Hearse","spotify:artist:2922Q2qAcxb0hRD0LtPcFc","Red Hearse","2019-08-16","https://i.scdn.co/image/ab67616d0000b27370f061640b9ab9c0db8f8bfe","1","8","185066","https://p.scdn.co/mp3-preview/a56aabfadcf54d9249ef9f7780e72d1276894608?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","spotify:user:hanalarene","2020-03-11T04:29:42Z"
"spotify:track:5vQLREP4RQ04U4Z5yhpicN","Sucker","spotify:artist:5r5Va4lVQ1zjEfbJSrmCsS","Broods","spotify:album:3KzbSN2H2bqf9b8NKiCIL0","Don't Feed The Pop Monster","spotify:artist:5r5Va4lVQ1zjEfbJSrmCsS","Broods","2019-02-01","https://i.scdn.co/image/ab67616d0000b273ce693fecd1eaf0ebff48c773","1","1","237910","https://p.scdn.co/mp3-preview/bf75d87286cc130d9ed73934a7a096410898f243?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","spotify:user:hanalarene","2020-03-11T04:37:28Z"
"spotify:track:1mSAieq0tIvRL9j4RaLAME","Thinkin Bout You","spotify:artist:2SHGDNcy2dtMu7YSDV19r0","Laura Jean Anderson","spotify:album:3iBbcxIv0i5dYt1OCLDHf1","Lonesome No More","spotify:artist:2SHGDNcy2dtMu7YSDV19r0","Laura Jean Anderson","2018-10-12","https://i.scdn.co/image/ab67616d0000b2732fdb0f35dc4b6aa6b3411e27","1","6","203971","","false","1","spotify:user:hanalarene","2020-03-11T04:39:35Z"
"spotify:track:7AhhRjckq14iCM5Y60epPL","Only If You Want It","spotify:artist:1oPRcJUkloHaRLYx0olBLJ","Magdalena Bay","spotify:album:2FysWo3TI1KAFyoF2VIzpj","Only If You Want It","spotify:artist:1oPRcJUkloHaRLYx0olBLJ","Magdalena Bay","2019-04-26","https://i.scdn.co/image/ab67616d0000b273adf64a7d2e153b838219dc36","1","1","214513","https://p.scdn.co/mp3-preview/a5f0b214cfbccb7e33c011c0f2a3f38b93950312?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","spotify:user:hanalarene","2020-03-11T04:47:10Z"
"spotify:track:3PgxWUQc4HJoQMj5Kp5Mcd","Lover - Recorded at Air Studios, London","spotify:artist:1Hsdzj7Dlq2I7tHP7501T4, spotify:artist:5qa31A9HySw3T7MKWI9bGg","Niall Horan, FLETCHER","spotify:album:6qU8mH51eBvwyqYgg2Wsui","Spotify Singles","spotify:artist:1Hsdzj7Dlq2I7tHP7501T4","Niall Horan","2020-03-04","https://i.scdn.co/image/ab67616d0000b273d31262de3fc693f90eee9940","1","2","239076","https://p.scdn.co/mp3-preview/19123a79c7348cc366df25acd5f446c1ab2c3015?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","spotify:user:hanalarene","2020-03-11T04:59:42Z"
"spotify:track:4YKaHxTYMgaEIsu0ZNvsvz","Portrait of a Female","spotify:artist:4YrURxtCHtPBfNDmMNp7IG","Cruel Youth","spotify:album:1UDDvkPcx5OcD2MQPQOd2Z","Portrait of a Female","spotify:artist:4YrURxtCHtPBfNDmMNp7IG","Cruel Youth","2018-12-14","https://i.scdn.co/image/ab67616d0000b273cbe0d5cf6d25de3647174924","1","1","242480","https://p.scdn.co/mp3-preview/d0187607de71b43d5399befeab2b73a1bf925523?cid=9950ac751e34487dbbe027c4fd7f8e99","true","43","spotify:user:hanalarene","2020-03-11T05:02:46Z"
