"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:3tsG0C7Z4cLI69fmnLGLc9","Rapewar","spotify:artist:3MYvfJo6anRwgn8mOsv7mu","Burmese","spotify:album:72HOAVdwH86YVeNGYiIsUt","Men","spotify:artist:3MYvfJo6anRwgn8mOsv7mu","Burmese","2004","https://i.scdn.co/image/ab67616d0000b273cdac9e6ec054135af16a7f07","1","1","217520","https://p.scdn.co/mp3-preview/58208186d94df8620c92e59b627ac769d87f3efa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","3","spotify:user:31echnqysn46mo7bimtuzgnkncyi","2019-10-03T20:14:20Z"
"spotify:track:28c0gjavcb7lWOSw1E69RH","Rest Stop Cleaning","spotify:artist:38vvLTRv7kxNgkG6YbTRog","Faxed Head","spotify:album:1DwzkrWZyZ4qOqib4E6jnI","Chiropractic","spotify:artist:38vvLTRv7kxNgkG6YbTRog","Faxed Head","2001","https://i.scdn.co/image/ab67616d0000b273ae039f117228528553b88257","1","1","168946","https://p.scdn.co/mp3-preview/ac973cf4d7658341d7bd75c365961675ede435fd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","6","spotify:user:31echnqysn46mo7bimtuzgnkncyi","2019-10-03T20:15:03Z"
"spotify:track:5oPMEfXwoQnOmFwPSx73Ho","Prostrate","spotify:artist:76JM9HGKa4OjhvyEy9GaFD","White Suns","spotify:album:11ouGzmBnsDlJztJdr48fl","Totem","spotify:artist:76JM9HGKa4OjhvyEy9GaFD","White Suns","2014-03-18","https://i.scdn.co/image/ab67616d0000b2730f7444a50361af1ef7312a22","1","2","112986","https://p.scdn.co/mp3-preview/eb76002807e0411ffc0d042c6d5fbc37c0bb968a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","2","spotify:user:31echnqysn46mo7bimtuzgnkncyi","2019-10-03T20:34:27Z"
"spotify:track:5VqoSGesxYFResY3Dpj6pj","Scum Will Rise","spotify:artist:69a2GzMCkrrTrN9iVmP8Ys","Nails","spotify:album:0i3KerJQ8wBx60b44jwe0y","Unsilent Death","spotify:artist:69a2GzMCkrrTrN9iVmP8Ys","Nails","2010-09-28","https://i.scdn.co/image/ab67616d0000b273536699a6f04ba5ac53bcbd9a","1","2","65586","","false","0","spotify:user:31echnqysn46mo7bimtuzgnkncyi","2019-10-03T20:35:50Z"
"spotify:track:58hohiAJs9ekPMWQBe7ViR","Just Say Cunt","spotify:artist:3MYvfJo6anRwgn8mOsv7mu","Burmese","spotify:album:72HOAVdwH86YVeNGYiIsUt","Men","spotify:artist:3MYvfJo6anRwgn8mOsv7mu","Burmese","2004","https://i.scdn.co/image/ab67616d0000b273cdac9e6ec054135af16a7f07","1","6","38640","https://p.scdn.co/mp3-preview/63830a86a13c13dc2dacaa7da2e7aa5810c05a2f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","spotify:user:31echnqysn46mo7bimtuzgnkncyi","2019-10-03T21:14:29Z"
"spotify:track:2UefJ7SEDeVUq5i2j6zu7C","Broken Legs, Broken Face, Blood Everywhere","spotify:artist:3MYvfJo6anRwgn8mOsv7mu","Burmese","spotify:album:5fmAUfZgeWmkuhIQPYI1jr","A Mere Shadow and Reminiscence of Humanity","spotify:artist:3MYvfJo6anRwgn8mOsv7mu","Burmese","2012-11-01","https://i.scdn.co/image/ab67616d0000b2733f82c3a1bca79dcce2415bfa","1","2","228613","","false","0","spotify:user:31echnqysn46mo7bimtuzgnkncyi","2019-10-03T21:14:40Z"
"spotify:track:2XkINP0Tc0Hdchn9SLhQu8","Bodies","spotify:artist:3MYvfJo6anRwgn8mOsv7mu","Burmese","spotify:album:0Qd9vVZzSjEd972JMYJCZu","Monkeys Tear Man To Shreds, Man Never Forgives Ape, Man Destroys Environment","spotify:artist:3MYvfJo6anRwgn8mOsv7mu","Burmese","2012-11-01","https://i.scdn.co/image/ab67616d0000b2732ed3ea8403a16dbb7a70f71d","1","4","21426","","false","0","spotify:user:31echnqysn46mo7bimtuzgnkncyi","2019-10-03T21:15:29Z"
"spotify:track:7Hh5B30dAJLK0w50f0r6sf","Railway or Death","spotify:artist:3MYvfJo6anRwgn8mOsv7mu","Burmese","spotify:album:0Qd9vVZzSjEd972JMYJCZu","Monkeys Tear Man To Shreds, Man Never Forgives Ape, Man Destroys Environment","spotify:artist:3MYvfJo6anRwgn8mOsv7mu","Burmese","2012-11-01","https://i.scdn.co/image/ab67616d0000b2732ed3ea8403a16dbb7a70f71d","1","6","29213","","false","0","spotify:user:31echnqysn46mo7bimtuzgnkncyi","2019-10-03T21:15:48Z"
"spotify:track:4EzodJIS9KXM8i4NGrpYfL","Blood for Clothes","spotify:artist:3MYvfJo6anRwgn8mOsv7mu","Burmese","spotify:album:0Qd9vVZzSjEd972JMYJCZu","Monkeys Tear Man To Shreds, Man Never Forgives Ape, Man Destroys Environment","spotify:artist:3MYvfJo6anRwgn8mOsv7mu","Burmese","2012-11-01","https://i.scdn.co/image/ab67616d0000b2732ed3ea8403a16dbb7a70f71d","1","7","112320","","false","0","spotify:user:31echnqysn46mo7bimtuzgnkncyi","2019-10-03T21:15:58Z"
"spotify:track:3NrYIBsvjKeZf2HiLB0CL5","Leverage","spotify:artist:3MYvfJo6anRwgn8mOsv7mu","Burmese","spotify:album:0Qd9vVZzSjEd972JMYJCZu","Monkeys Tear Man To Shreds, Man Never Forgives Ape, Man Destroys Environment","spotify:artist:3MYvfJo6anRwgn8mOsv7mu","Burmese","2012-11-01","https://i.scdn.co/image/ab67616d0000b2732ed3ea8403a16dbb7a70f71d","1","8","68586","","false","0","spotify:user:31echnqysn46mo7bimtuzgnkncyi","2019-10-03T21:16:06Z"
"spotify:track:7Gv6QAip6mUzgWC45hnY2N","Dragged Through the Streets","spotify:artist:3MYvfJo6anRwgn8mOsv7mu","Burmese","spotify:album:0Qd9vVZzSjEd972JMYJCZu","Monkeys Tear Man To Shreds, Man Never Forgives Ape, Man Destroys Environment","spotify:artist:3MYvfJo6anRwgn8mOsv7mu","Burmese","2012-11-01","https://i.scdn.co/image/ab67616d0000b2732ed3ea8403a16dbb7a70f71d","1","9","25653","","false","0","spotify:user:31echnqysn46mo7bimtuzgnkncyi","2019-10-03T21:16:17Z"
"spotify:track:14P8uL9z7gmo7xtIByjrdz","Corpses Sealed in Concrete Floors","spotify:artist:3MYvfJo6anRwgn8mOsv7mu","Burmese","spotify:album:0Qd9vVZzSjEd972JMYJCZu","Monkeys Tear Man To Shreds, Man Never Forgives Ape, Man Destroys Environment","spotify:artist:3MYvfJo6anRwgn8mOsv7mu","Burmese","2012-11-01","https://i.scdn.co/image/ab67616d0000b2732ed3ea8403a16dbb7a70f71d","1","12","27306","","false","0","spotify:user:31echnqysn46mo7bimtuzgnkncyi","2019-10-03T21:16:37Z"
"spotify:track:6BizVHU9cXzbTDISOuwAUS","Kosovolvo","spotify:artist:3MYvfJo6anRwgn8mOsv7mu","Burmese","spotify:album:0Qd9vVZzSjEd972JMYJCZu","Monkeys Tear Man To Shreds, Man Never Forgives Ape, Man Destroys Environment","spotify:artist:3MYvfJo6anRwgn8mOsv7mu","Burmese","2012-11-01","https://i.scdn.co/image/ab67616d0000b2732ed3ea8403a16dbb7a70f71d","1","19","19320","","false","0","spotify:user:31echnqysn46mo7bimtuzgnkncyi","2019-10-03T21:17:31Z"
"spotify:track:50Mxcg7OSC0f9dQCuDJAiz","Crushed to a Crisp","spotify:artist:3MYvfJo6anRwgn8mOsv7mu","Burmese","spotify:album:0Qd9vVZzSjEd972JMYJCZu","Monkeys Tear Man To Shreds, Man Never Forgives Ape, Man Destroys Environment","spotify:artist:3MYvfJo6anRwgn8mOsv7mu","Burmese","2012-11-01","https://i.scdn.co/image/ab67616d0000b2732ed3ea8403a16dbb7a70f71d","1","20","71640","","false","0","spotify:user:31echnqysn46mo7bimtuzgnkncyi","2019-10-03T21:17:38Z"
"spotify:track:6UT1MG7v4VXjZWOEFoK1Vt","Stabbed In The Face","spotify:artist:6UahQwC9EZGsFSuGjHJNe1","Wolf Eyes","spotify:album:4hPQNQDQIpRmK6MVn2vtbh","Burned Mind","spotify:artist:6UahQwC9EZGsFSuGjHJNe1","Wolf Eyes","2004-09-28","https://i.scdn.co/image/ab67616d0000b273524fd9bf7ac7eb4d144a5a23","1","2","219640","","false","0","spotify:user:31echnqysn46mo7bimtuzgnkncyi","2019-10-03T21:29:05Z"
"spotify:track:48PMLCGmVtwKIwjHEE6Xt4","Village Oblivia","spotify:artist:6UahQwC9EZGsFSuGjHJNe1","Wolf Eyes","spotify:album:4hPQNQDQIpRmK6MVn2vtbh","Burned Mind","spotify:artist:6UahQwC9EZGsFSuGjHJNe1","Wolf Eyes","2004-09-28","https://i.scdn.co/image/ab67616d0000b273524fd9bf7ac7eb4d144a5a23","1","4","242640","","false","0","spotify:user:31echnqysn46mo7bimtuzgnkncyi","2019-10-03T21:29:23Z"
"spotify:track:19wAY5yXu1CgseXWi7R3bo","Burn Your House Down","spotify:artist:6UahQwC9EZGsFSuGjHJNe1","Wolf Eyes","spotify:album:6n1hiXhufEGpMMXP90Kcy6","Dread","spotify:artist:6UahQwC9EZGsFSuGjHJNe1","Wolf Eyes","2001-04-01","https://i.scdn.co/image/ab67616d0000b273dde8c089c8e67c95fc41e42b","1","1","262840","https://p.scdn.co/mp3-preview/f712172db487c1daa842d8e686df227f9fa21a80?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","spotify:user:31echnqysn46mo7bimtuzgnkncyi","2019-10-03T21:34:48Z"
"spotify:track:2wOZ9AfLqtZYkWiS3KYxGC","Let The Smoke Rise","spotify:artist:6UahQwC9EZGsFSuGjHJNe1","Wolf Eyes","spotify:album:6n1hiXhufEGpMMXP90Kcy6","Dread","spotify:artist:6UahQwC9EZGsFSuGjHJNe1","Wolf Eyes","2001-04-01","https://i.scdn.co/image/ab67616d0000b273dde8c089c8e67c95fc41e42b","1","4","255400","https://p.scdn.co/mp3-preview/5a713067e3d1652d94e986b1ccd113a6ba0f958d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","8","spotify:user:31echnqysn46mo7bimtuzgnkncyi","2019-10-03T21:35:12Z"
"spotify:track:4k5C3znAzWhZq37khG0AxD","No Answer","spotify:artist:6UahQwC9EZGsFSuGjHJNe1","Wolf Eyes","spotify:album:6LTCxExcS9SrQ41Kmmoq4c","No Answer: Lower Floors","spotify:artist:6UahQwC9EZGsFSuGjHJNe1","Wolf Eyes","2013-04-02","https://i.scdn.co/image/ab67616d0000b273f469fc84240a92d82d7cd54c","1","3","88800","https://p.scdn.co/mp3-preview/b92c9f87057cbce3eb8c8441bc6fc3fc9d9c11d6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","spotify:user:31echnqysn46mo7bimtuzgnkncyi","2019-10-03T21:36:57Z"
"spotify:track:5PpzfVUd2H70Jecbwtxd75","Slug Bait - Live at the I.C.A. London","spotify:artist:1UYhxPY1oqFUg1HfF8nV3k","Throbbing Gristle","spotify:album:4fdDtWqdHAZ7uoTsjdcc3s","The Second Annual Report (Remastered)","spotify:artist:1UYhxPY1oqFUg1HfF8nV3k","Throbbing Gristle","1977-11","https://i.scdn.co/image/ab67616d0000b2735d7535da4804dd241b31c9de","1","2","260973","","false","0","spotify:user:31echnqysn46mo7bimtuzgnkncyi","2019-10-03T22:10:22Z"
"spotify:track:64ctPpRPyKZlJglKNARGH8","Maggot Death - Studio Recording","spotify:artist:1UYhxPY1oqFUg1HfF8nV3k","Throbbing Gristle","spotify:album:4fdDtWqdHAZ7uoTsjdcc3s","The Second Annual Report (Remastered)","spotify:artist:1UYhxPY1oqFUg1HfF8nV3k","Throbbing Gristle","1977-11","https://i.scdn.co/image/ab67616d0000b2735d7535da4804dd241b31c9de","1","5","170160","","false","0","spotify:user:31echnqysn46mo7bimtuzgnkncyi","2019-10-03T22:10:51Z"
"spotify:track:6EWIN5BFdtco6bVBlfXvp6","Guts On the Floor","spotify:artist:1UYhxPY1oqFUg1HfF8nV3k","Throbbing Gristle","spotify:album:5IPr1ORqtAXeqE1Gxwga6i","Mission Of Dead Souls","spotify:artist:1UYhxPY1oqFUg1HfF8nV3k","Throbbing Gristle","1981","https://i.scdn.co/image/ab67616d0000b27332ecef3f4b450a4e802c3c0b","1","2","364973","","false","0","spotify:user:31echnqysn46mo7bimtuzgnkncyi","2019-10-03T22:12:36Z"
"spotify:track:06I5euLFGCLVse99MmUwD2","Zyklon B Zombie","spotify:artist:1UYhxPY1oqFUg1HfF8nV3k","Throbbing Gristle","spotify:album:1GC50wq89Lmbv07HHK26mG","The Taste of TG (A Beginner's Guide to the Music of Throbbing Gristle)","spotify:artist:1UYhxPY1oqFUg1HfF8nV3k","Throbbing Gristle","2017-11-03","https://i.scdn.co/image/ab67616d0000b27382a14d70f4c410e929811af1","1","11","231426","https://p.scdn.co/mp3-preview/93c88251f2c1d3619e0d6e3740479278f83505e5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","3","spotify:user:31echnqysn46mo7bimtuzgnkncyi","2019-10-03T22:12:49Z"
"spotify:track:0xCJJpK4NLfwk0QOXTaNIp","Estuary English","spotify:artist:3Ozlk0QQs9GxlkSlfyIkVs","Consumer Electronics","spotify:album:1SnIgeXUGD1wBm3QEws3tZ","Estuary English","spotify:artist:3Ozlk0QQs9GxlkSlfyIkVs","Consumer Electronics","2014-12-15","https://i.scdn.co/image/ab67616d0000b273d08dff3e31e3e150b2508ad8","1","6","170640","https://p.scdn.co/mp3-preview/9984318d09067aba94e12724a07c9190291ede14?cid=9950ac751e34487dbbe027c4fd7f8e99","true","5","spotify:user:31echnqysn46mo7bimtuzgnkncyi","2019-10-05T20:57:19Z"
"spotify:track:4MEpCeQNgkYJpO4X8QgwRu","Alien Existence","spotify:artist:3Ozlk0QQs9GxlkSlfyIkVs","Consumer Electronics","spotify:album:3lOAx6GT73MXVkOijI9pIg","Repetition Reinforcement","spotify:artist:3Ozlk0QQs9GxlkSlfyIkVs","Consumer Electronics","2015-03-02","https://i.scdn.co/image/ab67616d0000b273927c5ab5e47e9a6557c47c69","1","2","442137","https://p.scdn.co/mp3-preview/9e58c9285b0783c12755dc4cc8e543bff88ef60c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","2","spotify:user:31echnqysn46mo7bimtuzgnkncyi","2019-10-05T20:57:29Z"
"spotify:track:2onfde38VjxFKvavLGUA53","Pazi Sta Radis","spotify:artist:4t6FNg7L3hs10KDRvwmmEU","The AristoKrat","spotify:album:5N2l5K7vL6ObaIrMtPgAdS","Pazi Sta Radis","spotify:artist:4t6FNg7L3hs10KDRvwmmEU","The AristoKrat","2017-02-06","https://i.scdn.co/image/ab67616d0000b273ce91683e9efb6d2cdd03712f","1","2","363433","https://p.scdn.co/mp3-preview/6fa2a2f7d79e89411493a86defebe95aedd66134?cid=9950ac751e34487dbbe027c4fd7f8e99","false","11","spotify:user:31echnqysn46mo7bimtuzgnkncyi","2019-10-11T18:00:04Z"
"spotify:track:6H6slpUaj6N6uXxKSB2NCi","Undertaking The Work of The Lord - Split EP","spotify:artist:2SFBgvSdh82WctC7MKAUk9","Hatewire","spotify:album:6URDWfZbOOjlNAMdsLSMIc","The Passion Of St. Tibulus","spotify:artist:330JAk10awZ1jp9IgXXggT, spotify:artist:2SFBgvSdh82WctC7MKAUk9","Drugzilla, Hatewire","2009-03-02","https://i.scdn.co/image/ab67616d0000b273585e084a11c06238d1828393","1","4","202000","https://p.scdn.co/mp3-preview/6ab22563b698a070538bb2c24c70f0a092739106?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","spotify:user:31echnqysn46mo7bimtuzgnkncyi","2019-10-16T00:56:13Z"
