"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:4Zj1RMBuwpiF9a6lHnHcWX","Second Hand Smoke","spotify:artist:1C62FV9Cltn9L4c9jAwCyk","Emmure","spotify:album:3yY3qSyTw1qO4DIfOZhHKD","The Complete Guide To Needlework","spotify:artist:1C62FV9Cltn9L4c9jAwCyk","Emmure","2007-09-04","https://i.scdn.co/image/ab67616d0000b2735b862c193ca7718bad177a9d","1","1","52906","https://p.scdn.co/mp3-preview/8274923938fe0d2da22b46fac5de22c3ac36c52e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","11","spotify:user:12129132077","2020-02-15T18:54:08Z"
"spotify:track:1yJ5r2llJAslKZNlBwy01D","Johnny Carson Didn't Have To Die","spotify:artist:1C62FV9Cltn9L4c9jAwCyk","Emmure","spotify:album:3yY3qSyTw1qO4DIfOZhHKD","The Complete Guide To Needlework","spotify:artist:1C62FV9Cltn9L4c9jAwCyk","Emmure","2007-09-04","https://i.scdn.co/image/ab67616d0000b2735b862c193ca7718bad177a9d","1","2","151013","https://p.scdn.co/mp3-preview/4f13cc2e1a0cfa7382e101324b09efeaddde5786?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","spotify:user:12129132077","2020-02-15T18:54:08Z"
"spotify:track:4nGMUT1IOMODWuKKpzuGM0","Looking A Gift Horse In The Mouth","spotify:artist:1C62FV9Cltn9L4c9jAwCyk","Emmure","spotify:album:3yY3qSyTw1qO4DIfOZhHKD","The Complete Guide To Needlework","spotify:artist:1C62FV9Cltn9L4c9jAwCyk","Emmure","2007-09-04","https://i.scdn.co/image/ab67616d0000b2735b862c193ca7718bad177a9d","1","3","230893","https://p.scdn.co/mp3-preview/0e2259f3a5b758bc1935339c29455d48c2bd6377?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","spotify:user:12129132077","2020-02-15T18:54:08Z"
"spotify:track:1RNnSx9B17MqpYVLjU8nQZ","I Should Have Called Ms. Glen","spotify:artist:1C62FV9Cltn9L4c9jAwCyk","Emmure","spotify:album:3yY3qSyTw1qO4DIfOZhHKD","The Complete Guide To Needlework","spotify:artist:1C62FV9Cltn9L4c9jAwCyk","Emmure","2007-09-04","https://i.scdn.co/image/ab67616d0000b2735b862c193ca7718bad177a9d","1","4","294693","https://p.scdn.co/mp3-preview/386f8dfd5416bc18ec362a5bd4b665ddfb269077?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","spotify:user:12129132077","2020-02-15T18:54:08Z"
"spotify:track:628PPqCo2sNZf4Ja2X11wO","22 Exits Away","spotify:artist:1C62FV9Cltn9L4c9jAwCyk","Emmure","spotify:album:3yY3qSyTw1qO4DIfOZhHKD","The Complete Guide To Needlework","spotify:artist:1C62FV9Cltn9L4c9jAwCyk","Emmure","2007-09-04","https://i.scdn.co/image/ab67616d0000b2735b862c193ca7718bad177a9d","1","5","263200","https://p.scdn.co/mp3-preview/7110c115de0a48a454e4225d01c393d503231dc2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","spotify:user:12129132077","2020-02-15T18:54:08Z"
"spotify:track:1ysqLxvVnAav5rLe6wWK7D","A Fist Fight With Dick Tracy","spotify:artist:1C62FV9Cltn9L4c9jAwCyk","Emmure","spotify:album:3yY3qSyTw1qO4DIfOZhHKD","The Complete Guide To Needlework","spotify:artist:1C62FV9Cltn9L4c9jAwCyk","Emmure","2007-09-04","https://i.scdn.co/image/ab67616d0000b2735b862c193ca7718bad177a9d","1","6","178360","https://p.scdn.co/mp3-preview/f882bca6f7df756100cb12cd968cd941cb5298b3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","spotify:user:12129132077","2020-02-15T18:54:08Z"
"spotify:track:1VpLJeJCdH97KQh7MdFtu0","A Ticket for the Paralyzer","spotify:artist:1C62FV9Cltn9L4c9jAwCyk","Emmure","spotify:album:57KJJjLK5siOsmY9jtsHTW","Goodbye To The Gallows","spotify:artist:1C62FV9Cltn9L4c9jAwCyk","Emmure","2007","https://i.scdn.co/image/ab67616d0000b27373dc2a984cd64cb26d7d1751","1","1","50786","","false","13","spotify:user:12129132077","2020-02-15T18:54:16Z"
"spotify:track:4QqecMs6Yvw2OQukAJIq6C","10 Signs You Should Leave","spotify:artist:1C62FV9Cltn9L4c9jAwCyk","Emmure","spotify:album:57KJJjLK5siOsmY9jtsHTW","Goodbye To The Gallows","spotify:artist:1C62FV9Cltn9L4c9jAwCyk","Emmure","2007","https://i.scdn.co/image/ab67616d0000b27373dc2a984cd64cb26d7d1751","1","2","198413","","false","16","spotify:user:12129132077","2020-02-15T18:54:16Z"
"spotify:track:18CaStrEenu3gkCEEUupip","When Keeping It Real Goes Wrong","spotify:artist:1C62FV9Cltn9L4c9jAwCyk","Emmure","spotify:album:57KJJjLK5siOsmY9jtsHTW","Goodbye To The Gallows","spotify:artist:1C62FV9Cltn9L4c9jAwCyk","Emmure","2007","https://i.scdn.co/image/ab67616d0000b27373dc2a984cd64cb26d7d1751","1","3","197133","","false","20","spotify:user:12129132077","2020-02-15T18:54:16Z"
"spotify:track:04uLSIWmAE4ZezJcGKJj3M","Rusted Over Wet Dreams","spotify:artist:1C62FV9Cltn9L4c9jAwCyk","Emmure","spotify:album:57KJJjLK5siOsmY9jtsHTW","Goodbye To The Gallows","spotify:artist:1C62FV9Cltn9L4c9jAwCyk","Emmure","2007","https://i.scdn.co/image/ab67616d0000b27373dc2a984cd64cb26d7d1751","1","4","188906","","false","14","spotify:user:12129132077","2020-02-15T18:54:16Z"
