"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:3SApFePCvZSwLRowRi1meQ","The Tree of Life and Death","spotify:artist:4usRPeI4JYv5z165Pqy7SK","Disembowelment","spotify:album:7u4B9Xy4oRShjrioqExWah","Transcendence Into the Peripheral / Dusk","spotify:artist:4usRPeI4JYv5z165Pqy7SK","Disembowelment","2007-06-26","https://i.scdn.co/image/ab67616d0000b273291c3c62bdd6703f7c295206","1","1","625253","https://p.scdn.co/mp3-preview/d16bd583b3441387f59d9b353028d0150b09d8d4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","spotify:user:brain_burner","2020-04-13T19:50:52Z"
"spotify:track:1Qojr4eni9uH2JQnUTR2NQ","Preyer","spotify:artist:3MYvfJo6anRwgn8mOsv7mu","Burmese","spotify:album:72HOAVdwH86YVeNGYiIsUt","Men","spotify:artist:3MYvfJo6anRwgn8mOsv7mu","Burmese","2004","https://i.scdn.co/image/ab67616d0000b273cdac9e6ec054135af16a7f07","1","2","328786","https://p.scdn.co/mp3-preview/bde2158e7d66586e523b48c7103c52e30495271b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","3","spotify:user:brain_burner","2020-04-13T19:51:32Z"
"spotify:track:2CtIIlJH136IwYiEeXzcsE","The Sixteenth Six-Tooth Son of Fourteen Four Regional Dimensions","spotify:artist:61VlyZc5xhwKzFCoTnCw3d","Demilich","spotify:album:3AI6JVwjqf28nGbLaIEXVC","Nespithe","spotify:artist:61VlyZc5xhwKzFCoTnCw3d","Demilich","1994","https://i.scdn.co/image/ab67616d0000b27344f4520b35955577fd355d8b","1","2","209640","https://p.scdn.co/mp3-preview/08e8188cf552448fd75362a634927ca7783e3379?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","spotify:user:brain_burner","2020-04-13T19:51:49Z"
"spotify:track:3GC8p0VpCLfY77Af9jyUqN","Born Sick","spotify:artist:6x0WxaawVjhBoPXLhKuaml","Drunk In Hell","spotify:album:6Q2ckCtHAOvpU2kOdn7oH9","Drunk in Hell","spotify:artist:6x0WxaawVjhBoPXLhKuaml","Drunk In Hell","2017-10-13","https://i.scdn.co/image/ab67616d0000b2738e99ecf77ab460b183ba1bf8","1","5","274080","https://p.scdn.co/mp3-preview/02b8c183f44a11a4b4943a2fe5aa724f2d6ab714?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","spotify:user:brain_burner","2020-04-13T19:52:10Z"
"spotify:track:6KrJVTsK0iT9t8xIzNDMZ0","The Walk","spotify:artist:3TaLdYu9rA6H364ROYMmvF","Uniform","spotify:album:5CeozuplDjehgtSlPzmpDS","The Long Walk","spotify:artist:3TaLdYu9rA6H364ROYMmvF","Uniform","2018-08-17","https://i.scdn.co/image/ab67616d0000b273f42254eabef2dedf01291356","1","1","330593","https://p.scdn.co/mp3-preview/cfb49a35a771756d841af5e28a059e33622b5082?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","spotify:user:brain_burner","2020-04-13T19:52:24Z"
"spotify:track:1oc9fJLY9VPtScZf4TIUef","Desire For Agony","spotify:artist:6kK9Cr3vkM5F8JrdMDSyET","Zeni Geva","spotify:album:0UfYIkspY4NwRnyhwdaKU1","Desire for Agony","spotify:artist:6kK9Cr3vkM5F8JrdMDSyET","Zeni Geva","1993","https://i.scdn.co/image/ab67616d0000b27387dd7275f20991c355fd2468","1","3","162626","https://p.scdn.co/mp3-preview/69df0eb308e7f79efe01caea3ad906a8fe362970?cid=9950ac751e34487dbbe027c4fd7f8e99","false","7","spotify:user:brain_burner","2020-04-13T19:52:40Z"
"spotify:track:21DkSYSuueAXLXrWFB8mDG","Elemental","spotify:artist:3ZeByeZ0hu4iphflbEj4ZA","Thergothon","spotify:album:2cnVd2w8adi6kIo5DfErRk","Stream From The Heavens","spotify:artist:3ZeByeZ0hu4iphflbEj4ZA","Thergothon","1994","https://i.scdn.co/image/ab67616d0000b273592596b6c7e098c375534927","1","4","558000","https://p.scdn.co/mp3-preview/f806d2261afbe4983aafd6900bec7cacfe53416a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","spotify:user:brain_burner","2020-04-13T19:52:55Z"
"spotify:track:6TqQEb0TPorfPk23AP2r2w","Unwilling to Explain","spotify:artist:65W15ubMbKTu32Y1sV1hnK","Buzzov•en","spotify:album:5lzcpKFh2SOfBelVen8xGk","Sore","spotify:artist:65W15ubMbKTu32Y1sV1hnK","Buzzov•en","1994-07-12","https://i.scdn.co/image/ab67616d0000b273566ea9f6de138883fd750156","1","2","136733","https://p.scdn.co/mp3-preview/3413a6930f69f215a9f651eb01834683992ba7b1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","spotify:user:brain_burner","2020-04-13T19:53:09Z"
"spotify:track:6CTwAA1In90ZizE3sc6MKT","Chamber Of Reunion","spotify:artist:0NESoZVYcw7JFJ34gCyTfn","Infester","spotify:album:3WWH7Il1EkJTNO9ar0wtxg","To the Depths, in Degradation","spotify:artist:0NESoZVYcw7JFJ34gCyTfn","Infester","1994","https://i.scdn.co/image/ab67616d0000b27366e0eeb8ceab09dc46ad0ae3","1","2","401507","https://p.scdn.co/mp3-preview/c734fb02fce6bb810c217a908c906f1f30fb9fab?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","spotify:user:brain_burner","2020-04-13T19:53:23Z"
"spotify:track:7CCiSMOzzIiLYy7DO86oRU","Silence","spotify:artist:36b4aldhhv4vxGWtykfTRA","Esoteric","spotify:album:2dtJZ9B01mRi1n9HHNa0uT","The Maniacal Vale","spotify:artist:36b4aldhhv4vxGWtykfTRA","Esoteric","2008","https://i.scdn.co/image/ab67616d0000b273543b4c6a90561e8fed048c31","2","1","944693","https://p.scdn.co/mp3-preview/86bc3c62edda0cbae3600e8555626bd392e20b3e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","spotify:user:brain_burner","2020-04-13T19:54:44Z"
