"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:3wrGTCuNKaTAK0gYgBfTLO","Black Wisdom, White Witch","spotify:artist:7IxAebbKrl7sZQg61nJNlE","Violetshaped","spotify:album:2UIg2JeKNvdVR4qtBKD1az","The Black Ideal","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2013-06-24","https://i.scdn.co/image/ab67616d0000b273ec8c748feaf08e567822e824","2","4","332348","https://p.scdn.co/mp3-preview/3833bc13dc6a3f4b84c0dfb42fd3c721604434df?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","spotify:user:trzyszostki","2016-05-17T17:39:18Z"
"spotify:track:109ImRhrM1iiAqx4Pg16AN","Dead Sun","spotify:artist:2GHvHovCwFqoSUmIR8l16q","British Murder Boys","spotify:album:3N6P4tx1MvmpnayF9au04Z","Where Pail Limbs Lie","spotify:artist:2GHvHovCwFqoSUmIR8l16q","British Murder Boys","2012-10-29","https://i.scdn.co/image/ab67616d0000b273ec3842a037ed9b52cc5de19f","1","1","414925","","false","0","spotify:user:trzyszostki","2015-11-05T19:26:45Z"
"spotify:track:0eGikLYSqzZm9irKomYrvU","Chained to a Dead Camel - Original Mix","spotify:artist:3f0kobRhjLIHJna3UsEqim","Clouds","spotify:album:0hES2kHzgGU3lfhuBrVVlH","Radical Cutting Methods","spotify:artist:3f0kobRhjLIHJna3UsEqim","Clouds","2013-05-21","https://i.scdn.co/image/ab67616d0000b27355a6bfb4df227640a79827f9","1","2","325516","https://p.scdn.co/mp3-preview/fc8d497f7fcbd09e0988f24555495137463edc0f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","spotify:user:trzyszostki","2016-05-17T17:32:31Z"
"spotify:track:7hwGQOEO4HhL5lrYa1kQyl","Glaze","spotify:artist:0uCqiRh7CzBXxmD1Cddf77","Container","spotify:album:1tnucumFm24jX8yfRANmLE","Adhesive","spotify:artist:0uCqiRh7CzBXxmD1Cddf77","Container","2014-01-20","https://i.scdn.co/image/ab67616d0000b273857c64a3f42a8e99d12577a0","1","1","264544","","false","0","spotify:user:trzyszostki","2015-11-05T19:03:43Z"
"spotify:track:5Nb9asslfGA2vhISW30cg1","Gegen","spotify:artist:4iy2RFU8gIpXF5yaK0l8ZT","Paula Temple","spotify:album:54VCOKea082tduWVRNJgJg","Gegen","spotify:artist:4iy2RFU8gIpXF5yaK0l8ZT","Paula Temple","2014-12-22","https://i.scdn.co/image/ab67616d0000b273cde7421fa34fb70786b9ad84","1","1","302769","","false","0","spotify:user:trzyszostki","2016-05-17T17:33:30Z"
"spotify:track:0u1k9mgcqye7TfhzBEzkZJ","Surrender to the Void","spotify:artist:7HyldsYJHUJxBBkC6ltLJy","Samuel Kerridge","spotify:album:1g1fbXI7z1N5PCSq4uciKD","Deficit of Wonder","spotify:artist:7HyldsYJHUJxBBkC6ltLJy","Samuel Kerridge","2014-09-01","https://i.scdn.co/image/ab67616d0000b273f64e03f9e2f0e4c45deaf267","1","2","390465","https://p.scdn.co/mp3-preview/1bbd79395c83440f91773d829cf9488c4c724c42?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","spotify:user:trzyszostki","2015-11-05T19:06:41Z"
"spotify:track:4Mi5VjFa1lhUOOypprhD28","Aromobates NDB","spotify:artist:2ALx5yXpSTe5aPEF2vLeGa","Ninos Du Brasil","spotify:album:3aB9KQyxkOyXGURdRsnYTU","Aromobates NDB","spotify:artist:2ALx5yXpSTe5aPEF2vLeGa","Ninos Du Brasil","2014","https://i.scdn.co/image/ab67616d0000b273dd0d67630f9a1cdb39256d78","1","1","497745","https://p.scdn.co/mp3-preview/0180f305bb0de4c66b03133a2ff282a22d0870c0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","spotify:user:trzyszostki","2016-05-17T17:47:21Z"
"spotify:track:4shmhZmINDy1T7SbYfs185","4 Floors of Whores","spotify:artist:7Ifvnt1HhJ0b1QwOxLAu2s","Tzusing","spotify:album:7B0Fm0dWOUBmcU5bhMF7fs","A Name out of Place Pt. II","spotify:artist:7Ifvnt1HhJ0b1QwOxLAu2s","Tzusing","2015-06-05","https://i.scdn.co/image/ab67616d0000b2735a4962234879b1ae1e9038b0","1","1","305705","","false","0","spotify:user:trzyszostki","2015-11-05T19:10:37Z"
"spotify:track:0BIjP1vI8UEMZwNi1H0TnX","GMMDI","spotify:artist:6c8adX2u84kFAKU3iyhPN2","Ekman","spotify:album:1jmL3rUQc2YTtMsZjUuRCb","GMMDI","spotify:artist:6c8adX2u84kFAKU3iyhPN2","Ekman","2015-04-10","https://i.scdn.co/image/ab67616d0000b2735171b91d4d4d146e33fc5feb","1","1","355677","","false","0","spotify:user:trzyszostki","2016-05-17T17:45:07Z"
"spotify:track:0wJjwhWRNk6ag1bvdfybOI","Temptation & Desire","spotify:artist:1QwvlTkLsKbaB3JT1AV245","Silent Servant","spotify:album:65Cl6azbLoaqjKOe4ZTDOt","Negative Fascination","spotify:artist:1QwvlTkLsKbaB3JT1AV245","Silent Servant","2012-09-10","https://i.scdn.co/image/ab67616d0000b273397785cb6d0a0287b30544e1","1","5","205000","https://p.scdn.co/mp3-preview/85173b6baff0ac24c00d7021aa751f3de2187a40?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","spotify:user:trzyszostki","2015-11-05T19:18:13Z"
