"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:52fz1XRqWSIpZR71NeH7XM","Paedophilic Supremacy","spotify:artist:6eSSPyqys0J4j0kdi3hFrR","Infant Annihilator","spotify:album:71rNFFvJ3G7aMTEs3BPEam","The Palpable Leprosy of Pollution (Instrumental)","spotify:artist:6eSSPyqys0J4j0kdi3hFrR","Infant Annihilator","2014-06-14","https://i.scdn.co/image/ab67616d0000b27392ef78e715d6d146bd9585dc","1","15","55066","https://p.scdn.co/mp3-preview/05f0169bf8e3830b90de26028e8d4b41f73d7394?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","spotify:user:1111672953","2018-11-22T23:14:47Z"
"spotify:track:371GvCSe26DOL8zoII3pOv","An Exhalation of Disease","spotify:artist:6eSSPyqys0J4j0kdi3hFrR","Infant Annihilator","spotify:album:71rNFFvJ3G7aMTEs3BPEam","The Palpable Leprosy of Pollution (Instrumental)","spotify:artist:6eSSPyqys0J4j0kdi3hFrR","Infant Annihilator","2014-06-14","https://i.scdn.co/image/ab67616d0000b27392ef78e715d6d146bd9585dc","1","14","200186","https://p.scdn.co/mp3-preview/cb083e24fea12bb8e68b3a893689dfe9780133b3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","spotify:user:1111672953","2018-11-22T23:14:47Z"
"spotify:track:66ghQ5yLrqcX9pmWP9gvqt","Decapitation Fornication","spotify:artist:6eSSPyqys0J4j0kdi3hFrR","Infant Annihilator","spotify:album:71rNFFvJ3G7aMTEs3BPEam","The Palpable Leprosy of Pollution (Instrumental)","spotify:artist:6eSSPyqys0J4j0kdi3hFrR","Infant Annihilator","2014-06-14","https://i.scdn.co/image/ab67616d0000b27392ef78e715d6d146bd9585dc","1","13","207240","https://p.scdn.co/mp3-preview/bd04ad6b0b1076331a3cf052cca85e2cb29981b2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","spotify:user:1111672953","2018-11-22T23:14:47Z"
"spotify:track:3A7CfgiWu94bVcimlseboj","The Palpable Leprosy of Pollution","spotify:artist:6eSSPyqys0J4j0kdi3hFrR","Infant Annihilator","spotify:album:71rNFFvJ3G7aMTEs3BPEam","The Palpable Leprosy of Pollution (Instrumental)","spotify:artist:6eSSPyqys0J4j0kdi3hFrR","Infant Annihilator","2014-06-14","https://i.scdn.co/image/ab67616d0000b27392ef78e715d6d146bd9585dc","1","12","190686","https://p.scdn.co/mp3-preview/c456c732ca42e726f70d48020422fcf958002338?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","spotify:user:1111672953","2018-11-22T23:14:47Z"
"spotify:track:4g8ggszzQDQPTgFWGlx3Cu","Bathed in Placenta","spotify:artist:6eSSPyqys0J4j0kdi3hFrR","Infant Annihilator","spotify:album:71rNFFvJ3G7aMTEs3BPEam","The Palpable Leprosy of Pollution (Instrumental)","spotify:artist:6eSSPyqys0J4j0kdi3hFrR","Infant Annihilator","2014-06-14","https://i.scdn.co/image/ab67616d0000b27392ef78e715d6d146bd9585dc","1","11","239850","https://p.scdn.co/mp3-preview/dd2ee9eb628df337ac7fab1871ea7b0925e34837?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","spotify:user:1111672953","2018-11-22T23:14:47Z"
"spotify:track:3l4vJ3SAwLUJX5sAn4DdOb","Flayed and Consumed (feat. Lucas Mann)","spotify:artist:6eSSPyqys0J4j0kdi3hFrR, spotify:artist:0kUmhEz90jEeQIMif63i01","Infant Annihilator, Lucas Mann","spotify:album:71rNFFvJ3G7aMTEs3BPEam","The Palpable Leprosy of Pollution (Instrumental)","spotify:artist:6eSSPyqys0J4j0kdi3hFrR","Infant Annihilator","2014-06-14","https://i.scdn.co/image/ab67616d0000b27392ef78e715d6d146bd9585dc","1","10","172853","https://p.scdn.co/mp3-preview/464effe265163dcac353277f18de7036e281e1da?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","spotify:user:1111672953","2018-11-22T23:14:47Z"
"spotify:track:2QBiMt1MjsXeYVfJrijM2r","Pinned Down and Fisted","spotify:artist:6eSSPyqys0J4j0kdi3hFrR","Infant Annihilator","spotify:album:71rNFFvJ3G7aMTEs3BPEam","The Palpable Leprosy of Pollution (Instrumental)","spotify:artist:6eSSPyqys0J4j0kdi3hFrR","Infant Annihilator","2014-06-14","https://i.scdn.co/image/ab67616d0000b27392ef78e715d6d146bd9585dc","1","9","170704","https://p.scdn.co/mp3-preview/e1569b38089420fb6f449e1e7d287b4d94dfbb86?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","spotify:user:1111672953","2018-11-22T23:14:47Z"
"spotify:track:7bmmVLj2w8qlSE4PrtyDud","Cuntcrusher","spotify:artist:6eSSPyqys0J4j0kdi3hFrR","Infant Annihilator","spotify:album:71rNFFvJ3G7aMTEs3BPEam","The Palpable Leprosy of Pollution (Instrumental)","spotify:artist:6eSSPyqys0J4j0kdi3hFrR","Infant Annihilator","2014-06-14","https://i.scdn.co/image/ab67616d0000b27392ef78e715d6d146bd9585dc","1","8","298880","https://p.scdn.co/mp3-preview/eda854b7152dc1a7cb22054231800b45b6e5fcdc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","spotify:user:1111672953","2018-11-22T23:14:47Z"
"spotify:track:2BslB4Au7UaM9pYSiBujnM","Torn from the Womb","spotify:artist:6eSSPyqys0J4j0kdi3hFrR","Infant Annihilator","spotify:album:71rNFFvJ3G7aMTEs3BPEam","The Palpable Leprosy of Pollution (Instrumental)","spotify:artist:6eSSPyqys0J4j0kdi3hFrR","Infant Annihilator","2014-06-14","https://i.scdn.co/image/ab67616d0000b27392ef78e715d6d146bd9585dc","1","7","246760","https://p.scdn.co/mp3-preview/b073a00cb66f6b407897f596466924967e5627aa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","spotify:user:1111672953","2018-11-22T23:14:47Z"
"spotify:track:7A9ez6EUvzT5w4QrpnXYZe","Immeasurable Foetal Mutilation","spotify:artist:6eSSPyqys0J4j0kdi3hFrR","Infant Annihilator","spotify:album:71rNFFvJ3G7aMTEs3BPEam","The Palpable Leprosy of Pollution (Instrumental)","spotify:artist:6eSSPyqys0J4j0kdi3hFrR","Infant Annihilator","2014-06-14","https://i.scdn.co/image/ab67616d0000b27392ef78e715d6d146bd9585dc","1","6","217026","https://p.scdn.co/mp3-preview/77fe0ceedf2b6890d68c1ade0923bdf13c31df0d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","spotify:user:1111672953","2018-11-22T23:14:47Z"
"spotify:track:6nmZLesNOubMAajl5FVLAd","III. Embryonic Fetish","spotify:artist:6eSSPyqys0J4j0kdi3hFrR","Infant Annihilator","spotify:album:71rNFFvJ3G7aMTEs3BPEam","The Palpable Leprosy of Pollution (Instrumental)","spotify:artist:6eSSPyqys0J4j0kdi3hFrR","Infant Annihilator","2014-06-14","https://i.scdn.co/image/ab67616d0000b27392ef78e715d6d146bd9585dc","1","5","236946","https://p.scdn.co/mp3-preview/35d0e4cd06db42a8f9b36ea2dabf434d993721c7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","spotify:user:1111672953","2018-11-22T23:14:47Z"
"spotify:track:4r4qFZcYzrLa8c8aSjYKn8","Whorespawn (Bloodline Defiled)","spotify:artist:6eSSPyqys0J4j0kdi3hFrR","Infant Annihilator","spotify:album:71rNFFvJ3G7aMTEs3BPEam","The Palpable Leprosy of Pollution (Instrumental)","spotify:artist:6eSSPyqys0J4j0kdi3hFrR","Infant Annihilator","2014-06-14","https://i.scdn.co/image/ab67616d0000b27392ef78e715d6d146bd9585dc","1","4","190827","https://p.scdn.co/mp3-preview/597edc92bafddc49719306236a7ac0431a489144?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","spotify:user:1111672953","2018-11-22T23:14:47Z"
"spotify:track:53mNNXw2fhhWByACMleTCc","II. Anal Prolapse Suffocation","spotify:artist:6eSSPyqys0J4j0kdi3hFrR","Infant Annihilator","spotify:album:71rNFFvJ3G7aMTEs3BPEam","The Palpable Leprosy of Pollution (Instrumental)","spotify:artist:6eSSPyqys0J4j0kdi3hFrR","Infant Annihilator","2014-06-14","https://i.scdn.co/image/ab67616d0000b27392ef78e715d6d146bd9585dc","1","3","182026","https://p.scdn.co/mp3-preview/850455f0fe9f3ed4cf65176db36b4e03f4a6ab5a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","spotify:user:1111672953","2018-11-22T23:14:47Z"
