"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:3RH28o7i7Ly4c7yEEPH4Zq","Cheree - 1998 Remastered Version","spotify:artist:6uVeWolwyRDrT84lLsaZyW","Suicide","spotify:album:7lHdDQ8qsbcNWkEYtcIiHF","Suicide (1998 Remastered Version)","spotify:artist:6uVeWolwyRDrT84lLsaZyW","Suicide","1977-01-01","https://i.scdn.co/image/ab67616d0000b2737cea970c6d1b32015e77726d","1","3","222333","","false","0","spotify:user:12145862815","2020-03-31T19:22:44Z"
"spotify:track:4SXirPWphrrN2oibMMM77K","The Runner","spotify:artist:1pggi3bfbAPkwrylE63MEO","Patrick Cowley","spotify:album:1qLqr2Fs2ACB6FAwmlapdY","Afternooners","spotify:artist:1pggi3bfbAPkwrylE63MEO","Patrick Cowley","2017-10-19","https://i.scdn.co/image/ab67616d0000b273b835cb4e70bf3b14a221419b","1","4","416341","https://p.scdn.co/mp3-preview/de6c039010fa9281b5090f7fc873110b4fde1c8e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","spotify:user:12145862815","2020-03-31T19:24:28Z"
"spotify:track:6W03BOggURVJECgPfpz7Gh","I Cry (Night after Night)","spotify:artist:6GGVr7WgIWhsnJNdGyPklP","The Egyptian Lover","spotify:album:1jS5YBMTwMnFRoteVHOi3i","On the Nile","spotify:artist:6GGVr7WgIWhsnJNdGyPklP","The Egyptian Lover","1984-01-01","https://i.scdn.co/image/ab67616d0000b2731ab9a50d2ccf0515190cd47b","1","6","304213","https://p.scdn.co/mp3-preview/c79ab622ec8e402333f15cb1040e520d8d756ba4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","spotify:user:12145862815","2020-03-31T19:18:51Z"
"spotify:track:2NRRrr8ylDK38KD3Ffbw4K","BTSTU - Edit","spotify:artist:53wZLCnhshZKDRs3uopFBc","Jai Paul","spotify:album:7srgNVx6TtKJrgNKMJusxb","BTSTU (Edit)","spotify:artist:53wZLCnhshZKDRs3uopFBc","Jai Paul","2011-04-21","https://i.scdn.co/image/ab67616d0000b273a104c0637383a7b155c0c6d9","1","1","210000","","true","1","spotify:user:12145862815","2020-03-31T19:21:02Z"
"spotify:track:1xkOg49ZxldiM1ioIudwUS","Could Heaven Ever Be Like This","spotify:artist:6ghiUK2ao3KcmmDt2pbNzN","Idris Muhammad","spotify:album:4PznnWq19AwatCG4lsyb5I","Turn This Mutha Out","spotify:artist:6ghiUK2ao3KcmmDt2pbNzN","Idris Muhammad","1977","https://i.scdn.co/image/ab67616d0000b273d7de90b4628456f13fe629d2","1","1","516586","https://p.scdn.co/mp3-preview/a4ce3ec7b22678466c14151a41c7328a8fbd433c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","spotify:user:12145862815","2020-03-31T19:25:32Z"
"spotify:track:7FPtdpiBHIFyiUoFTEDfRd","Je Vulesse","spotify:artist:6VFE6DrxWWSqPpd6w0y0zF","Nu Guinea","spotify:album:1NuMP2jrBeyxR3MqwengWD","Nuova Napoli","spotify:artist:6VFE6DrxWWSqPpd6w0y0zF","Nu Guinea","2018-05-01","https://i.scdn.co/image/ab67616d0000b273cc9c8da874cc0aa82d67f7b2","1","2","288280","https://p.scdn.co/mp3-preview/b4f43a5772fc4d887fed12db722593f86fbf9ec0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","spotify:user:12145862815","2020-03-31T19:25:25Z"
"spotify:track:7MVRbVf3CWqypnIBfDvTg8","Swingin' Party","spotify:artist:6SYIsHAQ1sPokVxmzpaDBU","Kindness","spotify:album:5dVgaWc2WdCC6i4EcA2Bgr","World, You Need a Change of Mind","spotify:artist:6SYIsHAQ1sPokVxmzpaDBU","Kindness","2012-03-16","https://i.scdn.co/image/ab67616d0000b273f8711ebd011a9558576bff8b","1","2","237853","https://p.scdn.co/mp3-preview/e734c8e3de107abf29a738515beb3bd7d0634fff?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","spotify:user:12145862815","2020-03-31T19:27:11Z"
"spotify:track:0JC1oK4m4hpCeuoCWrRyQy","Dirty Talk - Greg Wilson Edit","spotify:artist:5MZdKmi0C80e3eu53Vzr6f","Klein & M.B.O.","spotify:album:60iUaY2TVhggASUVtQgB24","Credit To The Edit 2","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2009-10-26","https://i.scdn.co/image/ab67616d0000b273fef99c36831f65465411c925","1","6","400688","","false","0","spotify:user:12145862815","2020-03-31T19:24:37Z"
"spotify:track:2EWG2vhqHcPA3kDKf5337J","Tinseltown Swimming in Blood","spotify:artist:22ojy4H4ZVpowC4lRRC8In","Destroyer","spotify:album:30uony23TuPbw1HM6fUCjG","ken","spotify:artist:22ojy4H4ZVpowC4lRRC8In","Destroyer","2017-10-20","https://i.scdn.co/image/ab67616d0000b2732685bd553fc16de605f8853c","1","3","286027","","false","34","spotify:user:12145862815","2020-03-31T19:26:08Z"
"spotify:track:4RjwMyr4D2W4py79Heop9l","Holding On","spotify:artist:6f5lOlSFJw9K79gaNnmWAd","Tirzah","spotify:album:15GocbF7ybkkPP03YXtLqv","Devotion","spotify:artist:6f5lOlSFJw9K79gaNnmWAd","Tirzah","2018-08-10","https://i.scdn.co/image/ab67616d0000b273281b57bfec5391971863c05a","1","4","199733","https://p.scdn.co/mp3-preview/6a91db1d8c4125ef69deee8c9a9cc25afee05587?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","spotify:user:12145862815","2020-03-31T19:30:47Z"
