"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:78vpBFnDsFUwpTxvORGosW","Supernaut","spotify:artist:4KoZpKiPeX4jIi7Euwcfuo","Thou","spotify:album:679X0asmlti6DkeP82YAzh","Supernaut","spotify:artist:4KoZpKiPeX4jIi7Euwcfuo","Thou","2020-06-12","https://i.scdn.co/image/ab67616d0000b273a10cef4665638f9043d68972","1","1","319902","https://p.scdn.co/mp3-preview/01e26f5577964b96ab6501f5dcc0342c7fd568dc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","spotify:user:","2020-11-28T19:06:42Z"
"spotify:track:0Uv6fWB9gT1DH7LpWN2lyf","Deeeeeeefers","spotify:artist:0ngUeF0DGpYmPec80MqSi1","Against All Logic","spotify:album:75vFTgDgdfVhbniLoyCNKh","2017 - 2019","spotify:artist:0ngUeF0DGpYmPec80MqSi1","Against All Logic","2020-02-07","https://i.scdn.co/image/ab67616d0000b27338eb912d9b66a6b54e685a8a","1","6","349687","https://p.scdn.co/mp3-preview/33f1cad1b7ba75d7cff9e14c7727832c2239773b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","spotify:user:","2020-11-28T19:06:42Z"
"spotify:track:0LHiQncPEIz6KD7C4Ro8w4","I Became You","spotify:artist:7yMpYMZTr6Hm1Dm5CR0CRZ","An Autumn for Crippled Children","spotify:album:3kjWKbGD1spOGLWFIp1qhd","All Fell Silent, Everything Went Quiet","spotify:artist:7yMpYMZTr6Hm1Dm5CR0CRZ","An Autumn for Crippled Children","2020-05-01","https://i.scdn.co/image/ab67616d0000b27379c8ab2936e50e5eeba5bea7","1","1","289685","https://p.scdn.co/mp3-preview/c29965720d8ab8812ff3f5d2421c8952e68ed20a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","spotify:user:","2020-11-28T19:06:42Z"
"spotify:track:7rCvOOVE9oN68FVTxPRF6P","Cornucopia","spotify:artist:1tK28YnQJ6edBujubs7FXo","Whores","spotify:album:5DWbyESvLiCeiMWfzz6plo","Cornucopia","spotify:artist:1tK28YnQJ6edBujubs7FXo","Whores","2020-09-18","https://i.scdn.co/image/ab67616d0000b273b1c499929fddacaf8a426e2e","1","1","364352","","false","3","spotify:user:","2020-11-28T19:06:42Z"
"spotify:track:1WBFe8vINHQdibapMqApE0","Vanquish","spotify:artist:3uWcShy8AyhvR2bLEQNri4","AFK","spotify:album:0JlF18aXuHnF23GnZdBTuY","Network","spotify:artist:3uWcShy8AyhvR2bLEQNri4","AFK","2020-01-31","https://i.scdn.co/image/ab67616d0000b273b16df05801765acb54176b16","1","3","227294","https://p.scdn.co/mp3-preview/2f4e871c0e83c2452005fcac44c62da002a2a5a7?cid=9950ac751e34487dbbe027c4fd7f8e99","true","12","spotify:user:","2020-11-28T19:06:42Z"
"spotify:track:2qldrRnIVRC64MPJ9jYYvN","Bush Woods","spotify:artist:5MsYlytV6rgcW1BB261xBS","Dope Smoker","spotify:album:2alsmn53U9Beol4UOuqWH8","Zeroin","spotify:artist:5MsYlytV6rgcW1BB261xBS","Dope Smoker","2020-06-05","https://i.scdn.co/image/ab67616d0000b27373b2dcd3313d27a8101a1ae9","1","5","336739","","false","3","spotify:user:","2020-11-28T19:06:42Z"
"spotify:track:6YjAG2UT97PlxvR3kqy6Y7","The Pit","spotify:artist:2Mz5qpR3WxbcBwZBsmraWE","Panopticon","spotify:album:5gkWPaXjkQoqx4FOk4diNH","Panopticon","spotify:artist:2Mz5qpR3WxbcBwZBsmraWE","Panopticon","2020-01-31","https://i.scdn.co/image/ab67616d0000b27348746ddbda361f47ae24df96","1","4","322357","https://p.scdn.co/mp3-preview/bdb1ef588c5de5fb3dc65da611b582c8c3a21019?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","spotify:user:","2020-11-28T19:06:42Z"
"spotify:track:4mNq8ro9jvZniCEPVfxq4B","Bum-Rush","spotify:artist:5KCph1z3jaSwhtwPzoYp6i","Body Count","spotify:album:304v3uVECkuBPw2SAwWE8x","Carnivore","spotify:artist:5KCph1z3jaSwhtwPzoYp6i","Body Count","2020-03-06","https://i.scdn.co/image/ab67616d0000b273dce12557f6f5bb77365fb74c","1","3","203560","https://p.scdn.co/mp3-preview/ad02e0f2457d284cb30368d64fe7727c4be99832?cid=9950ac751e34487dbbe027c4fd7f8e99","true","43","spotify:user:","2020-11-28T19:06:42Z"
"spotify:track:24t6UTpnYzRl3B7c2taqym","Sails","spotify:artist:79z0Z8E5uY2Fc7HO4VGerm","Elephant Tree","spotify:album:12jxNALacoqTxvElnKlVDT","Habits","spotify:artist:79z0Z8E5uY2Fc7HO4VGerm","Elephant Tree","2020-04-24","https://i.scdn.co/image/ab67616d0000b273f589c0263cca64e0dccd5efc","1","2","260729","https://p.scdn.co/mp3-preview/0ea0db8e05c5fd3050e446e5fb480874db09f176?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","spotify:user:","2020-11-28T19:06:42Z"
"spotify:track:0mbO0RJ7KDjALjH9JV3MFO","Candy in Spanish","spotify:artist:35m8xtAGmqjnArbq8Xnndp","16","spotify:album:3xWbfhKxXeHM5dy9qtkbEE","Dream Squasher","spotify:artist:35m8xtAGmqjnArbq8Xnndp","16","2020-06-05","https://i.scdn.co/image/ab67616d0000b2734bc022c6960edddd7a48dd04","1","1","206426","https://p.scdn.co/mp3-preview/f6d5e2fc155f39350da4a5389f6bdaed342ed70d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","spotify:user:","2020-11-28T19:06:42Z"
"spotify:track:22u0Km5RIrBQkRXcRKXuVp","World Beneath Us","spotify:artist:1B1b2jSXksHwmmorhmQ8AF","Dopelord","spotify:album:0OAUdYp4p60l5C4mfNZMMk","Sign of the Devil","spotify:artist:1B1b2jSXksHwmmorhmQ8AF","Dopelord","2020-03-10","https://i.scdn.co/image/ab67616d0000b273dddb1c35528b5698e229f484","1","5","323000","https://p.scdn.co/mp3-preview/b010b3de16254e10b4e2471b8a74d00182500e4f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","spotify:user:","2020-11-28T19:06:42Z"
"spotify:track:1fYx3p6ppgsCbcRCLbHgmU","Mirrors","spotify:artist:7EgAHTw2PMP7a1tAEtue89","1000mods","spotify:album:4x0bfFSgsKAxcwHcdLoKoG","Youth of Dissent","spotify:artist:7EgAHTw2PMP7a1tAEtue89","1000mods","2020-04-24","https://i.scdn.co/image/ab67616d0000b27329fb8546a406193919fa9aa4","1","11","436333","","false","0","spotify:user:","2020-11-28T19:06:42Z"
"spotify:track:1qgJyuTwbUpchyISxHOQJE","Breakfast with the King","spotify:artist:5Ij5H3Ck98GRZoWSeyu4vz","Goatsnake","spotify:album:3jn6CSOvSvJJ8d9cArhXp0","Breakfast with the King B/W Deathwish","spotify:artist:5Ij5H3Ck98GRZoWSeyu4vz","Goatsnake","2020-07-17","https://i.scdn.co/image/ab67616d0000b27306ca9636b92f3dfea7186647","1","1","297212","https://p.scdn.co/mp3-preview/3b32b9a4bc07e05eddfa49a1594cf59d6a4786b3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","spotify:user:","2020-11-28T19:06:42Z"
"spotify:track:0Pi8LSlZQkuad1RUvaLUbr","Angel","spotify:artist:5yD3wA48IGUoCVboe0LdHx","Standing On The Corner","spotify:album:7poO40cKWP5k9ttfJJ8MlX","Angel","spotify:artist:5yD3wA48IGUoCVboe0LdHx","Standing On The Corner","2020-05-12","https://i.scdn.co/image/ab67616d0000b2736cdeffaab4e7edade63df0f1","1","1","265226","","false","0","spotify:user:","2020-11-28T19:06:42Z"
