"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:6skAmdCoXgDEuQKkyWYEUS","Hear My Name","spotify:artist:3cQA9WH8liZfeja1DxcDYE","Armand Van Helden","spotify:album:5VjZ2vTA5ASb1ZIOE3zdDx","The Best of Armand Van Helden","spotify:artist:3cQA9WH8liZfeja1DxcDYE","Armand Van Helden","2013","https://i.scdn.co/image/ab67616d0000b2731961c89f9d3821608268289b","1","5","485306","https://p.scdn.co/mp3-preview/e0d196e900c92e95c409e66bf11d1b89eef44264?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","spotify:user:124014143","2015-03-30T19:58:57Z"
"spotify:track:2zsaljwI8VCVK6lEH6jdTk","Be Still - Extended","spotify:artist:6TQj5BFPooTa08A7pk8AQ1","Kaskade","spotify:album:3sbrFDJmjThMa1aKrbtEms","Be Still","spotify:artist:6TQj5BFPooTa08A7pk8AQ1","Kaskade","2006","https://i.scdn.co/image/ab67616d0000b2738ac96bdca3f78dd842329e10","1","2","416520","","false","0","spotify:user:124014143","2013-09-25T17:49:45Z"
"spotify:track:2YjfQh3qRzOGDKZgiGDL51","It's a Fine Day - ATB Radio Mix","spotify:artist:5CRN56gBZBcdmBJDw12wEf","Miss Jane","spotify:album:3xo8pJixRr75k8RapkOiYn","Eurodancer - #1 Dance Hits from Europe","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2007","https://i.scdn.co/image/ab67616d0000b273f9ee9dc483041c7536807908","1","2","211693","https://p.scdn.co/mp3-preview/86250bed0b5897d33c570ed493be47a8e47add39?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","spotify:user:124014143","2013-10-19T17:38:18Z"
"spotify:track:7Kw8mOY0dIMBWjI22QKeov","I Remember","spotify:artist:6TQj5BFPooTa08A7pk8AQ1","Kaskade","spotify:album:0KEvSWUbZ1DDYeW4MEzbnP","Strobelite Seduction","spotify:artist:6TQj5BFPooTa08A7pk8AQ1","Kaskade","2008-06-03","https://i.scdn.co/image/ab67616d0000b273add9e99254d302a348def6e2","1","6","284479","","false","0","spotify:user:124014143","2013-06-15T01:14:26Z"
"spotify:track:6ODIe4w54uFRYobvcumNIu","Only You (feat. Tiësto & Haley) - Extended Remix","spotify:artist:6TQj5BFPooTa08A7pk8AQ1, spotify:artist:2o5jDhtHVPhrJdv3cEQ99Z, spotify:artist:50DJDQioCPmY2CCsVimaqN","Kaskade, Tiësto, Haley","spotify:album:5GBWvXVYSTQwFjhFvOyHTf","Dynasty (Extended Versions)","spotify:artist:6TQj5BFPooTa08A7pk8AQ1","Kaskade","2010","https://i.scdn.co/image/ab67616d0000b273cdc61b7c1763537489760f8c","1","7","543506","https://p.scdn.co/mp3-preview/4c71454a56d15f1b59c7e3ccc152716d5b2c0323?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","spotify:user:124014143","2013-09-23T17:44:07Z"
"spotify:track:1TIJyYTsIzNAagX7J7mrUQ","Sweet Things - Tom Cloud Remix","spotify:artist:2o5jDhtHVPhrJdv3cEQ99Z","Tiësto","spotify:album:2GMSOwQAysOQSqs5i4CFOG","Elements of Life (Bonus Version)","spotify:artist:2o5jDhtHVPhrJdv3cEQ99Z","Tiësto","2008","https://i.scdn.co/image/ab67616d0000b273ad8097503355de188ebaaaf4","1","6","382573","","false","0","spotify:user:124014143","2014-04-03T19:14:11Z"
"spotify:track:7wmMUVolaZuPXaw63D5NGH","Kiss The Sky - Mike Rizzo Global Radio Edit","spotify:artist:3BlgOQoW5poq9pxuWt7UMW","Danielle Bollinger","spotify:album:51Gr396UBUalAXg37bpSY5","Kiss The Sky","spotify:artist:3BlgOQoW5poq9pxuWt7UMW","Danielle Bollinger","2006-02-06","https://i.scdn.co/image/ab67616d0000b273210a56dd599000a1c8deaa6e","1","1","210960","https://p.scdn.co/mp3-preview/a7e54542b37bcd69e162fd827fcf47df8b66a774?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","spotify:user:124014143","2015-03-30T20:24:56Z"
"spotify:track:04pgfp6tIgrxEyltXdaZpQ","Perfect Sky - Max Graham Remix","spotify:artist:01mNTJaPN1HySQ6OspDjIs, spotify:artist:3vzkUpWst9w1SKGfAxVlh2, spotify:artist:3tQfcFJsrGokPBQ5IgXY7O","DJ Julian Vincent, Espen Gulbrandsen, Maria Nayler","spotify:album:65J2jAdN0CIk3tLEawjb0Y","Vocal Trance Hits, Vol. 15","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2010-02-15","https://i.scdn.co/image/ab67616d0000b2730d65a1dbbdd84841cab81e33","1","7","461395","https://p.scdn.co/mp3-preview/be1b011ff58c3992c941839fbb29d0e861c59e0d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","4","spotify:user:124014143","2015-12-07T21:00:05Z"
"spotify:track:3VNL6saZifiwaDoNIL8MLk","Fire - Radio Edit","spotify:artist:2ohlvFf9PBsDELdRstPtlP","Ferry Corsten","spotify:album:2HH1tUgGRPmWVNbWz5flVy","Fire","spotify:artist:2ohlvFf9PBsDELdRstPtlP","Ferry Corsten","2005","https://i.scdn.co/image/ab67616d0000b273631ab1cd574b15594ab79fd3","1","1","221346","","false","0","spotify:user:124014143","2014-07-18T18:26:50Z"
"spotify:track:2UQeh84xqrJNeRRkzuIE7M","Burn for You - The Cop 4 Turntable","spotify:artist:3xFCPRgE0yrp3Xzq62W4A2","Kreo'","spotify:album:6u2I6vhP7Zv6bMBjzKjLPp","Burn for You","spotify:artist:3xFCPRgE0yrp3Xzq62W4A2","Kreo'","2002","https://i.scdn.co/image/ab67616d0000b273ad90027fd4a915149414bc1e","1","4","374320","","false","0","spotify:user:124014143","2014-07-18T18:14:44Z"
