"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:72MsAfrvo9VKIRm9SEmzFC","Blues & Pants","spotify:artist:7GaxyUddsPok8BuhxN6OUW","James Brown","spotify:album:6FPngsQOFapqfqji2nQPTY","Greatest Breakbeats (2CD)","spotify:artist:7GaxyUddsPok8BuhxN6OUW","James Brown","2004-01-01","https://i.scdn.co/image/ab67616d0000b273169b0951599e5c87e7dd2e8a","2","1","579773","","false","0","spotify:user:1219295164","2019-10-29T16:09:49Z"
"spotify:track:0wNUTleNAhiAFPghCxLt27","School Boy Crush","spotify:artist:3tx8fyu3c4OBP5nejYtUOb","Average White Band","spotify:album:3qAWwBimvQ4rAGXGhWtCnj","Cut the Cake","spotify:artist:3tx8fyu3c4OBP5nejYtUOb","Average White Band","1975-06-24","https://i.scdn.co/image/ab67616d0000b27314b03e27311fa23f7223583d","1","2","300837","https://p.scdn.co/mp3-preview/a36d0051a55167f76ed4e53486b5cc8efcdd27e1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","spotify:user:1219295164","2019-10-29T16:10:36Z"
"spotify:track:1ROB1AoC6MedR4RASOxjzM","Never Get Enough","spotify:artist:6WXpplxbfcLvaAlhDbfEyO","Bobby Byrd","spotify:album:42QWwawcEZvjie2zFacQQW","Sayin' It and Doin' It","spotify:artist:6WXpplxbfcLvaAlhDbfEyO","Bobby Byrd","2009-07-21","https://i.scdn.co/image/ab67616d0000b2731efe11db0698ff350429d3ef","1","2","231933","https://p.scdn.co/mp3-preview/63259d198612277834a998b272aeae923dd17618?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","spotify:user:1219295164","2019-10-29T16:19:42Z"
"spotify:track:3EQcRh6c6BODFjLpsMdfVe","Try It Again","spotify:artist:6WXpplxbfcLvaAlhDbfEyO","Bobby Byrd","spotify:album:42QWwawcEZvjie2zFacQQW","Sayin' It and Doin' It","spotify:artist:6WXpplxbfcLvaAlhDbfEyO","Bobby Byrd","2009-07-21","https://i.scdn.co/image/ab67616d0000b2731efe11db0698ff350429d3ef","1","5","314453","https://p.scdn.co/mp3-preview/d317172291c13eb47eb6ab168637f3131806247d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","spotify:user:1219295164","2019-10-29T16:16:42Z"
"spotify:track:5U3i59kbTLrxo46TU1FRnF","People Get Up And Drive Your Funky Soul - Remix","spotify:artist:7GaxyUddsPok8BuhxN6OUW, spotify:artist:2uE66NiUti6Wpz90SD4eam, spotify:artist:4lJHGi5dlJmWwFH0JKF6di","James Brown, Fred Wesley, The J.B.'s","spotify:album:3PMLP2hPq76MY9XKAgUC8f","Motherlode","spotify:artist:7GaxyUddsPok8BuhxN6OUW","James Brown","2003-01-01","https://i.scdn.co/image/ab67616d0000b2730d4a451b9320ab4543339425","1","10","544640","https://p.scdn.co/mp3-preview/8ec872e56a3ae432a76fe3fe3461b6a8432225d9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","spotify:user:1219295164","2019-11-13T04:40:05Z"
"spotify:track:0fp8XEUc9Yxxd1Ago0VgyA","Cross The Tracks (We Better Go Back)","spotify:artist:0rDIqnqwAmDPL1gyzoFH9y","Maceo And The Macks","spotify:album:2ykVx7x9XaezFnsfIoDmzy","Funky Good Time: The Anthology","spotify:artist:4lJHGi5dlJmWwFH0JKF6di","The J.B.'s","1995-02-28","https://i.scdn.co/image/ab67616d0000b273295b8bf53cdc58944e7cd49c","2","11","198160","https://p.scdn.co/mp3-preview/7a2c3ae2a2b218f8d476ec316a9d0110f0f0f574?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","spotify:user:1219295164","2019-11-13T04:50:10Z"
"spotify:track:5sZdHfNP6XLTRVpSIsujWA","Shake Everything You've Got","spotify:artist:4RAQZfFgR7NPAWjKwUpEeC","Maceo Parker","spotify:album:2IBLJinRg1LInim6lowvGF","The Bremen Concert","spotify:artist:4RAQZfFgR7NPAWjKwUpEeC","Maceo Parker","2015-10-23","https://i.scdn.co/image/ab67616d0000b27396a519c4ceb7f036d85cd1fa","1","4","607349","https://p.scdn.co/mp3-preview/6b4e4507b43cce8364f28efbdaa1866662b2dcfb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","spotify:user:1219295164","2019-11-12T16:39:27Z"
"spotify:track:3x93IEWDci34MvPsKup2ha","Good to Your Earhole","spotify:artist:450o9jw6AtiQlQkHCdH6Ru","Funkadelic","spotify:album:1VFuppv4Hb9jEhWEZ0hf6q","Let's Take It To The Stage","spotify:artist:450o9jw6AtiQlQkHCdH6Ru","Funkadelic","1975-04-21","https://i.scdn.co/image/ab67616d0000b273a73b4649ed4cd287b5a5bec5","1","1","274600","https://p.scdn.co/mp3-preview/c6b931b99d0555bc1881a60f8a7da518a4bd4e6f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","spotify:user:1219295164","2020-03-08T01:57:16Z"
"spotify:track:1ZV8wsmSwudU1LmwpkoWxD","Hyperbolicsyllablecsesquedalymistic - Album - Remaster","spotify:artist:3IKV7o6WPphDB7cCWXaG3E","Isaac Hayes","spotify:album:0FfznGuH83Y2lHcJrfiD4N","Hot Buttered Soul (Deluxe Remaster w/bonus Interview)","spotify:artist:3IKV7o6WPphDB7cCWXaG3E","Isaac Hayes","1969","https://i.scdn.co/image/ab67616d0000b2733c85b587c322c89826550cc5","1","2","575306","https://p.scdn.co/mp3-preview/2ea48e433cd56130e6954cd42701e2349f4c8eb0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","spotify:user:1219295164","2019-10-29T16:09:22Z"
"spotify:track:3wEZhH7sdtsr4zhh0E0daO","The Freeze (Sizzaleenmean)","spotify:artist:5SMVzTJyKFJ7TUb46DglcH","Parliament","spotify:album:3iRqsJDWataKaSi1RP6dNu","Gloryhallastoopid","spotify:artist:5SMVzTJyKFJ7TUb46DglcH","Parliament","1979-11-20","https://i.scdn.co/image/ab67616d0000b27368f57d84c64ea1b2749dae9e","1","5","539413","https://p.scdn.co/mp3-preview/877e4e8cfc0e5fb3a7445e3dfcbc7753bbed7a64?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","spotify:user:1219295164","2019-11-03T16:16:37Z"
"spotify:track:3XiHctnuCGCKuq2YC1O6ZU","Haboglabotribin'","spotify:artist:2g8J4iI5qyYFMVHcpMcSsS","Bernard Wright","spotify:album:0h9jz3jxtiA0zeuV066MTk","'Nard","spotify:artist:2g8J4iI5qyYFMVHcpMcSsS","Bernard Wright","1981-07-17","https://i.scdn.co/image/ab67616d0000b273fab739ca361fb9ef4dbc9e7c","1","3","259413","https://p.scdn.co/mp3-preview/13eaf512785362a9cb1f05d8205c2f89ab8ac624?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","spotify:user:1219295164","2019-10-29T16:10:24Z"
"spotify:track:0Zoscqzid1bL1ub0ObS0aY","Blind Man Can See It - Extended","spotify:artist:7GaxyUddsPok8BuhxN6OUW, spotify:artist:4lJHGi5dlJmWwFH0JKF6di","James Brown, The J.B.'s","spotify:album:22uHiVyy0IVDTvbJ1kSscV","In the Jungle Groove","spotify:artist:7GaxyUddsPok8BuhxN6OUW","James Brown","1986","https://i.scdn.co/image/ab67616d0000b2733b52d6d734981f1fa72506ca","1","10","439426","https://p.scdn.co/mp3-preview/4a99064e3f489e116191acce2115763585c72996?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","spotify:user:1219295164","2019-10-29T16:10:02Z"
"spotify:track:7flebXbvKAw08BPmydUHk6","Rumpofsteelskin","spotify:artist:5SMVzTJyKFJ7TUb46DglcH","Parliament","spotify:album:4nJxMt76H3NtmGfIkL035z","Motor-Booty Affair","spotify:artist:5SMVzTJyKFJ7TUb46DglcH","Parliament","1978-01-01","https://i.scdn.co/image/ab67616d0000b273610ecb453b4592c59e9a8b5a","1","2","337026","https://p.scdn.co/mp3-preview/1246b4a978570cecc9bb8584f8bef212dd11b89d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","spotify:user:1219295164","2020-03-20T22:39:09Z"
"spotify:track:3j8xsPnIX77j4VhgYlroOA","Reach for It","spotify:artist:3EB0uKE2lGw6BB1UFJrONl","George Duke","spotify:album:7A2dqGuu5qNuvFtsllslXq","Reach For It","spotify:artist:3EB0uKE2lGw6BB1UFJrONl","George Duke","1977-04-03","https://i.scdn.co/image/ab67616d0000b27366324bfbce8d7673b7131fd5","1","4","293973","https://p.scdn.co/mp3-preview/210d2be98dea51e716fb61c382c83a8d9995bab4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","spotify:user:1219295164","2019-10-29T16:12:40Z"
"spotify:track:5OcyX5eg7VrJuI833qOCUc","The Payback","spotify:artist:7GaxyUddsPok8BuhxN6OUW","James Brown","spotify:album:49vpRrUcAr2bj6aYQr0Cfl","The Payback","spotify:artist:7GaxyUddsPok8BuhxN6OUW","James Brown","1973-01-01","https://i.scdn.co/image/ab67616d0000b273ba7e1a0f706985f9747904fa","1","1","459893","https://p.scdn.co/mp3-preview/09463acb1a3ebbee0a36056153e59e1710207bfc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","spotify:user:1219295164","2019-10-29T16:10:14Z"
"spotify:track:2p365KKPowJWeO3Mn1HyRg","Doin' The Do","spotify:artist:6WXpplxbfcLvaAlhDbfEyO","Bobby Byrd","spotify:album:6ddIS3Bp3I2pZhhvpwof8o","James Brown's Funky People, Part 3","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2000-01-01","https://i.scdn.co/image/ab67616d0000b273b05fbe22d166974816c071b9","1","6","433506","https://p.scdn.co/mp3-preview/64a75cb29320fcb3fc232dfb5f303b93d8e79918?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","spotify:user:1219295164","2019-10-29T16:17:58Z"
"spotify:track:1E8iWnq1x8Ck7AgYGvcwDd","On the Move","spotify:artist:6WXpplxbfcLvaAlhDbfEyO","Bobby Byrd","spotify:album:42QWwawcEZvjie2zFacQQW","Sayin' It and Doin' It","spotify:artist:6WXpplxbfcLvaAlhDbfEyO","Bobby Byrd","2009-07-21","https://i.scdn.co/image/ab67616d0000b2731efe11db0698ff350429d3ef","1","6","225666","https://p.scdn.co/mp3-preview/c89bbb6fc76f7077e7a65de935319a6301a10847?cid=9950ac751e34487dbbe027c4fd7f8e99","false","7","spotify:user:1219295164","2019-10-29T16:19:20Z"
"spotify:track:7rFS1AleVTvi4Ye5fzLL44","Soul Power 74 - Pt. 2","spotify:artist:0rDIqnqwAmDPL1gyzoFH9y","Maceo And The Macks","spotify:album:0xokdAGKPT5G5kld9cgcOX","Us","spotify:artist:4u1hXzJpF34tGtqdnfmUsZ","Maceo","1974-02-19","https://i.scdn.co/image/ab67616d0000b2730bd38f677c9c30305ed47b1c","1","1","248226","https://p.scdn.co/mp3-preview/8c505ac5e16b5a233d1025296ad5af84e3cfb67f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","spotify:user:1219295164","2019-11-13T04:49:37Z"
"spotify:track:4SGcV28NuS1IdCaEsnYKi5","Funky Worm","spotify:artist:6m30rs1IQqnWqV5nKMpU7U","Ohio Players","spotify:album:0uo6U4u3gt3ciHVIDYFSFh","Pleasure","spotify:artist:6m30rs1IQqnWqV5nKMpU7U","Ohio Players","1972-12","https://i.scdn.co/image/ab67616d0000b273f8946d2cea85862feace6506","1","8","160986","","false","0","spotify:user:1219295164","2019-11-13T05:01:23Z"
"spotify:track:0WSlOSMLJWoWUpWci9nnRb","Cissy Strut","spotify:artist:2JRvXPGWiINrnJljNJhG5s","The Meters","spotify:album:1Nt14TE6bKZGzJrROip36y","The Meters","spotify:artist:2JRvXPGWiINrnJljNJhG5s","The Meters","1969","https://i.scdn.co/image/ab67616d0000b273a93a02d8fbe0c68d22859506","1","1","186853","https://p.scdn.co/mp3-preview/481afeac183272b4d5e515f785049c10af694f34?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","spotify:user:1219295164","2019-11-13T14:11:18Z"
"spotify:track:2Wv0Tblv8PjQWMyaDdZAkE","I Know You Got Soul - Extended Version","spotify:artist:6WXpplxbfcLvaAlhDbfEyO","Bobby Byrd","spotify:album:1kkHnZPvg7XUNCtEyZTIUA","Bobby Byrd Got Soul: The Best Of Bobby Byrd","spotify:artist:6WXpplxbfcLvaAlhDbfEyO","Bobby Byrd","1995-01-01","https://i.scdn.co/image/ab67616d0000b273813c63f976044f239d74b696","1","1","283333","https://p.scdn.co/mp3-preview/1df40190b7c1d78e5953629b34192418cc80081a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","spotify:user:1219295164","2019-11-08T18:40:36Z"
"spotify:track:5UWFAZ7wouWv0ajejs2Zo1","After You Done It","spotify:artist:7GaxyUddsPok8BuhxN6OUW","James Brown","spotify:album:4mhdOWpPpu5rcbfdPjUD8z","Ain't It Funky","spotify:artist:7GaxyUddsPok8BuhxN6OUW","James Brown","1970-01-01","https://i.scdn.co/image/ab67616d0000b2732b077fb0aca308b3aa14aae3","1","7","207893","https://p.scdn.co/mp3-preview/8daf9a70f0a0ba876e564925e19515224510647e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","spotify:user:1219295164","2020-03-25T20:27:05Z"
"spotify:track:0NfzHXmhSG5fG92nmsruNU","Give It Up Or Turnit A Loose","spotify:artist:7GaxyUddsPok8BuhxN6OUW","James Brown","spotify:album:4mhdOWpPpu5rcbfdPjUD8z","Ain't It Funky","spotify:artist:7GaxyUddsPok8BuhxN6OUW","James Brown","1970-01-01","https://i.scdn.co/image/ab67616d0000b2732b077fb0aca308b3aa14aae3","1","4","227640","https://p.scdn.co/mp3-preview/d3115175d4474c041f8c9ce14fffcf59cda81b53?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","spotify:user:1219295164","2020-03-25T22:18:39Z"
"spotify:track:62rSpnxXl2lXDevp1z583x","Pass The Peas","spotify:artist:4lJHGi5dlJmWwFH0JKF6di","The J.B.'s","spotify:album:5ytMVOR2Moy8hu7Tx1hee2","James Brown's Funky People","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","1986-01-01","https://i.scdn.co/image/ab67616d0000b273186d5b1a39027ebe2fd569af","1","2","191666","https://p.scdn.co/mp3-preview/d2296190646f16eb79eabc7ffe3bef6a1d18ed52?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","spotify:user:1219295164","2020-04-04T21:34:30Z"
