"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:3jf6JUGRZvrLp7WpGZShcb","The Great Outside","spotify:artist:66pwO4VzpMLwntaQ9DPLvH","Beanfield","spotify:album:1jpKCEhZTPpksFJij2AmpJ","Human Patterns","spotify:artist:66pwO4VzpMLwntaQ9DPLvH","Beanfield","1999-11-29","https://i.scdn.co/image/ab67616d0000b273dcb62681d0df328b2ba83003","1","9","325400","","false","0","spotify:user:sportlow","2020-02-04T09:06:04Z"
"spotify:track:7se7fdaRjBJE56GfE0cQ0m","Beginningless","spotify:artist:6xNrdAeIWaZaxQBkO2IF12","Loka","spotify:album:0qVBNYF3ZnDfpWSKNX0qj0","You Don't Know - Ninja Cuts","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2008-03-03","https://i.scdn.co/image/ab67616d0000b2735e1afea6a5e7b1f6fd0ec52b","1","43","164226","https://p.scdn.co/mp3-preview/c9540d5a06929222ecbe244bdaa0bc6e002b1903?cid=9950ac751e34487dbbe027c4fd7f8e99","false","3","spotify:user:sportlow","2020-02-04T09:06:04Z"
"spotify:track:3bUW3RwvGx7SfrxqkF7oJo","One Chance","spotify:artist:151BUVKmiB9rHDjIkgbeVE","Apollo Brown","spotify:album:6XIPbTjy7pQnbLJevULSoz","Clouds","spotify:artist:151BUVKmiB9rHDjIkgbeVE","Apollo Brown","2011-03-01","https://i.scdn.co/image/ab67616d0000b273f968b19e57ada6cddfd829b5","1","10","128940","https://p.scdn.co/mp3-preview/f460f1e223d51ed1bf51d18945241a2f1db8a8bb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","spotify:user:sportlow","2020-02-04T09:06:04Z"
"spotify:track:1NfZGmN4uMd5XZnvQTRswb","Never Wed An Old Man","spotify:artist:0quxTLpktFyiRP853em5Fn","Jon Kennedy","spotify:album:3PuwITsTBJlJZcBuQDXYLh","Useless Wooden Toys","spotify:artist:0quxTLpktFyiRP853em5Fn","Jon Kennedy","2005-08-23","https://i.scdn.co/image/ab67616d0000b27332fb7285de73766e8b0d8763","1","12","264920","https://p.scdn.co/mp3-preview/f3a96d7c17776b5c78e1e76ad9cefdc854287f86?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","spotify:user:sportlow","2020-02-04T09:06:04Z"
"spotify:track:2GbA94xDtIU3d12EUijeLQ","Never Let Me Go - Stan Forebee Remix","spotify:artist:33KVH120xKsKhJncJcaoe2, spotify:artist:2cg9jlWp1QRc0Sk6kTp9Ez","Mike Casey, Stan Forebee","spotify:album:5vgSJr0sB6qdS1Wfu2KQYH","Surprise! The Remixes, Pt. 1","spotify:artist:33KVH120xKsKhJncJcaoe2","Mike Casey","2019-10-11","https://i.scdn.co/image/ab67616d0000b273a18aedcf0ae656416fa75b57","1","2","153197","https://p.scdn.co/mp3-preview/7044d9f6499540497118a08950c9b85c89911acb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","spotify:user:sportlow","2020-09-24T11:19:22Z"
"spotify:track:6qASSzvh4DzqBDI9vyry1I","Hydraulics - Apple Juice Kid Remix","spotify:artist:33KVH120xKsKhJncJcaoe2, spotify:artist:2gAc3A73xlEpksruPUvNIg","Mike Casey, Apple Juice Kid","spotify:album:5vgSJr0sB6qdS1Wfu2KQYH","Surprise! The Remixes, Pt. 1","spotify:artist:33KVH120xKsKhJncJcaoe2","Mike Casey","2019-10-11","https://i.scdn.co/image/ab67616d0000b273a18aedcf0ae656416fa75b57","1","4","180594","https://p.scdn.co/mp3-preview/d1783336922921544a7a989a66615c939b484d05?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","spotify:user:sportlow","2020-09-24T11:19:22Z"
"spotify:track:6xGSAKHeafJyHEt2OQ97JN","Miles Mode [Radio Edit] - Wyldephyre Remix","spotify:artist:33KVH120xKsKhJncJcaoe2, spotify:artist:5YodCBxbo9BsChnM6MbJal","Mike Casey, Wyldephyre","spotify:album:5vgSJr0sB6qdS1Wfu2KQYH","Surprise! The Remixes, Pt. 1","spotify:artist:33KVH120xKsKhJncJcaoe2","Mike Casey","2019-10-11","https://i.scdn.co/image/ab67616d0000b273a18aedcf0ae656416fa75b57","1","5","134304","https://p.scdn.co/mp3-preview/8a80452a6f044ee9bf8d5dc440cf1ad0276200d4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","spotify:user:sportlow","2020-09-24T11:19:22Z"
"spotify:track:15TxjKT0b3U8DlrM7lRD3W","I Don't Have Time (No Tengo Tiempo)","spotify:artist:6oa6wet2erehWqnsFS8ZJx, spotify:artist:33KVH120xKsKhJncJcaoe2","Cheap Monk, Mike Casey","spotify:album:1xgxItcVeOYbqWD4mI1vu7","I Don't Have Time (No Tengo Tiempo)","spotify:artist:6oa6wet2erehWqnsFS8ZJx, spotify:artist:33KVH120xKsKhJncJcaoe2","Cheap Monk, Mike Casey","2020-07-22","https://i.scdn.co/image/ab67616d0000b27381a95be81943321cdcf2cb40","1","1","150035","https://p.scdn.co/mp3-preview/cff25444fb65d9104b72aa6f848de51bba1b753c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","spotify:user:sportlow","2020-09-24T11:19:22Z"
"spotify:track:0vNg64i4NINUeq7BAiKPCP","Cabin Cloud","spotify:artist:5PkyJ6SgRorKIkGwfJI19T, spotify:artist:33KVH120xKsKhJncJcaoe2, spotify:artist:2oEZq44j6A56yyLBcTkAc5, spotify:artist:2Vx7hpzPhxweKBwn3fQC1u","Bpad, Mike Casey, Siaseeds, Big Violin Player","spotify:album:2qY3NYJsEK64Q9ZQeleyIg","Cabin Cloud","spotify:artist:5PkyJ6SgRorKIkGwfJI19T, spotify:artist:33KVH120xKsKhJncJcaoe2, spotify:artist:2oEZq44j6A56yyLBcTkAc5","Bpad, Mike Casey, Siaseeds","2020-09-01","https://i.scdn.co/image/ab67616d0000b2730b68ad047812a2aa76144a94","1","1","150947","https://p.scdn.co/mp3-preview/221325b7287f5dc098c6b23c60217cc2733abc7c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","spotify:user:sportlow","2020-09-24T11:19:22Z"
"spotify:track:7LjdnzNiDCtXhxAPquH2Sv","Fast Asleep","spotify:artist:4awnjjqiUnSBA4ucPVbF8R","TM Juke","spotify:album:7sdJYxemYdWUNldKeFJcKI","Maps from the Wilderness","spotify:artist:4awnjjqiUnSBA4ucPVbF8R","TM Juke","2003-10-13","https://i.scdn.co/image/ab67616d0000b273dea08549eafa6cee888177f6","1","4","256773","https://p.scdn.co/mp3-preview/2732ad40e14bb1ab3dec32878ca0e5e9eb59cbc9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","spotify:user:sportlow","2020-02-04T09:06:04Z"
"spotify:track:5Nn2Dj7OQsGL6pgQ9iIzPp","Ghostwriter","spotify:artist:1O3ZOjqFLEnbpZexcRjocn","RJD2","spotify:album:7DmNwRBDJRUEFUlk3oa2Aj","Deadringer: Deluxe","spotify:artist:1O3ZOjqFLEnbpZexcRjocn","RJD2","2002","https://i.scdn.co/image/ab67616d0000b273482be3c0abad6a3c2bcd2efd","1","6","317933","https://p.scdn.co/mp3-preview/d079b16eb0cae5c54fe3f76df0219c72a2f1e173?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","spotify:user:sportlow","2020-02-04T09:06:04Z"
"spotify:track:6ZQMNs3fsibQEt8bwEqINo","Anima Per Amarti","spotify:artist:399t4qwl1M9sMlOtlxVP7e","The Dining Rooms","spotify:album:17Wrxu3kqhENDajCJIEC3i","Tre","spotify:artist:399t4qwl1M9sMlOtlxVP7e","The Dining Rooms","2003","https://i.scdn.co/image/ab67616d0000b273c24221a269a4413ac916c530","1","13","228153","https://p.scdn.co/mp3-preview/ace98007e3c03aa4ba91a98a3069b2cd09535136?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","spotify:user:sportlow","2020-02-04T09:06:04Z"
"spotify:track:5yUL3D9calFfwH4cFMWjqE","Meister Petz","spotify:artist:1h5fdExX00l0ujyhHMwFHt","Peace Orchestra","spotify:album:4ZBg1gzwZTwmazOcSHkaNi","Peace Orchestra","spotify:artist:1h5fdExX00l0ujyhHMwFHt","Peace Orchestra","1999-08-16","https://i.scdn.co/image/ab67616d0000b273b1db5f88346c96e6578c96d0","1","2","376173","","false","0","spotify:user:sportlow","2020-02-04T09:06:04Z"
"spotify:track:715sBhLz85ppdkFvjPlF0f","Kuomintang","spotify:artist:2gQkob7c7JEgUlgzZW82Oh","Teargas & Plateglass","spotify:album:4qcuhoSiUOMjR0vp7r5A6R","Black Triage","spotify:artist:2gQkob7c7JEgUlgzZW82Oh","Teargas & Plateglass","2007-03-02","https://i.scdn.co/image/ab67616d0000b273f65a3446463cd7b2df30679b","1","4","209666","","false","0","spotify:user:sportlow","2020-02-04T09:06:04Z"
"spotify:track:4kKVUZjqZsZDHsitnAATZg","Augusta","spotify:artist:2C0JqB0KtpgL1p5e6xeMVp","Bathysphere","spotify:album:3ffsefrdsCYOBegTk7Gqfz","Bathysphere's Daylight Shrubbery EP","spotify:artist:2C0JqB0KtpgL1p5e6xeMVp","Bathysphere","2002","https://i.scdn.co/image/ab67616d0000b273480180a7062c2c2fa092e7e6","1","1","394147","https://p.scdn.co/mp3-preview/8b49473aa0fd7b9dcf356b84c5bdc4bec1220313?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","spotify:user:sportlow","2020-02-04T09:06:04Z"
"spotify:track:3IpZRQz4trzAH1zXrM1GQO","Cumbia","spotify:artist:4TPTW3cTwUtiihgOMSQfmy","Mexican Institute Of Sound","spotify:album:4VJD1uMqlhqUy0CB6pIvlN","Soy Sauce","spotify:artist:4TPTW3cTwUtiihgOMSQfmy","Mexican Institute Of Sound","2009-04-07","https://i.scdn.co/image/ab67616d0000b273d201b1851f28c93af2ba9170","1","1","136986","","false","0","spotify:user:sportlow","2020-02-04T09:06:04Z"
"spotify:track:2IVVvR3ncvmwIjAjihwkPv","Step Inside","spotify:artist:7moWOJPcZM7hjGb2YhTflG","2econd Class Citizen","spotify:album:4npv1ZEQaBdjEatuA5Rnqx","A World Without","spotify:artist:7moWOJPcZM7hjGb2YhTflG","2econd Class Citizen","2009-10-23","https://i.scdn.co/image/ab67616d0000b273b419d3e642f7b126b1417841","1","1","160013","","false","0","spotify:user:sportlow","2020-02-04T09:06:04Z"
"spotify:track:6g4klvQmT2IwHF7GIs15Ad","The Branches - Instrumental Version","spotify:artist:0bUWa3lF2u3S1j1JOVZsdA","Long Arm","spotify:album:0uxx3Q7y6wLjUnvzamYOCR","The Branches","spotify:artist:0bUWa3lF2u3S1j1JOVZsdA","Long Arm","2011-02-11","https://i.scdn.co/image/ab67616d0000b273bb6653a1dd2bcb99232c9989","1","12","371293","","false","0","spotify:user:sportlow","2020-02-04T09:06:04Z"
"spotify:track:2XI7DuVMezJ1VgWUTRwEoG","They Made Us Too Many","spotify:artist:0quxTLpktFyiRP853em5Fn","Jon Kennedy","spotify:album:3PuwITsTBJlJZcBuQDXYLh","Useless Wooden Toys","spotify:artist:0quxTLpktFyiRP853em5Fn","Jon Kennedy","2005-08-23","https://i.scdn.co/image/ab67616d0000b27332fb7285de73766e8b0d8763","1","13","285467","https://p.scdn.co/mp3-preview/6f83efb65232920ae7e046f4a9db4400376f2c12?cid=9950ac751e34487dbbe027c4fd7f8e99","false","2","spotify:user:sportlow","2020-02-04T09:06:04Z"
"spotify:track:1lnqAw63jjA8j54uY4qnBN","The Healing - Hot Chip Remix","spotify:artist:37uLId6Z5ZXCx19vuruvv5, spotify:artist:15mGoF7xgIMiIasAgrrQPs","Hot Chip, James Zabiela","spotify:album:6lO4NhKkyhlX7bmX4uj6bl","The Healing","spotify:artist:15mGoF7xgIMiIasAgrrQPs","James Zabiela","2012-12-24","https://i.scdn.co/image/ab67616d0000b2735d91d66c31cf01dad8a8fd86","1","3","478278","","false","0","spotify:user:sportlow","2020-02-04T09:06:04Z"
"spotify:track:01saN34a57TAmGqxlvgPOg","Koala's Lament - Instrumental","spotify:artist:2AgMAiv3MvgQMwYrnLBeje, spotify:artist:75Hc85c2sVptUPHFykMVTY","Lovage, Nathaniel Merriweather","spotify:album:4cJSjRnQTXkzbXuwcZKsbA","Music to Make Love to Your Old Lady By (Instrumental)","spotify:artist:2AgMAiv3MvgQMwYrnLBeje, spotify:artist:75Hc85c2sVptUPHFykMVTY","Lovage, Nathaniel Merriweather","2001-11-06","https://i.scdn.co/image/ab67616d0000b27322be86a4b25333a65cf94d7f","1","11","233893","https://p.scdn.co/mp3-preview/627e2bad064a892447b28d32c10adc71227fe27f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","spotify:user:sportlow","2020-02-04T09:06:04Z"
"spotify:track:1mr8s8Ue5mpMAR4DC5vN4q","Soul Control","spotify:artist:6OyoHaX29rcKC9Xv13M4C7","Free the Robots","spotify:album:4I2lkINo7hZhpNmCA24EI6","Road Kill Vol. 4","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2014-09-01","https://i.scdn.co/image/ab67616d0000b273720ca321a0f8389208224d78","1","5","167026","https://p.scdn.co/mp3-preview/124556d322cf4e1260c16c3259bffe5371383b22?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","spotify:user:sportlow","2020-02-04T09:06:04Z"
"spotify:track:6SjIxd9pPltiPZEGhZjnA4","And The Living Is Easy!","spotify:artist:00DhAlNtXfn83g9EvJ2SOM","The Guts","spotify:album:2vLUeBKZOcPK7NqUtFXW9t","Below Zero - Minus 1","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2008-09-30","https://i.scdn.co/image/ab67616d0000b27378379a9ecfd737b3eda3dea9","1","15","313466","https://p.scdn.co/mp3-preview/3b6c0d44d959851ae135bf5750614ae6d2f0fa6e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","spotify:user:sportlow","2020-02-04T09:06:04Z"
