"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:2Vy4z1ZUN7RvN7syWI2yef","Slaughter Of The Soul","spotify:artist:6YXarbjg36ODFPez0PnOlD","At The Gates","spotify:album:1m0px7K5tJndjxU6RIuL8U","Slaughter Of The Soul","spotify:artist:6YXarbjg36ODFPez0PnOlD","At The Gates","1995","https://i.scdn.co/image/ab67616d0000b273c88cbdf5c897cfd7407196d9","1","2","183093","https://p.scdn.co/mp3-preview/95896d39a2d012979c317f0b52767dde0e328b45?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","spotify:user:1283784797","2015-12-23T01:25:12Z"
"spotify:track:6c1IqDLkiR20qxogZViRdj","Atheist Aesthetic","spotify:artist:340Q4BNeDs4ePSpBii4yRa","Umbra Vitae","spotify:album:5gac9cPgomxH7Cdy3G5Sur","Shadow of Life","spotify:artist:340Q4BNeDs4ePSpBii4yRa","Umbra Vitae","2020-05-01","https://i.scdn.co/image/ab67616d0000b273f82cfcc26afd46cbefbe7c9a","1","3","134063","https://p.scdn.co/mp3-preview/9d71a1a9185156de871781bf5d75a15720e42e50?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","spotify:user:1283784797","2020-05-03T10:34:28Z"
"spotify:track:6dbbC3VrAnUdzMFpZZqXRA","Together as One","spotify:artist:4f5V3PQ66nIrBCqugJtaGn","Death","spotify:album:2bzV4j7nfY676RDSmxs0rc","Human (Deluxe Version)","spotify:artist:4f5V3PQ66nIrBCqugJtaGn","Death","2011-06-21","https://i.scdn.co/image/ab67616d0000b273383cb7c7bde8e822ebf19613","1","3","250533","https://p.scdn.co/mp3-preview/61e65ce09955a06a514604b095d5c71e95bd1355?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","spotify:user:1283784797","2015-12-23T01:25:34Z"
"spotify:track:4OPgTUo2Wcp5nlWz4kzaVj","An Autopsy","spotify:artist:1FQ6uth7icR6Jhla16K2vC","The Faceless","spotify:album:2kryTMukjLNnBPnfuG76Qe","Akeldama","spotify:artist:1FQ6uth7icR6Jhla16K2vC","The Faceless","2006-11-14","https://i.scdn.co/image/ab67616d0000b273c4569b2d344e9203df11b3bd","1","1","191226","https://p.scdn.co/mp3-preview/ae8317cda7bdb88400230d478563220c649cdedf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","spotify:user:1283784797","2016-02-17T12:45:39Z"
"spotify:track:1N7RYua9aAmm5hEUERm8l7","Power Trip","spotify:artist:0kO2SRhHlmMIeyJHfHy3c9","Chimaira","spotify:album:62yjqHlZ4HVAfMchwvYEsT","The Impossibility of Reason [Special Edition]","spotify:artist:0kO2SRhHlmMIeyJHfHy3c9","Chimaira","2003-05-05","https://i.scdn.co/image/ab67616d0000b273d91ea406268b2458ca41b596","1","4","166146","https://p.scdn.co/mp3-preview/43d9981e24b8b691b38c1ccfbd5955029a7fbb33?cid=9950ac751e34487dbbe027c4fd7f8e99","true","48","spotify:user:","2015-12-29T06:13:54Z"
"spotify:track:2l8L2iFLi8CYZQM4B78tN1","Zero Tolerance","spotify:artist:4f5V3PQ66nIrBCqugJtaGn","Death","spotify:album:4YACrpVtdpoFocBPBeLbzO","Symbolic","spotify:artist:4f5V3PQ66nIrBCqugJtaGn","Death","1995-03-19","https://i.scdn.co/image/ab67616d0000b27370b273d5264949f3ca70513e","1","2","288866","https://p.scdn.co/mp3-preview/3147ea9b127e9c4cfdb34912750f6ef43caf1317?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","spotify:user:1283784797","2016-06-22T19:13:16Z"
"spotify:track:76u2aab2a33Ohs7dOKoUOa","My Will Be Done","spotify:artist:44wJRGNtWywCUJZug8FJg3","Unearth","spotify:album:708sfirbWrGGssUqiq8Gie","The March","spotify:artist:44wJRGNtWywCUJZug8FJg3","Unearth","2008-09-01","https://i.scdn.co/image/ab67616d0000b27389319a3ea95fc4c1adacd58e","1","1","217133","https://p.scdn.co/mp3-preview/afb2b28f134ddaea031aaee2ae78112f7d3879c0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","spotify:user:1283784797","2017-02-06T22:07:49Z"
"spotify:track:4yhOLVAclff5xbgGCLNQ48","ADORATION FOR NONE (feat. Randy Blythe)","spotify:artist:0GDGKpJFhVpcjIGF8N6Ewt, spotify:artist:63JN4A4IroUvAN1fyWmsHB","Gojira, Randy Blythe","spotify:album:4NDM4HzjJYI27hwvwmKj6s","The Way of all Flesh","spotify:artist:0GDGKpJFhVpcjIGF8N6Ewt","Gojira","2008-10-13","https://i.scdn.co/image/ab67616d0000b27313b8fa330b7791a40ff039e4","1","7","379800","","false","0","spotify:user:","2015-12-29T06:14:41Z"
"spotify:track:5lzik4nObn4mDLEGl2dd14","Procession Of Ashes","spotify:artist:7GkGdNLPzWw4e6ctwKvI2x","All Shall Perish","spotify:album:1Ai70ShHcsp60kZ8ONkhto","This Is Where It Ends (Bonus Version)","spotify:artist:7GkGdNLPzWw4e6ctwKvI2x","All Shall Perish","2011-07-26","https://i.scdn.co/image/ab67616d0000b273ab54f04e6c913b9dea0acf06","1","3","276908","","false","0","spotify:user:","2015-12-29T06:15:34Z"
"spotify:track:3gEIblJfPxPDXD6fHXgF8w","Push Pull Destroy","spotify:artist:5yimluzyt2ZhLaha1KX1nn","Battlecross","spotify:album:0D3xVHSKQPUru7QLAyPozr","Pursuit of Honor","spotify:artist:5yimluzyt2ZhLaha1KX1nn","Battlecross","2011-08-02","https://i.scdn.co/image/ab67616d0000b273ec1a837e9bfb2310313947e3","1","2","215160","https://p.scdn.co/mp3-preview/4eed879251e3de8f000cb414e2f9f7bbf57c9f51?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","spotify:user:","2015-12-29T06:16:41Z"
