"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:4TaXShJHdg0gFvacgASCla","Drop Shadow","spotify:artist:6EZTI4G3MyO1cSSkrBJpgI","Eyeliner","spotify:album:1dIY98ChAdMZLSJwblo1HU","Drop Shadow","spotify:artist:6EZTI4G3MyO1cSSkrBJpgI","Eyeliner","2020-08-14","https://i.scdn.co/image/ab67616d0000b2734afec730572b7ddbeeb48d80","1","8","258410","https://p.scdn.co/mp3-preview/f6ab9e12bbc34806db66b414e8d759b33be84f44?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","spotify:user:marilynroxie","2020-11-25T19:42:22Z"
"spotify:track:75TKpJuNK2abswVZNFJ5Uz","Fantasy","spotify:artist:0ngUeF0DGpYmPec80MqSi1","Against All Logic","spotify:album:75vFTgDgdfVhbniLoyCNKh","2017 - 2019","spotify:artist:0ngUeF0DGpYmPec80MqSi1","Against All Logic","2020-02-07","https://i.scdn.co/image/ab67616d0000b27338eb912d9b66a6b54e685a8a","1","1","311899","https://p.scdn.co/mp3-preview/23cf26627fbeff15ff610b1081b75f34d4b6e244?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","spotify:user:marilynroxie","2020-02-25T03:26:06Z"
"spotify:track:28c8ZDVltaCcs4OfIAuI8Z","Intrasport","spotify:artist:6XYvaoDGE0VmRt83Jss9Sn","King Gizzard & The Lizard Wizard","spotify:album:6uuQKwM3fRETiscHqlnxuo","K.G.","spotify:artist:6XYvaoDGE0VmRt83Jss9Sn","King Gizzard & The Lizard Wizard","2020-11-20","https://i.scdn.co/image/ab67616d0000b273237586c54940111fce760ff1","1","7","252630","https://p.scdn.co/mp3-preview/11a4c7f5a38beb2e5697270122dc4eac9f4d5c13?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","spotify:user:marilynroxie","2020-12-25T03:00:41Z"
"spotify:track:53Cm1AWbjh1JOL4vmoKHkY","Are You Having Fun Yet?","spotify:artist:5wbQ674GzsknR3lZucAVhx","Avenade","spotify:album:6zcUSJsR5LrgL38cgZUqXl","Vice Versa in Such Things","spotify:artist:5wbQ674GzsknR3lZucAVhx","Avenade","2020-12-18","https://i.scdn.co/image/ab67616d0000b273283e7b4fabe542e70923364e","1","4","316322","https://p.scdn.co/mp3-preview/de1b2abf7c78cbc0f518003a6c6a6cdee9383b96?cid=9950ac751e34487dbbe027c4fd7f8e99","false","7","spotify:user:marilynroxie","2020-12-21T01:19:25Z"
"spotify:track:4pYuPkr13zQbrrDChQrfQs","BODY/PRISON","spotify:artist:6FfjnGXMhxSsJTuGLWBDth, spotify:artist:244uLu9lkdw39BJwlul3k8","HEALTH, Perturbator","spotify:album:6HodZ9bCtPbrWSqMlIEuvK","DISCO4 :: PART I","spotify:artist:6FfjnGXMhxSsJTuGLWBDth","HEALTH","2020-10-16","https://i.scdn.co/image/ab67616d0000b273aad730647e5a249a0792bc72","1","2","164253","https://p.scdn.co/mp3-preview/5731952939a3a958ac8e109cecc5f0e5302149fc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","spotify:user:marilynroxie","2020-11-25T19:52:04Z"
"spotify:track:1iCIX5ayKbtOk9a1zsH3X3","Assadist Pussy Got Me Actin' Strange","spotify:artist:55VDe291360aWSrwt1U96m","MIMIDEATH","spotify:album:6ciHbf3kLyynyVQrB79b88","Effective. Power","spotify:artist:55VDe291360aWSrwt1U96m","MIMIDEATH","2020-03-20","https://i.scdn.co/image/ab67616d0000b2733a364abd3772e6bca53b5ccd","1","4","75172","https://p.scdn.co/mp3-preview/74ffa8c50de00be81d99dfde886b4017621256be?cid=9950ac751e34487dbbe027c4fd7f8e99","true","26","spotify:user:marilynroxie","2021-02-17T03:47:16Z"
"spotify:track:3Vpq7JQuhNiaJEGO8LthnW","Lucifer Stand","spotify:artist:0TZExq5Dma8hecEIAKwQYA","Cindy Lee","spotify:album:5BEV4gGnAkRsLuoW3FQeqN","What's Tonight to Eternity","spotify:artist:0TZExq5Dma8hecEIAKwQYA","Cindy Lee","2020-02-14","https://i.scdn.co/image/ab67616d0000b2738cc1e0b31aade5ecbad2af4a","1","6","440924","https://p.scdn.co/mp3-preview/f429089fd77b9f5b708553065e563180c8d03d9d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","spotify:user:marilynroxie","2021-02-17T03:48:12Z"
"spotify:track:6gwwsp3Yta4K6yCr3HRwKN","We Got Together","spotify:artist:3qwabfaWewpfli7hMNM3O8","Róisín Murphy","spotify:album:5WpDQt6EbpzXbqo9g9P0L6","Róisín Machine","spotify:artist:3qwabfaWewpfli7hMNM3O8","Róisín Murphy","2020-10-02","https://i.scdn.co/image/ab67616d0000b273c4ae03ce107776b4456cf8da","1","6","310924","https://p.scdn.co/mp3-preview/ba073047ea1d8a5db4607816c5c5e47530a13370?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","spotify:user:marilynroxie","2020-11-25T19:54:00Z"
"spotify:track:71IXAFJPVkNcZXoyvJG9sr","Weird and Wasted Connection","spotify:artist:0Ynh5WKqwbdYqJUpVpfEGS, spotify:artist:3qYfqdVwX0fil71onLpLkh","Osees, Thee Oh Sees","spotify:album:5bw79tNjZS73fZyCvl2irH","Metamorphosed","spotify:artist:0Ynh5WKqwbdYqJUpVpfEGS, spotify:artist:3qYfqdVwX0fil71onLpLkh","Osees, Thee Oh Sees","2020-10-16","https://i.scdn.co/image/ab67616d0000b2733571733fcc3a0f410880cfb9","1","3","115320","https://p.scdn.co/mp3-preview/6d587122074761e8bb9b3b4d886436b62af2cc00?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","spotify:user:marilynroxie","2020-11-25T19:46:56Z"
"spotify:track:31Ocb5xOyTkjIyv7FdBF05","Long Road Home","spotify:artist:2wPDbhaGXCqROrVmwDdCrK","Oneohtrix Point Never","spotify:album:0oGzSazidykcL5XNTEuS9z","Magic Oneohtrix Point Never","spotify:artist:2wPDbhaGXCqROrVmwDdCrK","Oneohtrix Point Never","2020-10-30","https://i.scdn.co/image/ab67616d0000b27330ceed1406b1a6c0fb7b1454","1","3","212315","https://p.scdn.co/mp3-preview/4e3954af5fbae10d4d0d96307aa0f6098a336669?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","spotify:user:marilynroxie","2020-11-25T19:47:13Z"
