"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:28ihR0IVqNXJUHrvax2PeP","Jump to It - Radio Mix","spotify:artist:7nwUJBm0HE4ZxD3f5cy5ok","Aretha Franklin","spotify:album:6tHz4RCOU4zxevDqSS01sq","Knew You Were Waiting: The Best Of Aretha Franklin 1980-1998","spotify:artist:7nwUJBm0HE4ZxD3f5cy5ok","Aretha Franklin","2012","https://i.scdn.co/image/ab67616d0000b2737024aa4df984ce1b05deb58c","1","3","255546","","false","0","spotify:user:","2012-06-12T09:07:28Z"
"spotify:track:2xA9V7lbVClpuGhsU7SqIz","Every Girl (Wants My Guy)","spotify:artist:7nwUJBm0HE4ZxD3f5cy5ok","Aretha Franklin","spotify:album:0Pe124sDVootFFmCMhqeHO","Get It Right","spotify:artist:7nwUJBm0HE4ZxD3f5cy5ok","Aretha Franklin","1983","https://i.scdn.co/image/ab67616d0000b27392f165dafe112c7e3e2263f9","1","3","392466","https://p.scdn.co/mp3-preview/7068603fb5c64ac54e1440925746b0ee0cf52f88?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","spotify:user:12787338","2013-09-05T18:12:26Z"
"spotify:track:7KVSJyIUIiigWUGEK5v5Iq","When Love Calls","spotify:artist:2YdVmtVBpIrv0N6WiBzSqm","Atlantic Starr","spotify:album:5pq8fdnkWIpW5galZiwbh8","20th Century Masters – The Millennium Collection: The Best Of","spotify:artist:2YdVmtVBpIrv0N6WiBzSqm","Atlantic Starr","2001-01-01","https://i.scdn.co/image/ab67616d0000b273a41c77216d502ba732ea0ed3","1","2","235893","","false","0","spotify:user:","2012-09-04T00:54:38Z"
"spotify:track:7iuOtQr6jAaTq0xB6cDuBN","Circles","spotify:artist:2YdVmtVBpIrv0N6WiBzSqm","Atlantic Starr","spotify:album:31j5ZI5u1bMPFwdWWe7g6D","The Best Of Atlantic Starr","spotify:artist:2YdVmtVBpIrv0N6WiBzSqm","Atlantic Starr","1986-01-01","https://i.scdn.co/image/ab67616d0000b273df2e76a5a08680cb98f7f4dc","1","1","293493","https://p.scdn.co/mp3-preview/ce1762d98dfbd884fdfafd4d30e0b55fb1348cb1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","spotify:user:","2012-11-25T01:50:23Z"
"spotify:track:39tyQ5UufSlLOM22jAnYsL","Are You Single? - 12"" Version","spotify:artist:6f34Vi3DFJap7eJMDbpzEG","Aurra","spotify:album:6I95lumVB0K7sCSHhTS8ZN","Anthology Vol. 1","spotify:artist:6f34Vi3DFJap7eJMDbpzEG","Aurra","1980","https://i.scdn.co/image/ab67616d0000b273f7994242a04799a64e0ec717","1","3","391266","https://p.scdn.co/mp3-preview/367f557b8f4061d0cf72a256c290bab60ff6232e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","spotify:user:","2012-11-18T03:40:33Z"
"spotify:track:3erdph0wUqaMiE99sdrBU5","Make Up Your Mind","spotify:artist:6f34Vi3DFJap7eJMDbpzEG","Aurra","spotify:album:6I95lumVB0K7sCSHhTS8ZN","Anthology Vol. 1","spotify:artist:6f34Vi3DFJap7eJMDbpzEG","Aurra","1980","https://i.scdn.co/image/ab67616d0000b273f7994242a04799a64e0ec717","1","1","385760","https://p.scdn.co/mp3-preview/1c9aa03b6f9956178b2bfeedfc9baa4e8aa6852d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","spotify:user:","2012-11-18T03:39:56Z"
"spotify:track:6mzPs8sHTX9oj8efM0FJYc","On The Beat (Full Length Album Mix)","spotify:artist:0daNFtsGDQpGNgj9ZbH5Lb","The B. B. & Q. Band","spotify:album:7l3Xks3ctKuz9n51Sje4Sh","The B. B. & Q. Band","spotify:artist:0daNFtsGDQpGNgj9ZbH5Lb","The B. B. & Q. Band","1981","https://i.scdn.co/image/ab67616d0000b273c3a48ce72dd1a2af71c51582","1","1","357720","","false","0","spotify:user:","2012-04-25T17:06:36Z"
"spotify:track:68oL33xGl9GsUhDSTCXCrD","Hit And Run","spotify:artist:0Z4CzYz9ieK8q9XiVMPkW5","The Bar-Kays","spotify:album:7khkrE7is3WcErPbSMwYpg","The Best Of The Bar-Kays","spotify:artist:0Z4CzYz9ieK8q9XiVMPkW5","The Bar-Kays","1993-01-01","https://i.scdn.co/image/ab67616d0000b27356da519ae33fee2e6e7e5f16","1","11","230666","https://p.scdn.co/mp3-preview/46e19bf9e6fd86ec0272c0c5d6270c481e771b6a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","spotify:user:","2012-10-08T14:13:47Z"
"spotify:track:7huvaIkvG3DNoEVJSISbci","She Talks To Me With Her Body","spotify:artist:0Z4CzYz9ieK8q9XiVMPkW5","The Bar-Kays","spotify:album:59ZStF17nEWBFrbfGH2gOI","The Best Of The Bar-Kays (Vol. 2)","spotify:artist:0Z4CzYz9ieK8q9XiVMPkW5","The Bar-Kays","1996-05-21","https://i.scdn.co/image/ab67616d0000b27308cb17a8d16eb36aca7785b7","1","9","518400","https://p.scdn.co/mp3-preview/64cc9148ce937909014c48765476b45c8366e5c4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","spotify:user:","2012-04-26T07:07:19Z"
"spotify:track:44z5wsv0dsR7Wu7tBohvMp","Freakshow On The Dance Floor","spotify:artist:0Z4CzYz9ieK8q9XiVMPkW5","The Bar-Kays","spotify:album:3v87zfTdhcYRHl8OoSAsmd","Best Of/20th Eco","spotify:artist:0Z4CzYz9ieK8q9XiVMPkW5","The Bar-Kays","2005-01-01","https://i.scdn.co/image/ab67616d0000b273195991d5fb6ffd4209ead531","1","1","394920","https://p.scdn.co/mp3-preview/ce606c8dd0a5c6ed6e91bb41ff560bffae50f2c7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","spotify:user:","2012-05-31T03:06:55Z"
