"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:1ShdIbO5nFB8Zayx7TwLBm","A Promise in Bare Branches","spotify:artist:0Kz6bktSVlnJInkwVk4PYI","Finnr's Cane","spotify:album:5F2lipvDVJImA4sq5qJadf","A Portrait Painted By the Sun","spotify:artist:0Kz6bktSVlnJInkwVk4PYI","Finnr's Cane","2013-11-01","https://i.scdn.co/image/ab67616d0000b273e9d11d926a87106f5065ac09","1","3","333773","","false","0","spotify:user:1160454047","2013-11-27T16:42:27Z"
"spotify:track:0F8R0ZWOmj3MJXe3jAOzbW","This Old Oak","spotify:artist:0Kz6bktSVlnJInkwVk4PYI","Finnr's Cane","spotify:album:5F2lipvDVJImA4sq5qJadf","A Portrait Painted By the Sun","spotify:artist:0Kz6bktSVlnJInkwVk4PYI","Finnr's Cane","2013-11-01","https://i.scdn.co/image/ab67616d0000b273e9d11d926a87106f5065ac09","1","1","340826","","false","0","spotify:user:1160454047","2013-11-27T16:53:31Z"
"spotify:track:7JmlyjjIDriadcvfF6dyoT","Path of the Doomed","spotify:artist:3eX7QMrVIouWVnZjWkMq8u","Emyn Muil","spotify:album:26eonVVDz09977MvcFI7uJ","Túrin Turambar Dagnir Glaurunga","spotify:artist:3eX7QMrVIouWVnZjWkMq8u","Emyn Muil","2013-01-15","https://i.scdn.co/image/ab67616d0000b273f08bb92a4eac74668d67c52d","1","7","360000","","false","0","spotify:user:1160454047","2013-11-27T21:15:07Z"
"spotify:track:3oz6nWqJ344RD5XgBJ4x81","La Tristesse Durera Toujours","spotify:artist:5LnoG67OnPTcdfGXXu5et5","Wintercult","spotify:album:0AcqkZQhkwrYH3xkZpkJm2","The Last Winter","spotify:artist:5LnoG67OnPTcdfGXXu5et5","Wintercult","2013-11-20","https://i.scdn.co/image/ab67616d0000b273f3766d96c9113da668634654","1","4","430800","https://p.scdn.co/mp3-preview/a3373863b62eebef1bba59585f02ab3d34b47428?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","spotify:user:1160454047","2013-11-27T21:43:45Z"
"spotify:track:3BzZSl8sUVRCwo58ibBPax","Túrin Son of Húrin","spotify:artist:3eX7QMrVIouWVnZjWkMq8u","Emyn Muil","spotify:album:26eonVVDz09977MvcFI7uJ","Túrin Turambar Dagnir Glaurunga","spotify:artist:3eX7QMrVIouWVnZjWkMq8u","Emyn Muil","2013-01-15","https://i.scdn.co/image/ab67616d0000b273f08bb92a4eac74668d67c52d","1","1","373003","","false","0","spotify:user:1160454047","2013-11-27T21:53:30Z"
"spotify:track:5JrjhzdRzPQZLP2VqWlh7f","Solitude","spotify:artist:3SzTaaNgwUukUhQZVKMKFK","Woods of Desolation","spotify:album:1SK4YN8NGlBZ8k1g6QgZYQ","The Darkest Days","spotify:artist:3SzTaaNgwUukUhQZVKMKFK","Woods of Desolation","2011-12-19","https://i.scdn.co/image/ab67616d0000b273242e1cbd20e664635dc12ee5","1","9","127773","","false","0","spotify:user:1160454047","2013-11-27T22:14:06Z"
"spotify:track:0QBkIiV6L4g8qHf3takiCX","Suicide","spotify:artist:3SzTaaNgwUukUhQZVKMKFK","Woods of Desolation","spotify:album:1SK4YN8NGlBZ8k1g6QgZYQ","The Darkest Days","spotify:artist:3SzTaaNgwUukUhQZVKMKFK","Woods of Desolation","2011-12-19","https://i.scdn.co/image/ab67616d0000b273242e1cbd20e664635dc12ee5","2","6","154120","","false","0","spotify:user:1160454047","2013-11-27T22:15:23Z"
"spotify:track:3h3ZqKJy1LjxH5J5RZXr8x","Shadows","spotify:artist:3SzTaaNgwUukUhQZVKMKFK","Woods of Desolation","spotify:album:1SK4YN8NGlBZ8k1g6QgZYQ","The Darkest Days","spotify:artist:3SzTaaNgwUukUhQZVKMKFK","Woods of Desolation","2011-12-19","https://i.scdn.co/image/ab67616d0000b273242e1cbd20e664635dc12ee5","2","9","209680","","false","0","spotify:user:1160454047","2013-11-27T22:15:42Z"
"spotify:track:0zAtald8gG1DRM1iIPbqrk","Deca Dance","spotify:artist:0ySTqxzTMONJoEvj8MkULW","Tobc","spotify:album:22Jaj5waAeoMQRbtq9noMZ","What It's Like to Be Undead","spotify:artist:0ySTqxzTMONJoEvj8MkULW","Tobc","2013-10-08","https://i.scdn.co/image/ab67616d0000b2735351cc8c0cc7dc827065d259","1","2","402071","","true","0","spotify:user:1160454047","2013-11-27T22:16:49Z"
"spotify:track:4sdNPGWTxskX39e7n10h2b","Between Bronze Walls","spotify:artist:1RtWv2DQzIGsnjHPXBRaR5","The Ruins Of Beverast","spotify:album:39L2DqUZ3hIQeajGytAtUp","Unlock the Shrine","spotify:artist:1RtWv2DQzIGsnjHPXBRaR5","The Ruins Of Beverast","2009-09-11","https://i.scdn.co/image/ab67616d0000b27345f25a3a0b0bac6569771f40","1","1","520120","","false","0","spotify:user:1160454047","2013-12-30T19:34:15Z"
