"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:2dYYziGqbCMgX1Y4yYWDUp","Voces Ab Alta","spotify:artist:0dR10i73opHXuRuLbgxltM","Mayhem","spotify:album:1DdYqnJfJaXcpJq9TUW9Xj","Voces Ab Alta","spotify:artist:0dR10i73opHXuRuLbgxltM","Mayhem","2021-06-03","https://i.scdn.co/image/ab67616d0000b273e41f6e843f3b487a4538508a","1","1","339960","https://p.scdn.co/mp3-preview/8afd746e78bb4bc48734efc6913c7d4ef26dd8dd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","spotify:user:","2021-06-04T00:01:00Z"
"spotify:track:3qNfUvjpihokYctGG38IEq","The Division of a Spiral Synergy","spotify:artist:1iydHn2q6TisTwNxU0yc2K","Path of Destiny","spotify:album:6V5WkHCRKdszNMupzgpfG6","The Division of a Spiral Synergy","spotify:artist:1iydHn2q6TisTwNxU0yc2K","Path of Destiny","2021-05-21","https://i.scdn.co/image/ab67616d0000b273f935d8f662fa594ad6932b8f","1","1","358266","https://p.scdn.co/mp3-preview/98963f204de70670feab4569da4c3311c8aad576?cid=9950ac751e34487dbbe027c4fd7f8e99","true","26","spotify:user:","2021-06-04T00:01:00Z"
"spotify:track:5hrrBghLCsompqj5aRNUDV","Hate Cloak","spotify:artist:7kWnE981vITXDnAD2cZmCV","Darkthrone","spotify:album:6ZlDMHRjvlBmZZqyxfDA0g","Hate Cloak","spotify:artist:7kWnE981vITXDnAD2cZmCV","Darkthrone","2021-06-04","https://i.scdn.co/image/ab67616d0000b273fd5ae87ba3913180b620db2c","1","1","556906","https://p.scdn.co/mp3-preview/8ca88a71ed41ed5587f3f534f3e9a6cd2f02ff50?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","spotify:user:","2021-06-04T00:01:00Z"
"spotify:track:5AOuRML7EBnmIeDg7iGZFh","Eclipse","spotify:artist:2IOwkQMglFyNgyhjnG2Bpl","Progeny of Sun","spotify:album:3UrORLijcFZH0V1tF3JX8w","Dark Wanderer","spotify:artist:2IOwkQMglFyNgyhjnG2Bpl","Progeny of Sun","2021-05-28","https://i.scdn.co/image/ab67616d0000b273dbf2bba1cebc25cc601fb83c","1","1","276086","https://p.scdn.co/mp3-preview/95d5cd99ab64907dc242816d17032f2ec9c042e6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","spotify:user:","2021-06-04T00:01:00Z"
"spotify:track:5Xi4ejOckVOCeJjOhALyuV","The Loss","spotify:artist:27vaCCevKMJ2eS6UBxzqJQ","Shadecrown","spotify:album:6gYjijjF8RBdGh6vXAyege","The Loss","spotify:artist:27vaCCevKMJ2eS6UBxzqJQ","Shadecrown","2021-05-13","https://i.scdn.co/image/ab67616d0000b2733e9e3c7f915450bcb48b555d","1","1","351505","https://p.scdn.co/mp3-preview/358c93ffffed87ef8a90317a60417db1448f8f1c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","spotify:user:","2021-06-04T00:01:00Z"
"spotify:track:2ucxjxZ83ePV0P9EkvLITT","Sulphur Cvlt","spotify:artist:4FFseinIReANTJHY36gSwI","Drown in Sulphur","spotify:album:7cZ7YPFYLEJbi8E5h5WBmr","Sulphur Cvlt","spotify:artist:4FFseinIReANTJHY36gSwI","Drown in Sulphur","2021-05-14","https://i.scdn.co/image/ab67616d0000b2737772ae39b8aa3093c26a37ac","1","1","280780","https://p.scdn.co/mp3-preview/c0465a6dfc11ec79aac5f5919804189b75abb009?cid=9950ac751e34487dbbe027c4fd7f8e99","true","35","spotify:user:","2021-06-04T00:01:00Z"
"spotify:track:1Xe1HLO2NJBHz0CMBXFrO4","The Infernal Depths of Eternity","spotify:artist:3RUZtC4rkONY3kprM10ZTa","Necrophobic","spotify:album:0fQJatFhJEoRsZZXKaUKQY","The Infernal Depths of Eternity","spotify:artist:3RUZtC4rkONY3kprM10ZTa","Necrophobic","2020-08-28","https://i.scdn.co/image/ab67616d0000b27327d0a0607da301608fd28df4","1","1","453733","https://p.scdn.co/mp3-preview/e1f17c1fad0def358b8b1c43498656e2d43e7a88?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","spotify:user:","2021-06-04T00:01:00Z"
"spotify:track:0JNfAJIPaym6FdzkB8yCPb","For They Know Not What They Do","spotify:artist:28eLrVsohdXynlnIzQ2VvI","Lord Of The Lost","spotify:album:6BtM3Cd0sdyMqBPwvr0k8W","For They Know Not What They Do","spotify:artist:28eLrVsohdXynlnIzQ2VvI","Lord Of The Lost","2021-06-02","https://i.scdn.co/image/ab67616d0000b2732edb8c4af0cc3af6f8ee8623","1","1","262651","https://p.scdn.co/mp3-preview/98d43cf11dbed6e366605f0738fbd5c5afcbd565?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","spotify:user:","2021-06-04T00:01:00Z"
"spotify:track:4XIoIe98foHYp2Adq6UdCe","Giants of Anger","spotify:artist:4W0Vom1cl6o3UCq8tTfRHV","Nightfall","spotify:album:2dU2ZQB16dvStjHLoMKZlw","Giants of Anger","spotify:artist:4W0Vom1cl6o3UCq8tTfRHV","Nightfall","2021-02-09","https://i.scdn.co/image/ab67616d0000b273ba99628aa4dc5b41faa86750","1","1","284534","https://p.scdn.co/mp3-preview/e6f8ce49eac31f2f0476b64f545b7aa86729371b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","spotify:user:","2021-06-04T00:01:00Z"
"spotify:track:1JjpkiYcrXMpxIillo0qTa","Nowhere Haven","spotify:artist:1Uq2a1JUnYXWUzrUGKyZwN","Hanging Garden","spotify:album:095m87bxK0cgoRYsGm5e06","Skeleton Lake","spotify:artist:1Uq2a1JUnYXWUzrUGKyZwN","Hanging Garden","2021-05-21","https://i.scdn.co/image/ab67616d0000b2738c8037f5ae2d3e337103d85a","1","3","271650","https://p.scdn.co/mp3-preview/3a284a11318cb94200ddabd8d8f1243ff9cca7a3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","spotify:user:","2021-06-04T00:01:00Z"
