"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:2dYYziGqbCMgX1Y4yYWDUp","Voces Ab Alta","spotify:artist:0dR10i73opHXuRuLbgxltM","Mayhem","spotify:album:1DdYqnJfJaXcpJq9TUW9Xj","Voces Ab Alta","spotify:artist:0dR10i73opHXuRuLbgxltM","Mayhem","2021-06-03","https://i.scdn.co/image/ab67616d0000b273e41f6e843f3b487a4538508a","1","1","339960","https://p.scdn.co/mp3-preview/8afd746e78bb4bc48734efc6913c7d4ef26dd8dd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","spotify:user:soundrop","2021-06-04T09:11:20Z"
"spotify:track:2LdmdtBCK0t9cXtskiWt3C","Brotne Bein og Mannefall","spotify:artist:2CofVEvqc6hhyKwYsLiuN9","Taake","spotify:album:6BZLS85QfSOj0DG1DRF9Kw","Henholdsvis","spotify:artist:2CofVEvqc6hhyKwYsLiuN9","Taake","2021-03-19","https://i.scdn.co/image/ab67616d0000b2739fd5d4b80f4b63a3a457e344","1","1","256213","https://p.scdn.co/mp3-preview/28817308ec3eda5defd3182b5badc9f709c7c739?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","spotify:user:soundrop","2021-04-16T11:37:02Z"
"spotify:track:0xKO76rHVYlmIgpTtfBDLa","Run","spotify:artist:6yCjbLFZ9qAnWfsy9ujm5Y","Zeal & Ardor","spotify:album:6bBxm5wRqw3drqyT1yB8nC","Run","spotify:artist:6yCjbLFZ9qAnWfsy9ujm5Y","Zeal & Ardor","2021-05-25","https://i.scdn.co/image/ab67616d0000b273f9d52e8e3b2067d7c1f618e6","1","1","196986","https://p.scdn.co/mp3-preview/17c1270b1512e851e5d70a6f83ee2f88db89a6a5?cid=9950ac751e34487dbbe027c4fd7f8e99","true","47","spotify:user:soundrop","2021-06-04T09:11:20Z"
"spotify:track:2dzEaeJOHPfhbjaync49fn","Us Against December Skies","spotify:artist:58KBq6qkQnfWYRqCjffQQq","Harakiri for the Sky","spotify:album:4c32wkJFuLUKHueu8YlldK","Mære","spotify:artist:58KBq6qkQnfWYRqCjffQQq","Harakiri for the Sky","2021-02-19","https://i.scdn.co/image/ab67616d0000b273b174c31de6b8bb50a3232cd2","1","3","501092","https://p.scdn.co/mp3-preview/8dfa7720febfebfa3cec1b7e33b93cdbe83d9518?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","spotify:user:soundrop","2021-02-19T09:53:24Z"
"spotify:track:5hrrBghLCsompqj5aRNUDV","Hate Cloak","spotify:artist:7kWnE981vITXDnAD2cZmCV","Darkthrone","spotify:album:6ZlDMHRjvlBmZZqyxfDA0g","Hate Cloak","spotify:artist:7kWnE981vITXDnAD2cZmCV","Darkthrone","2021-06-04","https://i.scdn.co/image/ab67616d0000b273fd5ae87ba3913180b620db2c","1","1","556906","https://p.scdn.co/mp3-preview/8ca88a71ed41ed5587f3f534f3e9a6cd2f02ff50?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","spotify:user:soundrop","2021-06-04T09:11:20Z"
"spotify:track:7Dpp5hJOercRsabn94H2eq","Frigid and Spellbound","spotify:artist:3i6zP2x9GMBV3WyRzqQtM6","Spectral Wound","spotify:album:1vvTsj2PVHQlYCj9q7YO61","Frigid and Spellbound","spotify:artist:3i6zP2x9GMBV3WyRzqQtM6","Spectral Wound","2021-02-15","https://i.scdn.co/image/ab67616d0000b273e05d766bd52450e008e89c5f","1","1","422330","https://p.scdn.co/mp3-preview/541b64ae4820afbc0639fcc316c4e84a9eea66bf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","spotify:user:soundrop","2021-04-16T11:34:55Z"
"spotify:track:5ZaCbHxf11MKV98cFB1PYW","Malediction","spotify:artist:4ATfhxepoPvjUTF0tPAOWL","Serpents Oath","spotify:album:1g7Kb3eaNRGbf95SkOS7tt","Nihil","spotify:artist:4ATfhxepoPvjUTF0tPAOWL","Serpents Oath","2020-12-04","https://i.scdn.co/image/ab67616d0000b27371e63573ea387871e81fcaaf","1","5","286850","https://p.scdn.co/mp3-preview/26a23fd796980fc0bd203ea27513cef31f81811b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","spotify:user:soundrop","2021-02-19T09:53:24Z"
"spotify:track:2ucxjxZ83ePV0P9EkvLITT","Sulphur Cvlt","spotify:artist:4FFseinIReANTJHY36gSwI","Drown in Sulphur","spotify:album:7cZ7YPFYLEJbi8E5h5WBmr","Sulphur Cvlt","spotify:artist:4FFseinIReANTJHY36gSwI","Drown in Sulphur","2021-05-14","https://i.scdn.co/image/ab67616d0000b2737772ae39b8aa3093c26a37ac","1","1","280780","https://p.scdn.co/mp3-preview/c0465a6dfc11ec79aac5f5919804189b75abb009?cid=9950ac751e34487dbbe027c4fd7f8e99","true","35","spotify:user:soundrop","2021-06-04T09:11:20Z"
"spotify:track:3BNourqkaWoTaHoxS2LFfO","Endarkenment","spotify:artist:7vrrJ5YlL3I8XUrh1ktGJV","Anaal Nathrakh","spotify:album:5xReWyf922gGJUHZMale2w","Endarkenment","spotify:artist:7vrrJ5YlL3I8XUrh1ktGJV","Anaal Nathrakh","2020-08-04","https://i.scdn.co/image/ab67616d0000b2735e7d025a3cff8c279c8c1191","1","1","235493","https://p.scdn.co/mp3-preview/fa076d486c48df480b94fc4107be3f43570e6493?cid=9950ac751e34487dbbe027c4fd7f8e99","true","36","spotify:user:soundrop","2020-12-22T13:20:21Z"
"spotify:track:3LQCT7cV1qIYv7d7zp8xe8","Wild North West","spotify:artist:2KvwC4Kmp2U8XnKr5Yr1hm","Vreid","spotify:album:66PQOGrGYKm8tZ7a9AIg3o","Wild North West","spotify:artist:2KvwC4Kmp2U8XnKr5Yr1hm","Vreid","2021-02-18","https://i.scdn.co/image/ab67616d0000b2731f2ecfbe8fd97ae4874abd95","1","1","323319","https://p.scdn.co/mp3-preview/8fe1b7d2f8dac3b4bb0ad6a0ba63f1e4db2a910e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","spotify:user:soundrop","2021-04-16T11:35:17Z"
