"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:3Yagxg6rtkwN01AYzA862i","Loom (feat. Bonobo)","spotify:artist:7E3BRXV9ZbCt5lQTCXMTia, spotify:artist:0cmWgDlu9CwTgxPhf403hb","Ólafur Arnalds, Bonobo","spotify:album:2kfPunUS5HqupNVAueFmgM","Loom","spotify:artist:7E3BRXV9ZbCt5lQTCXMTia","Ólafur Arnalds","2020-10-15","https://i.scdn.co/image/ab67616d0000b2735f4cf8be08b81259d57ea024","1","1","226866","https://p.scdn.co/mp3-preview/faee2fb807f45678f06429d330efb653c0a9b6ee?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","spotify:user:","2021-05-07T21:06:33Z"
"spotify:track:6cpOIIgk3nZ30imud87dGK","The Visitor","spotify:artist:1RxjZjOSbva0JR7T2LsRve","Mad Zach","spotify:album:6DRui3Vpj3UrFYAdwwxpma","The Visitor","spotify:artist:1RxjZjOSbva0JR7T2LsRve","Mad Zach","2018-01-26","https://i.scdn.co/image/ab67616d0000b273307eb08a3c0b28fbed60e497","1","1","321882","","false","0","spotify:user:","2021-05-07T21:06:33Z"
"spotify:track:3rI6J22xq3t8RDpxIOBo1C","Parallel 6","spotify:artist:7Eu1txygG6nJttLHbZdQOh","Four Tet","spotify:album:1xrXrgQDQzTlGrDYhX8ikT","Parallel","spotify:artist:7Eu1txygG6nJttLHbZdQOh","Four Tet","2020-12-25","https://i.scdn.co/image/ab67616d0000b2738ca7b1e049ed737df8e29d5d","1","6","306970","https://p.scdn.co/mp3-preview/bf7d9f3251156cd3c2590c9a51ec66865cec0c5a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","spotify:user:","2021-05-07T21:06:33Z"
"spotify:track:2Q1D9JJwhcrsYzYyRpc0xM","Bergschrund (feat. Nils Frahm)","spotify:artist:5CE2IfdYZEQGIDsfiRm8SI, spotify:artist:5gqhueRUZEa7VDnQt4HODp","DJ Shadow, Nils Frahm","spotify:album:2OW3iDsmS98lTqgta5Zv0O","The Mountain Will Fall","spotify:artist:5CE2IfdYZEQGIDsfiRm8SI","DJ Shadow","2016-06-24","https://i.scdn.co/image/ab67616d0000b2730578a29ab483d35a604fe0c7","1","4","250542","","false","0","spotify:user:","2021-05-07T21:06:33Z"
"spotify:track:69uPNh3b6VKdMZMbIKYQ1l","By Your Side","spotify:artist:7wXTWO45lqpUejDkike0Gf","Sofia Kourtesis","spotify:album:4iv1fsRtMDanS6VB6RW0Hg","By Your Side","spotify:artist:7wXTWO45lqpUejDkike0Gf","Sofia Kourtesis","2021-02-23","https://i.scdn.co/image/ab67616d0000b2732da6dfac67893cd41fdccde3","1","1","367362","https://p.scdn.co/mp3-preview/a3836e379625b617aa619dbf77c4d5664b858b57?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","spotify:user:","2021-05-07T21:06:33Z"
"spotify:track:7dy1n3TtiCfmCYG1EeAXGZ","Shimmer","spotify:artist:5qKCgbxBDmDc9Ckgmt4EaN","Sinjin Hawke","spotify:album:19FFct3GihJy9CKw9BeVFN","First Opus","spotify:artist:5qKCgbxBDmDc9Ckgmt4EaN","Sinjin Hawke","2017-05-10","https://i.scdn.co/image/ab67616d0000b27315dda713eef13cfbcd06f648","1","4","122352","https://p.scdn.co/mp3-preview/9561505677ddd99221c9959e190bad2e17726fb2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","spotify:user:","2021-05-07T21:06:33Z"
"spotify:track:4F7AJSzHZFqqWOsPX3lvDq","Movement 6","spotify:artist:2AR42Ur9PcchQDtEdwkv4L, spotify:artist:3JLUCojZaHrX2LaUkSj7Ud, spotify:artist:5yxyJsFanEAuwSM5kOuZKc","Floating Points, Pharoah Sanders, London Symphony Orchestra","spotify:album:1LqgEMQNmL2yvjsGpihGee","Promises","spotify:artist:2AR42Ur9PcchQDtEdwkv4L, spotify:artist:3JLUCojZaHrX2LaUkSj7Ud, spotify:artist:5yxyJsFanEAuwSM5kOuZKc","Floating Points, Pharoah Sanders, London Symphony Orchestra","2021-03-26","https://i.scdn.co/image/ab67616d0000b2730850afdfe50c28c17d51505f","1","6","530894","","false","52","spotify:user:","2021-05-07T21:06:33Z"
"spotify:track:2uzrqj79NJ5QgSUzVo7ML6","Mainframe","spotify:artist:3ib3ECT421EXd8CNLfNqAL","Pye Corner Audio","spotify:album:1YJJ1JmtHPiMt2QyLj99X5","Where Things Are Hollow","spotify:artist:3ib3ECT421EXd8CNLfNqAL","Pye Corner Audio","2017-12-15","https://i.scdn.co/image/ab67616d0000b27308968e7a747fe452acb1a867","1","2","267467","","false","0","spotify:user:","2021-05-07T21:06:33Z"
"spotify:track:2hlqCFahLVgdBIbY3yTrAb","Rose's Thorn","spotify:artist:3VwKSHAfgzV1DOHV0aANCI","TOKiMONSTA","spotify:album:1L879cRp3hbkvCaMRQ7d1l","Lune Rouge","spotify:artist:3VwKSHAfgzV1DOHV0aANCI","TOKiMONSTA","2017-10-06","https://i.scdn.co/image/ab67616d0000b27341f57ede5160ed01ee672520","1","9","264733","","false","1","spotify:user:","2021-05-07T21:06:33Z"
"spotify:track:0HZtVLVL6oLU9WobKQxqGu","Lido","spotify:artist:73A3bLnfnz5BoQjb4gNCga","Bicep","spotify:album:0EdtTRCl3J22AnWrNpH1w9","Isles","spotify:artist:73A3bLnfnz5BoQjb4gNCga","Bicep","2021-01-22","https://i.scdn.co/image/ab67616d0000b2737002b491db4917f96f10283a","1","5","200240","https://p.scdn.co/mp3-preview/80573f407571c7bda4f70893b012189440fbb56b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","spotify:user:","2021-05-07T21:06:33Z"
