"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:5QvEdyS0Hm0sq5MXmc9MyX","Jumper","spotify:artist:533SiFYMW2jGoKzsSucsac","Christian Mascetta Trio","spotify:album:1YqtUEHPC0jSYYMIE1shMt","Entropia","spotify:artist:533SiFYMW2jGoKzsSucsac","Christian Mascetta Trio","2021-05-24","https://i.scdn.co/image/ab67616d0000b2731dcb30f39c6f233f128ef68a","1","4","462000","https://p.scdn.co/mp3-preview/d2db543517b1899e6fe9c65bdd0efa831998a8a7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","7","spotify:user:1231409117","2021-05-31T13:18:09Z"
"spotify:track:273t1U1KLZVSmVPjh7J1dE","Couscous - Benny Greb's Moving Parts plays Grebfruit 2","spotify:artist:5hjhUiwzXZliQMmqqkYT81","Benny Greb","spotify:album:1Tt02JehPfd4Y8rcQtO4f5","Couscous (Benny Greb's Moving Parts plays Grebfruit 2)","spotify:artist:5hjhUiwzXZliQMmqqkYT81","Benny Greb","2019-11-15","https://i.scdn.co/image/ab67616d0000b273ce714058e7f17f35f91b08ce","1","1","202949","","false","0","spotify:user:1231409117","2019-11-24T00:34:43Z"
"spotify:track:2aIIn8fSLZFROyfS4pI1xY","Neon","spotify:artist:0IF3ewdvS7h9Wu3gDgV3fi, spotify:artist:7LfmDo1uYLxri0KPFZeVMH","Anika Nilles, Nevell","spotify:album:0eNTfT8lHzQGWf52FeQOD5","For a Colorful Soul","spotify:artist:0IF3ewdvS7h9Wu3gDgV3fi","Anika Nilles","2020-01-10","https://i.scdn.co/image/ab67616d0000b2739c791dd5ace4aa32298f44f4","1","1","259000","https://p.scdn.co/mp3-preview/b92f71cc3c763f9b9d9d34b8283a58561f5d5a11?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","spotify:user:1231409117","2020-02-08T04:36:30Z"
"spotify:track:6KGJ6GMrHXRNfrMZv5W3wP","Friday Night At the Cadillac Club","spotify:artist:3S9Mmj1QDC1NOWShMwv81S","Earl MacDonald","spotify:album:0XkVJDe9mIKwIWiJXlIyoz","re:Visions","spotify:artist:3S9Mmj1QDC1NOWShMwv81S","Earl MacDonald","2010-03-23","https://i.scdn.co/image/ab67616d0000b273769361f8f449e7f736becff3","1","1","234480","https://p.scdn.co/mp3-preview/e5d3cb5d92092edbd294381823d629c2fa3e0a62?cid=9950ac751e34487dbbe027c4fd7f8e99","false","4","spotify:user:1231409117","2021-02-20T15:09:10Z"
"spotify:track:1wSlsxexFwzTIeH4KSWRtQ","Kick Start","spotify:artist:7rzEaD3KzguqtrVdhNyqHP","Gabriel Severn","spotify:album:3E9ChCyLuzJhThq8aV46cl","Kick Start","spotify:artist:7rzEaD3KzguqtrVdhNyqHP","Gabriel Severn","2019-02-01","https://i.scdn.co/image/ab67616d0000b273bc06d149dc3633be97b111b3","1","1","294035","https://p.scdn.co/mp3-preview/716eeb4b6bb39d1dab3669882290e026edbfde26?cid=9950ac751e34487dbbe027c4fd7f8e99","false","6","spotify:user:1231409117","2020-02-06T17:53:58Z"
"spotify:track:2yHralZoFyHFpOrjv6lXqi","Freedom Mind","spotify:artist:6DEAKzKAzHp5w1cGgyUdMo, spotify:artist:66d6zyM2sXbxpVa6BVMLKq, spotify:artist:0Tp41jWZLA3AOWBOFJICcV, spotify:artist:3zThtCGa4ELeOPcq7dg5P7, spotify:artist:1SJ6N48DJsQLXvz8UbpVtK","Anna Rakita, Anton Davidyants, Evgeny Pobozhiy, Ignat Kravtsov, Veronika Stalder","spotify:album:5dF35v2IHLfYvu2N32kkDs","Freedom Mind","spotify:artist:6DEAKzKAzHp5w1cGgyUdMo","Anna Rakita","2019-11-14","https://i.scdn.co/image/ab67616d0000b273012d4b358544c3ff7537dde6","1","1","275110","https://p.scdn.co/mp3-preview/a3307b6aeefeb3724a24670ff0bae1aaeb72c20b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","4","spotify:user:1231409117","2019-11-24T01:19:08Z"
"spotify:track:0j8yFCbfXaYY9qocQmDY9F","Dual","spotify:artist:1tGziQjuT2gjBcfSpm3joM","Dual Project","spotify:album:4RoeL7kg07C3s6v8qJoxxh","Microcosmos","spotify:artist:1tGziQjuT2gjBcfSpm3joM","Dual Project","2019-09-06","https://i.scdn.co/image/ab67616d0000b273c192e84b3feb0d82135c760a","1","3","330944","https://p.scdn.co/mp3-preview/28aec9f9f71c03837024a9a0c46b757412dedd26?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","spotify:user:1231409117","2019-11-23T00:27:34Z"
"spotify:track:59wa09qJcXxXoFDbqAoIFu","Alabama Sock Party","spotify:artist:3bbmbyiX3lqrAjlwFgZE16","Marbin","spotify:album:0CJ86dlqZa0u5gi7SNO503","Alabama Sock Party","spotify:artist:3bbmbyiX3lqrAjlwFgZE16","Marbin","2019-12-01","https://i.scdn.co/image/ab67616d0000b2739d7dbc14156ae54b7cf7a5b9","1","1","309626","https://p.scdn.co/mp3-preview/2e6ef4de41158204b112559fb3af310eda8df60a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","6","spotify:user:1231409117","2020-01-14T01:48:59Z"
"spotify:track:2RtofA2dzREejVWwACXqvt","Morning Star","spotify:artist:1a727xBDJilvH2RUjU6hwd","Animal Society","spotify:album:7ysrGWtEz7mL0WNBKMFxCu","Rise","spotify:artist:1a727xBDJilvH2RUjU6hwd","Animal Society","2019-04-03","https://i.scdn.co/image/ab67616d0000b273f49679c27bd48d527f85f29f","1","4","617279","https://p.scdn.co/mp3-preview/c861c075c87133fbb9df7ed0e5b5f191083a61ee?cid=9950ac751e34487dbbe027c4fd7f8e99","false","7","spotify:user:1231409117","2019-05-16T23:46:12Z"
"spotify:track:2hMn8Bd7Kj39sHb13ZhEJA","Sobrecarga","spotify:artist:1tGziQjuT2gjBcfSpm3joM","Dual Project","spotify:album:4RoeL7kg07C3s6v8qJoxxh","Microcosmos","spotify:artist:1tGziQjuT2gjBcfSpm3joM","Dual Project","2019-09-06","https://i.scdn.co/image/ab67616d0000b273c192e84b3feb0d82135c760a","1","6","362454","https://p.scdn.co/mp3-preview/103076a9f32343d7dc7e885d6bb70e44746962d5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","6","spotify:user:1231409117","2019-11-23T00:31:13Z"
