"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:0MwV1oIaSV0N2u9A57JyFZ","LEAVING THE EARTH","spotify:artist:1988oY72AEWyAxt36iUfKE","JORI SJÖROOS","spotify:album:3vYVqV6kqtBu5QVTjFTwKv","LEAVING THE EARTH","spotify:artist:1988oY72AEWyAxt36iUfKE","JORI SJÖROOS","2020-10-23","https://i.scdn.co/image/ab67616d0000b273abc52013e7c8da4b0a093eba","1","1","180853","https://p.scdn.co/mp3-preview/55d0e389ea1d71c1f98f8155eb8cb35a31fbaf2f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","spotify:user:ephedra89","2020-11-14T16:55:28Z"
"spotify:track:7pe0UAfBCHciUoNKS8TzPx","Luna","spotify:artist:22my4hx9iy9VRvuFSLB08d","Stur und Dumm","spotify:album:11H2bg47PHwyMqHbzayRMq","Luna","spotify:artist:22my4hx9iy9VRvuFSLB08d","Stur und Dumm","2021-02-20","https://i.scdn.co/image/ab67616d0000b2730a9b50cbcff055f9884e21f7","1","1","323901","https://p.scdn.co/mp3-preview/e156d27cbc5891b415aea4e05d90e4d0361b525f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","spotify:user:ephedra89","2021-02-20T08:54:32Z"
"spotify:track:6o4P0xfYQwtI66ziYcWrvt","Fleurs Du Mal - Fragrance Remix","spotify:artist:1Z9yEd5LQuVoGvZOaagTGI, spotify:artist:4APg0sb0hq18e3wr2pkEsV","Julia Bondar, Fragrance","spotify:album:2QLLOWswuchhyJ9HRl55ku","Fleurs Du Mal (Fragrance Remix)","spotify:artist:1Z9yEd5LQuVoGvZOaagTGI, spotify:artist:4APg0sb0hq18e3wr2pkEsV","Julia Bondar, Fragrance","2020-10-20","https://i.scdn.co/image/ab67616d0000b273dac6d2d52bfbb4051e9bdd18","1","1","185704","https://p.scdn.co/mp3-preview/39c7ae062f163be84594eac559096c4a069edbbc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","spotify:user:ephedra89","2021-01-27T15:10:08Z"
"spotify:track:7KfaoxE8FVC7cyeaP5u9lT","Himba","spotify:artist:7LIgwpvBu7WubuNLdKLucW","Glisz","spotify:album:1fT64sDDcfdU2pKYsJ8Qs1","Himba","spotify:artist:7LIgwpvBu7WubuNLdKLucW","Glisz","2021-01-20","https://i.scdn.co/image/ab67616d0000b273ad46c27f8efe899d5fa10f4a","1","1","178180","https://p.scdn.co/mp3-preview/706029086af823f600a5727015a57a0fffd7c293?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","spotify:user:ephedra89","2021-04-18T16:18:38Z"
"spotify:track:10Ng4NWeokDxuP6qTYKrpt","ÆTher","spotify:artist:57ZZR7YVR4IJPxEBUL6B8T","bow church","spotify:album:24s2XYuhIrkWrw4q110Jya","Token","spotify:artist:57ZZR7YVR4IJPxEBUL6B8T","bow church","2015-02-26","https://i.scdn.co/image/ab67616d0000b27392cd8a61c1b9a013ba1ed2c4","1","7","229500","https://p.scdn.co/mp3-preview/b32b3434a74a78568457bc92ce8279c461d16e77?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","spotify:user:ephedra89","2020-11-20T16:12:30Z"
"spotify:track:43QkYH4y2lNu3VFglc5ZeK","Voyage","spotify:artist:4mHq5eZxisK3VK6gLK5RBQ","Tet","spotify:album:2p99FFHKHJozBnrARD7knD","Voyage","spotify:artist:4mHq5eZxisK3VK6gLK5RBQ","Tet","2020-02-21","https://i.scdn.co/image/ab67616d0000b2731308e08981199f27156c493b","1","1","295750","https://p.scdn.co/mp3-preview/79070feeeb9cbf1bd1a95f6fdd7c280dba63531b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","spotify:user:ephedra89","2020-03-18T17:05:36Z"
"spotify:track:731wnLuIxBdoqArAo7ls5U","Astrid","spotify:artist:4BoYO8cPeKT28GGAYjDW3g, spotify:artist:5JZgp0VC1pINQXHLU3tuEW","The Encounter, Street Cleaner","spotify:album:4jX9Ji3MKgNgSi3jcO42v4","Bad Blood","spotify:artist:4BoYO8cPeKT28GGAYjDW3g","The Encounter","2018-08-14","https://i.scdn.co/image/ab67616d0000b2738bc184518ff4e5ade960362a","1","5","296744","https://p.scdn.co/mp3-preview/25bd39e970d5f2ac67bec4bc913a94e1c4f56f62?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","spotify:user:ephedra89","2020-03-23T10:01:35Z"
"spotify:track:4q3OgYOOdQ4Kad3Hj7IwsR","Exile","spotify:artist:22my4hx9iy9VRvuFSLB08d","Stur und Dumm","spotify:album:6f58FwWB5OonKwyXpEfUEt","Exile","spotify:artist:22my4hx9iy9VRvuFSLB08d","Stur und Dumm","2019-08-23","https://i.scdn.co/image/ab67616d0000b273fb3e866f2cd2b0b7025a4bde","1","1","296597","https://p.scdn.co/mp3-preview/1a0b41f63de692fbaecc51920b25d8f739536398?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","spotify:user:ephedra89","2020-07-28T20:15:56Z"
"spotify:track:1Aua8q2mEAX1zuUQj2re3y","HURTZ","spotify:artist:5bC2AQ49NEL0cWpev4dgnw","Owl Vision","spotify:album:4UwWidoSK2mLwUaa7qDpC0","HURTZ","spotify:artist:5bC2AQ49NEL0cWpev4dgnw","Owl Vision","2019-04-28","https://i.scdn.co/image/ab67616d0000b2734eb3b1fccedfcd096c7315f8","1","2","210841","https://p.scdn.co/mp3-preview/fa76590bcef21decdb6ef0dc377b6fb4bf256577?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","spotify:user:ephedra89","2019-09-27T09:43:58Z"
"spotify:track:0iYhvJrgiNZpnRAvl6JO3u","Aerokinesis","spotify:artist:1tqbHDcd171VXoqDu9RGAw","Stoppenberg","spotify:album:1e3vFk7QXNpXWlmQFcGQs2","Telekinesis","spotify:artist:1tqbHDcd171VXoqDu9RGAw","Stoppenberg","2014-03-12","https://i.scdn.co/image/ab67616d0000b273a4bd5be302b41e1cf2a42601","1","2","260623","https://p.scdn.co/mp3-preview/ab0ebfb28022ccc639c580f3f4a2798abf56b1e0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","spotify:user:ephedra89","2019-05-21T13:43:21Z"
"spotify:track:6i3oKuPpTojX5gvYor2sdM","Confess","spotify:artist:5flDeddXEgK6WWsI6PZk3d","Limbo Slice","spotify:album:7lXy8A5Dq6noWm5tl2vQTI","Confess","spotify:artist:5flDeddXEgK6WWsI6PZk3d","Limbo Slice","2019-07-05","https://i.scdn.co/image/ab67616d0000b273f5b0a2bd1d95140e1ab8da65","1","1","393437","","false","0","spotify:user:ephedra89","2019-09-27T09:35:58Z"
"spotify:track:0eafBW650BNhcgO1wVSLLg","Severance","spotify:artist:0vr95mHdD2YEVeNXmGgYja","Street Fever","spotify:album:4qqDpGE1mwVWjFbZS7uqNN","Afflictions - EP","spotify:artist:0vr95mHdD2YEVeNXmGgYja","Street Fever","2015-08-11","https://i.scdn.co/image/ab67616d0000b273e7add18a282b697aa23482ff","1","5","266648","https://p.scdn.co/mp3-preview/1ab2dd073ecd1a0bef6702f743548fde8ce71f16?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","spotify:user:ephedra89","2019-06-04T13:52:10Z"
"spotify:track:3BcEpBfEx2mOyCSJWIHSvu","Spoiler - Original Mix","spotify:artist:6DFJfhZxwWe1yKQvRDJmdl","Hyper","spotify:album:6uvquJHxA2D9KmHR6oJgXB","Lies","spotify:artist:6DFJfhZxwWe1yKQvRDJmdl","Hyper","2014-01-03","https://i.scdn.co/image/ab67616d0000b273b0222d2ff7d5f263639c9548","1","4","272000","https://p.scdn.co/mp3-preview/3ffe6ac993e8ca50fba37e1dfc17d5b87dfb9a12?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","spotify:user:ephedra89","2019-05-24T19:24:09Z"
"spotify:track:6QhjULyjkl8m5vSthPhp59","X 31' 26'43 Ny 109' 430""W","spotify:artist:3JbBgAj4qzmqQ5vlkk4GKv","Pulse","spotify:album:0JoSJGSxbrRNew0Pra2Ysv","Adjusting the Space","spotify:artist:3JbBgAj4qzmqQ5vlkk4GKv","Pulse","2020-07-17","https://i.scdn.co/image/ab67616d0000b2731dfa6c7e3203e3aa26e3e066","1","1","153826","https://p.scdn.co/mp3-preview/0b7dfc3582332852c87ad6b47db78c7a440eba20?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","spotify:user:ephedra89","2020-11-28T12:38:30Z"
"spotify:track:3k94x0LIEf7PyXOOX4h8uG","Ego Sum Deus","spotify:artist:3hc7ufwx95yDtLGScjPg0c","Unholy","spotify:album:20Teb6WBHYmGzaPSafXc6J","Ego Sum Deus","spotify:artist:3hc7ufwx95yDtLGScjPg0c","Unholy","2017-07-18","https://i.scdn.co/image/ab67616d0000b27333d42348db38f92cfa3152b5","1","1","310371","","false","0","spotify:user:ephedra89","2019-02-20T09:47:26Z"
"spotify:track:44BxLCxf6qYZEsZym5HHDk","Revolt","spotify:artist:1GzTHDdcXKLdKUXpild6sa","Noizinski","spotify:album:33OXiQq2iDTkoMkEdfDUUp","Revolt","spotify:artist:1GzTHDdcXKLdKUXpild6sa","Noizinski","2019-03-03","https://i.scdn.co/image/ab67616d0000b2736e92026315c4370c686f48b8","1","1","206340","https://p.scdn.co/mp3-preview/2361268e91794837a04fba20a87ab84ea427f656?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","spotify:user:ephedra89","2019-03-09T21:58:31Z"
"spotify:track:4yEPEVLroMvh8CFU6UMAeM","American Shaolin","spotify:artist:2JaJoPQZueZBqA7srbPa2f","L.A. Streethawk","spotify:album:0fYQXAh9w16L4G62QM6k0F","Something Better","spotify:artist:2JaJoPQZueZBqA7srbPa2f","L.A. Streethawk","2019-02-05","https://i.scdn.co/image/ab67616d0000b2735e1694de8fabdb78bd542003","1","3","305701","https://p.scdn.co/mp3-preview/b32f2f1cc601063f1b9d28f54427b346aa82b8fd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","spotify:user:ephedra89","2019-03-05T10:34:25Z"
"spotify:track:5kq66uh2lMNhpdP7E53DWZ","Minx","spotify:artist:2pjQGnHCgkxnrPEbEQ1VeD","Naybr","spotify:album:4avPm3Oo6QVb30OdnVjzDA","Minx","spotify:artist:2pjQGnHCgkxnrPEbEQ1VeD","Naybr","2017-08-16","https://i.scdn.co/image/ab67616d0000b2739fd2b1a308c597e88f2e75c8","1","1","274938","https://p.scdn.co/mp3-preview/fa2815a4dd7fb4d5b43b6bf62ea167f89bf06f13?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","spotify:user:ephedra89","2019-01-18T22:49:11Z"
"spotify:track:2iZNUXlNX3Fk63b4VcLvAD","Grimilde's Brush","spotify:artist:0kBCNHnV2d7eVlByRFeFTm","Zibra","spotify:album:4pRVR7nnQcDXVZYiMLUUYA","Dark Sex Collection (Dark Music for Your Dirty Sex)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2013-12-22","https://i.scdn.co/image/ab67616d0000b27330bb6994ec41f08e764700c8","1","3","393456","https://p.scdn.co/mp3-preview/24993d110c2ffa31cff6e8cb87adbbe2ae417523?cid=9950ac751e34487dbbe027c4fd7f8e99","false","8","spotify:user:ephedra89","2015-08-19T14:48:22Z"
"spotify:track:1LfV0IhgUzAJNQWxMD3pvF","Digital Demon","spotify:artist:1xFCRE0T1SELBAaxtlG5X3, spotify:artist:0OTY72l7CC7ynKzp6N2o5b","Lazerpunk, Daniel Deluxe","spotify:album:3Chd2Bp8dOSoFqThbonvvt","Death & Glory","spotify:artist:1xFCRE0T1SELBAaxtlG5X3","Lazerpunk","2018-01-31","https://i.scdn.co/image/ab67616d0000b27365db2e353d87b2f0815f4539","1","3","241850","https://p.scdn.co/mp3-preview/8f8696521dca76e48e3e1feacc5e8416e5783bbe?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","spotify:user:ephedra89","2019-02-02T14:21:54Z"
"spotify:track:6Fp4EZnT3WeAFOVV3AESkE","Electrorima","spotify:artist:0OjxwA8v3jSTO7ndpxPBW7","Philippe Roche","spotify:album:1D1LoPZWmhR3WisykZcGVm","Industrial Electronica, Vol. 1 (EBM, Dubstep, Electronica, Dark House, Industrial Dance)","spotify:artist:4K8z28eE1GPOAsyoaB0vZZ, spotify:artist:1GpabUfA3yQYn9tQuJB2Co, spotify:artist:3I2wqnbOC2xTyUTqDFxURn","EBM, Electronic Body Music, Electronica","2015-08-07","https://i.scdn.co/image/ab67616d0000b273e5151523d72d141420211ff6","1","7","108475","","false","3","spotify:user:ephedra89","2016-04-11T13:57:30Z"
"spotify:track:0tfdmfknvrLtQk8tRvCQMq","Hunt","spotify:artist:1GzTHDdcXKLdKUXpild6sa","Noizinski","spotify:album:2ccH8TEhLNtLKq2E71TjoP","Hunt","spotify:artist:1GzTHDdcXKLdKUXpild6sa","Noizinski","2017-07-07","https://i.scdn.co/image/ab67616d0000b273a736360353d7392b71e79024","1","1","255028","https://p.scdn.co/mp3-preview/7f84697ee0ec72df0341ff059ded04f03d34d3a5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","spotify:user:ephedra89","2018-12-19T16:24:13Z"
"spotify:track:2SXQUhnw7y2zYlEyxQxPSb","Sub Conscious - Tin Man Remix","spotify:artist:3jQ8hpdQo3TCEnb5gmOtH5","Erol Alkan","spotify:album:4f8CUGJnbp83BEKaQfG7Ye","Sub Conscious (Tin Man Remix) / (Kamera Remix)","spotify:artist:3jQ8hpdQo3TCEnb5gmOtH5","Erol Alkan","2015-02-09","https://i.scdn.co/image/ab67616d0000b2735898f184d27524fc8bec19a6","1","1","402112","","false","0","spotify:user:ephedra89","2016-04-12T22:01:52Z"
"spotify:track:6L4rQQloSRh4eUTwcRNhsT","Downgrade","spotify:artist:3R9nd8oWAyi3RM6HmMCRWt","Housemeister","spotify:album:6nkmLtjtvaYDkufLmekn2i","Downgrade","spotify:artist:3R9nd8oWAyi3RM6HmMCRWt","Housemeister","2015-08-17","https://i.scdn.co/image/ab67616d0000b2739f707415e40ee3a425c914a1","1","2","266482","","false","0","spotify:user:ephedra89","2016-04-16T18:26:22Z"
"spotify:track:3RQw2eyHTQNHPnXLLA2BwI","Fer-De-Lance","spotify:artist:7ovuEJn78rNJmBBnLqc1NU","Linea Aspera","spotify:album:6IJPuLBXLKVxchOnf6HYto","Linea Aspera","spotify:artist:7ovuEJn78rNJmBBnLqc1NU","Linea Aspera","2012-09-25","https://i.scdn.co/image/ab67616d0000b27325994c15bebfc637f4f2242e","1","4","232204","","false","0","spotify:user:ephedra89","2018-10-25T07:27:30Z"
"spotify:track:7eeIe7SErUvKem5P8YEiHz","Pleasure & Pain - Glass Figure Remix","spotify:artist:5c8Rd2gCeW7KAdTnwWIZKL, spotify:artist:3QhNv79NoIvarU6N57GBzL, spotify:artist:0aiN5c9K6ccwkplT4KS1Co","Djedjotronic, Miss Kittin, Glass Figure","spotify:album:5rBmGFZ4aC8VoEu9Bft9vu","Pleasure & Pain (feat. Miss Kittin)","spotify:artist:5c8Rd2gCeW7KAdTnwWIZKL","Djedjotronic","2015-10-16","https://i.scdn.co/image/ab67616d0000b2732ebc875720c57db9d4fe58ac","1","5","275064","https://p.scdn.co/mp3-preview/30ab0f4a398bf8b1fc56ade2c5ddc2317ffdcd5c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","spotify:user:ephedra89","2016-04-28T19:17:39Z"
"spotify:track:2cQWuMNDDnHMtpLpasKrHJ","Raiding Party","spotify:artist:1tqbHDcd171VXoqDu9RGAw","Stoppenberg","spotify:album:2uKuST9yW4YxQ6QSfPL94J","Gothic Music Orgy, Vol. 1","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2015-05-15","https://i.scdn.co/image/ab67616d0000b2738c6f89078281214abbb252f0","1","6","228000","https://p.scdn.co/mp3-preview/580069dd57e146ef84c9aac0b295074588f00e68?cid=9950ac751e34487dbbe027c4fd7f8e99","true","16","spotify:user:ephedra89","2018-10-30T10:34:26Z"
"spotify:track:2jJIxT6WAIVWzDo3Ou53Q0","Pursuit","spotify:artist:3hteYQFiMFbJY7wS0xDymP","Gesaffelstein","spotify:album:3MiiF9utmtGnLVITgl0JP7","Aleph","spotify:artist:3hteYQFiMFbJY7wS0xDymP","Gesaffelstein","2013-10-28","https://i.scdn.co/image/ab67616d0000b2731de5e87e7deee835774de29c","1","2","247603","https://p.scdn.co/mp3-preview/5feb286435a3a4b03cb890c3678291888d4c9ac5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","spotify:user:ephedra89","2016-07-22T08:47:56Z"
"spotify:track:02FZDwwr0mQ2M8gGL6CNmj","Mind Games","spotify:artist:763V8ZisRsw5kCoquzKTUp","The Hacker","spotify:album:3B3w3zHxLBrHgcRdrhiWE8","Magical Voyage (Tigersushi Periculum N° 5)","spotify:artist:763V8ZisRsw5kCoquzKTUp","The Hacker","2012-02-27","https://i.scdn.co/image/ab67616d0000b273a122cd143ad6261e57b4bb2a","1","3","323399","","false","0","spotify:user:ephedra89","2016-04-29T06:38:32Z"
"spotify:track:1xEaqzABI6jvZPS4SzHs6v","Through The Night","spotify:artist:71zryDK7t1BUFnqbOpSqxa","Dr. Lektroluv","spotify:album:48fwrLJhwOhvBEx8KBsRH3","Through The Night","spotify:artist:71zryDK7t1BUFnqbOpSqxa","Dr. Lektroluv","2015-10-16","https://i.scdn.co/image/ab67616d0000b273f7f8e66a8db4901630cc0a0d","1","1","279065","https://p.scdn.co/mp3-preview/8e4143415f9d92da78b0b786644648ea0578d14d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","spotify:user:ephedra89","2016-05-14T17:20:30Z"
"spotify:track:4iP3FvvyWcIPLoJYSBww14","Abysall Zone","spotify:artist:5c8Rd2gCeW7KAdTnwWIZKL","Djedjotronic","spotify:album:4fkD70biXjgokqcHdO0PRV","I Love Techno 2013","spotify:artist:3hteYQFiMFbJY7wS0xDymP","Gesaffelstein","2013-10-07","https://i.scdn.co/image/ab67616d0000b273408da8ebc8ea1482817ba582","1","4","335742","https://p.scdn.co/mp3-preview/61f0bf5a5dbb0ad5cb95aad25c8d33ea354b0e80?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","spotify:user:ephedra89","2016-05-14T17:25:31Z"
"spotify:track:1uZ7xhpT8UcWaJydy7s38o","Kaiko","spotify:artist:5c8Rd2gCeW7KAdTnwWIZKL","Djedjotronic","spotify:album:6yeQp9LfBIpupbHTKNlRck","Kaiko","spotify:artist:5c8Rd2gCeW7KAdTnwWIZKL","Djedjotronic","2013-02-22","https://i.scdn.co/image/ab67616d0000b2736ea5f4b608cbeabf68f35d64","1","1","284219","","false","0","spotify:user:ephedra89","2016-06-05T19:15:57Z"
"spotify:track:28hlrHHrmbK7LfVYiijiva","Cerulean","spotify:artist:31DXlldabwPHwu6dYevuzK","Simian Mobile Disco","spotify:album:6ZPtoliazspMmftjGnC1j6","Unpatterns","spotify:artist:31DXlldabwPHwu6dYevuzK","Simian Mobile Disco","2012-05-14","https://i.scdn.co/image/ab67616d0000b2735f831be2450b1606ab2d048c","1","2","408280","","false","0","spotify:user:ephedra89","2016-06-07T13:42:06Z"
"spotify:track:6DP9ceuvvIFtXNc2lADIPJ","Polonium 210","spotify:artist:763V8ZisRsw5kCoquzKTUp","The Hacker","spotify:album:7pqsSJT1Bn4UfSXTzoiCtD","Djedjotronic Presents Interstate 101","spotify:artist:5c8Rd2gCeW7KAdTnwWIZKL","Djedjotronic","2014-10-27","https://i.scdn.co/image/ab67616d0000b273697a917c7df7ea3785361c8e","1","8","318242","https://p.scdn.co/mp3-preview/d77ff67259897ef31c08d1a1ca64548e49707a51?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","spotify:user:ephedra89","2016-06-08T11:55:16Z"
"spotify:track:57hNGU9Wj3IVTu6ujDgKkB","Cruising","spotify:artist:5eWbdoIDCRxrPyiv7TEtw8","Anthony Rother","spotify:album:2fcvdXaeUdeg0PhBb5ErcI","Popkiller 2","spotify:artist:5eWbdoIDCRxrPyiv7TEtw8","Anthony Rother","2010-05-28","https://i.scdn.co/image/ab67616d0000b2737e964cc2b306dcc672199239","1","3","383413","","false","0","spotify:user:ephedra89","2016-06-09T19:23:45Z"
"spotify:track:6DYej8MqEm8bgNoxdFcBOP","Bass","spotify:artist:763V8ZisRsw5kCoquzKTUp","The Hacker","spotify:album:5RCyQM0oFqvcz0UBAgnwHA","Shockwave","spotify:artist:763V8ZisRsw5kCoquzKTUp","The Hacker","2012-03-26","https://i.scdn.co/image/ab67616d0000b273967e2ff754843376619de20b","1","4","462520","","false","0","spotify:user:ephedra89","2016-06-09T19:42:41Z"
"spotify:track:2MaLYLSZ16E7yEub9MWtcu","Proxy - Original Mix","spotify:artist:6RO2K4y7M45nTFe5DeBohv, spotify:artist:54w0fjjJ2ndhdYiJIucL9F","Captain Panic!, Systek","spotify:album:5NnaUdzdlmPJjDfbxcwxxk","The Monolith","spotify:artist:6RO2K4y7M45nTFe5DeBohv, spotify:artist:54w0fjjJ2ndhdYiJIucL9F","Captain Panic!, Systek","2014-08-18","https://i.scdn.co/image/ab67616d0000b273479db18c9184a5ff0ffcdfd4","1","7","531500","https://p.scdn.co/mp3-preview/90a521a6a4ad4c924a1469993ab86e3d621de6d7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","spotify:user:ephedra89","2016-08-22T10:42:46Z"
"spotify:track:0szmlk6tXtfDI2Dy31bZOK","ZZafrika - Gesaffelstein Remix","spotify:artist:2gv0vhtUiUJeGcYkTybo7G, spotify:artist:3hteYQFiMFbJY7wS0xDymP","ZZT, Gesaffelstein","spotify:album:34lU49K12zia7jBALpDHdt","Partys Over Earth Remix LP","spotify:artist:2gv0vhtUiUJeGcYkTybo7G","ZZT","2012-08-06","https://i.scdn.co/image/ab67616d0000b2730ae731ab09ecc615b4d6e395","1","8","366214","https://p.scdn.co/mp3-preview/7c18b57dab6e747bcfd5fd50a2346e8497811d4f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","spotify:user:ephedra89","2016-07-22T08:52:30Z"
"spotify:track:2swnMmo17QobClhNc2jt8k","The Line","spotify:artist:62rM1SLSmG7US6wZ4xzus5","Maelstrom","spotify:album:1bJUCc7bUh3CTA4hQKUQhR","Zone 12: Resistance - EP","spotify:artist:62rM1SLSmG7US6wZ4xzus5","Maelstrom","2013-05-18","https://i.scdn.co/image/ab67616d0000b2730ff21056d99466fc1ef0d518","1","3","296025","https://p.scdn.co/mp3-preview/53b56f7cc5d4e2746217db565f0733a6929d5585?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","spotify:user:ephedra89","2016-07-22T09:03:57Z"
"spotify:track:2iyTw5H1I5aLkvwX7D4Cmi","Hilinner (Gesaffelstein Remix)","spotify:artist:2rtQHZ2s0qt49ruczini4t","Crackboy","spotify:album:5lZRIR7CaHxKgrm34ikIWJ","Man of Steel - EP","spotify:artist:2rtQHZ2s0qt49ruczini4t","Crackboy","2011-06-20","https://i.scdn.co/image/ab67616d0000b27333ac26200969728ca9afa260","1","3","351035","https://p.scdn.co/mp3-preview/dfe08a6f989f1a8230940c57a77fe0f964110c47?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","spotify:user:ephedra89","2016-07-22T09:12:06Z"
"spotify:track:07aqlD34P6qYrWjRNBt1eW","Viol","spotify:artist:3hteYQFiMFbJY7wS0xDymP","Gesaffelstein","spotify:album:4AzodrqIKD56B4sUMb5yqw","Conspiracy Pt.2","spotify:artist:3hteYQFiMFbJY7wS0xDymP","Gesaffelstein","2011-07-18","https://i.scdn.co/image/ab67616d0000b273f2edb99a0734027a0ab27d79","1","1","343878","","false","51","spotify:user:ephedra89","2016-07-22T09:28:38Z"
"spotify:track:2zcps4ZXVu0tN1uAKcQRqg","Your Sex Is a Dream","spotify:artist:6bWylzDlsTfR8khADRQJfd","Trevor Something","spotify:album:0kjeQHnFzasLL6auk4EkN1","Death Dream","spotify:artist:6bWylzDlsTfR8khADRQJfd","Trevor Something","2015-10-23","https://i.scdn.co/image/ab67616d0000b273ac21b5714dd291f88aa26fec","1","8","317265","https://p.scdn.co/mp3-preview/1cdf06032600497a4d732a70a70e82f866446cdb?cid=9950ac751e34487dbbe027c4fd7f8e99","true","40","spotify:user:ephedra89","2016-08-02T08:11:10Z"
"spotify:track:7ier9e6lSlVQdB9Z0C7Ouj","Cerebral","spotify:artist:62k5LKMhymqlDNo2DWOvvv, spotify:artist:7wyxqLCu88yJqDCl2EfESr","Boys Noize, Pilo","spotify:album:7c0iFSMKE1yoYckQwvZpV8","Boys Noize presents Strictly Raw Vol.1","spotify:artist:62k5LKMhymqlDNo2DWOvvv","Boys Noize","2015-06-19","https://i.scdn.co/image/ab67616d0000b27392589a7abadfe245316054c5","1","4","256615","","false","0","spotify:user:ephedra89","2016-08-03T16:34:10Z"
"spotify:track:7zjTTn9eaC15s1eyXFDC5r","Hard Drivers - Original Mix","spotify:artist:3yGHlfCop3TDHOBT6MRA8Z","Ekstrak","spotify:album:4gkk7kiWZlunveVydGLEJN","Falken Drift Team","spotify:artist:3yGHlfCop3TDHOBT6MRA8Z","Ekstrak","2012-07-18","https://i.scdn.co/image/ab67616d0000b2733ab628fccef690ac2cb3b906","1","3","203180","https://p.scdn.co/mp3-preview/00c33d963aa533b8a71528a974319535bc554c10?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","spotify:user:ephedra89","2016-08-22T10:28:17Z"
"spotify:track:63r46jzSUs5WizoLg0TIqa","Dark Energy - Systek Remix","spotify:artist:54w0fjjJ2ndhdYiJIucL9F, spotify:artist:6RO2K4y7M45nTFe5DeBohv","Systek, Captain Panic!","spotify:album:4bSE33ddBeL5ioOB7IuSLR","The Invasion Remixes","spotify:artist:6RO2K4y7M45nTFe5DeBohv","Captain Panic!","2013-05-06","https://i.scdn.co/image/ab67616d0000b273bc37fe37a0f6546fe9922d96","1","2","342000","https://p.scdn.co/mp3-preview/40a8f8d532d3bd6d95f5f84cf8550a5b68b963b5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","spotify:user:ephedra89","2016-08-22T10:33:27Z"
"spotify:track:0VHeSTuvqQe0GY2OQYO7uR","Dark Energy - Original Mix","spotify:artist:6RO2K4y7M45nTFe5DeBohv","Captain Panic!","spotify:album:20tGZgPapvffxeDjKDvcpk","The Invasion","spotify:artist:6RO2K4y7M45nTFe5DeBohv","Captain Panic!","2012-12-21","https://i.scdn.co/image/ab67616d0000b2738c0c596a3e6a4facd77b9cee","1","4","342000","https://p.scdn.co/mp3-preview/01446015ff1ac1b239b68bce43a66f1f7e3ba21a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","7","spotify:user:ephedra89","2016-08-22T10:36:13Z"
"spotify:track:7lrP8OD4JvLrx1fnermBYx","Falken Drift Team - Original Mix","spotify:artist:3yGHlfCop3TDHOBT6MRA8Z","Ekstrak","spotify:album:4gkk7kiWZlunveVydGLEJN","Falken Drift Team","spotify:artist:3yGHlfCop3TDHOBT6MRA8Z","Ekstrak","2012-07-18","https://i.scdn.co/image/ab67616d0000b2733ab628fccef690ac2cb3b906","1","1","180062","https://p.scdn.co/mp3-preview/91abc1e3eacf49875f25cd2c27468e50f4e2373b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","spotify:user:ephedra89","2016-08-22T10:54:35Z"
