"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:7bekFJzmkai6xk0fREBLDP","Mr. Dillinger","spotify:artist:4BfQ9Yx0G90IXrEXQ0fab9","Mogi Grumbles","spotify:album:3rstypDYUW2qND7uJXDXef","End of Line","spotify:artist:4BfQ9Yx0G90IXrEXQ0fab9","Mogi Grumbles","2011-08-02","https://i.scdn.co/image/ab67616d0000b2738f964b8aa3691313f1d6bfd9","1","19","194427","","false","0","spotify:user:1259114692","2018-10-01T18:57:10Z"
"spotify:track:10qbHF920zH5K8C8IcE5AL","Turbo Killer","spotify:artist:1l2oLiukA9i5jEtIyNWIEP","Carpenter Brut","spotify:album:0io5pe55YRCTVqEjwlOBdN","TRILOGY","spotify:artist:1l2oLiukA9i5jEtIyNWIEP","Carpenter Brut","2015","https://i.scdn.co/image/ab67616d0000b2731b1d6c550aaaae5acf220e84","1","16","208972","https://p.scdn.co/mp3-preview/4b8639bf91007d5603bae1d58ec824f897b20f44?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","spotify:user:1259114692","2018-10-01T18:44:12Z"
"spotify:track:3F412bLncKAopQlhpAJBrX","Genesis","spotify:artist:1gR0gsQYfi6joyO1dlp76N","Justice","spotify:album:3CWD6k4rJIG72OXkSk98tf","Cross","spotify:artist:1gR0gsQYfi6joyO1dlp76N","Justice","2007-06-18","https://i.scdn.co/image/ab67616d0000b273e6812fbd0690bf6e2bafe2ee","1","1","234959","","false","0","spotify:user:1259114692","2018-10-01T22:11:34Z"
"spotify:track:2XnFgRCXUMKMHdNCWoaPnr","Garbage Truck - Misanthrop Remix","spotify:artist:6dvHFhruyFyf26otoWOXKR, spotify:artist:1ZScOzf2oq1jmPpY2Veuyu","Hybris, Misanthrop","spotify:album:6ZQK9jIXNtFG8gJEUPR2sW","Garbage Truck","spotify:artist:6dvHFhruyFyf26otoWOXKR","Hybris","2014-08-25","https://i.scdn.co/image/ab67616d0000b27311f255cb6b373465b67a4f0e","1","3","233134","https://p.scdn.co/mp3-preview/f63cb2f9005d33a4f940606a6d47106875f33e09?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","spotify:user:1259114692","2018-10-01T18:44:12Z"
"spotify:track:4lteJuSjb9Jt9W1W7PIU2U","Derezzed - Remixed by The Glitch Mob","spotify:artist:4tZwfgrHOc3mvqYlEYSvVi, spotify:artist:3a9qv6NLHnsVxJUtKOMHvD","Daft Punk, The Glitch Mob","spotify:album:382ObEPsp2rxGrnsizN5TX","TRON: Legacy Reconfigured","spotify:artist:4tZwfgrHOc3mvqYlEYSvVi","Daft Punk","2011-01-01","https://i.scdn.co/image/ab67616d0000b27326597c053b38c9cf93f8f3a9","1","1","262240","https://p.scdn.co/mp3-preview/52b8ecc26e581a29a9d0abb2853e3ad92df1dec7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","spotify:user:1259114692","2018-10-01T20:55:28Z"
"spotify:track:32KELaAyGpvwFdaYYCL7u4","Exothermic Reaction","spotify:artist:2jbP92oFLWqPqogflK1wlW","Skream","spotify:album:7ewRA9ddPlyJ5hFwr7yjMF","Exothermic Reaction","spotify:artist:2jbP92oFLWqPqogflK1wlW","Skream","2011-07-25","https://i.scdn.co/image/ab67616d0000b273031b835ea1dc755acc428ec1","1","1","325698","","false","0","spotify:user:1259114692","2018-10-01T19:58:11Z"
"spotify:track:5iwSb9Np5hPLjwnZrMINPP","Wicked Game - Swede:Art Remix","spotify:artist:6jYgyy8XzPIpy3SKs0BxZ2","Comfort Fit","spotify:album:03h1RRixJeZb4dnPMxjsH4","Polyshufflez Remixes","spotify:artist:6jYgyy8XzPIpy3SKs0BxZ2","Comfort Fit","2009","https://i.scdn.co/image/ab67616d0000b273aab560b9d1de7cb51c941b1c","1","10","405472","https://p.scdn.co/mp3-preview/c98f6191784d17327ae3cc9aeab7123570f5a1ed?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","spotify:user:1259114692","2018-10-01T18:33:53Z"
"spotify:track:2C9RcAatR64ks4ioB35Nhl","Super Ink Burst","spotify:artist:7LCDnUQYE07fnKbo46SVLB","Iglooghost","spotify:album:4GtJxsVNIZIm5setTuWQxk","Neō Wax Bloom","spotify:artist:7LCDnUQYE07fnKbo46SVLB","Iglooghost","2017-09-29","https://i.scdn.co/image/ab67616d0000b273942245c63e41f44d60e980c5","1","2","207955","","false","0","spotify:user:1259114692","2018-10-01T18:39:32Z"
"spotify:track:3Pm4jgrXCu0W7gTqyrlR4F","Oh Yeah","spotify:artist:4tZwfgrHOc3mvqYlEYSvVi","Daft Punk","spotify:album:5uRdvUR7xCnHmUW8n64n9y","Homework","spotify:artist:4tZwfgrHOc3mvqYlEYSvVi","Daft Punk","1997-01-16","https://i.scdn.co/image/ab67616d0000b2738ac778cc7d88779f74d33311","1","12","121200","https://p.scdn.co/mp3-preview/c2cd72cf299ec9890201184d9bc5e8721aa6ae6e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","spotify:user:1259114692","2018-10-01T19:19:38Z"
"spotify:track:2m1pIzKXtZu1UlGcWX7Wbr","Skullclub - Eprom Remix","spotify:artist:3a9qv6NLHnsVxJUtKOMHvD, spotify:artist:2c2X6dr1PHctH24BxNOjHi","The Glitch Mob, Eprom","spotify:album:2ETlX3LmieuYtEfISz49fd","Love Death Immortality (Remixes)","spotify:artist:3a9qv6NLHnsVxJUtKOMHvD","The Glitch Mob","2015-02-24","https://i.scdn.co/image/ab67616d0000b2730a435d560ebf78d3923466d5","1","5","231114","https://p.scdn.co/mp3-preview/41830d278d9a225667741f71c6d7b22deb308221?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","spotify:user:1259114692","2018-10-01T19:21:41Z"
