"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:6RwInmBOpJTFeoQO11QH09","$He Tellin Me.","spotify:artist:6mM9afTCjIWSx7zK0alxMM","Jui$.","spotify:album:05h7PXwe9f2K1wHsfx7pQe","$He Tellin Me.","spotify:artist:6mM9afTCjIWSx7zK0alxMM","Jui$.","2017-08-15","https://i.scdn.co/image/ab67616d0000b273c3060a2deaf8aeb371dd027c","1","1","133067","https://p.scdn.co/mp3-preview/958cc9225445ede20622f8f71ca8f3aebfd5a8d6?cid=9950ac751e34487dbbe027c4fd7f8e99","true","1","spotify:user:%E2%80%A2rudy%E2%97%8Blaurin%E2%80%A2","2018-04-17T23:26:52Z"
"spotify:track:7m1oRKYiZCfuKXRMWGefWR","Bury Me","spotify:artist:3QryVD03gGZOLQQXjy3EoA, spotify:artist:3uL4UpqShC4p2x1dJutoRW","Getter, Ghostemane","spotify:album:1k27061J2twTi72z98TjQD","Bury Me","spotify:artist:3QryVD03gGZOLQQXjy3EoA, spotify:artist:3uL4UpqShC4p2x1dJutoRW","Getter, Ghostemane","2017-08-31","https://i.scdn.co/image/ab67616d0000b273d15b65f8d3a9602f7f7e2ef8","1","1","281538","","false","0","spotify:user:%E2%80%A2rudy%E2%97%8Blaurin%E2%80%A2","2018-04-17T23:28:57Z"
"spotify:track:3IIArPxV2jUXk2zTKbzCVx","King, Scar.","spotify:artist:6rYogEVj60BCIsLukpAnwr","Scarlxrd","spotify:album:3KqA7GS5ruZN70yBP2jFMJ","Chaxsthexry","spotify:artist:6rYogEVj60BCIsLukpAnwr","Scarlxrd","2017-04-01","https://i.scdn.co/image/ab67616d0000b273ad0a9e085d8e99c1818b24d2","1","6","220656","https://p.scdn.co/mp3-preview/2228b1b34a6c6c22e015e2bb5bf7f9c36fb2019a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","58","spotify:user:%E2%80%A2rudy%E2%97%8Blaurin%E2%80%A2","2018-04-17T23:30:02Z"
"spotify:track:3STThGLjuFSaoseZvWupmx","Chain$Aw","spotify:artist:6rYogEVj60BCIsLukpAnwr","Scarlxrd","spotify:album:3KqA7GS5ruZN70yBP2jFMJ","Chaxsthexry","spotify:artist:6rYogEVj60BCIsLukpAnwr","Scarlxrd","2017-04-01","https://i.scdn.co/image/ab67616d0000b273ad0a9e085d8e99c1818b24d2","1","8","212244","https://p.scdn.co/mp3-preview/46c7f2b7146dddc0a89e9a54128c3c8221054646?cid=9950ac751e34487dbbe027c4fd7f8e99","true","55","spotify:user:%E2%80%A2rudy%E2%97%8Blaurin%E2%80%A2","2018-04-17T23:30:05Z"
"spotify:track:78EDmwVdZzp6vTl3hVWzpW","6 Feet","spotify:artist:6rYogEVj60BCIsLukpAnwr","Scarlxrd","spotify:album:77esJILHiTRAXl6yGgR4kW","Lxrdszn","spotify:artist:6rYogEVj60BCIsLukpAnwr","Scarlxrd","2017-09-29","https://i.scdn.co/image/ab67616d0000b273aa3d28447ecb448c7c5ce742","1","2","121913","https://p.scdn.co/mp3-preview/7b27a229b4c676d18f8260999300a635cd1ecf6e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","59","spotify:user:%E2%80%A2rudy%E2%97%8Blaurin%E2%80%A2","2018-04-17T23:30:12Z"
"spotify:track:7Cq27Qc3WRyQ3ddwVslpVZ","Heart Attack","spotify:artist:6rYogEVj60BCIsLukpAnwr","Scarlxrd","spotify:album:3KqA7GS5ruZN70yBP2jFMJ","Chaxsthexry","spotify:artist:6rYogEVj60BCIsLukpAnwr","Scarlxrd","2017-04-01","https://i.scdn.co/image/ab67616d0000b273ad0a9e085d8e99c1818b24d2","1","4","193567","https://p.scdn.co/mp3-preview/e9e885b31ce4bd46b31ae19efb789591cec26ec3?cid=9950ac751e34487dbbe027c4fd7f8e99","true","66","spotify:user:%E2%80%A2rudy%E2%97%8Blaurin%E2%80%A2","2018-04-17T23:30:16Z"
"spotify:track:6znIrCMMCOzXqtWqFc5K6v","Mix It","spotify:artist:0O1cTzccAEKaEFShgzAK9V","Bass Santana","spotify:album:2XldPHjgIcE5V2F9lPhrlz","Mix It","spotify:artist:0O1cTzccAEKaEFShgzAK9V","Bass Santana","2017-07-13","https://i.scdn.co/image/ab67616d0000b2732d7d2f9ed07d256449b07176","1","1","172000","https://p.scdn.co/mp3-preview/94a9efe2ec25a494ea47bf85d5911694d56cbba1?cid=9950ac751e34487dbbe027c4fd7f8e99","true","38","spotify:user:%E2%80%A2rudy%E2%97%8Blaurin%E2%80%A2","2018-04-17T23:30:21Z"
"spotify:track:3wBAhQLR9VjWfyYO3u4oPR","What in XXXTarnation","spotify:artist:15UsOTVnJzReFVN1VCnxy4, spotify:artist:2rhFzFmezpnW82MNqEKVry","XXXTENTACION, Ski Mask The Slump God","spotify:album:0E9YcziOVcyc2VNev1kWg7","What in XXXTarnation","spotify:artist:15UsOTVnJzReFVN1VCnxy4","XXXTENTACION","2017-04-20","https://i.scdn.co/image/ab67616d0000b273e2e23d17314ee241e2d8f80f","1","1","164597","https://p.scdn.co/mp3-preview/26f5538a17173cc7ac304a4c0f63ce43480f1554?cid=9950ac751e34487dbbe027c4fd7f8e99","true","61","spotify:user:%E2%80%A2rudy%E2%97%8Blaurin%E2%80%A2","2018-04-17T23:30:30Z"
"spotify:track:7uuBfgY1vBCalrQRyyQhqs","Gospel","spotify:artist:2IDLDx25HU1nQMKde4n61a, spotify:artist:6f9bmfkqiYbhCtdAZsv7KI, spotify:artist:15UsOTVnJzReFVN1VCnxy4","Rich Brian, Keith Ape, XXXTENTACION","spotify:album:79M1nv9rYaZvyt1GmyDAEa","Gospel","spotify:artist:2IDLDx25HU1nQMKde4n61a, spotify:artist:6f9bmfkqiYbhCtdAZsv7KI, spotify:artist:15UsOTVnJzReFVN1VCnxy4","Rich Brian, Keith Ape, XXXTENTACION","2017-05-12","https://i.scdn.co/image/ab67616d0000b2737fd714104d7f416909ccb0e5","1","1","173294","","true","0","spotify:user:%E2%80%A2rudy%E2%97%8Blaurin%E2%80%A2","2018-04-17T23:30:34Z"
"spotify:track:658I1uDnmLSiltFCf98AWE","RIP Roach","spotify:artist:15UsOTVnJzReFVN1VCnxy4, spotify:artist:2rhFzFmezpnW82MNqEKVry","XXXTENTACION, Ski Mask The Slump God","spotify:album:3vpXJ54S3MXLyzysw8qq7c","Revenge","spotify:artist:15UsOTVnJzReFVN1VCnxy4","XXXTENTACION","2017-05-16","https://i.scdn.co/image/ab67616d0000b2735485ea186d6971e18fabcc2f","1","7","169978","https://p.scdn.co/mp3-preview/ebe1838f637df1bdb0a0da641252ed9e2be75fb6?cid=9950ac751e34487dbbe027c4fd7f8e99","true","70","spotify:user:%E2%80%A2rudy%E2%97%8Blaurin%E2%80%A2","2018-04-17T23:30:41Z"
