"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:7JrSIPcfkWhDzxWII8Jz7V","Escaping Time","spotify:artist:5oqbogYQRxno77NT1FFrt5","Benjamin Martins","spotify:album:3ppEryBS6RaQDTrwmqB8n8","Floating","spotify:artist:5oqbogYQRxno77NT1FFrt5","Benjamin Martins","2019-10-21","https://i.scdn.co/image/ab67616d0000b27310678e3a1e1309ec52e193dd","1","1","200346","https://p.scdn.co/mp3-preview/b48a486d386a11eb84aa4ee6a05bfaa6898dba32?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","spotify:user:","2021-05-17T15:13:48Z"
"spotify:track:62X7ld1sa8RHl4zRtSvfHf","Just Look at You","spotify:artist:2GwKduchNwbFP10LgIV7y4","369","spotify:album:6jSQXGouXgIfiwa9icJO68","432 Water Crystals","spotify:artist:2GwKduchNwbFP10LgIV7y4","369","2020-02-21","https://i.scdn.co/image/ab67616d0000b2734008f7fddea8e99b3fc69504","1","2","187385","https://p.scdn.co/mp3-preview/3b78d92c1a54659ff5bf4f8964ecdc92ce0f0d87?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","spotify:user:","2021-05-17T15:13:48Z"
"spotify:track:06G5MnuMA3cLbNwjFs8zIS","Flowing","spotify:artist:5bgAHbDkNceLzoE0bFMeVr","Lucas Delphy","spotify:album:1lxdpGzbUD6WbQzoIeiY33","Flowing","spotify:artist:5bgAHbDkNceLzoE0bFMeVr","Lucas Delphy","2020-05-20","https://i.scdn.co/image/ab67616d0000b273027df59b18d4adb5753c6165","1","1","131116","https://p.scdn.co/mp3-preview/4ada7203e66212ffc4df68d815c6e1e2ce804387?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","spotify:user:","2021-05-17T15:13:48Z"
"spotify:track:51c5Wbzs0fPu6mwpDn3bsQ","With Resolve","spotify:artist:0M28z4ZRPcGZPSXsJqc1lP","Jacob Yoffee","spotify:album:1dMrnL9I1tO7iSTSaYbYUQ","With Resolve","spotify:artist:0M28z4ZRPcGZPSXsJqc1lP","Jacob Yoffee","2020-07-28","https://i.scdn.co/image/ab67616d0000b27380d240735b200e3a562e7fd8","1","1","129761","https://p.scdn.co/mp3-preview/a904dcc89df1215afedf0e7dd3efe64b11b1000f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","spotify:user:","2021-05-17T15:13:48Z"
"spotify:track:5AciiCKJKTLKRrAPSrKQy5","Infinite Sustain","spotify:artist:1Gt39QnTBTndeyiJ5SO04q","Amaranth Cove","spotify:album:4bLXZwh88rBBy6bgFFBhVg","Infinite Sustain","spotify:artist:1Gt39QnTBTndeyiJ5SO04q","Amaranth Cove","2019-10-04","https://i.scdn.co/image/ab67616d0000b27361cb41224d1cc9dd052a5dba","1","1","149000","https://p.scdn.co/mp3-preview/269010466ad60b0e65d2a8095ae07fa877194eca?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","spotify:user:","2021-05-17T15:13:48Z"
"spotify:track:6mgKP4yo57GTSMc3fJlyWm","Ingénue","spotify:artist:5oLYsGYb1G271Z6wtiYVpA","Eline Moss","spotify:album:2RsIJpUcRcCvsRHyLNbe2K","Ingénue","spotify:artist:5oLYsGYb1G271Z6wtiYVpA","Eline Moss","2019-11-18","https://i.scdn.co/image/ab67616d0000b2734566d39f01a2120aa39776dd","1","1","158176","https://p.scdn.co/mp3-preview/e2b7e8db716db9f275dea146561cc82f9a17f5e9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","spotify:user:","2021-05-17T15:13:48Z"
"spotify:track:4iNlPrMJCvBjakWljscabH","Hidden Chambers","spotify:artist:2qRSibliMCzMBIIUqMqaRB","Marlee Tuaine","spotify:album:0aZWKOxr4JMCSIpVAmBR2T","Fragmented Thoughts","spotify:artist:2qRSibliMCzMBIIUqMqaRB","Marlee Tuaine","2020-09-10","https://i.scdn.co/image/ab67616d0000b2734617051cee6294a6ce6154bc","1","2","169000","https://p.scdn.co/mp3-preview/aebce1c17197dffe0236280ab2bddd59c6f5e640?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","spotify:user:","2021-05-17T15:13:48Z"
"spotify:track:0W4RUo3m0jL0wHADS0PLme","The Five Times I Loved You","spotify:artist:2GW7BMmmFwI0cDvop6sOWg","Cora Zea","spotify:album:0GYSu9KaftfjSxHE3vqW66","Pyramid Train","spotify:artist:2GW7BMmmFwI0cDvop6sOWg","Cora Zea","2020-05-15","https://i.scdn.co/image/ab67616d0000b273f30f6ecbce296bf4bfc5a7d7","1","2","205695","https://p.scdn.co/mp3-preview/641b11929fb5b5b873f3b61ef27e6ae02e972118?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","spotify:user:","2021-05-17T15:13:48Z"
"spotify:track:6Xgupx0XndCMdA09Nl46wF","Golden","spotify:artist:5JhmX2bSHdudmKTpcDZeW1","Clear Blue Skies","spotify:album:3Qyilgf7sVReq7GGY1ezgc","Chasing Rainbows","spotify:artist:5JhmX2bSHdudmKTpcDZeW1","Clear Blue Skies","2020-09-17","https://i.scdn.co/image/ab67616d0000b2739eec50e8db4be3e1cbf574f7","1","2","140357","https://p.scdn.co/mp3-preview/a2b956bfb9d6be079dcba43624a782d2ac02ecb6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","spotify:user:","2021-05-17T15:13:48Z"
"spotify:track:6WdO6Ds95sLALCqCOfbDQh","Atlavík","spotify:artist:0bdJp8l3a1uJRKe2YaAcE9","Hugar","spotify:album:0M1zBtkmWOJQSkVZhNcIeH","Varða","spotify:artist:0bdJp8l3a1uJRKe2YaAcE9","Hugar","2019-08-23","https://i.scdn.co/image/ab67616d0000b273b6158c5f48088578cc24565c","1","3","155733","https://p.scdn.co/mp3-preview/9a605b4ef56fbb90858a126a540c5694240cddee?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","spotify:user:","2021-05-17T15:13:48Z"
