"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:1guNEjxD2ZIxKti8jtMehV","AO Longo Do Rio","spotify:artist:3YndyZk8nVLJKspIBo0nLd","Melodiesinfonie","spotify:album:6ceZRBfduXzV866yCtMzxV","AO Longo Do Rio","spotify:artist:3YndyZk8nVLJKspIBo0nLd","Melodiesinfonie","2019-02-22","https://i.scdn.co/image/ab67616d0000b2730497112a16de9bf0a25d2a7b","1","1","274285","https://p.scdn.co/mp3-preview/b7290b4908b4ba1b726b09ce088cd3cfdd944763?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","spotify:user:1231409117","2019-03-24T02:52:32Z"
"spotify:track:1tTPecWz7pCEKgGwtZNq9Q","Madness","spotify:artist:7mzj5bmHv7oFibvvj0hEzv","Magic Malik","spotify:album:4w5h87PHkSXJEznJ8lQbcA","69-96","spotify:artist:7mzj5bmHv7oFibvvj0hEzv","Magic Malik","2000-01-01","https://i.scdn.co/image/ab67616d0000b273a7c5a3b9d530323922e3d03a","1","2","456306","","false","0","spotify:user:1231409117","2014-02-25T22:06:24Z"
"spotify:track:4CHJYDsHreXk06i3YsibFu","To Forgive But Not Forget (Lim'Chol V'Lo Lishkoach)","spotify:artist:13rMjdgTaPy9gl8CgfQ4w5","Outside","spotify:album:7nMAVWXVDA4p0rAOu45MWQ","The Rough And The Smooth","spotify:artist:13rMjdgTaPy9gl8CgfQ4w5","Outside","1995-06-26","https://i.scdn.co/image/ab67616d0000b273c53874b328de3b16bfb4ceaa","1","4","352026","","false","0","spotify:user:1231409117","2014-02-25T22:06:44Z"
"spotify:track:1icQNegdhv2L3uJmnSQl5R","Kitty Wu","spotify:artist:68HFSFMCZzyRjkkm9bv5Vt","Jaga Jazzist","spotify:album:7FtNR47LHF4r2XOz0Jci2c","The Stix","spotify:artist:68HFSFMCZzyRjkkm9bv5Vt","Jaga Jazzist","2002","https://i.scdn.co/image/ab67616d0000b2737e775126122a9e2e528cef96","1","1","276880","","false","0","spotify:user:1231409117","2014-02-25T22:07:22Z"
"spotify:track:4G6IH48vCQgSKrJl4nCue1","Two Things","spotify:artist:68HFSFMCZzyRjkkm9bv5Vt","Jaga Jazzist","spotify:album:7zudtHd92B9NaBOMjKhlqo","Money Will Ruin Everything (2cd)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2003","https://i.scdn.co/image/ab67616d0000b27324dabab960a53999076e0c03","1","4","223613","","false","0","spotify:user:1231409117","2014-02-25T22:07:57Z"
"spotify:track:227rdQLiKPmBr19ZVIHNv8","Look Honey It's The Vitties!!!","spotify:artist:0nLTVC5FExtXgF3RoLh0TH","Shulman","spotify:album:6KQ54viEA1b64tdFH4pFDG","Random Thoughts","spotify:artist:0nLTVC5FExtXgF3RoLh0TH","Shulman","2006","https://i.scdn.co/image/ab67616d0000b273b1144b2fa48b1fe3337397d0","1","7","460000","https://p.scdn.co/mp3-preview/b8a93c7174dc87a27d2a87f477535da0f8cc5b04?cid=9950ac751e34487dbbe027c4fd7f8e99","false","7","spotify:user:1231409117","2014-02-25T22:11:00Z"
"spotify:track:6chSFyyJC6ecsO9FnkBrx6","Road Song - LV Remix","spotify:artist:0D3h8NZqNp7BN97JwtV6eW, spotify:artist:5d4kdwU7uEHb51W4JIV70e","Tigran Hamasyan, LV","spotify:album:6Bx0jcQu1Gn1ZhXeyKg1dl","The Poet","spotify:artist:0D3h8NZqNp7BN97JwtV6eW","Tigran Hamasyan","2013-01-01","https://i.scdn.co/image/ab67616d0000b27351c81d109752cbb1a255f52e","1","3","311173","","false","0","spotify:user:1231409117","2014-03-19T06:03:59Z"
"spotify:track:7bWpjbq4oaetwTlAtngpyb","Nu Dygz","spotify:artist:6GwrVa9RE3yPibcVSyGlTP","Revolution Void","spotify:album:2cwxzqQ2f7A5seX23PEqIr","Let 1,000 Flowers Bloom","spotify:artist:6GwrVa9RE3yPibcVSyGlTP","Revolution Void","2011-08-14","https://i.scdn.co/image/ab67616d0000b2732fe8fa0d45de18aca4c35623","1","13","431254","","false","0","spotify:user:1231409117","2014-03-19T07:02:00Z"
"spotify:track:6Hvx5sqqUg4PnimNjAvrQK","Hot Flush (Sabres of Paradise remix)","spotify:artist:1BQtFnxZvAvTCZgTMlED0Q","Red Snapper","spotify:album:5OUeaRU6WSD7GSHKTPsxhj","Red Snapper","spotify:artist:1BQtFnxZvAvTCZgTMlED0Q","Red Snapper","2003-02-01","https://i.scdn.co/image/ab67616d0000b273b4d860d31aa3245bcae5ce69","1","6","485160","https://p.scdn.co/mp3-preview/e84ffe40a27b29acab3c5b59a324c399e379b19e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","spotify:user:1231409117","2014-03-21T23:44:04Z"
"spotify:track:1MvG1vrfmLuW558hWvDhL6","Flight","spotify:artist:4Rj2COYs5hQsw8rYIxSviz","Hidden Orchestra","spotify:album:05EKAh2enH4uuFwDmVcbKG","Archipelago","spotify:artist:4Rj2COYs5hQsw8rYIxSviz","Hidden Orchestra","2012-10-01","https://i.scdn.co/image/ab67616d0000b273bacf0b8c159df3d91a93f75b","1","3","467240","https://p.scdn.co/mp3-preview/fe435cd9a496a6e83afe04a632603160824b1b41?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","spotify:user:1231409117","2014-05-14T12:27:16Z"
