"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:4gu0AQJevmk5noyD2pr2Zh","Get Down On It","spotify:artist:3VNITwohbvU5Wuy5PC6dsI","Kool & The Gang","spotify:album:4wWEDdybB2Wic6pk31fNE4","Kool & The Gang - Collected","spotify:artist:3VNITwohbvU5Wuy5PC6dsI","Kool & The Gang","2018-05-25","https://i.scdn.co/image/ab67616d0000b273e3c408f9a8354fdea318ece4","2","3","211680","https://p.scdn.co/mp3-preview/18e3b9f417d4aab7de5d478a3e36738c8fe58bc1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","spotify:user:","2020-05-08T09:11:07Z"
"spotify:track:64JkfFIUe4gQTCXCQESF2X","Fantastic Voyage - Extended","spotify:artist:74lTWE4DqbFU3Vn8z4uH72","Lakeside","spotify:album:6qEgsBxOzMnrWyc4iOhGQp","The Best of Lakeside","spotify:artist:74lTWE4DqbFU3Vn8z4uH72","Lakeside","2014-09-08","https://i.scdn.co/image/ab67616d0000b2730614cf93870c3829390a187f","1","8","369800","https://p.scdn.co/mp3-preview/3ac99dd2b2aef45906129b63501eb5d8f288d695?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","spotify:user:","2020-05-08T09:11:07Z"
"spotify:track:55xXj4qc4ByMxcVRb5Slc4","Funkin' for Jamaica","spotify:artist:4Ytvi4r3WPIZmEw1Ndmkp9","Tom Browne","spotify:album:7MKr7uOdenxSKTk0RCZ0mP","Love Approach (Bonus Track)","spotify:artist:4Ytvi4r3WPIZmEw1Ndmkp9","Tom Browne","1980-02-01","https://i.scdn.co/image/ab67616d0000b2736df6717ecc972ccbb87c13c7","1","1","282080","https://p.scdn.co/mp3-preview/b7b054e0ca5776c89127408661ffefbe01ceffc4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","spotify:user:","2020-05-08T09:11:07Z"
"spotify:track:5uuJruktM9fMdN9Va0DUMl","Play That Funky Music","spotify:artist:4apX9tIeHb85yPyy4F6FJG","Wild Cherry","spotify:album:27ompw8zlrCkWMacS21ysX","Wild Cherry","spotify:artist:4apX9tIeHb85yPyy4F6FJG","Wild Cherry","1976","https://i.scdn.co/image/ab67616d0000b273d419ed4f1e89669ce14bd369","1","1","300000","https://p.scdn.co/mp3-preview/9084c1e6e8ed1e92ec3bb19a9f42bf5f8826763d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","spotify:user:","2020-05-08T09:11:07Z"
"spotify:track:3whRKAOlJ0M3banzcChvQv","Get Up Offa That Thing","spotify:artist:7GaxyUddsPok8BuhxN6OUW","James Brown","spotify:album:6CygdzTfDPgHKm8RAuiV7R","Cold Sweat & Other Soul Classics: James Brown","spotify:artist:7GaxyUddsPok8BuhxN6OUW","James Brown","1987-01-01","https://i.scdn.co/image/ab67616d0000b27355de9995695e8aac0beb13cd","1","14","250386","https://p.scdn.co/mp3-preview/558e19e95a24ca81e514871f0447d3b32255294d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","spotify:user:","2020-05-08T09:11:07Z"
"spotify:track:6uqTETWok9npbL4c9cuLVh","Clean up Woman","spotify:artist:0PDqlUGugF5Jt6DZyATvfz","Betty Wright","spotify:album:4dCm84vJLO30e0fiS3sgPi","I Love The Way You Love","spotify:artist:0PDqlUGugF5Jt6DZyATvfz","Betty Wright","1972","https://i.scdn.co/image/ab67616d0000b2737163b82729a39208df40c3e4","1","6","169533","https://p.scdn.co/mp3-preview/f9281960cad8c97ed4b7f3cd807460979adf75b1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","spotify:user:","2020-04-15T02:39:51Z"
"spotify:track:5shPZ6RnC6sCm0iSZiv7wU","Controversy","spotify:artist:5a2EaR3hamoenG9rDuVn8j","Prince","spotify:album:68qpubhEKJPAKgWarrqfoA","Controversy","spotify:artist:5a2EaR3hamoenG9rDuVn8j","Prince","1981-10-14","https://i.scdn.co/image/ab67616d0000b273a82027e8ed24c2b16b91adac","1","1","435333","https://p.scdn.co/mp3-preview/11edc8645e6054d10a2bd2a55d3bd4979bc52505?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","spotify:user:","2020-05-08T09:11:07Z"
"spotify:track:2j8m9sboX9FFadbKctTXq1","Galaxy","spotify:artist:3ICyfoySNDZqtBVmaBT84I","War","spotify:album:3ja5mrhVqXnPJoDAc0A9D1","Galaxy","spotify:artist:3ICyfoySNDZqtBVmaBT84I","War","1977-01-01","https://i.scdn.co/image/ab67616d0000b27395488a19c56009902fee07d3","1","1","491000","","false","0","spotify:user:","2020-05-08T09:11:07Z"
"spotify:track:5FJlZUlKxvqkrPMSOh8jFK","Pick Up The Pieces","spotify:artist:3tx8fyu3c4OBP5nejYtUOb","Average White Band","spotify:album:6BRKdiPDkmi4UP31LetL6C","Let's Go Round Again: The Best Of AWB","spotify:artist:3tx8fyu3c4OBP5nejYtUOb","Average White Band","2009-04-27","https://i.scdn.co/image/ab67616d0000b27397791e9da43cec62192b1d77","1","3","234586","","false","40","spotify:user:","2020-05-08T09:11:07Z"
"spotify:track:1kG2PZ8geznbDA8I6iWeDi","Think (About It)","spotify:artist:6XJPGyxrP66scKvIE9kpPN","Lyn Collins","spotify:album:2197TH5e4lrSiZvYUPh3YE","Think (About It)","spotify:artist:6XJPGyxrP66scKvIE9kpPN","Lyn Collins","1972-09-27","https://i.scdn.co/image/ab67616d0000b273c0bb2637909a442c6467af70","1","1","204160","https://p.scdn.co/mp3-preview/dbb0d0d275988efb8f6cc00ebfeb2699af7c82c8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","spotify:user:","2020-05-08T09:11:07Z"
