"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:5euz3r8UPd1b8YYstR3nDH","Hunting Heads","spotify:artist:3RPnyf7t9phTwwSzQgaZYb","David Garfield","spotify:album:3gkJk5kJkI9YPzAWtJP16E","Hunting Heads","spotify:artist:3RPnyf7t9phTwwSzQgaZYb","David Garfield","2021-04-09","https://i.scdn.co/image/ab67616d0000b2733557ed5c92425d408bd0f0fa","1","1","422882","https://p.scdn.co/mp3-preview/7761ea57e4b179c5fcbd1e7545b2c05bff3d3188?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","spotify:user:","2021-04-09T04:01:00Z"
"spotify:track:5RrJCusmR1J54b5ivqdWIu","Spain","spotify:artist:5olDKSsFhhmwh8UCWwKtpq, spotify:artist:1txWOvvuItlRlkB4rM0cUK","Chick Corea, Return To Forever","spotify:album:2b53ZhXIiCGr3rPTYkpVeF","Light As A Feather","spotify:artist:5olDKSsFhhmwh8UCWwKtpq, spotify:artist:1txWOvvuItlRlkB4rM0cUK","Chick Corea, Return To Forever","1973-01-01","https://i.scdn.co/image/ab67616d0000b273c4f672078a1e58460b23e1ea","1","6","590866","https://p.scdn.co/mp3-preview/aeb562396cd45edb802eceff244acebdf6e83478?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","spotify:user:","2021-02-12T00:49:35Z"
"spotify:track:5F8tuVZJ3271tRNO7IR0uT","One More !!?!??","spotify:artist:07icU8dCi2MTeBGuvN8NyL, spotify:artist:30bEdA2CsbSiID0KykWvkc, spotify:artist:7gCuEDDLkP88rX2pk2XaZV","Mathieu Fiset, Larnell Lewis, Jordan Rudess","spotify:album:394rQAMc6iNZIzLyelepRf","One More !!?!??","spotify:artist:07icU8dCi2MTeBGuvN8NyL","Mathieu Fiset","2021-05-07","https://i.scdn.co/image/ab67616d0000b27386aa34eca9403df45142ac7e","1","1","248174","https://p.scdn.co/mp3-preview/8c7a0eaf4a8ffe33a6a15091e68909a465b5112f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","spotify:user:","2021-05-07T04:01:00Z"
"spotify:track:1aWo4XIXPCD8VKHs4u7r0Y","One Day","spotify:artist:1zHPRenzLeI2vhT7nlR6Mq, spotify:artist:5oldzkZrHypxJpr1ri05Fu","Yellowjackets, WDR Big Band","spotify:album:1jKWrSJPdFQDTJ4H93RDC4","One Day","spotify:artist:1zHPRenzLeI2vhT7nlR6Mq, spotify:artist:5oldzkZrHypxJpr1ri05Fu","Yellowjackets, WDR Big Band","2020-10-02","https://i.scdn.co/image/ab67616d0000b273d46b48a2d48475e9c91cf0a6","1","1","392960","","false","0","spotify:user:","2021-02-12T00:49:35Z"
"spotify:track:3SGoqlMWoiUjxU38CrxMs4","Teki","spotify:artist:2i1CPudyCUjL50Wqjv8AMI","Alfa Mist","spotify:album:1pIwUzeY7bzkKQJrqA4gHQ","Teki","spotify:artist:2i1CPudyCUjL50Wqjv8AMI","Alfa Mist","2021-04-16","https://i.scdn.co/image/ab67616d0000b2739f7413d33dfcd9b00eb99f84","1","1","360053","https://p.scdn.co/mp3-preview/e39b5a2256acc224481e2a1ec1138b9bde5191d9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","spotify:user:","2021-04-16T04:01:00Z"
"spotify:track:0PfyfwL0q82ZcOUiRACsmz","Eastern Kaleidoscope","spotify:artist:5jBSBF7Zw8vcx5WeyWBB8Y, spotify:artist:2RL3ExDPPOHcLBEoVxMhZw, spotify:artist:3zX0EMvB00JzxnRi5EIICP","Usein Bekirov, Max Malyshev, Mike Stern","spotify:album:7pshypV8ORdfWsH22BstvI","Eastern Kaleidoscope","spotify:artist:5jBSBF7Zw8vcx5WeyWBB8Y, spotify:artist:2RL3ExDPPOHcLBEoVxMhZw, spotify:artist:3zX0EMvB00JzxnRi5EIICP","Usein Bekirov, Max Malyshev, Mike Stern","2021-04-30","https://i.scdn.co/image/ab67616d0000b273735bd3c16021017da0b83cdf","1","1","384356","https://p.scdn.co/mp3-preview/1aac1b5d10588484ff87a68777b896d926a9fcf1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","spotify:user:","2021-04-30T04:01:00Z"
"spotify:track:10hx4sKe98T1f4szHV5zru","Silver Lining","spotify:artist:0lSFr65zkY254m1qbHAb5k","J3PO","spotify:album:5kR7t1B8wTKFKi6kfyKyiv","MAINS","spotify:artist:0lSFr65zkY254m1qbHAb5k","J3PO","2021-06-04","https://i.scdn.co/image/ab67616d0000b27332762c87bb27166ee0531438","1","11","222554","https://p.scdn.co/mp3-preview/d20217baffca016cdee3dc0a12d4c33aeacfe5f0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","spotify:user:","2021-06-04T04:01:00Z"
"spotify:track:6K3g2CecVzfknsgj4V1NxH","Coffee Break Is Over","spotify:artist:5Apl0wL4OwNUDYkx69rMDQ","Dirty Loops","spotify:album:1jZLSW3sm0wWumdXgHtLMG","Phoenix","spotify:artist:5Apl0wL4OwNUDYkx69rMDQ","Dirty Loops","2020-11-18","https://i.scdn.co/image/ab67616d0000b273423b4571dbb20ef28a59cebe","1","8","189093","https://p.scdn.co/mp3-preview/5c2af4897a5dc8d31377e66e797264f6606c295d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","spotify:user:","2021-02-12T00:49:35Z"
"spotify:track:3L3JqFvXR2Y2W9LhG1ZjE9","Magnetar (feat. Adam Deitch & Shaun Martin)","spotify:artist:3USL7r0FYOWUiTPQGz3HpP, spotify:artist:1robtEQJL2Fh639r3ksMfw, spotify:artist:14Im3li8h1ehG6eM3lersk","Mark Lettieri, Adam Deitch, Shaun Martin","spotify:album:7lE7qB2f0S6IL4aUJjKzA4","Magnetar (feat. Adam Deitch & Shaun Martin)","spotify:artist:3USL7r0FYOWUiTPQGz3HpP","Mark Lettieri","2021-04-09","https://i.scdn.co/image/ab67616d0000b2737e807f8d399d5ddedc124cff","1","1","276293","https://p.scdn.co/mp3-preview/f58986ce7792f6dd148ed652bde0b48a47f590ee?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","spotify:user:","2021-04-09T04:01:00Z"
"spotify:track:2w9QlilA4qcAt10ntA9RaJ","Gimme 5","spotify:artist:2GTIa7Clthfpu7hivToeD4","Gabriel Santiago","spotify:album:3bXkU11mAtRR4h1w5NI4rU","Gimme 5","spotify:artist:2GTIa7Clthfpu7hivToeD4","Gabriel Santiago","2020-11-06","https://i.scdn.co/image/ab67616d0000b273c54f939a219bb123bbaf8d1d","1","1","235106","https://p.scdn.co/mp3-preview/24f1ae00a6eb4bbe6a1dfee324015b9a096222b6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","spotify:user:","2021-02-12T00:49:35Z"
"spotify:track:7pZ48MAPRThhNxPthsNeE1","Never Ending","spotify:artist:5Ga4ie7tlXW9Fc6ObLbSCY","H ZETTRIO","spotify:album:0SxjpfNg8pDyOEerHOa9uC","Never Ending","spotify:artist:5Ga4ie7tlXW9Fc6ObLbSCY","H ZETTRIO","2020-10-01","https://i.scdn.co/image/ab67616d0000b273c668a4a5cfd1c64aad78a387","1","1","169000","https://p.scdn.co/mp3-preview/ab3a556e6d4b1ce7f968d387446247ae913c8246?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","spotify:user:","2021-02-12T00:49:35Z"
"spotify:track:02PJJnPoA2IBc8KzfY9oGi","Growing Up!","spotify:artist:7BwOjwl5mKpGVIvzvqEcie","T-SQUARE","spotify:album:3i45UQm0FWXa4kTRQNDvb6","Growing Up!","spotify:artist:7BwOjwl5mKpGVIvzvqEcie","T-SQUARE","2021-04-07","https://i.scdn.co/image/ab67616d0000b273176625af28ecd54ec8ef93c9","1","1","260866","https://p.scdn.co/mp3-preview/6e051c285304cd4c9d6aae23e5a6132eb0486e66?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","spotify:user:","2021-04-09T04:01:00Z"
"spotify:track:3uBzQS4jsalo9o1CXYs8lw","Petrichor","spotify:artist:67ykMebIGuLMYDPqXo2A6v","St. Barbe","spotify:album:0105AvGJRPBqCbzwk4pPzq","Shapeless","spotify:artist:67ykMebIGuLMYDPqXo2A6v","St. Barbe","2021-01-29","https://i.scdn.co/image/ab67616d0000b2739b1cb5e2d6dc8ff073a6c465","1","3","348733","https://p.scdn.co/mp3-preview/6ee4a1798ad07ce8cf645dbbc442e1743fb440c0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","spotify:user:","2021-02-12T00:49:35Z"
