"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:6psC59ooTxage8npmtg74G","Do The Astral Plane","spotify:artist:29XOeO6KIWxGthejQqn793","Flying Lotus","spotify:album:5c7XChrHxYaqykCZLaGM5f","Cosmogramma","spotify:artist:29XOeO6KIWxGthejQqn793","Flying Lotus","2010-05-03","https://i.scdn.co/image/ab67616d0000b273a9e54a589a171c955c54ed79","1","10","237920","https://p.scdn.co/mp3-preview/19b3eb7e97dc5501ec5e5e813246e163d713b0c4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","spotify:user:1263392702","2013-07-22T15:46:35Z"
"spotify:track:2rxkCfkZ4UY3LfUPQE3Mi3","Cuckoo","spotify:artist:1soJ22UMyjIw6SYFtoFJwe","Tipper","spotify:album:6HyssTrpFP3E4MKp3Rkigs","Broken Soul Jamboree","spotify:artist:1soJ22UMyjIw6SYFtoFJwe","Tipper","2010-11-15","https://i.scdn.co/image/ab67616d0000b273a07262dfe00aa973c78e8925","1","2","291128","","false","0","spotify:user:1263392702","2013-07-22T15:59:38Z"
"spotify:track:0aoI4YbD8GHhH16PO7jO1e","It Was Whatever","spotify:artist:6y80I9YZi4DOpbaSUlL725","Shlohmo","spotify:album:0hqdYluomiaZ1g4U0V4ydw","Bad Vibes","spotify:artist:6y80I9YZi4DOpbaSUlL725","Shlohmo","2011-08-09","https://i.scdn.co/image/ab67616d0000b27313a577f64381054dbba52676","1","4","244362","","false","0","spotify:user:1263392702","2013-07-22T14:53:31Z"
"spotify:track:6qnEO8B74YdMi3hkfQk2Xb","Marijuana","spotify:artist:2pTCZ9C1fXdaVlv6d5EIXM","Chrome Sparks","spotify:album:0ADqv18FGlEOIHni3Tg5sC","Sparks EP","spotify:artist:2pTCZ9C1fXdaVlv6d5EIXM","Chrome Sparks","2013-03-04","https://i.scdn.co/image/ab67616d0000b2730f71dbfc5943ab3437a01817","1","2","181149","","false","0","spotify:user:1263392702","2013-07-22T16:19:40Z"
"spotify:track:3KygISZzWLMc7ScJ16pYfa","1685/Bach","spotify:artist:0IVapwlnM3dEOiMsHXsghT","Nosaj Thing","spotify:album:5hAYGaI45A3xyfyztCQV5j","Drift","spotify:artist:0IVapwlnM3dEOiMsHXsghT","Nosaj Thing","2009-06-09","https://i.scdn.co/image/ab67616d0000b27396fd330d6d3bfb2579aae913","1","5","168333","","false","0","spotify:user:1263392702","2013-07-22T17:12:59Z"
"spotify:track:5ULcHWDMA3GKd9Ib4pUSh6","Xtal","spotify:artist:6kBDZFXuLrZgHnvmPu9NsG","Aphex Twin","spotify:album:1QKEqZbT2w2WzOeMt5CHX0","Selected Ambient Works 85-92","spotify:artist:6kBDZFXuLrZgHnvmPu9NsG","Aphex Twin","1992","https://i.scdn.co/image/ab67616d0000b273c89eccd8063e002aadcf1ef9","1","1","293751","","false","0","spotify:user:1263392702","2013-07-22T13:43:43Z"
"spotify:track:2Psir2pDbYcF7La1xrmy0d","Mouves","spotify:artist:0d00ssafltw8HYv2zxe4fD","Tropics","spotify:album:4srYBllx35jNVUWJD3AmBh","Parodia Flare","spotify:artist:0d00ssafltw8HYv2zxe4fD","Tropics","2011-09-19","https://i.scdn.co/image/ab67616d0000b273d947894b01b4c88553edff73","1","2","313000","https://p.scdn.co/mp3-preview/5c269fccf63f31cd8ed4e440008120b8fd5b5b22?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","spotify:user:1263392702","2020-08-25T04:38:36Z"
"spotify:track:2B6fPIjcfa0Ddf06dPHE3T","(flake)","spotify:artist:5qvYokMeJUfBYTqaUnegE8, spotify:artist:7JYdpWAsiqzrmMB3qxkEbI, spotify:artist:5gGbAKDXhDoBXIJe8SuBvX","Jameszoo, Metropole Orkest, Jules Buckley","spotify:album:2MJgfTawRQEcKcl1qXLtKh","Melkweg","spotify:artist:5qvYokMeJUfBYTqaUnegE8, spotify:artist:7JYdpWAsiqzrmMB3qxkEbI, spotify:artist:5gGbAKDXhDoBXIJe8SuBvX","Jameszoo, Metropole Orkest, Jules Buckley","2019-05-17","https://i.scdn.co/image/ab67616d0000b27313d6c82dec0fb2b710ad4d27","1","1","454774","https://p.scdn.co/mp3-preview/9583b58a24b0a9eaf7bce470c1c8f1e06cec38ed?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","spotify:user:1263392702","2020-08-25T04:37:43Z"
"spotify:track:7A4AUTyYR4HFSjDoYcXKqQ","Turtle Funk","spotify:artist:7Czyyo31ZyZL1VLtYaTkW0","Patricia","spotify:album:1i2A5cHnThaHm5Mk6Y0n65","Turtle Funk","spotify:artist:7Czyyo31ZyZL1VLtYaTkW0","Patricia","2020-05-21","https://i.scdn.co/image/ab67616d0000b2734281a9f7851d78091e38b559","1","1","287777","https://p.scdn.co/mp3-preview/19c591267a5e2fc63fcbfa5973c1aa0020240c20?cid=9950ac751e34487dbbe027c4fd7f8e99","false","4","spotify:user:1263392702","2020-08-25T04:37:43Z"
"spotify:track:5Y6phdep04CIJqRW4Bg4X9","Ultradian - Original Mix","spotify:artist:5RbnNTFDn5pu1N3x8eR8st","Spundose","spotify:album:4cUbR3T7snV1PTA4e88L7L","A Sacred Space","spotify:artist:5RbnNTFDn5pu1N3x8eR8st","Spundose","2014-06-10","https://i.scdn.co/image/ab67616d0000b2731ceb5343dbaafcbbf2884bc4","1","3","261052","https://p.scdn.co/mp3-preview/7984966a106b4e7cab482ee9fbfa976e8da3e5d9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","spotify:user:1263392702","2020-08-25T03:46:07Z"
