"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:4E6wpXABj8XosZEPXZz2OK","Bleed","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","spotify:album:2x2VoPa1pG2jSElA73a9Xa","ObZen","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","2008-03-07","https://i.scdn.co/image/ab67616d0000b2735ccc8b2dc988bafc68c55826","1","3","442733","","false","0","spotify:user:","2021-02-23T08:45:59Z"
"spotify:track:6i8TDqnHN7GF9uU3LJCklq","Cafo","spotify:artist:65C6Unk7nhg2aCnVuAPMo8","Animals As Leaders","spotify:album:5hVRBZCUCcU3UIhxNikyhf","Animals as Leaders - Encore Edition","spotify:artist:65C6Unk7nhg2aCnVuAPMo8","Animals As Leaders","2015-07-10","https://i.scdn.co/image/ab67616d0000b2733414817295828da95689f5d5","1","8","401129","https://p.scdn.co/mp3-preview/4bfa9521021834ce7fdcefcc36f1905063995e4a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","spotify:user:","2021-02-23T08:45:59Z"
"spotify:track:77Dj9s0W077FDWgEUpzQhu","Blood Eagle","spotify:artist:6d24kC5fxHFOSEAmjQPPhc","Periphery","spotify:album:3ewFn7Jr3XY7qidzb3ImVd","Blood Eagle","spotify:artist:6d24kC5fxHFOSEAmjQPPhc","Periphery","2019-02-06","https://i.scdn.co/image/ab67616d0000b2738c8198c86563bd413a03c7bf","1","1","358120","https://p.scdn.co/mp3-preview/33a2a6800d53a07fbfedcefba026f3f8bcce6734?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","spotify:user:","2021-02-23T08:45:59Z"
"spotify:track:1vnpW0MkecIiL3IkEqkmTj","Vivid","spotify:artist:03mz3G1gu1GPNgAWY4qR2w","SikTh","spotify:album:4JmBVe1ha6JOnbqSJKiXaz","The Future in Whose Eyes?","spotify:artist:03mz3G1gu1GPNgAWY4qR2w","SikTh","2017-06-02","https://i.scdn.co/image/ab67616d0000b273eb411882aa5768e394e73b96","1","1","268666","https://p.scdn.co/mp3-preview/aca873b945748e34ad56994911453668b975b6f9?cid=9950ac751e34487dbbe027c4fd7f8e99","true","25","spotify:user:","2021-02-23T08:45:59Z"
"spotify:track:5l3ixdypB5Wptrx9ZxHewT","Early Grave","spotify:artist:7nCgNmfYJcsVy3vOOzExYS","The Contortionist","spotify:album:4VyzqJxJT7RyotKF20NimE","Early Grave","spotify:artist:7nCgNmfYJcsVy3vOOzExYS","The Contortionist","2019-06-25","https://i.scdn.co/image/ab67616d0000b2738302ff14ee0034dd8a45b8dd","1","1","231220","","false","0","spotify:user:","2021-02-23T08:45:59Z"
"spotify:track:36WfOjorByjWNJXJ96Op8u","Thousand-Arms Fortress","spotify:artist:2g5SOob5tmBbErT2JNY4fh","Returning We Hear the Larks","spotify:album:6222MQeLrdKWbBYmCqrotk","Thousand-Arms Fortress","spotify:artist:2g5SOob5tmBbErT2JNY4fh","Returning We Hear the Larks","2017-08-25","https://i.scdn.co/image/ab67616d0000b273e7e679143376c458ba86bef8","1","1","349192","https://p.scdn.co/mp3-preview/3e62c681315b35b015021653663a8414ed0fc5f2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","spotify:user:","2021-02-23T08:45:59Z"
"spotify:track:6I1HQ1fAggIDm17CXJo6aq","The Rat & The Snake","spotify:artist:0OG1DoaGFeeXGYBGbbCjka, spotify:artist:05te9cG7cEF5EuxU9JqnCk","Ghost Iris, Tyler Shelton","spotify:album:71AN4Bro8X57lLN90tfelX","Apple of Discord","spotify:artist:0OG1DoaGFeeXGYBGbbCjka","Ghost Iris","2019-02-22","https://i.scdn.co/image/ab67616d0000b2736721cde272967b3987a2de97","1","6","246750","https://p.scdn.co/mp3-preview/b90c64fbb0a0de15f3f9d8abb1227c0bedca2300?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","spotify:user:","2021-02-23T08:45:59Z"
"spotify:track:17ZTjoAXGBEQQBKIf9n1L3","Uncharted","spotify:artist:0FZcPgWI3BsFQl4rOAGSHT","Make Them Suffer","spotify:album:1qKNenjTiNf72CXtCze4J3","Worlds Apart","spotify:artist:0FZcPgWI3BsFQl4rOAGSHT","Make Them Suffer","2017-07-28","https://i.scdn.co/image/ab67616d0000b273871aedbeb6c85d48a5010fe4","1","2","292500","https://p.scdn.co/mp3-preview/3475cbe7f8b4922dfb520c461f2ca95c9ba5f81c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","spotify:user:","2021-02-23T08:45:59Z"
"spotify:track:5K6xqw7d635FygPni9IIqK","We the Shaded","spotify:artist:6LE9lW3E48cGM8tk5UGv30","Harkla","spotify:album:2K5o4C3svh2VrTQ1lO4cpB","Necrosis","spotify:artist:6LE9lW3E48cGM8tk5UGv30","Harkla","2017-03-03","https://i.scdn.co/image/ab67616d0000b27359b8e8ba08dd1281a2b09a3d","1","3","301750","https://p.scdn.co/mp3-preview/9e1871ff88fb77fcb83c87bf33614e4a0da9b767?cid=9950ac751e34487dbbe027c4fd7f8e99","true","32","spotify:user:","2021-02-23T08:45:59Z"
"spotify:track:39v9F4fMRSvpYPx9AOg9WW","Clairvoyant","spotify:artist:7nCgNmfYJcsVy3vOOzExYS","The Contortionist","spotify:album:5xBtUANwVKmjYKgPzdMPcP","Clairvoyant","spotify:artist:7nCgNmfYJcsVy3vOOzExYS","The Contortionist","2017-09-15","https://i.scdn.co/image/ab67616d0000b2739b805074fa77cb6ce20d7b05","1","4","457226","","false","0","spotify:user:","2021-02-23T08:45:59Z"
