"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:5soMJpcVhSrGrB4prvPL6P","Rip & Tear","spotify:artist:13ab1LgQZ3tQOhkDRRYB8Y","Mick Gordon","spotify:album:0KQyC28P9808r0oKKNgHvp","Doom (Original Game Soundtrack)","spotify:artist:13ab1LgQZ3tQOhkDRRYB8Y","Mick Gordon","2016-09-28","https://i.scdn.co/image/ab67616d0000b273aad36b64a1a78951b504bc4e","1","2","257734","https://p.scdn.co/mp3-preview/6acb350195e87fbc28857250900316dd85391167?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","spotify:user:djp5g3eiv7kf34h2gzjuk7kzt","2020-05-04T13:27:52Z"
"spotify:track:7J4yQt7P7XExNeljWEvt2D","Bleed","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","spotify:album:3J6Tc1cPw8LovadG8LkcFP","Obzen","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","2008-03-07","https://i.scdn.co/image/ab67616d0000b2738d2812ce4b9d9eb009711000","1","3","442733","https://p.scdn.co/mp3-preview/dc17594ca5e1840558e11ce57c45394b7b3175cc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","spotify:user:djp5g3eiv7kf34h2gzjuk7kzt","2020-05-04T13:28:44Z"
"spotify:track:3p2dIJEHSRvY9tiPFkHL5A","No Love/No One","spotify:artist:3Zj2B8yAi8gHoR8vpsPatZ","Gideon","spotify:album:3pqRbzSeA7Weo0wYpTHgWn","No Love/No One","spotify:artist:3Zj2B8yAi8gHoR8vpsPatZ","Gideon","2019-02-01","https://i.scdn.co/image/ab67616d0000b27327c815ed4c1f49698ca08f29","1","1","208950","https://p.scdn.co/mp3-preview/98561077c8c19835eb72f4d34021b76dd5a65585?cid=9950ac751e34487dbbe027c4fd7f8e99","true","35","spotify:user:djp5g3eiv7kf34h2gzjuk7kzt","2020-05-04T13:28:46Z"
"spotify:track:2MnoixTbiXxlhdscEKYcSy","Sit Stay Roll Over","spotify:artist:7o6cOczXTB8ioTAAJTbESf","Jinjer","spotify:album:34d5piioQWqO1vuqAHuFT1","King of Everything","spotify:artist:7o6cOczXTB8ioTAAJTbESf","Jinjer","2016-07-29","https://i.scdn.co/image/ab67616d0000b273ae9f1930ffcc30a63f45e0bd","1","6","262363","https://p.scdn.co/mp3-preview/897a79b6df560fb4f86e8bc1099efcee3de224b9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","spotify:user:djp5g3eiv7kf34h2gzjuk7kzt","2020-05-04T13:29:15Z"
"spotify:track:7oHcyBXv4E1Bf8IMkrKORG","Cursed","spotify:artist:3Zj2B8yAi8gHoR8vpsPatZ","Gideon","spotify:album:7MvOXPaapEpyCUsIXA2MFJ","Cold","spotify:artist:3Zj2B8yAi8gHoR8vpsPatZ","Gideon","2017-05-12","https://i.scdn.co/image/ab67616d0000b27300158fb23234a6946eb50fcd","1","2","182785","https://p.scdn.co/mp3-preview/760b62946d3f7c5b1931a87d45d56234bc6c3a09?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","spotify:user:djp5g3eiv7kf34h2gzjuk7kzt","2020-05-04T13:29:34Z"
"spotify:track:5qD3Qv8Wu3r5uRD0DahcZy","Bow Down","spotify:artist:3Uobr6LgQpBbk6k4QGAb3V","I Prevail","spotify:album:2QRU8jGOJHDMrCTPKIHVik","TRAUMA","spotify:artist:3Uobr6LgQpBbk6k4QGAb3V","I Prevail","2019-03-29","https://i.scdn.co/image/ab67616d0000b27324261dc1d55e438883664bfd","1","1","242680","https://p.scdn.co/mp3-preview/66486dc1773c3b7f5fff97b0c889273b172ac1e2?cid=9950ac751e34487dbbe027c4fd7f8e99","true","66","spotify:user:djp5g3eiv7kf34h2gzjuk7kzt","2020-05-04T13:29:35Z"
"spotify:track:09TYM8GCSYtQmpaXe8kYuK","Blood Eagle","spotify:artist:6d24kC5fxHFOSEAmjQPPhc","Periphery","spotify:album:1seeMmdvQUplCh1cTRbWJx","Periphery IV: HAIL STAN","spotify:artist:6d24kC5fxHFOSEAmjQPPhc","Periphery","2019-04-05","https://i.scdn.co/image/ab67616d0000b273ff0e4ca93eec94b21340f8e8","1","2","358120","https://p.scdn.co/mp3-preview/33a2a6800d53a07fbfedcefba026f3f8bcce6734?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","spotify:user:djp5g3eiv7kf34h2gzjuk7kzt","2020-05-04T13:29:44Z"
"spotify:track:70SkWedrjKzDgKrqHZwAf4","Engine 45","spotify:artist:6kQB2RN7WwryMdJ1MoQh1E","The Ghost Inside","spotify:album:3r2Tup1FQ1xiDr78Q7s71v","Get What You Give","spotify:artist:6kQB2RN7WwryMdJ1MoQh1E","The Ghost Inside","2012-06-19","https://i.scdn.co/image/ab67616d0000b273eaccf766c181fa3ff24048d4","1","3","252155","https://p.scdn.co/mp3-preview/b4d81847ce8ce799e732bf088eac0f813bb4f8f1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","spotify:user:djp5g3eiv7kf34h2gzjuk7kzt","2020-05-04T13:29:46Z"
"spotify:track:2gYLeC5Ikd8DFSJfwGZJp3","Bloodline","spotify:artist:3qyg72RGnGdF521zMU02u9","Northlane","spotify:album:29q56s9HFBRPKUmSfkeFZx","Alien","spotify:artist:3qyg72RGnGdF521zMU02u9","Northlane","2019-08-02","https://i.scdn.co/image/ab67616d0000b273035f1b8eecca44a114356252","1","2","205666","https://p.scdn.co/mp3-preview/09f308d3fa4aa1b65ebbc98d3baef23fd686a207?cid=9950ac751e34487dbbe027c4fd7f8e99","true","54","spotify:user:djp5g3eiv7kf34h2gzjuk7kzt","2020-05-04T13:29:51Z"
"spotify:track:41j5jb1uMw7rNzHFcoRaWU","2 Deep","spotify:artist:3Zj2B8yAi8gHoR8vpsPatZ","Gideon","spotify:album:3pqRbzSeA7Weo0wYpTHgWn","No Love/No One","spotify:artist:3Zj2B8yAi8gHoR8vpsPatZ","Gideon","2019-02-01","https://i.scdn.co/image/ab67616d0000b27327c815ed4c1f49698ca08f29","1","2","191364","https://p.scdn.co/mp3-preview/703e32043456472ca6243057dd99955654298e1a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","spotify:user:djp5g3eiv7kf34h2gzjuk7kzt","2020-05-04T13:29:53Z"
