"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:7N1Vq4WmB9xKtYC7ErkNKJ","Free Sample","spotify:artist:6quCxsPM8fOxowmqOx5j93","Dylan Sitts","spotify:album:79FoCOHKpYLTps1AAqiLCV","Club Fantastic","spotify:artist:6quCxsPM8fOxowmqOx5j93","Dylan Sitts","2021-03-19","https://i.scdn.co/image/ab67616d0000b2739c7571d41cecd3be5c550685","1","5","128200","https://p.scdn.co/mp3-preview/e1514cf13f0c7492129a302b8c286c8b1f21ce0c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","spotify:user:","2021-05-06T12:47:25Z"
"spotify:track:0e6UrhLAH2lnNe6zdlUTBN","running out of time","spotify:artist:2QFuIA3uFMQAidzZe9x3Bw","NON","spotify:album:0sH4ZqrqNsEqUWBtc34EaS","future","spotify:artist:2QFuIA3uFMQAidzZe9x3Bw","NON","2021-04-09","https://i.scdn.co/image/ab67616d0000b27327371384e983823c6a68b052","1","3","168000","https://p.scdn.co/mp3-preview/b8b33e54ab56102045502e1ddc0efadd6157a08f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","spotify:user:","2021-05-06T12:47:25Z"
"spotify:track:0o5oip1kRJnjeOUzNhEv2f","Leo","spotify:artist:4Q9LzuzViYcn5iaEIgqJn4","D-Platform","spotify:album:20aInnjfIxphhV83JBPm0o","Leo","spotify:artist:4Q9LzuzViYcn5iaEIgqJn4","D-Platform","2020-12-16","https://i.scdn.co/image/ab67616d0000b2732b8e61faab63ffa261d9070d","1","1","186666","https://p.scdn.co/mp3-preview/aa55c410e74be3801ca69d34554e4fdbf330f1c2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","spotify:user:","2021-05-06T12:47:25Z"
"spotify:track:0Abb5Mj4sncaa2hPDDsbku","Underrated","spotify:artist:4J3kswR8gVfSE4sOIwNeLA","HiveMind","spotify:album:7aef3vzGHApyttVOtgZQPW","Underrated","spotify:artist:4J3kswR8gVfSE4sOIwNeLA","HiveMind","2021-03-13","https://i.scdn.co/image/ab67616d0000b2737e453f38dbadeed70dcd04b3","1","1","185782","https://p.scdn.co/mp3-preview/600314c1be63b6fc19b5b79d8df962bfe687547b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","spotify:user:","2021-05-06T12:47:25Z"
"spotify:track:7GJQGSD9r681721nvXGAAx","Sorrow","spotify:artist:5mHEnE8FUpg9ZmYNrrCIcU","Timmy Tee","spotify:album:3u9L5MdB8Q16LWDyABClMO","Sorrow","spotify:artist:5mHEnE8FUpg9ZmYNrrCIcU","Timmy Tee","2021-03-05","https://i.scdn.co/image/ab67616d0000b2738d0e410a9f36ed3568291efd","1","1","154037","https://p.scdn.co/mp3-preview/b6c3fec6d2c3e35d9f7cf10cd36a2a9858a60acd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","spotify:user:","2021-05-06T12:47:25Z"
"spotify:track:4DomI8yMoXvIJCBfOPc7Fa","Stocked","spotify:artist:00WEbQMBzMtwbccrSjQwhJ","Damma Beatz","spotify:album:3L7vFgb7Ihr1I7lbxJ6q0r","Rocket Silence","spotify:artist:00WEbQMBzMtwbccrSjQwhJ","Damma Beatz","2021-02-19","https://i.scdn.co/image/ab67616d0000b27354d5cd469195a3669808d1a7","1","1","172097","https://p.scdn.co/mp3-preview/97f05428c28f3c7757f746dbaa28dcd846c8ded1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","spotify:user:","2021-05-06T12:47:25Z"
"spotify:track:2KGATOvaBe8tw2hvB2Suc1","Donnie DarKo","spotify:artist:50NbkaTw0JbpYCMyHvAfIM, spotify:artist:1F8qMVXNHlvxGFkHLdWvvL","Sarach, baru","spotify:album:44NTVo4xYykD6ni27p3yoG","Donnie DarKo","spotify:artist:50NbkaTw0JbpYCMyHvAfIM, spotify:artist:1F8qMVXNHlvxGFkHLdWvvL","Sarach, baru","2021-04-09","https://i.scdn.co/image/ab67616d0000b273d27bf44af8561fd9bc5d99b5","1","1","134950","https://p.scdn.co/mp3-preview/a36ca4e6fc3d75657ce4392d20c239be1cb92a4d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","spotify:user:","2021-05-06T12:47:25Z"
"spotify:track:4BYzQfbibYvzDegGR1JoEe","Suspens Trap Beat","spotify:artist:4rRMk8pMRjwTi8tKHvuQ0b","Origin Studio","spotify:album:1oLZiOM9BnvTBDQp8Zvzdk","Suspens Trap Beat","spotify:artist:4rRMk8pMRjwTi8tKHvuQ0b","Origin Studio","2020-12-01","https://i.scdn.co/image/ab67616d0000b273d52fc4411bcf72378fe6d65c","1","1","176384","https://p.scdn.co/mp3-preview/bf40bb38ab57096078a0ef425c4a4b21854f57c3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","spotify:user:","2021-05-06T12:47:25Z"
"spotify:track:3tsHNJMRKVMIGe4hxCiVLN","Incredulous","spotify:artist:6quCxsPM8fOxowmqOx5j93, spotify:artist:3ac7SLoq4Rbms8XZE0rdkA","Dylan Sitts, Megan Wofford","spotify:album:7yWfqhExEhTHRnpNWNy7bY","Incredulous","spotify:artist:6quCxsPM8fOxowmqOx5j93","Dylan Sitts","2021-02-19","https://i.scdn.co/image/ab67616d0000b2734bb6e11a3ad4987c56ea945a","1","1","131250","https://p.scdn.co/mp3-preview/17b9ee5cbfa65232cac6736db00ab1701320d4dc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","spotify:user:","2021-05-06T12:47:25Z"
"spotify:track:6MX2R5xvIUf6c6Q9cjoSJN","Omit The Feeble Meat","spotify:artist:16szDgocdMVICKd53On8MK","Squirrely Bass","spotify:album:1LiXDvjxnxdnnCiw7Xbplf","Omit The Feeble Meat","spotify:artist:16szDgocdMVICKd53On8MK","Squirrely Bass","2021-04-05","https://i.scdn.co/image/ab67616d0000b27302dfbee2b5d84174d3edb542","1","1","161032","https://p.scdn.co/mp3-preview/88954c9d22684c627c77f109b9b9f4a4775fbb6e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","spotify:user:","2021-05-06T12:47:25Z"
"spotify:track:2s8k4q54g2ICKQ4XmJRfhF","Drop of a Hat","spotify:artist:0fZYZqIGnT5RimC1YWfWP2","_91nova","spotify:album:6Vf6C3rTyuIYE8BGKbaKKz","Highway Robbery","spotify:artist:0fZYZqIGnT5RimC1YWfWP2","_91nova","2021-04-23","https://i.scdn.co/image/ab67616d0000b27366c33e193e4d3c8e990bf301","1","3","129473","https://p.scdn.co/mp3-preview/78eaad210597e2fc994f3cddb13aba6206043044?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","spotify:user:","2021-05-06T12:47:25Z"
"spotify:track:0RYIUB2SNWbr9CEEWL9tVW","The Riddle of the Record","spotify:artist:5mWkhlLhHU9FKT8vU8lBIR","Dusty Decks","spotify:album:71zjHfvYVpew9IVpwXR5ve","Soul Single Serenade","spotify:artist:5mWkhlLhHU9FKT8vU8lBIR","Dusty Decks","2021-01-08","https://i.scdn.co/image/ab67616d0000b27374f8485c7ffc0181fe24426c","1","2","138260","https://p.scdn.co/mp3-preview/d89d2ee1674e97c9ee4dd15cd8b3a042c6b97ab4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","spotify:user:","2021-05-06T12:47:25Z"
"spotify:track:2ExGfjMMr5PDTicSk65xQd","Track Smack","spotify:artist:1qG9STeWScqJTttVvcxfsD","RICE / DJ Bucket","spotify:album:1SYa5Vd1APzOiSiOQREnkW","VIBES","spotify:artist:1qG9STeWScqJTttVvcxfsD","RICE / DJ Bucket","2021-05-02","https://i.scdn.co/image/ab67616d0000b27342c4051ddec2017b85ec524b","1","3","192000","https://p.scdn.co/mp3-preview/8cf27971cbb182ba211ddd1ad934cc4c9b6769d7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","spotify:user:","2021-05-06T12:47:25Z"
"spotify:track:441YIkP32be2LQ2Ol6LMmT","Entropy","spotify:artist:4w4B079eb5jukk7o2nvL49","BassEQ","spotify:album:147Elkn8P9wvep6M4kqsf0","BassEQ Beats","spotify:artist:4w4B079eb5jukk7o2nvL49","BassEQ","2021-04-12","https://i.scdn.co/image/ab67616d0000b2734dc53c2ba29039bee846ac21","1","3","303297","https://p.scdn.co/mp3-preview/3ed9efcb80fbea7b295006a8543da15e3e98d8f6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","spotify:user:","2021-05-06T12:47:25Z"
"spotify:track:1WG1j4x1MbGDp0Qp8dYmjs","Hunky","spotify:artist:0wmKKwWn8zNrBnRpOkvcSH","Sileon","spotify:album:2XiYnl7gqdERJbJcMR8bl9","Zone","spotify:artist:0wmKKwWn8zNrBnRpOkvcSH","Sileon","2020-11-12","https://i.scdn.co/image/ab67616d0000b27358088ce92eb677396e747fd8","1","1","117815","https://p.scdn.co/mp3-preview/6208925ace9403366c4ddc8b41af9f54ccd90467?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","spotify:user:","2021-05-06T12:47:25Z"
"spotify:track:2A9zsaUmd2lBr9P9TWVvKI","Savages","spotify:artist:0NPXCzl79WpQpkhdz5Wl4O, spotify:artist:0H2VHRUkTJRaLWbbucSfjK","Deekay_Bangerz, El Nino Diablo","spotify:album:79ogyayn4MJNI1p6QND3DB","Dungeon Noise","spotify:artist:0H2VHRUkTJRaLWbbucSfjK, spotify:artist:0NPXCzl79WpQpkhdz5Wl4O","El Nino Diablo, Deekay_Bangerz","2021-04-30","https://i.scdn.co/image/ab67616d0000b273017b27929923129255f24b09","1","9","192052","https://p.scdn.co/mp3-preview/9a13d051ec14d0d0df31f0f84633ae5183f4d976?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","spotify:user:","2021-05-06T12:47:25Z"
"spotify:track:5IdGkiG8gs1OWIHMXkxfVk","Drill","spotify:artist:07CSdd2clOJqTsleYfQkte, spotify:artist:1I1FhryqbRR7SNt59KceN6","Wiicked Keyzz, AnQ Music","spotify:album:7JEkekQ7BmeYlskbpk2fdM","Conflict Of Interest","spotify:artist:07CSdd2clOJqTsleYfQkte, spotify:artist:1I1FhryqbRR7SNt59KceN6","Wiicked Keyzz, AnQ Music","2021-04-23","https://i.scdn.co/image/ab67616d0000b2739c06b0ce82f45d7165ac63fb","1","4","176223","https://p.scdn.co/mp3-preview/61e78505abfce8f9b51f41065373ed113beb2c92?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","spotify:user:","2021-05-06T12:47:25Z"
"spotify:track:3Ogn2JXSjOodULGB2zKIl4","Free Agent","spotify:artist:41OiR6DTlbgJtrvqjKioMb","Blue Steel","spotify:album:71cnbiiBI4oKmxlM26zSUV","Courtside","spotify:artist:41OiR6DTlbgJtrvqjKioMb","Blue Steel","2021-02-12","https://i.scdn.co/image/ab67616d0000b273aa4a8c256fe0eb64b0ff68ba","1","4","187826","https://p.scdn.co/mp3-preview/0993db85d8085ff9badb6ba40fb6f3a37d112452?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","spotify:user:","2021-05-06T12:47:25Z"
"spotify:track:76eugDRGuXdmmewhJtCuU0","Diamond","spotify:artist:3P5DeQSZXl547HcStiUkoY","DJ M","spotify:album:3RVyMhWyrEqRwkWkaBD2cI","Diamond","spotify:artist:3P5DeQSZXl547HcStiUkoY","DJ M","2021-03-27","https://i.scdn.co/image/ab67616d0000b273f1156a6fcad5e973ccab9445","1","1","156278","https://p.scdn.co/mp3-preview/9863870777b85968d006287068f833e6a1ea27e9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","spotify:user:","2021-05-06T12:47:25Z"
"spotify:track:2775fOrLACHgsbdfJWHhYX","Last to Leave","spotify:artist:43DaGVXzvghYrfrHK4eP3m","Humblebee","spotify:album:1ddz02kStcLhxFiizCK1lP","Occasus","spotify:artist:43DaGVXzvghYrfrHK4eP3m","Humblebee","2019-12-20","https://i.scdn.co/image/ab67616d0000b2737ecc5236bdd07e70e4090abd","1","2","158596","https://p.scdn.co/mp3-preview/bfa05e1b4891dc6e9b8fd914ce6c3ff9555f6009?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","spotify:user:","2021-05-06T12:47:25Z"
"spotify:track:5e2yEkftydth7yHMAtnIEY","Dreams","spotify:artist:4QZOgZMxM78wbHDBZqL3Kn","XXTRACKK","spotify:album:60PDH7dPB8olXH5IC5gcEj","Dreams","spotify:artist:4QZOgZMxM78wbHDBZqL3Kn","XXTRACKK","2021-04-30","https://i.scdn.co/image/ab67616d0000b2733f6db0fb0fbdb0f586d4c378","1","1","118342","https://p.scdn.co/mp3-preview/84a17a2d95811bfceeb5ccf57aac3e48991ec01d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","spotify:user:","2021-05-06T12:47:25Z"
"spotify:track:0w7AG9UksTH3yHNzmMzwwq","Chopper","spotify:artist:7lPv78tlT005m22dYvSdNg","Lindsey Leblanc","spotify:album:7ggLaz0nrCCM8Nwa6hCIqG","Chopper","spotify:artist:7lPv78tlT005m22dYvSdNg","Lindsey Leblanc","2020-12-14","https://i.scdn.co/image/ab67616d0000b2736c1eca2fdc1b2538642edf5a","1","1","144000","https://p.scdn.co/mp3-preview/5da47beb8e780304e6b71abad549b2f744317948?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","spotify:user:","2021-05-06T12:47:25Z"
"spotify:track:28p37blBJxXtnAtl9ndjC0","paint","spotify:artist:0mSqso2Yuc7l3b0Aw22dXm","wavcrush","spotify:album:1kMqljBJ3CMhls6972lJ8H","tile & error","spotify:artist:0mSqso2Yuc7l3b0Aw22dXm","wavcrush","2021-01-04","https://i.scdn.co/image/ab67616d0000b2731a746be59d5f469f881dbccc","1","3","152000","https://p.scdn.co/mp3-preview/a9d445656030286bc59bc51ae0224158fcfb08a9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","spotify:user:","2021-05-06T12:47:25Z"
