"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:56IcojWGPpwchORuOCVmye","Sugar Paper","spotify:artist:7z2P2nNjtnAVnUavHIXZWQ","Alluvial","spotify:album:0zIDNLYLRonkeRTckPSNif","Sarcoma","spotify:artist:7z2P2nNjtnAVnUavHIXZWQ","Alluvial","2021-05-28","https://i.scdn.co/image/ab67616d0000b273040ae07e137c8e167ae29c1c","1","9","343850","https://p.scdn.co/mp3-preview/987540f923e1d96159a4f249c7d6dcf03953c78c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","spotify:user:sumerianrecords","2021-06-01T22:00:05Z"
"spotify:track:3KsS9NkC5ZlPAIWpGoL5Sx","Crust","spotify:artist:29XOeO6KIWxGthejQqn793","Flying Lotus","spotify:album:4duUlv53npBm7EmqxTT1kj","Yasuke","spotify:artist:29XOeO6KIWxGthejQqn793","Flying Lotus","2021-04-30","https://i.scdn.co/image/ab67616d0000b27306d63bf92ec7b0f6a1dfe182","1","6","133520","https://p.scdn.co/mp3-preview/01982fda386e3968e38c5f8e229d02716f764bc0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","spotify:user:sumerianrecords","2021-06-01T22:00:03Z"
"spotify:track:3VmlPlA5tBctq0WNwj2ZwW","Animals","spotify:artist:2wPDbhaGXCqROrVmwDdCrK","Oneohtrix Point Never","spotify:album:4l4tgdU69cbukMzliC4xI6","Garden Of Delete","spotify:artist:2wPDbhaGXCqROrVmwDdCrK","Oneohtrix Point Never","2015-11-13","https://i.scdn.co/image/ab67616d0000b2730a0596fdd65ff6b974466fa9","1","8","234938","https://p.scdn.co/mp3-preview/0c00c549fd9a9418216266e53519976058f6a884?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","spotify:user:sumerianrecords","2021-06-01T22:00:00Z"
"spotify:track:3tiEm4lEVDYJMaReKCfvst","Fantasia","spotify:artist:1RPAAHsStLojK33L7zhgzl","Rizik","spotify:album:5b7ZoCtW8zA9Q6fAne3GQk","Fantasia","spotify:artist:1RPAAHsStLojK33L7zhgzl","Rizik","2021-05-21","https://i.scdn.co/image/ab67616d0000b273210e69dfb9a5096a5ea4468f","1","1","197746","https://p.scdn.co/mp3-preview/a4028d65b73a594ccf8f95bf69ee7ed375babbd1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","spotify:user:sumerianrecords","2021-05-25T21:30:38Z"
"spotify:track:4ogGy4XDSQMs8iLAdW2a42","Moth","spotify:artist:2JEmeK4NqHMXdtSMxCcWad","StarSystems","spotify:album:5XeFyqPtjcGWkj7vf6EArY","Lift","spotify:artist:2JEmeK4NqHMXdtSMxCcWad","StarSystems","2019-05-11","https://i.scdn.co/image/ab67616d0000b273b8120abdc4788c7afef8cdb5","1","4","291063","https://p.scdn.co/mp3-preview/cc8ce7f04eef1615d7607e7f179bc6197f79f58c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","spotify:user:sumerianrecords","2021-05-25T21:30:04Z"
"spotify:track:5d4c1wjHGzvHmWOus6pLaw","Branches","spotify:artist:4AqiYN2GsRkmrQ7nAYrx1T","Chrome Canyon","spotify:album:4KnLABILX9l6pgWpfqyALK","Elemental Themes","spotify:artist:4AqiYN2GsRkmrQ7nAYrx1T","Chrome Canyon","2012-10-09","https://i.scdn.co/image/ab67616d0000b273ca700653f490f9647d03bee8","1","4","262134","https://p.scdn.co/mp3-preview/d6e4b90628567d881eeec642e29da12b3c62745c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","spotify:user:sumerianrecords","2021-05-25T21:30:31Z"
"spotify:track:7J60XE3v85t69yCAhdTsmv","At the Gates","spotify:artist:7q7puZ5wtpfQe3doDb4834","Culprate","spotify:album:0zk5v6qNRgMQ1rWrJwyxhJ","Others","spotify:artist:7q7puZ5wtpfQe3doDb4834","Culprate","2018-11-23","https://i.scdn.co/image/ab67616d0000b27395dad63ebf695f7b10e9e716","1","8","148919","https://p.scdn.co/mp3-preview/d1916f1662670f3ca6704d761a0d575a4dae3dbc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","spotify:user:sumerianrecords","2021-05-18T23:03:00Z"
"spotify:track:1jMtBOmnGtIM0l5nqDfSSc","Nameless - Instrumental","spotify:artist:3qyg72RGnGdF521zMU02u9","Northlane","spotify:album:4GC8XJZ4kNxx2UHYtJsq2c","Node (Deluxe Edition)","spotify:artist:3qyg72RGnGdF521zMU02u9","Northlane","2016-09-09","https://i.scdn.co/image/ab67616d0000b273f9801464b1d7969d6a442901","1","16","146502","https://p.scdn.co/mp3-preview/abe522e3a95f04039b240cadbc2a44117ac31fca?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","spotify:user:sumerianrecords","2021-05-18T23:16:17Z"
"spotify:track:4xhhV0kuf6d1fsDDGzgwST","Calypso","spotify:artist:30EilmonVXftR1pWoALezP","The Physics House Band","spotify:album:3HYb9C7ZODFw74BSsMhNCy","Mercury Fountain","spotify:artist:30EilmonVXftR1pWoALezP","The Physics House Band","2017-04-21","https://i.scdn.co/image/ab67616d0000b273aae61406c4aa2991c8bc32de","1","2","183312","https://p.scdn.co/mp3-preview/dfc40d5ddc15209ab6cdeb14e3caededa6e652b0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","spotify:user:sumerianrecords","2021-05-18T23:06:27Z"
"spotify:track:7JRzYaHJcZr8azpwWKrYmG","Gloom","spotify:artist:4ytvklKRXFOXakA9Md5QWI","Pictures of Wild Life","spotify:album:329rebLdmrqv8WaIZcAd3k","Terrene","spotify:artist:4ytvklKRXFOXakA9Md5QWI","Pictures of Wild Life","2021-04-16","https://i.scdn.co/image/ab67616d0000b27333fa122d9a1352360c7817c1","1","5","226714","https://p.scdn.co/mp3-preview/f67763929dabfc0fbe5f208feb163be251654cd1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","spotify:user:sumerianrecords","2021-05-11T22:50:09Z"
