"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:2xKKIqB93WA65Klh6YnFeZ","God’s Plan - Instrumental","spotify:artist:1WWVUORh0X8EQR3X2r7UKa","B Lou","spotify:album:5tMGPqqTLCemegQ1c7CZND","God’s Plan (Instrumental)","spotify:artist:1WWVUORh0X8EQR3X2r7UKa","B Lou","2018-02-01","https://i.scdn.co/image/ab67616d0000b2735de7f78c82c3674f5f50453e","1","1","162115","","false","0","spotify:user:monsterguy6","2020-04-20T02:39:09Z"
"spotify:track:37fb28oOtUES8N0bD8uPnw","Geocentric","spotify:artist:0fZYZqIGnT5RimC1YWfWP2","_91nova","spotify:album:56Ya5BBZYURMJpPANIb8Yx","Mercury","spotify:artist:0fZYZqIGnT5RimC1YWfWP2","_91nova","2019-06-07","https://i.scdn.co/image/ab67616d0000b273d8f236d28599a31943e5cec5","1","2","173996","https://p.scdn.co/mp3-preview/e47753d9f1e509f35de53f2f59acdb0f5d4eafdc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","spotify:user:monsterguy6","2021-01-04T02:08:01Z"
"spotify:track:3guR8KSDggjcN48E842Lej","Mercurius","spotify:artist:0fZYZqIGnT5RimC1YWfWP2","_91nova","spotify:album:56Ya5BBZYURMJpPANIb8Yx","Mercury","spotify:artist:0fZYZqIGnT5RimC1YWfWP2","_91nova","2019-06-07","https://i.scdn.co/image/ab67616d0000b273d8f236d28599a31943e5cec5","1","5","151545","https://p.scdn.co/mp3-preview/1c80f1c31f73e9605919af265b25edeb59171322?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","spotify:user:monsterguy6","2021-01-04T02:08:01Z"
"spotify:track:0BICHe2j0ePgXEe4vWmiEn","Galilei","spotify:artist:0fZYZqIGnT5RimC1YWfWP2","_91nova","spotify:album:56Ya5BBZYURMJpPANIb8Yx","Mercury","spotify:artist:0fZYZqIGnT5RimC1YWfWP2","_91nova","2019-06-07","https://i.scdn.co/image/ab67616d0000b273d8f236d28599a31943e5cec5","1","3","180217","https://p.scdn.co/mp3-preview/2f14d99aab73ebd4f126d515a21a5a1a9867ee9a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","spotify:user:monsterguy6","2021-01-04T02:08:01Z"
"spotify:track:1qKz2CuPMmdE25ckGZEl2c","Messenger","spotify:artist:0fZYZqIGnT5RimC1YWfWP2","_91nova","spotify:album:56Ya5BBZYURMJpPANIb8Yx","Mercury","spotify:artist:0fZYZqIGnT5RimC1YWfWP2","_91nova","2019-06-07","https://i.scdn.co/image/ab67616d0000b273d8f236d28599a31943e5cec5","1","1","165198","https://p.scdn.co/mp3-preview/964cb5d7bd88fdacdf57fe0249c7b3772497541c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","spotify:user:monsterguy6","2021-01-04T02:08:01Z"
"spotify:track:0xHn2AT3bxTRoHpHw5erKm","Algorithm","spotify:artist:0fZYZqIGnT5RimC1YWfWP2","_91nova","spotify:album:56Ya5BBZYURMJpPANIb8Yx","Mercury","spotify:artist:0fZYZqIGnT5RimC1YWfWP2","_91nova","2019-06-07","https://i.scdn.co/image/ab67616d0000b273d8f236d28599a31943e5cec5","1","8","157037","https://p.scdn.co/mp3-preview/7a8ff24e54d49ef6a7c9a883865f8b5d5a9ab564?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","spotify:user:monsterguy6","2021-01-04T02:08:01Z"
"spotify:track:7f08ex4mDC1uIwIR953wGj","88 Orbit","spotify:artist:0fZYZqIGnT5RimC1YWfWP2","_91nova","spotify:album:56Ya5BBZYURMJpPANIb8Yx","Mercury","spotify:artist:0fZYZqIGnT5RimC1YWfWP2","_91nova","2019-06-07","https://i.scdn.co/image/ab67616d0000b273d8f236d28599a31943e5cec5","1","4","158518","https://p.scdn.co/mp3-preview/70c4b8d432fbe567b18cd1338ef874ee66122d6a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","spotify:user:monsterguy6","2021-01-04T02:08:01Z"
"spotify:track:61n9fmv9azyP55U8YT9TdY","Bud H","spotify:artist:0fZYZqIGnT5RimC1YWfWP2","_91nova","spotify:album:56Ya5BBZYURMJpPANIb8Yx","Mercury","spotify:artist:0fZYZqIGnT5RimC1YWfWP2","_91nova","2019-06-07","https://i.scdn.co/image/ab67616d0000b273d8f236d28599a31943e5cec5","1","7","163636","https://p.scdn.co/mp3-preview/84781156dd7f775bb4fa7235e0bd1da1c3f62e37?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","spotify:user:monsterguy6","2021-01-04T02:08:01Z"
"spotify:track:3KihhZBy0hiNU7HyWRJDN1","Gold Palms","spotify:artist:0fZYZqIGnT5RimC1YWfWP2","_91nova","spotify:album:2voVQQmTQONyzzePshvafc","Gold Palms","spotify:artist:0fZYZqIGnT5RimC1YWfWP2","_91nova","2019-11-29","https://i.scdn.co/image/ab67616d0000b2730c6b5e5728620382ae20dbf6","1","3","148860","https://p.scdn.co/mp3-preview/4a02a767fc2d89b9c954e3fbc9bcc175502ad2fe?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","spotify:user:monsterguy6","2021-01-04T02:08:01Z"
"spotify:track:1nLoVU7fdB5urztPCFCxbH","WaveRunner","spotify:artist:0fZYZqIGnT5RimC1YWfWP2","_91nova","spotify:album:2voVQQmTQONyzzePshvafc","Gold Palms","spotify:artist:0fZYZqIGnT5RimC1YWfWP2","_91nova","2019-11-29","https://i.scdn.co/image/ab67616d0000b2730c6b5e5728620382ae20dbf6","1","2","162531","https://p.scdn.co/mp3-preview/010821417bf6725dffcefcf0de255ccb63f5436d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","spotify:user:monsterguy6","2021-01-04T02:08:01Z"
"spotify:track:2Uy7v1ukiLPyZpQCAs1nZ3","Dim","spotify:artist:0fZYZqIGnT5RimC1YWfWP2","_91nova","spotify:album:3eTYyeRLDWCr7bmG3OWxGB","Air Plants","spotify:artist:0fZYZqIGnT5RimC1YWfWP2","_91nova","2020-03-20","https://i.scdn.co/image/ab67616d0000b27359b9b2a9fc7e14b0aa94c77e","1","1","151648","https://p.scdn.co/mp3-preview/24578c68fdd0f9502a476570c6a72779acd3bae6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","spotify:user:monsterguy6","2021-01-04T02:08:01Z"
"spotify:track:5XHLoYg3AIodWz9YWakIN8","Framed","spotify:artist:0fZYZqIGnT5RimC1YWfWP2","_91nova","spotify:album:3eTYyeRLDWCr7bmG3OWxGB","Air Plants","spotify:artist:0fZYZqIGnT5RimC1YWfWP2","_91nova","2020-03-20","https://i.scdn.co/image/ab67616d0000b27359b9b2a9fc7e14b0aa94c77e","1","2","142105","https://p.scdn.co/mp3-preview/63c9377f860861f85302788c4761417f91799a84?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","spotify:user:monsterguy6","2021-01-04T02:08:01Z"
"spotify:track:3OrVtTWzbIuSnM3pP7i0W7","Air Plants","spotify:artist:0fZYZqIGnT5RimC1YWfWP2","_91nova","spotify:album:3eTYyeRLDWCr7bmG3OWxGB","Air Plants","spotify:artist:0fZYZqIGnT5RimC1YWfWP2","_91nova","2020-03-20","https://i.scdn.co/image/ab67616d0000b27359b9b2a9fc7e14b0aa94c77e","1","3","143132","https://p.scdn.co/mp3-preview/0b7646e0c86b09cc7efdf5dcb7b660d4d43fa098?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","spotify:user:monsterguy6","2021-01-04T02:08:01Z"
