"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:1m044l9Z4dsMdrKCijgJDx","US Coastguard Semper Paratus","spotify:artist:6jNyNAMv2gNLnfaP0bzo7y","John Philip Sousa","spotify:album:5N7Wqm3tHp6cfYxzl2R26A","Sousa Marches","spotify:artist:6jNyNAMv2gNLnfaP0bzo7y","John Philip Sousa","1996","https://i.scdn.co/image/ab67616d0000b273dd27f9f62e9369b92e5109cb","1","14","181394","https://p.scdn.co/mp3-preview/f85f728eb1e37f1eedfad6e8999533152f601213?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","spotify:user:12100222520","2014-01-01T21:46:00Z"
"spotify:track:3cJrZIkFcJxjZxPdwTkrYI","US Navy - Anchors Aweigh","spotify:artist:6jNyNAMv2gNLnfaP0bzo7y","John Philip Sousa","spotify:album:5N7Wqm3tHp6cfYxzl2R26A","Sousa Marches","spotify:artist:6jNyNAMv2gNLnfaP0bzo7y","John Philip Sousa","1996","https://i.scdn.co/image/ab67616d0000b273dd27f9f62e9369b92e5109cb","1","13","166400","https://p.scdn.co/mp3-preview/c6704e9969aaf9490f8f5b06e23d1b1c7e6aaf0d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","spotify:user:12100222520","2014-01-01T21:40:45Z"
"spotify:track:4y4Pwxp9LB7V8Eitgsh1P0","Crimson Medley","spotify:artist:7yfVfKPCZTI6MUVByUMZ3C","Deep Schrott","spotify:album:6kIwBCCDLiuUt1e54ACasN","One","spotify:artist:7yfVfKPCZTI6MUVByUMZ3C","Deep Schrott","2010-04-09","https://i.scdn.co/image/ab67616d0000b2732117d3277669690f611abdac","1","7","436266","","false","0","spotify:user:12100222520","2013-10-13T16:08:07Z"
"spotify:track:234Q0vXyxCt0rgVviVKCkk","Canto 34","spotify:artist:5t28BP42x2axFnqOOMg3CM","Five Finger Death Punch","spotify:album:6GlsmhwCxNCEmW8v2YVPRN","War Is The Answer","spotify:artist:5t28BP42x2axFnqOOMg3CM","Five Finger Death Punch","2009-01-01","https://i.scdn.co/image/ab67616d0000b273d43c7fb05ae66b6cde2081d8","1","11","249533","","true","16","spotify:user:12100222520","2013-10-13T16:08:40Z"
"spotify:track:04CqccF0CRt0M409GAExwx","An Erisian Autumn","spotify:artist:4IvneyseUnh42KeTx1icxK","Angel Vivaldi","spotify:album:0HedrVZF46qhiU0t0AwEY8","Universal Language","spotify:artist:4IvneyseUnh42KeTx1icxK","Angel Vivaldi","2011-05-24","https://i.scdn.co/image/ab67616d0000b273b9e555e6ab0165396f7f328a","1","3","294520","https://p.scdn.co/mp3-preview/aff7fd04ce621a08b89029da9f5b90ada37aaab2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","spotify:user:12100222520","2013-10-13T16:08:48Z"
"spotify:track:6HvABEkEPZlmdOXNyMqLkw","Sea of Heartbreak","spotify:artist:4IvneyseUnh42KeTx1icxK","Angel Vivaldi","spotify:album:6Jq5KO9dCRhr7N1OLkJrvc","The Speed of Dark","spotify:artist:4IvneyseUnh42KeTx1icxK","Angel Vivaldi","2010-01-05","https://i.scdn.co/image/ab67616d0000b27344143c32b793bb81a08ca97e","1","3","324426","","false","0","spotify:user:12100222520","2013-10-13T16:08:55Z"
"spotify:track:13ClTLy1AoHhhQvzGcGAWG","Shouting Fire At A Funeral","spotify:artist:1bqlyIXRTCilCmvAr1newg","Jeff Loomis","spotify:album:6RnepDsGb1c5tOU3wrQogH","Zero Order Phase","spotify:artist:1bqlyIXRTCilCmvAr1newg","Jeff Loomis","2008-08-25","https://i.scdn.co/image/ab67616d0000b27375a3ca6deb01a6234984b040","1","1","294160","","false","0","spotify:user:12100222520","2013-11-21T05:46:35Z"
"spotify:track:60Ei8lRSxcZwjJdEmAfKI3","Jato Unit","spotify:artist:1bqlyIXRTCilCmvAr1newg","Jeff Loomis","spotify:album:6RnepDsGb1c5tOU3wrQogH","Zero Order Phase","spotify:artist:1bqlyIXRTCilCmvAr1newg","Jeff Loomis","2008-08-25","https://i.scdn.co/image/ab67616d0000b27375a3ca6deb01a6234984b040","1","3","281720","","false","0","spotify:user:12100222520","2013-11-21T05:42:46Z"
"spotify:track:1dp9IdTomCBqsMOw0tEH5y","The Imperial March (From ""Star Wars, Episode V. The Empire Strikes Back"")","spotify:artist:3dRfiJ2650SZu6GbydcHNb, spotify:artist:6tCk5jkCjVpVnSV6CpJRcZ, spotify:artist:2Gp2Tkjx9t557rkrYZWuFU","John Williams, Philharmonische Orchester des Staatstheaters Cottbus, Evan Christ","spotify:album:7x1j6J2ZgVIvL6kuQwovek","John Williams: Greatest Hits","spotify:artist:3dRfiJ2650SZu6GbydcHNb, spotify:artist:6tCk5jkCjVpVnSV6CpJRcZ, spotify:artist:2Gp2Tkjx9t557rkrYZWuFU","John Williams, Philharmonische Orchester des Staatstheaters Cottbus, Evan Christ","2012-01-03","https://i.scdn.co/image/ab67616d0000b273da1f7a970dd2c58a419f898f","1","7","189080","https://p.scdn.co/mp3-preview/89aa42ce6fc100da29b5cd530d1a6db7802443d5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","spotify:user:12100222520","2013-11-07T05:20:52Z"
"spotify:track:0NADgY36org1lAXBgOeZvJ","Olympic Fanfare","spotify:artist:3dRfiJ2650SZu6GbydcHNb, spotify:artist:6tCk5jkCjVpVnSV6CpJRcZ, spotify:artist:2Gp2Tkjx9t557rkrYZWuFU","John Williams, Philharmonische Orchester des Staatstheaters Cottbus, Evan Christ","spotify:album:7x1j6J2ZgVIvL6kuQwovek","John Williams: Greatest Hits","spotify:artist:3dRfiJ2650SZu6GbydcHNb, spotify:artist:6tCk5jkCjVpVnSV6CpJRcZ, spotify:artist:2Gp2Tkjx9t557rkrYZWuFU","John Williams, Philharmonische Orchester des Staatstheaters Cottbus, Evan Christ","2012-01-03","https://i.scdn.co/image/ab67616d0000b273da1f7a970dd2c58a419f898f","1","2","262333","https://p.scdn.co/mp3-preview/10698efc229e4cb7c76276dc200de331c9711ed9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","spotify:user:12100222520","2013-11-07T05:21:06Z"
