"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:7Cx7OTz03ThnssjCyycsjN","Wacko","spotify:artist:79Ge4QAfnC4UVa6LRpBC5j","Bunny Brunel","spotify:album:6f7epHRIYOsh1t4YuJXI6J","Momentum","spotify:artist:79Ge4QAfnC4UVa6LRpBC5j","Bunny Brunel","1989-01-01","https://i.scdn.co/image/ab67616d0000b2735522b8b76791643401e8377d","1","4","350506","","false","0","spotify:user:1231409117","2015-10-29T23:46:27Z"
"spotify:track:39EZE03GWAkcuhTCt5z5wA","Five Course Meal","spotify:artist:1YOhfBQ05p8mgILwtvCiu7","Antoine Fafard","spotify:album:2U2qJ61XFnsexhA79UStPt","Ad Perpetuum","spotify:artist:1YOhfBQ05p8mgILwtvCiu7","Antoine Fafard","2014-10-15","https://i.scdn.co/image/ab67616d0000b2739dfaecccbb414c1f14ffede6","1","5","310325","https://p.scdn.co/mp3-preview/382dd014348c687c50d5edce8a5ec81925aac901?cid=9950ac751e34487dbbe027c4fd7f8e99","false","2","spotify:user:1231409117","2015-10-29T23:57:26Z"
"spotify:track:3i1D39I2Yu7PA4ZbyPpP25","Ostinato Bass","spotify:artist:0snU3Xa97Sq9l2RLuCdWIP, spotify:artist:7iqVI0BpCxVVHyVyGSfAmn, spotify:artist:2LVUVfQksPpfSEcCvU8WaR","Cristiano Parato, Scott Henderson, Lele Melotti","spotify:album:5a1EmamjgzVgnoOgL9MMjz","Ostinato Bass","spotify:artist:0snU3Xa97Sq9l2RLuCdWIP","Cristiano Parato","2009-12-01","https://i.scdn.co/image/ab67616d0000b273dccbd26e326a340b454284ff","1","7","441813","https://p.scdn.co/mp3-preview/04809c5ec8bde24cc1643664278d4bf9b7428025?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","spotify:user:1231409117","2015-10-30T00:06:27Z"
"spotify:track:2UQLLdosLGV1Pzq8KxVrBJ","Past and Future","spotify:artist:5tdGXBxRVers4lWxUqRMzn, spotify:artist:2mBoEYescv3YHDG5rH6uKd","Dennis Chambers, Stanley Jordan","spotify:album:3Trvid1UyXXXrrec9w7kl9","Groove and More","spotify:artist:5tdGXBxRVers4lWxUqRMzn","Dennis Chambers","2013","https://i.scdn.co/image/ab67616d0000b2737f6ba7d7c9d9ab1aef96de56","1","2","282826","https://p.scdn.co/mp3-preview/9d8f59ce7db7ec2d78de8d99c69ac57e481265b4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","11","spotify:user:1231409117","2015-10-30T00:11:47Z"
"spotify:track:29XF716TtP1fT9mOgxPZYA","Nice Bits","spotify:artist:57EAEbnYbr1PFzadw9Zvgi","Fattburger","spotify:album:1Vv8hTQbkq4ksoj89BtrdD","Fattburger.com","spotify:artist:57EAEbnYbr1PFzadw9Zvgi","Fattburger","2005-06-21","https://i.scdn.co/image/ab67616d0000b27356e707585caca5c085e28575","1","9","276573","","false","0","spotify:user:1231409117","2015-10-30T00:15:38Z"
"spotify:track:5jOXif571sh7HZqc8jYzQm","Wrong Format","spotify:artist:7mWMezdhnIJIHqXf6QyBX5","Frans Vollink","spotify:album:1PUvtdrZUi3xHLAYbfkH9k","One Spirit","spotify:artist:4jriKjHRUr52MbhMjP7ZKb","Frans Vollink - Sebastiaan Cornelissen","2005-12-21","https://i.scdn.co/image/ab67616d0000b2730fa7b6d00fee869b523dbebe","1","7","242253","https://p.scdn.co/mp3-preview/70226362c5ca2824465c0ad7086bd4f96ba4e21c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","8","spotify:user:1231409117","2015-10-30T00:17:27Z"
"spotify:track:5fnX3PpsAsxSFnUbezqIA0","Wodaabe Dancer","spotify:artist:3gQrVqNQEInmIOSE5AKz5H","Jennifer Batten's Tribal Rage","spotify:album:2upONxneCjIyYNI6Ynr7I5","Momentum","spotify:artist:3gQrVqNQEInmIOSE5AKz5H","Jennifer Batten's Tribal Rage","1997","https://i.scdn.co/image/ab67616d0000b2733c5c2ffc4b09ce04a8469d5f","1","1","510800","","false","0","spotify:user:1231409117","2015-10-30T00:48:35Z"
"spotify:track:5yb3TCumeKNCnx7g4GslWD","Nystagmus","spotify:artist:731K8hmYLjjaLDXLuTaATP","Jens Johansson","spotify:album:6qr1xRXRHvF0ummBfe5K6B","Fission","spotify:artist:731K8hmYLjjaLDXLuTaATP","Jens Johansson","1997","https://i.scdn.co/image/ab67616d0000b273b8ddd2e6bb676a70d0c5b69f","1","8","239600","https://p.scdn.co/mp3-preview/718d585eaef5d29b5ac2a277bcec19c0b279fd6e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","spotify:user:1231409117","2015-10-30T00:51:15Z"
"spotify:track:49bSSJdejKr4ReVRn3Naqr","The Hopes and Fears","spotify:artist:09NyE8giYjJiIeOGYSAE7x","Johannes Zetterberg","spotify:album:0wDDcLSVe6cxZvzOEfr0Ij","Equanimity","spotify:artist:09NyE8giYjJiIeOGYSAE7x","Johannes Zetterberg","2015-07-01","https://i.scdn.co/image/ab67616d0000b273616b0dc7d57f71662812fb3d","1","9","206206","https://p.scdn.co/mp3-preview/dfbcb9104cd3a04e766e9d88e719e8ff120525f0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","4","spotify:user:1231409117","2015-10-30T00:55:00Z"
"spotify:track:501dFFnEnduiXxdihEXOmt","Tiger Beam","spotify:artist:0hN39DYSFjh3IhSIpsFwXr","Kazumi Watanabe","spotify:album:2wyWqrU4A2ZDzTzUEVVqIt","Mo'Bop III","spotify:artist:0hN39DYSFjh3IhSIpsFwXr","Kazumi Watanabe","2011-10-10","https://i.scdn.co/image/ab67616d0000b27304d9f990881b9a31a0b113b1","1","3","303226","https://p.scdn.co/mp3-preview/8b99f781bf9ac16514e9be787b2a67e84f5ccc10?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","spotify:user:1231409117","2015-10-30T00:59:51Z"
"spotify:track:1GXmljpydM6iLvkXHrnWBG","Where Is That Girl","spotify:artist:6XcvfvFyOso8APihODYukU","Krzysztof Scieranski Trio","spotify:album:1gdnsJ39GL2wW5khb8MB9P","No Radio","spotify:artist:6XcvfvFyOso8APihODYukU","Krzysztof Scieranski Trio","2003-01-01","https://i.scdn.co/image/ab67616d0000b273406680c6915d028a50566acb","1","5","344026","https://p.scdn.co/mp3-preview/8e0b7fffc2542935dbbe01dd8c5fa4b58ae5625d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","2","spotify:user:1231409117","2015-10-30T01:01:45Z"
