"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:4anRW820fvN0rzBWcae0B5","Superhero","spotify:artist:5lDtfHPqWN6MG9tFywnW8J","Kiefer","spotify:album:1M8MrhnNegMkABPlZTsg8g","Superhero","spotify:artist:5lDtfHPqWN6MG9tFywnW8J","Kiefer","2021-03-10","https://i.scdn.co/image/ab67616d0000b27331025af5b8c8c39eead3cc19","1","1","166448","https://p.scdn.co/mp3-preview/4be59fdf0c43a2e1270d6c81e72264e09b7d6304?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","spotify:user:","2021-03-12T05:00:00Z"
"spotify:track:7KT0wjvsa5TOoU5TGiTwfs","Twelve Donkeys","spotify:artist:0xkHhnHO6QHTFUUrJpHM2G, spotify:artist:5FnpXrrMdJVZCK54oHWqUa","Antoine Berjeaut, Makaya McCraven","spotify:album:6YoJBRhEFbqbLsQCm3LK2k","Moving Cities","spotify:artist:0xkHhnHO6QHTFUUrJpHM2G, spotify:artist:5FnpXrrMdJVZCK54oHWqUa","Antoine Berjeaut, Makaya McCraven","2019-12-06","https://i.scdn.co/image/ab67616d0000b273fb253ca9a4158e055b0b7d23","1","5","369680","https://p.scdn.co/mp3-preview/abe72c156e7bfd7d1c83f1f3eb40e549e12616c3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","spotify:user:","2021-01-29T05:01:00Z"
"spotify:track:6x0b0IJW47OZPkEr166zib","On the Fly","spotify:artist:2E54rBy4UeaSYijZiWlNpO, spotify:artist:69FGWeFKaCyCjiDU2afEUl, spotify:artist:5obWvG0ikceXOD0a45DSHO","daniel hayn, Paul Grant, Jonny Tobin","spotify:album:1YLHsSg3sGQP98rTWIqnT7","On the Fly","spotify:artist:2E54rBy4UeaSYijZiWlNpO, spotify:artist:69FGWeFKaCyCjiDU2afEUl, spotify:artist:5obWvG0ikceXOD0a45DSHO","daniel hayn, Paul Grant, Jonny Tobin","2021-05-06","https://i.scdn.co/image/ab67616d0000b27310f5897279a10f749bc4716e","1","1","198000","https://p.scdn.co/mp3-preview/019c3babe73739f8d483b8513c8a4d840dfd6b70?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","spotify:user:","2021-05-07T04:01:00Z"
"spotify:track:0PbwQmhbsQj4SbvyotI8yr","Tenderness","spotify:artist:68ZVpxiS12BeN3EgBgXW0l","Vels Trio","spotify:album:5OX7KlHPeP5gdD6jvL8MjZ","Yellow Ochre EP","spotify:artist:68ZVpxiS12BeN3EgBgXW0l","Vels Trio","2017-06-09","https://i.scdn.co/image/ab67616d0000b273835e31984ab360875ca76691","1","3","301154","","false","0","spotify:user:","2021-01-29T05:01:00Z"
"spotify:track:4edrhanho86qAWRHNfHo5x","Squarepusher Theme","spotify:artist:4mtHSXwIHihO6MWNq5Qoko","Squarepusher","spotify:album:7qaIhnjJlxVRWkM8ii0Q8z","Feed Me Weird Things","spotify:artist:4mtHSXwIHihO6MWNq5Qoko","Squarepusher","2021-06-04","https://i.scdn.co/image/ab67616d0000b2739c37a706005cbdde5a76cb63","1","1","381413","https://p.scdn.co/mp3-preview/c4e1d27eea1e2eb8267954b5cdfa66b3e2ae95f1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","spotify:user:","2021-06-04T04:01:00Z"
"spotify:track:6JpTufiJvS7NkFOzNS3Dba","Jubilee","spotify:artist:2z18t1v0xbF5ehh25MMfPV","The JuJu Exchange","spotify:album:5JcbXHYVgOwXlToE9cCFCd","Jubilee","spotify:artist:2z18t1v0xbF5ehh25MMfPV","The JuJu Exchange","2018-03-23","https://i.scdn.co/image/ab67616d0000b273aa52cdd2e7e4429a9d493641","1","1","211139","https://p.scdn.co/mp3-preview/87ca2083f3d6a9dcd24c566da5c3ddec8095ee3b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","spotify:user:","2021-01-29T05:01:00Z"
"spotify:track:31ARMQ42WOpH3vEObeEbQE","Golden","spotify:artist:4GoCR0cSV4uOMulnVSWd5h","Blacklight","spotify:album:6HcBxM1cROud6gVZ5jXv49","Golden","spotify:artist:4GoCR0cSV4uOMulnVSWd5h","Blacklight","2021-05-14","https://i.scdn.co/image/ab67616d0000b273f8741b659858f918321bbafb","1","1","466627","https://p.scdn.co/mp3-preview/d59a5f9f00b105d8febf19e99ea172bb80392f39?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","spotify:user:","2021-05-14T04:01:00Z"
"spotify:track:26b7DkpsVvOSnHgFnHJ4RV","Stranger Than Fiction","spotify:artist:1otDUlTEBjcyDQg6CkHRaV","Moses Boyd","spotify:album:4XRA7yDYWSkO5BMvZinESW","Dark Matter","spotify:artist:1otDUlTEBjcyDQg6CkHRaV","Moses Boyd","2020-02-14","https://i.scdn.co/image/ab67616d0000b2730cdf6656ab2ed3fbe7e42b0d","1","1","294840","https://p.scdn.co/mp3-preview/063ab324b93674d4096a86be169e239060f1bdc0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","spotify:user:","2021-01-29T05:01:00Z"
"spotify:track:64y9CFT3d2Rrd6suKJf0AC","Dope Nerd","spotify:artist:5lDtfHPqWN6MG9tFywnW8J","Kiefer","spotify:album:7t0S1JQpSHsZftfzVQWW2a","Happysad","spotify:artist:5lDtfHPqWN6MG9tFywnW8J","Kiefer","2018-06-08","https://i.scdn.co/image/ab67616d0000b2738396e7dd8de7725b5894a36d","1","1","130000","https://p.scdn.co/mp3-preview/c049ec668501bcfec6541393f11f6de12db1ef84?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","spotify:user:","2021-01-29T05:01:00Z"
"spotify:track:0si3SALy7w77nFLPIOmaSH","Ocean - Sam Gendel Remix","spotify:artist:2TRNyrjoKJnqSc9G8jCZfb, spotify:artist:3luuQQRuSBuDNnrkYvatnk","Brijean, Sam Gendel","spotify:album:1zqkcNX42vjuSXAT5YBMif","Ocean (Sam Gendel Remix)","spotify:artist:2TRNyrjoKJnqSc9G8jCZfb, spotify:artist:3luuQQRuSBuDNnrkYvatnk","Brijean, Sam Gendel","2021-06-03","https://i.scdn.co/image/ab67616d0000b273bdc78e7487a23bd558b4832a","1","1","228888","https://p.scdn.co/mp3-preview/c54fdeee5e019cf97b62e5be257184cf64c8dca8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","spotify:user:","2021-06-04T04:01:00Z"
