"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:0rAKDhZ5NpkZ8qvcDY5JRs","Puncture In The Radax Permutation","spotify:artist:3Rj0tDHoX7C5NFq5DKIpHt","Stereolab","spotify:album:0n95ZoggN6kIlKXm9i82lG","Cobra And Phases Group Play Voltage In The Milky Night (Expanded Edition)","spotify:artist:3Rj0tDHoX7C5NFq5DKIpHt","Stereolab","1999","https://i.scdn.co/image/ab67616d0000b273bbd9e8e18f9960a6af7dee06","1","9","348790","https://p.scdn.co/mp3-preview/430cd1b4fbeeafebdab775142189cf501ace17dc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","","2021-05-18T05:14:03Z"
"spotify:track:1wI3o34hijAIHpjrilLqaL","Better Living Through Chemistry","spotify:artist:4pejUc4iciQfgdX6OKulQn","Queens of the Stone Age","spotify:album:05tJhGl52X4zGe0ySlcBk6","Rated R","spotify:artist:4pejUc4iciQfgdX6OKulQn","Queens of the Stone Age","2000-06-06","https://i.scdn.co/image/ab67616d0000b2739c4d9db5d6895352b6eea6fc","1","5","349200","https://p.scdn.co/mp3-preview/f5caf35af977a6d4b2bd310b13517767f626647f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","","2021-04-19T00:56:57Z"
"spotify:track:3elGOzqyhMY0Oyf33bmFRZ","Midwest Rock (Play Along for Drums)","spotify:artist:423W6pQrvx0cLZlfZrazyK","Drum! Drum! Drum!","spotify:album:2zCGNs4VkdNyogGhSz8SCf","Rock Drumless Backing Tracks, Vol. 1","spotify:artist:423W6pQrvx0cLZlfZrazyK","Drum! Drum! Drum!","2016-11-27","https://i.scdn.co/image/ab67616d0000b2739fe313acd1ebd66b20a6a2ee","1","3","203076","https://p.scdn.co/mp3-preview/ca95926988117fd7e13da966ebeb962adf6e74a4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","","2021-01-06T18:55:22Z"
"spotify:track:7sqii6BhIDpJChYpU3WjwS","Kiara","spotify:artist:0cmWgDlu9CwTgxPhf403hb","Bonobo","spotify:album:5m1RkwKeU7MV0Ni6PH2lPy","Black Sands","spotify:artist:0cmWgDlu9CwTgxPhf403hb","Bonobo","2010-03-29","https://i.scdn.co/image/ab67616d0000b2737da6d6787071a97593cfbcee","1","2","230306","https://p.scdn.co/mp3-preview/2c3de2634f0afd84fdd70504a51dd4797b4b6d81?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","","2020-11-18T03:52:33Z"
"spotify:track:1SBJ9LUxkalUVk6VmFRlma","Animals","spotify:artist:0cmWgDlu9CwTgxPhf403hb","Bonobo","spotify:album:5m1RkwKeU7MV0Ni6PH2lPy","Black Sands","spotify:artist:0cmWgDlu9CwTgxPhf403hb","Bonobo","2010-03-29","https://i.scdn.co/image/ab67616d0000b2737da6d6787071a97593cfbcee","1","11","405040","https://p.scdn.co/mp3-preview/8173c585fd849164ffcc7d7282204b1173381640?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","","2020-10-31T15:32:12Z"
"spotify:track:0bxcUgWlOURkU6lZt4zog0","Locket","spotify:artist:4kSGbjWGxTchKpIxXPJv0B","Crumb","spotify:album:2Q61Zm3rOli876QegmVY50","Locket","spotify:artist:4kSGbjWGxTchKpIxXPJv0B","Crumb","2017-06-23","https://i.scdn.co/image/ab67616d0000b2736147b24815415ae922d2a88f","1","4","318378","https://p.scdn.co/mp3-preview/9dd2e34ad180cb46e40b1b11aca987b345a60372?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","","2020-10-30T02:42:46Z"
"spotify:track:7fHqVBM914EJjzujOnUBFz","Bone Collector","spotify:artist:5KuuNGYTUTokLerXMNYCGL","Ho99o9","spotify:album:1nZ6KcrNVpW85ajKHF1xoY","Bone Collector","spotify:artist:5KuuNGYTUTokLerXMNYCGL","Ho99o9","2014-09-02","https://i.scdn.co/image/ab67616d0000b27341c8401ff35e219416ace858","1","1","174403","https://p.scdn.co/mp3-preview/b9a2be7e4ff19a176f8e5109536332c9bef4c2eb?cid=9950ac751e34487dbbe027c4fd7f8e99","true","37","","2020-04-22T16:54:58Z"
"spotify:track:1YsWyCYqpA8uZaR9SfYAnY","Newspaper","spotify:artist:3g2kUQ6tHLLbmkV7T4GPtL","Fiona Apple","spotify:album:0fO1KemWL2uCCQmM22iKlj","Fetch The Bolt Cutters","spotify:artist:3g2kUQ6tHLLbmkV7T4GPtL","Fiona Apple","2020-04-17","https://i.scdn.co/image/ab67616d0000b273841292c1316c4bf85447bcd9","1","7","332404","https://p.scdn.co/mp3-preview/c5261ba0e5b61353a1e6e11153cffd201631096d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","","2020-04-20T07:19:40Z"
"spotify:track:2gQYziDV5cSTRSqr6akzi5","Take A Step Back","spotify:artist:2rhFzFmezpnW82MNqEKVry, spotify:artist:15UsOTVnJzReFVN1VCnxy4","Ski Mask The Slump God, XXXTENTACION","spotify:album:2pTyjuQ1d1d79Chhknoa2h","You Will Regret (Reloaded)","spotify:artist:2rhFzFmezpnW82MNqEKVry","Ski Mask The Slump God","2018-02-02","https://i.scdn.co/image/ab67616d0000b27313831fd1727486857a80f2be","1","2","210386","https://p.scdn.co/mp3-preview/fef82c199834d5007b9a546595c0db6e51d6370b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","74","","2020-04-19T03:59:30Z"
"spotify:track:5gsmirfX1SvzLPlLhXPJYi","Blackout","spotify:artist:3EgMK920cIH5aLxFnJ6zSi","Boris","spotify:album:2rRHqBhUioCssa9VHMRJYO","Pink (Deluxe Edition)","spotify:artist:3EgMK920cIH5aLxFnJ6zSi","Boris","2016-07-08","https://i.scdn.co/image/ab67616d0000b273258fe4bd5289c57dec0dfc66","1","5","289680","https://p.scdn.co/mp3-preview/64e4263828e23b89e81c2c9e23ddf6a635e4cfe1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","","2019-11-12T16:32:28Z"
