"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:2iN2Xn3SfVd7vrIZ0TP3As","Mask","spotify:artist:6JW8wliOEwaDZ231ZY7cf4, spotify:artist:6uejjWIOshliv2Ho0OJAQN","Sepultura, Devin Townsend","spotify:album:4lNflIma2yBRAv5FFtjcoR","Mask","spotify:artist:6JW8wliOEwaDZ231ZY7cf4, spotify:artist:6uejjWIOshliv2Ho0OJAQN","Sepultura, Devin Townsend","2021-06-04","https://i.scdn.co/image/ab67616d0000b27364f62e15f1c535a356f1fe2c","1","1","281728","https://p.scdn.co/mp3-preview/2bad4e4597f724fad5629d9494565442ead681c7?cid=9950ac751e34487dbbe027c4fd7f8e99","true","46","spotify:user:","2021-06-04T00:01:00Z"
"spotify:track:2dYYziGqbCMgX1Y4yYWDUp","Voces Ab Alta","spotify:artist:0dR10i73opHXuRuLbgxltM","Mayhem","spotify:album:1DdYqnJfJaXcpJq9TUW9Xj","Voces Ab Alta","spotify:artist:0dR10i73opHXuRuLbgxltM","Mayhem","2021-06-03","https://i.scdn.co/image/ab67616d0000b273e41f6e843f3b487a4538508a","1","1","339960","https://p.scdn.co/mp3-preview/8afd746e78bb4bc48734efc6913c7d4ef26dd8dd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","spotify:user:","2021-06-04T00:01:00Z"
"spotify:track:0gzVVWrYrWkJJyZKE4K3pK","Ich hasse Kinder","spotify:artist:2a5G7JLmVJNjfFNg8rwLcP","Till Lindemann","spotify:album:3xYrUZj3xg5dvMrZvqoyKW","Ich hasse Kinder","spotify:artist:2a5G7JLmVJNjfFNg8rwLcP","Till Lindemann","2021-05-31","https://i.scdn.co/image/ab67616d0000b2734eaa6b95827dced309afbe04","1","1","232377","https://p.scdn.co/mp3-preview/d2f6bfa76008b7c00f6f2d9d76518f249a22ec77?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","spotify:user:","2021-06-04T00:01:00Z"
"spotify:track:4aKWfvddjsBwIrb3KKLb4x","Blood & Water","spotify:artist:7cNNNhdJDrt3vgQjwSavNf","Memphis May Fire","spotify:album:04AnLeNIV9gBaAqgPIJv9N","Blood & Water","spotify:artist:7cNNNhdJDrt3vgQjwSavNf","Memphis May Fire","2021-06-04","https://i.scdn.co/image/ab67616d0000b27333bc7b7ef04820ce9e518af4","1","1","230673","https://p.scdn.co/mp3-preview/2d6b6801b9419a990c45175439a812489de25bd1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","spotify:user:","2021-06-04T00:01:00Z"
"spotify:track:08KyVYfTxXxMk1zAIRDrQB","Bloody Knuckles","spotify:artist:3N8Hy6xQnQv1F1XCiyGQqA","Sleeping With Sirens","spotify:album:7x0i7WtY4KmuFrrX6EiKIW","Bloody Knuckles","spotify:artist:3N8Hy6xQnQv1F1XCiyGQqA","Sleeping With Sirens","2021-06-02","https://i.scdn.co/image/ab67616d0000b27350eb4fa23b445abb92f50d8c","1","1","205979","https://p.scdn.co/mp3-preview/7ee91f9b97d3a747d88e9bd7746d4b379f2475a7?cid=9950ac751e34487dbbe027c4fd7f8e99","true","55","spotify:user:","2021-06-04T00:01:00Z"
"spotify:track:2efGNmXPzR0QP2mahBefqc","Let Me Fall Apart","spotify:artist:6RIRplpyp79REfeBrvW8rH","Light The Torch","spotify:album:5h2d3sxmb6T6X888zwqMGp","Let Me Fall Apart","spotify:artist:6RIRplpyp79REfeBrvW8rH","Light The Torch","2021-06-04","https://i.scdn.co/image/ab67616d0000b2735f5cc0579958dd1faab37d4c","1","1","207844","https://p.scdn.co/mp3-preview/2f1f9f7fc40c808208c490c98d7c264d4f799f98?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","spotify:user:","2021-06-04T00:01:00Z"
"spotify:track:5bccYlSbCo13rsK5i3f4i3","Don't You Feel Amazing?","spotify:artist:0XGJ3GUPwslwFJ66yNbHeh","Trash Boat","spotify:album:5fzm0EmXjDTEOQv6GjGg7v","Don't You Feel Amazing?","spotify:artist:0XGJ3GUPwslwFJ66yNbHeh","Trash Boat","2021-06-02","https://i.scdn.co/image/ab67616d0000b2735639e26e7faa3336257240f4","1","1","225841","https://p.scdn.co/mp3-preview/e6ef91900639c1b461c4d3e2bfc03652648362d5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","spotify:user:","2021-06-04T00:01:00Z"
"spotify:track:0kAeOySijs6f5J97cEP5uq","Crimson Skies","spotify:artist:6O7MpKrY91vlCd4Osi6XKs","Black Veil Brides","spotify:album:0SsMZzgebkTGO5mduRB7ji","Crimson Skies","spotify:artist:6O7MpKrY91vlCd4Osi6XKs","Black Veil Brides","2021-06-04","https://i.scdn.co/image/ab67616d0000b273d8099ec897d478014a8cf507","1","1","249439","https://p.scdn.co/mp3-preview/8f33ff74015ffe8b92fdbb3a96ef7b3c9d1b2e83?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","spotify:user:","2021-06-04T00:01:00Z"
"spotify:track:5hrrBghLCsompqj5aRNUDV","Hate Cloak","spotify:artist:7kWnE981vITXDnAD2cZmCV","Darkthrone","spotify:album:6ZlDMHRjvlBmZZqyxfDA0g","Hate Cloak","spotify:artist:7kWnE981vITXDnAD2cZmCV","Darkthrone","2021-06-04","https://i.scdn.co/image/ab67616d0000b273fd5ae87ba3913180b620db2c","1","1","556906","https://p.scdn.co/mp3-preview/8ca88a71ed41ed5587f3f534f3e9a6cd2f02ff50?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","spotify:user:","2021-06-04T00:01:00Z"
"spotify:track:5qdLzQ4RhDgECzAUbKiWnJ","Our Demise","spotify:artist:7Cn1ymMw18oAuzmovUqcQC","The Five Hundred","spotify:album:3nQA09vFa6U6uWHvSn9i7J","Our Demise","spotify:artist:7Cn1ymMw18oAuzmovUqcQC","The Five Hundred","2021-06-04","https://i.scdn.co/image/ab67616d0000b2736db3b06d9875c5f5072f1bbd","1","1","245829","https://p.scdn.co/mp3-preview/c133988995fd5265aeb57ee758b9e377cc2649a4?cid=9950ac751e34487dbbe027c4fd7f8e99","true","30","spotify:user:","2021-06-04T00:01:00Z"
