"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:03N3ZwSllNXDNZaTUjmapD","One More Lie","spotify:artist:4pXVDLP9qRl1ecfaXnMTza","Chinaski","spotify:album:2NEt53GAaBKK32pwfaAbkY","Hope For Tomorrow","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2020-08-04","https://i.scdn.co/image/ab67616d0000b273060999091a3fab87aa0c2e95","1","6","259886","https://p.scdn.co/mp3-preview/2b806ee85f7716c59dc444766d15317769db07dd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","3","spotify:user:znwaj68bs6hi5cjo3uwxuopn1","2021-06-07T20:34:40Z"
"spotify:track:5WDkJX4U0qp5xgC0F8oEYq","Time and Place","spotify:artist:3QdmqqntCnQiO1JhTxJSOY","Bruce Lomet","spotify:album:2ROHqEhuYJIDOLdNBjACDv","Time and Place","spotify:artist:3QdmqqntCnQiO1JhTxJSOY","Bruce Lomet","2021-05-13","https://i.scdn.co/image/ab67616d0000b273b92004cdb132c0246360acca","1","1","217656","https://p.scdn.co/mp3-preview/bdd2971d8e6eadd1dfe97b12280e7d1da6110a81?cid=9950ac751e34487dbbe027c4fd7f8e99","false","8","spotify:user:znwaj68bs6hi5cjo3uwxuopn1","2021-06-07T21:38:03Z"
"spotify:track:7JHEpEEH9HL98vp5GQyrJR","I Can't Replace You","spotify:artist:4WhS4OFloIaRqd7cZkAkN5","Maxx Effe","spotify:album:6aS5LkoBs56s82BzVPbjT2","I Can't Replace You","spotify:artist:4WhS4OFloIaRqd7cZkAkN5","Maxx Effe","2021-06-01","https://i.scdn.co/image/ab67616d0000b2736946c10a0df3492c6108a29a","1","1","211698","https://p.scdn.co/mp3-preview/4809beecee024f58896571b1ee41f764c7b73dd7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","spotify:user:21bo3zdyi5styaztqgauufu3y","2021-06-02T07:09:47Z"
"spotify:track:5psm02xl561qg63Pu9z4sV","Bring It On","spotify:artist:4WhS4OFloIaRqd7cZkAkN5, spotify:artist:5SvDsI9w1mM5qC8qQfHAKo","Maxx Effe, Gabriele Bolognesi","spotify:album:1qkpmj1TmtaicTj2WWJH7e","Bring It On","spotify:artist:4WhS4OFloIaRqd7cZkAkN5, spotify:artist:5SvDsI9w1mM5qC8qQfHAKo","Maxx Effe, Gabriele Bolognesi","2021-04-12","https://i.scdn.co/image/ab67616d0000b273354aca2ca550c49ecb0ad913","1","1","238070","https://p.scdn.co/mp3-preview/220a22d08c1c89d52c30633c722458f638f6b7be?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","spotify:user:21bo3zdyi5styaztqgauufu3y","2021-06-02T07:09:47Z"
"spotify:track:0OQKfFISR45ST1b1YYwYyx","The Journey","spotify:artist:4WhS4OFloIaRqd7cZkAkN5","Maxx Effe","spotify:album:6pkZzePzBpJKVBxuavMPIt","The Journey","spotify:artist:4WhS4OFloIaRqd7cZkAkN5","Maxx Effe","2021-03-20","https://i.scdn.co/image/ab67616d0000b2736a9455835703dcbc19ca382e","1","1","322411","https://p.scdn.co/mp3-preview/860411708188619d41d138aec76b32f1bf470d41?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","spotify:user:21bo3zdyi5styaztqgauufu3y","2021-06-02T07:09:47Z"
"spotify:track:5LEGmNH9DYHr2ivXesQQzE","Walls","spotify:artist:4WhS4OFloIaRqd7cZkAkN5","Maxx Effe","spotify:album:2xc1mB6fZbXyNNZZb2fLVf","Walls","spotify:artist:4WhS4OFloIaRqd7cZkAkN5","Maxx Effe","2021-03-05","https://i.scdn.co/image/ab67616d0000b273331902b312ffaefcd0ecfcdd","1","1","336097","https://p.scdn.co/mp3-preview/bf078faf6b7a8900a5526671bb8c2d0bc32ef84b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","spotify:user:21bo3zdyi5styaztqgauufu3y","2021-06-02T07:09:47Z"
"spotify:track:17ll6mSWKgRjtKi0Rk6kod","Fall into You","spotify:artist:4WhS4OFloIaRqd7cZkAkN5","Maxx Effe","spotify:album:5R42PsfvIgIvedtszfQ2GP","Fall into You","spotify:artist:4WhS4OFloIaRqd7cZkAkN5","Maxx Effe","2020-05-01","https://i.scdn.co/image/ab67616d0000b273ad128c8d00c92bd94ca84eac","1","1","259838","https://p.scdn.co/mp3-preview/3d3b4d7527bf7e8bdb09b5516953b80dd3c08f96?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","spotify:user:21bo3zdyi5styaztqgauufu3y","2021-06-02T07:09:47Z"
"spotify:track:1b4RMsI2zdRYEoC3KwBW4E","Close Your Eyes","spotify:artist:4WhS4OFloIaRqd7cZkAkN5","Maxx Effe","spotify:album:0SyNTR304rIQzNtN6tox2X","Close Your Eyes","spotify:artist:4WhS4OFloIaRqd7cZkAkN5","Maxx Effe","2019-01-25","https://i.scdn.co/image/ab67616d0000b2735205818fe6d979ca6a4acc9e","1","1","296153","https://p.scdn.co/mp3-preview/86db58da64859b6c7bedf0df25ee5e75670e12cd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","8","spotify:user:21bo3zdyi5styaztqgauufu3y","2021-06-02T07:09:47Z"
"spotify:track:6h0gEQIDG9T18qMJAiFGO5","Fall into You (Radio)","spotify:artist:4WhS4OFloIaRqd7cZkAkN5","Maxx Effe","spotify:album:0YIHcRpu1RqYPhtlSh6hsC","Fall into You (Radio)","spotify:artist:4WhS4OFloIaRqd7cZkAkN5","Maxx Effe","2020-05-01","https://i.scdn.co/image/ab67616d0000b2737fa7d94a8ede2211f8900abc","1","1","185806","https://p.scdn.co/mp3-preview/097ab78ab9c3f1e177215b1655d63c0d287fe289?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","spotify:user:21bo3zdyi5styaztqgauufu3y","2021-06-02T07:09:47Z"
"spotify:track:5WDkJX4U0qp5xgC0F8oEYq","Time and Place","spotify:artist:3QdmqqntCnQiO1JhTxJSOY","Bruce Lomet","spotify:album:2ROHqEhuYJIDOLdNBjACDv","Time and Place","spotify:artist:3QdmqqntCnQiO1JhTxJSOY","Bruce Lomet","2021-05-13","https://i.scdn.co/image/ab67616d0000b273b92004cdb132c0246360acca","1","1","217656","https://p.scdn.co/mp3-preview/bdd2971d8e6eadd1dfe97b12280e7d1da6110a81?cid=9950ac751e34487dbbe027c4fd7f8e99","false","8","spotify:user:znwaj68bs6hi5cjo3uwxuopn1","2021-06-07T16:11:14Z"
