"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:4zLSF1G1wSC4ckx7z95Cvb","Bad Luck [Feat. PlayThatBoiZay]","spotify:artist:6fxyWrfmjcbj5d12gXeiNV, spotify:artist:04eqrYwakzHXxRABNRWbwM","Denzel Curry, PlayThatBoiZay","spotify:album:5WYUs1ZqJo9LzW3MDaqXgS","Bad Luck [Feat. PlayThatBoiZay]","spotify:artist:6fxyWrfmjcbj5d12gXeiNV, spotify:artist:04eqrYwakzHXxRABNRWbwM","Denzel Curry, PlayThatBoiZay","2021-06-02","https://i.scdn.co/image/ab67616d0000b27307353c9c07a2c2e645c856a2","1","1","172760","https://p.scdn.co/mp3-preview/76e57940f273be05b43f396dd0df7fa3f6b1cba6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","spotify:user:","2021-06-04T04:00:00Z"
"spotify:track:60SpxCWMYIFv1G9CbqLQP9","A Year to the Day","spotify:artist:6Z9PPhoezsXDDnYdrF8HxI, spotify:artist:3mvkWMe6swnknwscwvGCHO","Stone Giants, Amon Tobin","spotify:album:0izcpbfnyHml0YIqEc5RAJ","A Year to the Day","spotify:artist:6Z9PPhoezsXDDnYdrF8HxI, spotify:artist:3mvkWMe6swnknwscwvGCHO","Stone Giants, Amon Tobin","2021-06-04","https://i.scdn.co/image/ab67616d0000b273234814fac270c80725e908f7","1","1","214068","https://p.scdn.co/mp3-preview/821d0beef8c95dad2a6b66a529ebf37839c0c2bd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","spotify:user:","2021-06-04T04:00:00Z"
"spotify:track:4lpeHcpqjIO2DhWM3oGelA","Jerusahat - Sawnoff Dali Version","spotify:artist:7hFdUW64G4iU1tz46ITRfN","808 State","spotify:album:78Gn0ClcOeupgcSQEre1eY","Sawnoff Dali","spotify:artist:7hFdUW64G4iU1tz46ITRfN","808 State","2021-06-04","https://i.scdn.co/image/ab67616d0000b2730dcd0bdc35e239e7c35f4126","1","2","323430","https://p.scdn.co/mp3-preview/9a9748d9b286b728a4cff5528c4f42e5a4ab2b38?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","spotify:user:","2021-06-04T04:00:00Z"
"spotify:track:4AIml9L3XJf9AUFyJfVj15","TopOppz","spotify:artist:6tMbEJ1FVJm18EFpJG8OuM, spotify:artist:2kDXtCACfXXLm0pJ9jPfUG, spotify:artist:5mWFeAdisoCXtDpsjwsZXn","Heffay Capone, Spazz, Wulaa DropDemTints","spotify:album:2iX3MHddHVg66j7xTMaOwg","TopOppz","spotify:artist:6tMbEJ1FVJm18EFpJG8OuM","Heffay Capone","2021-06-01","https://i.scdn.co/image/ab67616d0000b2736a4a71f35231813e0a5a57d8","1","1","186600","https://p.scdn.co/mp3-preview/41ad35f8ec16cde5799d5a1e4b2ffb6b5066991c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","7","spotify:user:","2021-06-04T04:00:00Z"
"spotify:track:0aZIpFZPJqM1evzPGEcRxC","let all the poisons that lurk in the mud seep out - Actress Remix","spotify:artist:0fEfMW5bypHZ0A8eLnhwj5, spotify:artist:0qu422H5MOoQxGjd4IzHbS, spotify:artist:1SFqXNEGetmMW6VPZseNqy, spotify:artist:1otDUlTEBjcyDQg6CkHRaV, spotify:artist:3bg5rmICvmA8dmYVAdKGYH","Kelsey Lu, Yves Tumor, Kelly Moran, Moses Boyd, Actress","spotify:album:1OsykdLbXH6KL0tAebPL1X","let all the poisons that lurk in the mud seep out (Actress Remix)","spotify:artist:0fEfMW5bypHZ0A8eLnhwj5, spotify:artist:0qu422H5MOoQxGjd4IzHbS, spotify:artist:3bg5rmICvmA8dmYVAdKGYH","Kelsey Lu, Yves Tumor, Actress","2021-06-04","https://i.scdn.co/image/ab67616d0000b27394030251da642c4bfcfd1ef7","1","1","313562","https://p.scdn.co/mp3-preview/5dad885b655c3d67a71e526684c3ac472b255a52?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","spotify:user:","2021-06-04T04:00:00Z"
"spotify:track:0qzdy8o3s3AqW8iCnq3tEU","Main Theme [Feat. Alex Isley]","spotify:artist:5cM1PvItlR21WUyBnsdMcn, spotify:artist:1jvBVqm4g5Jk8tEmKoYoes, spotify:artist:7E2ioKxoxI2J94tUkIx6As","Robert Glasper, Derrick Hodge, Alex Isley","spotify:album:2kA7VYPdXwq9JrAVZKjgpD","Run The World: Season 1 (Music from the STARZ Original Series)","spotify:artist:5cM1PvItlR21WUyBnsdMcn, spotify:artist:1jvBVqm4g5Jk8tEmKoYoes","Robert Glasper, Derrick Hodge","2021-06-01","https://i.scdn.co/image/ab67616d0000b2734e3424cba59d63f695704bf3","1","1","106699","https://p.scdn.co/mp3-preview/5abe0cbf6bdd57938dd0eed7643dd772bc2adcc4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","spotify:user:","2021-06-04T04:00:00Z"
"spotify:track:5jsTwgRMXcuUrJTSAQW63E","Wavy Geng","spotify:artist:3NyysOo28DWoS4Xh3FbXt0, spotify:artist:7iNrvS80wnHDGVxw3qNRiI, spotify:artist:6FftYVsB3RIsyDO9oL2Vxb, spotify:artist:6tqRiiqhyYd6O1TjLcVfXm, spotify:artist:67lyaRsYTCns7y9Ib7Zmzs","Starflexx Armani, CHINCHILLA, Trinity, Painkiller, Rapsy","spotify:album:02r4wsm54uE840ygvppZxJ","Wavy Geng","spotify:artist:3NyysOo28DWoS4Xh3FbXt0","Starflexx Armani","2021-05-31","https://i.scdn.co/image/ab67616d0000b2732c8a1862e3b8ed36859fb219","1","1","261825","https://p.scdn.co/mp3-preview/9b610eff5a6e2fe7bd5aa5db3c520a42b5228009?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","spotify:user:","2021-06-04T04:00:00Z"
"spotify:track:5oK0M0jRNHDVMdsMQeKQaI","JEREMIAH - ORIGINAL","spotify:artist:1Bl6wpkWCQ4KVgnASpvzzA","BROCKHAMPTON","spotify:album:5iwHnTMSgzypmxdmQOr7if","ROADRUNNER: NEW LIGHT, NEW MACHINE PLUS PACK","spotify:artist:1Bl6wpkWCQ4KVgnASpvzzA","BROCKHAMPTON","2021-06-04","https://i.scdn.co/image/ab67616d0000b27330959bc8585f7289ad732ac9","1","17","183226","https://p.scdn.co/mp3-preview/830804fcaad6d53c879cc9544f522d66b0108507?cid=9950ac751e34487dbbe027c4fd7f8e99","true","57","spotify:user:","2021-06-04T04:00:00Z"
"spotify:track:0uKE2HJzfmH5rpiGoN65Bj","Ceremony - WHOKILLEDXIX Ceremonial Version","spotify:artist:0RSogp4qeGu0ZM71JRTay3, spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","WHOKILLEDXIX, Deftones","spotify:album:2PWyajA486Gba7JcwIVEPl","Ceremony (WHOKILLEDXIX Ceremonial Version)","spotify:artist:0RSogp4qeGu0ZM71JRTay3, spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","WHOKILLEDXIX, Deftones","2021-06-04","https://i.scdn.co/image/ab67616d0000b273d0a2e331d9ca2a43be410718","1","1","116575","https://p.scdn.co/mp3-preview/f364170045fe92edb7edf7be1a536f5dd2ae2f8b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","spotify:user:","2021-06-04T04:00:00Z"
"spotify:track:6mJ1xzqTOpUfIKVc4d5HDl","Diana","spotify:artist:6ZK2nrW8aCTg8Bid7I7N10","Chelsea Wolfe","spotify:album:3KQGVYjzN1c5QhhdeGwIMF","Diana","spotify:artist:6ZK2nrW8aCTg8Bid7I7N10","Chelsea Wolfe","2021-05-26","https://i.scdn.co/image/ab67616d0000b27303ac98740c692a174282e827","1","1","256105","https://p.scdn.co/mp3-preview/c5d273c51123d13c0601a5cf723a448100722172?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","spotify:user:","2021-06-04T04:00:00Z"
