"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:4Uiw0Sl9yskBaC6P4DcdVD","Be Quiet and Drive (Far Away)","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","spotify:album:7o4UsmV37Sg5It2Eb7vHzu","Around the Fur","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","1997-10-27","https://i.scdn.co/image/ab67616d0000b2730b1129853982ea17845d4eb6","1","6","299866","https://p.scdn.co/mp3-preview/687e79963e18ac99359515232f38dcce092a9518?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","spotify:user:","2021-06-03T02:39:04Z"
"spotify:track:7HGOZac4VHXnWXWuvMniTv","Farewell","spotify:artist:3EgMK920cIH5aLxFnJ6zSi","Boris","spotify:album:2rRHqBhUioCssa9VHMRJYO","Pink (Deluxe Edition)","spotify:artist:3EgMK920cIH5aLxFnJ6zSi","Boris","2016-07-08","https://i.scdn.co/image/ab67616d0000b273258fe4bd5289c57dec0dfc66","1","1","453440","https://p.scdn.co/mp3-preview/9fb5659db5bfbe3c67a8d033bd6f7bc1d0126cef?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","spotify:user:","2021-06-03T02:39:04Z"
"spotify:track:52UcjsM15hjCQAUbTW2hy1","Only Shallow","spotify:artist:3G3Gdm0ZRAOxLrbyjfhii5","my bloody valentine","spotify:album:3GH4IiI6jQAIvnHVdb5FB6","Loveless","spotify:artist:3G3Gdm0ZRAOxLrbyjfhii5","my bloody valentine","1991-11-04","https://i.scdn.co/image/ab67616d0000b2730ede770070357575bc050511","1","1","257519","https://p.scdn.co/mp3-preview/c3e2e9a753345c0a10fbc6dedc8d097ad905d085?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","spotify:user:","2021-06-03T02:39:04Z"
"spotify:track:1p75lScKo8XQT0niqFRxNx","Seagull - 2001 Remaster","spotify:artist:0WPY9nnBy01s5QOt4o4oQX","Ride","spotify:album:4fW7CblaSvdhPWmcCFgZbQ","Nowhere (Expanded)","spotify:artist:0WPY9nnBy01s5QOt4o4oQX","Ride","1990-10-15","https://i.scdn.co/image/ab67616d0000b273f0e3d47ac6d6d2cbe14cf8f2","1","1","368760","https://p.scdn.co/mp3-preview/8c1d6d7cc49158a72f854e1044b8394506eb39e8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","spotify:user:","2021-06-03T02:39:04Z"
"spotify:track:1dwC0I32wb53mXCECR4ZY7","Zero Day","spotify:artist:60mqEPQp1eNjuwt1Z4yL4J","Nothing","spotify:album:4LSHNiX2fM8eKv4TyosARZ","Dance on the Blacktop","spotify:artist:60mqEPQp1eNjuwt1Z4yL4J","Nothing","2018-08-24","https://i.scdn.co/image/ab67616d0000b273b53d0002e80caa23ba813a41","1","1","237133","https://p.scdn.co/mp3-preview/2ad795e2560d2694f5d4740ed17f809a015b2fe8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","spotify:user:","2021-06-03T02:39:04Z"
"spotify:track:4WVb36fxYnEHVKDKiMRZHw","Dark Stone","spotify:artist:13rS3lCWshTVt6HsCNjvBI","Holy Fawn","spotify:album:3L9kfqui54S1V2MvOHKmJC","Death Spells","spotify:artist:13rS3lCWshTVt6HsCNjvBI","Holy Fawn","2018-09-14","https://i.scdn.co/image/ab67616d0000b273e54dae908464ccf3d1a89027","1","1","382167","https://p.scdn.co/mp3-preview/4146e0985dfd37f1b32e709f538e8665bccbc6ed?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","spotify:user:","2021-06-03T02:39:04Z"
"spotify:track:4VSH2Mz6pJqJU51ba1zoMk","Souvlaki Space Station","spotify:artist:72X6FHxaShda0XeQw3vbeF","Slowdive","spotify:album:76Yzub5fwYE4eMwcjlzSDd","Souvlaki","spotify:artist:72X6FHxaShda0XeQw3vbeF","Slowdive","1993","https://i.scdn.co/image/ab67616d0000b2737bf487faab3add8cfad5cb2e","1","6","359066","","false","0","spotify:user:","2021-06-03T02:39:04Z"
"spotify:track:4SkKv1DdU52DJHLNZHZB4t","Wax and Wane - 2005 Remaster","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","spotify:album:3hBCkMqaYnCmJciEUKqyfC","B-Sides & Rarities","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","2005-10-04","https://i.scdn.co/image/ab67616d0000b273e8e8eda544f82d427b173d9d","1","2","249013","https://p.scdn.co/mp3-preview/85ff5e8ab776643e19d21de7da67affeb97e88b5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","spotify:user:","2021-06-03T02:39:04Z"
"spotify:track:1siSC5Cy4tSD42yJuuP4uK","Silver","spotify:artist:1binm59tmJzoZLvLETVYBP","Jesu","spotify:album:6h9R85MGIcZ1RTafY0PMbm","Silver - EP","spotify:artist:1binm59tmJzoZLvLETVYBP","Jesu","2006","https://i.scdn.co/image/ab67616d0000b273a261cdc7b54f8f627e3f18ec","1","1","406226","","false","2","spotify:user:","2021-06-03T02:39:04Z"
"spotify:track:3XNaDfuS7dVHDxsZJXN90U","Polyfusion","spotify:artist:0jyH4jtanxaysaxwDVhR6f","Seefeel","spotify:album:1DbyTqEOzovAduSqB7Xskh","Quique","spotify:artist:0jyH4jtanxaysaxwDVhR6f","Seefeel","1993-07-16","https://i.scdn.co/image/ab67616d0000b273d73512fb41febe799b353233","1","2","383826","","false","0","spotify:user:","2021-06-03T02:39:04Z"
"spotify:track:7ITRNB9OckYIp2SW2iXU8U","Soon","spotify:artist:3G3Gdm0ZRAOxLrbyjfhii5","my bloody valentine","spotify:album:3GH4IiI6jQAIvnHVdb5FB6","Loveless","spotify:artist:3G3Gdm0ZRAOxLrbyjfhii5","my bloody valentine","1991-11-04","https://i.scdn.co/image/ab67616d0000b2730ede770070357575bc050511","1","11","418706","https://p.scdn.co/mp3-preview/7f06a0811c2776934775d76918acec4e5b91f0a4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","spotify:user:","2021-06-03T02:39:04Z"
"spotify:track:5pvmhSKAEGovYtUQW8xqJp","Stare at the Sun","spotify:artist:3sWLSYm3MFYosc4AZhwajg","Ringo Deathstarr","spotify:album:6nbPtKlhPst5q52OuVgPhb","Pure Mood","spotify:artist:3sWLSYm3MFYosc4AZhwajg","Ringo Deathstarr","2015-11-20","https://i.scdn.co/image/ab67616d0000b273dc22c6e6c9cffa91a6362615","1","3","259957","https://p.scdn.co/mp3-preview/11c2bacef1ba7f51bded1d998c57379392e108c5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","spotify:user:","2021-06-03T02:39:04Z"
"spotify:track:5DFnmcshyxsonqTvanqZPY","Sapphire","spotify:artist:0d5ZwMtCer8dQdOPAgWhe7","Alcest","spotify:album:6o13o3tlmwPYFnlIrVoRhh","Spiritual Instinct","spotify:artist:0d5ZwMtCer8dQdOPAgWhe7","Alcest","2019-10-25","https://i.scdn.co/image/ab67616d0000b27312775bb3da15efa0c7019c82","1","3","300503","https://p.scdn.co/mp3-preview/5b1e233cd5a98eb6b34434589d1b1a10a09c5ef7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","spotify:user:","2021-06-03T02:39:04Z"
"spotify:track:00YCRrySf0dJ6nRCKYSAkA","Pancake","spotify:artist:0Zk7We5BZoDR40himAI86D","Swirlies","spotify:album:0bOwhaZsDgLWVIUd4mU7U5","Blonder Tongue Audio Baton","spotify:artist:0Zk7We5BZoDR40himAI86D","Swirlies","1993","https://i.scdn.co/image/ab67616d0000b273b69d98d7e2fcb0226c4bf359","1","6","195613","https://p.scdn.co/mp3-preview/54712e4dd5aa6422e3413727f209eedd89155202?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","spotify:user:","2021-06-03T02:39:04Z"
"spotify:track:0ZdSPHnoFUAE1tck8oxSyJ","Taker","spotify:artist:4OrizGCKhOrW6iDDJHN9xd","DIIV","spotify:album:12Iv5xAKpg2fnS1apJ0lp5","Taker","spotify:artist:4OrizGCKhOrW6iDDJHN9xd","DIIV","2019-08-22","https://i.scdn.co/image/ab67616d0000b273fbdc94e6e502ce123b2b2902","1","1","268800","https://p.scdn.co/mp3-preview/6e00c7db9c58ba10f4da2ddd388acda15c0d939c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","spotify:user:","2021-06-03T02:39:04Z"
"spotify:track:06WHKWWKPDqkWA5yHCCRUs","The Same Place","spotify:artist:4cFiH2RuKB8SzNi3MwCpJJ","Centaur","spotify:album:4NIUGM2AxYylwdhjshZsPL","In Streams","spotify:artist:4cFiH2RuKB8SzNi3MwCpJJ","Centaur","2002","https://i.scdn.co/image/ab67616d0000b2733c2250befec33440851c6bac","1","3","455000","https://p.scdn.co/mp3-preview/0e94e3201246e48c9f0ad1e11877821ef48cdc78?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","spotify:user:","2021-06-03T02:39:04Z"
"spotify:track:7wE4l1GNxjE2kOmlsx0PcA","When The Sun Hits","spotify:artist:72X6FHxaShda0XeQw3vbeF","Slowdive","spotify:album:76Yzub5fwYE4eMwcjlzSDd","Souvlaki","spotify:artist:72X6FHxaShda0XeQw3vbeF","Slowdive","1993","https://i.scdn.co/image/ab67616d0000b2737bf487faab3add8cfad5cb2e","1","7","287466","","false","0","spotify:user:","2021-06-03T02:39:04Z"
"spotify:track:3HfEgAaf0koxBpBB8NvGda","When You Sleep","spotify:artist:3G3Gdm0ZRAOxLrbyjfhii5","my bloody valentine","spotify:album:3GH4IiI6jQAIvnHVdb5FB6","Loveless","spotify:artist:3G3Gdm0ZRAOxLrbyjfhii5","my bloody valentine","1991-11-04","https://i.scdn.co/image/ab67616d0000b2730ede770070357575bc050511","1","5","251933","https://p.scdn.co/mp3-preview/c616c688e2f215ee0e501036f80e7d2f5ef1c79a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","spotify:user:","2021-06-03T02:39:04Z"
"spotify:track:57oNds15RN6allNb0YIPSD","A House Wife Love Song","spotify:artist:3OyC0tKaejLvZHB4s78zED","Starflyer 59","spotify:album:4IlB3r32E8AFwHcpFko7ks","Gold","spotify:artist:3OyC0tKaejLvZHB4s78zED","Starflyer 59","2005-01-01","https://i.scdn.co/image/ab67616d0000b273a9803825ecd71d3fd0b8f312","1","1","253013","https://p.scdn.co/mp3-preview/94828b44072b5bcdb1239e5b19cc30694ed4484a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","spotify:user:","2021-06-03T02:39:04Z"
"spotify:track:6Sd3ALX2GKamuWcvv0xHFP","Echo and Abyss","spotify:artist:4SXj7TVoA3bgfR8AVssACa","Caspian","spotify:album:2Iw6ZVE1gw6HSuRvNirbxg","Dust and Disquiet","spotify:artist:4SXj7TVoA3bgfR8AVssACa","Caspian","2015-09-25","https://i.scdn.co/image/ab67616d0000b2739213438c86b0f50290a41eaa","1","4","344586","","false","0","spotify:user:","2021-06-03T02:39:04Z"
"spotify:track:40ABtf917Ghhi2tkQDNOdn","Kick The Tragedy","spotify:artist:1s5mUpjVtK0XAScRqlErSE","Drop Nineteens","spotify:album:0kAlEeID2MPd2JYT3Iwegp","Delaware","spotify:artist:1s5mUpjVtK0XAScRqlErSE","Drop Nineteens","1992-01-01","https://i.scdn.co/image/ab67616d0000b273327dd408e63cfe266e5186b2","1","4","535600","https://p.scdn.co/mp3-preview/1798d65ce4006b7f245729af0bbd868290dbcdfc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","spotify:user:","2021-06-03T02:39:04Z"
"spotify:track:6Qyy9fqDBBZyl90snerjl0","Undercurrent","spotify:artist:6qNSgOBq7aNMSUh1lxUhYq","Windy & Carl","spotify:album:4N2itOeznvkwIysfQVjGP1","Depths","spotify:artist:6qNSgOBq7aNMSUh1lxUhYq","Windy & Carl","1998","https://i.scdn.co/image/ab67616d0000b273eee5f90459cdce208d9d3b8d","1","2","281453","https://p.scdn.co/mp3-preview/7aed159153fe9cf5a1009cbfe5d234cf21a0e777?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","spotify:user:","2021-06-03T02:39:04Z"
"spotify:track:11MgD2LnjAig9KtK0ePJtj","Rave Down","spotify:artist:0Sd7X8SxWV0AyDLbvd4uEu","Swervedriver","spotify:album:6dl2WtJnjCL69XLQuMwSJw","Raise","spotify:artist:0Sd7X8SxWV0AyDLbvd4uEu","Swervedriver","1991-09-30","https://i.scdn.co/image/ab67616d0000b27344246a531a6466b0078830da","1","5","306200","https://p.scdn.co/mp3-preview/0f6c5448e2d9c1c1192a8b1c30561a3c08b63f4f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","spotify:user:","2021-06-03T02:39:04Z"
"spotify:track:2b2S9w60neGvaXD70DDDkT","","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","","spotify:album:7EeBLXTesaRmxWoQ2sAMVo","","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","","2013-02-02","","1","2","381626","","false","0","spotify:user:","2021-06-03T02:39:04Z"
"spotify:track:46gX5K76xOjp80hRROhuKy","Solar Song","spotify:artist:0d5ZwMtCer8dQdOPAgWhe7","Alcest","spotify:album:67g2ZVpS6tLus7uvIt5dZT","Écailles de lune","spotify:artist:0d5ZwMtCer8dQdOPAgWhe7","Alcest","2010-03-26","https://i.scdn.co/image/ab67616d0000b27361ad6c3badc422e1cc875705","1","5","324213","","false","7","spotify:user:","2021-06-03T02:39:04Z"
"spotify:track:3jQBAyQVJSl9fc6l4tsWWP","40 Days","spotify:artist:72X6FHxaShda0XeQw3vbeF","Slowdive","spotify:album:4i21O3uVh5palcfFhCjlT7","Souvlaki","spotify:artist:72X6FHxaShda0XeQw3vbeF","Slowdive","1994-11-05","https://i.scdn.co/image/ab67616d0000b27353da07db25e2543cce38abfe","1","3","195573","https://p.scdn.co/mp3-preview/b906e0b0f4081ef2946f446032c259ed24c945f4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","spotify:user:","2021-06-03T02:39:04Z"
