"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:2Ywf4ObA18bSfKCtUr9x2a","Colors Of Tomorrow","spotify:artist:6fz3m9HgQ3s7171AZHvk0j","Krama","spotify:album:4gsVztAbvHd7jWQp1URhyl","Colors Of Tomorrow","spotify:artist:6fz3m9HgQ3s7171AZHvk0j","Krama","2021-06-04","https://i.scdn.co/image/ab67616d0000b2732880fc20de15f3a3769216ef","1","1","347357","https://p.scdn.co/mp3-preview/08756fcc525d1a8b4be2dbcf511104205934dca6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","spotify:user:1121694588","2021-06-04T07:11:16Z"
"spotify:track:5FCNGjt3JQvjHM0YJAye3F","Petrichor - Second Sun Remix","spotify:artist:3pqRgTAehQPjpsJsZkGOWh, spotify:artist:75HG32kTRg2zB1fhG6vDvZ","Artemis Rising, Second Sun","spotify:album:0gRvQqP3OoF76G2m7lP448","Petrichor (Second Sun Remix)","spotify:artist:3pqRgTAehQPjpsJsZkGOWh, spotify:artist:75HG32kTRg2zB1fhG6vDvZ","Artemis Rising, Second Sun","2021-06-03","https://i.scdn.co/image/ab67616d0000b273818fbfd4ddc583e2436a69a0","1","1","432000","https://p.scdn.co/mp3-preview/a254359a7b8395cd06515eb08991c09e3b70a4dc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","spotify:user:1121694588","2021-06-04T07:11:16Z"
"spotify:track:5FDEOvpMqsrjepuGh3SGuk","Motions","spotify:artist:74QIWYXbKeKNYmdHB3nRJ7, spotify:artist:1WIFMGTZTCJGz8rrENkqcK","Fabio Fusco, Joicey","spotify:album:4rmbvIi8W6wMVnJMzFPSPo","Motions","spotify:artist:74QIWYXbKeKNYmdHB3nRJ7, spotify:artist:1WIFMGTZTCJGz8rrENkqcK","Fabio Fusco, Joicey","2021-05-14","https://i.scdn.co/image/ab67616d0000b273a6e410c5161db9d04ad83957","1","1","255428","https://p.scdn.co/mp3-preview/108f92cf3e846dba39cbee341752face330e00f2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","spotify:user:1121694588","2021-06-04T07:11:16Z"
"spotify:track:4GuJJXeOoLzCh0Tcw6uq5b","Never Look Back","spotify:artist:3XsyrntEvN0KOD4nn5hW4M","Aátma","spotify:album:1lr5ohHeYUfp1ruVJy9jDd","Never Look Back","spotify:artist:3XsyrntEvN0KOD4nn5hW4M","Aátma","2021-06-03","https://i.scdn.co/image/ab67616d0000b273ee48030ffbce13bd6e50cd1c","1","1","305571","https://p.scdn.co/mp3-preview/43a3e583cf42d6cb4ffd82f0b9c82e719c92573d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","spotify:user:1121694588","2021-06-04T07:11:16Z"
"spotify:track:7ckOyQd1wQUzQxq750OYSD","Break You","spotify:artist:0YAmYesPdjvMPgnLKcDHR3, spotify:artist:2r7sssoF6zZbPOG0U0YOem","Skazi, Berg","spotify:album:0o4K6E5EFKntvfiFkfnB3K","Break You","spotify:artist:0YAmYesPdjvMPgnLKcDHR3, spotify:artist:2r7sssoF6zZbPOG0U0YOem","Skazi, Berg","2021-05-28","https://i.scdn.co/image/ab67616d0000b273882297d434bc2727fbb24733","1","1","213043","https://p.scdn.co/mp3-preview/7ba82b5f428ba4eb1fd3b6c3940949111dfea24f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","spotify:user:1121694588","2021-06-04T07:11:16Z"
"spotify:track:1LQVpzxn3yZsZWElBi06hs","7 O'Clock","spotify:artist:7pHwBqsYULdAdHgSwf1q9f, spotify:artist:0AvC7iOS4Vs2caVtvXvNux","Omiki, DEGO","spotify:album:7vftZgYLSwSoaKii7lGJmH","7 O'Clock","spotify:artist:7pHwBqsYULdAdHgSwf1q9f, spotify:artist:0AvC7iOS4Vs2caVtvXvNux","Omiki, DEGO","2021-05-21","https://i.scdn.co/image/ab67616d0000b273643a2e2834dc1ee4aca37674","1","1","199285","https://p.scdn.co/mp3-preview/c3133f0a138b932bc991466d0550cdb8d4563adc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","spotify:user:1121694588","2021-06-04T07:11:16Z"
"spotify:track:04dCzJDahBSjMv96b2bBfK","One Of Two","spotify:artist:3phY77se2iWw6Zle6alIvP","7Eleven","spotify:album:5W9lUT5AHkjExRXvr3j7U4","One Of Two","spotify:artist:3phY77se2iWw6Zle6alIvP","7Eleven","2021-05-27","https://i.scdn.co/image/ab67616d0000b273769c92361acc25a8121a3d70","1","1","296500","https://p.scdn.co/mp3-preview/e420de51513dc3f634b038b4f650c6504d947ac8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","spotify:user:1121694588","2021-06-04T07:11:16Z"
"spotify:track:5Xej4WKwympYtGjiJHvWr1","Mirror","spotify:artist:5X3rdmEE2Mif6kFQkb2PxB, spotify:artist:3Bs4g9IT8bAbCqmzaXYUzs","Neelix, Durs","spotify:album:3FoXlabTQJxbFZNF6SAJT8","Mirror","spotify:artist:5X3rdmEE2Mif6kFQkb2PxB, spotify:artist:3Bs4g9IT8bAbCqmzaXYUzs","Neelix, Durs","2021-04-30","https://i.scdn.co/image/ab67616d0000b2732b7d726c7eb9acbdf36f1655","1","1","289565","https://p.scdn.co/mp3-preview/3d839fab6daf99e4927e947867c1bc9a107cd815?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","spotify:user:1121694588","2021-06-04T07:11:16Z"
"spotify:track:4AE5YnXiGC6Hh5Tfk7HgtR","Issues","spotify:artist:5J41o0l7Wy6ZBc14nts5T4, spotify:artist:7JHmRze9V18uFjvrCktqxK","Pribe, Kurtt","spotify:album:2JSkRQLNecYwolOHk24Y4A","Issues","spotify:artist:5J41o0l7Wy6ZBc14nts5T4, spotify:artist:7JHmRze9V18uFjvrCktqxK","Pribe, Kurtt","2021-05-20","https://i.scdn.co/image/ab67616d0000b273d1153af47b232fe21254d7b1","1","1","285000","https://p.scdn.co/mp3-preview/6a90c56f9c62da6424825a2424498b505330a1da?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","spotify:user:1121694588","2021-06-04T07:11:16Z"
"spotify:track:52ERPWl1w0STK6wVGRnfeC","Exile","spotify:artist:4lA68EVFzoodItMp7RH2cv","Interactive Noise","spotify:album:6y8mdastxgc3gKgBdQOiDM","Exile","spotify:artist:4lA68EVFzoodItMp7RH2cv","Interactive Noise","2021-05-07","https://i.scdn.co/image/ab67616d0000b273c3cfd18c187332e678b1901c","1","1","327500","https://p.scdn.co/mp3-preview/6e312e55e4c297e2fce39dde54d673a78138c126?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","spotify:user:1121694588","2021-06-04T07:11:16Z"
"spotify:track:3GycXYAwZ3x7SKZ6xY2xHf","Inka","spotify:artist:6EMXsJEdrX9vLI7DWSjG5l","TERRA","spotify:album:0NdAZPiTDiOd86fB3qxblN","Inka","spotify:artist:6EMXsJEdrX9vLI7DWSjG5l","TERRA","2021-05-13","https://i.scdn.co/image/ab67616d0000b27353d0ecc41404bdb1c3a42a73","1","1","405633","https://p.scdn.co/mp3-preview/ec15ecbf717d15e4f96c6ef012d41d8674bf0fe2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","spotify:user:1121694588","2021-06-04T07:11:16Z"
"spotify:track:7xKVXX3cAq5TWskeCB0Oan","Hope","spotify:artist:75HG32kTRg2zB1fhG6vDvZ","Second Sun","spotify:album:5uNYkS7wopjFHienGVHI3b","Hope","spotify:artist:75HG32kTRg2zB1fhG6vDvZ","Second Sun","2021-05-06","https://i.scdn.co/image/ab67616d0000b2739e6a75bac87d9307fdcde179","1","1","408000","https://p.scdn.co/mp3-preview/e1095b172577c468ec684e7f96a1fe82b9c555a5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","spotify:user:1121694588","2021-06-04T07:11:16Z"
"spotify:track:2TbB5iWJtLRCP7xIy8Zh5E","Na Le - Phaxe Remix","spotify:artist:7pHwBqsYULdAdHgSwf1q9f, spotify:artist:4Pgbnc1zRPquMFR4iPH3MN","Omiki, Phaxe","spotify:album:6caV8eLYgWB5g93DNeZXvE","Na Le (Phaxe Remix)","spotify:artist:7pHwBqsYULdAdHgSwf1q9f, spotify:artist:4Pgbnc1zRPquMFR4iPH3MN","Omiki, Phaxe","2021-04-16","https://i.scdn.co/image/ab67616d0000b27370b88ef6def5c1340e60bc14","1","1","418714","https://p.scdn.co/mp3-preview/ac468b0d3d3bbac82d811200f905e068eceaa171?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","spotify:user:1121694588","2021-06-04T07:11:16Z"
"spotify:track:4vqXcJsqJylI6nrvSegYfv","Send You Mind","spotify:artist:4Iht6hiRR5kov66LO7fcOu","Coming Soon!!!","spotify:album:2ROs3uiQlibmQ4Y4F2DgqJ","Send You Mind","spotify:artist:4Iht6hiRR5kov66LO7fcOu","Coming Soon!!!","2021-04-09","https://i.scdn.co/image/ab67616d0000b273e4d6e5c2d9eb4f7595fc415f","1","1","246857","https://p.scdn.co/mp3-preview/4be6a2bd24a1e16f48ca4b206dcf95e558981cf3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","spotify:user:1121694588","2021-06-04T07:11:16Z"
"spotify:track:75xMva5bfRRaIpBVX5yren","Time To Let Go","spotify:artist:0RUkvjtv2Tpt4x7RoKxVLq","Alter Nature","spotify:album:69H1emBtfgUefvMjJrKtXn","Time To Let Go","spotify:artist:0RUkvjtv2Tpt4x7RoKxVLq","Alter Nature","2021-04-29","https://i.scdn.co/image/ab67616d0000b273d0b59fcfb2d2298f96ad1c00","1","1","452000","https://p.scdn.co/mp3-preview/eac21eec7f9d922589bcad03d1415f2380d5396d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","spotify:user:1121694588","2021-06-04T07:11:16Z"
"spotify:track:4qqm9kDrM3IU7ZPucAAuCZ","You Don't Stop Me","spotify:artist:1h3OfpOaCVBgmlNcuoZR8t","Hidden Secret","spotify:album:1sgBPMvrNTCHaWQhr1kIlf","You Don't Stop Me","spotify:artist:1h3OfpOaCVBgmlNcuoZR8t","Hidden Secret","2021-04-28","https://i.scdn.co/image/ab67616d0000b2738ea89fa7ac9a3d44d439e0aa","1","1","439000","https://p.scdn.co/mp3-preview/4c16707dab3d137d1478678b86cffabfef4a08b2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","spotify:user:1121694588","2021-06-04T07:11:16Z"
"spotify:track:28mCS7ZeB1wiPYcn50umEw","Chain Of Memories","spotify:artist:3AIbItivbkxJK4UKSuM7GC, spotify:artist:4VxfRdFYSShHLld3Wl1dl8","Kleysky, Harlekin","spotify:album:4tTJJf9jvQJZQam2oRkwqp","Chain Of Memories","spotify:artist:3AIbItivbkxJK4UKSuM7GC, spotify:artist:4VxfRdFYSShHLld3Wl1dl8","Kleysky, Harlekin","2021-04-22","https://i.scdn.co/image/ab67616d0000b273d34e151d6f5010b2c91059e3","1","1","321600","https://p.scdn.co/mp3-preview/99c0954898876349890b4bfae997ca0d47549339?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","spotify:user:1121694588","2021-06-04T07:11:16Z"
"spotify:track:6jzgprpVQTyDlNHD8E8jEI","Music Is My Remedy","spotify:artist:74QIWYXbKeKNYmdHB3nRJ7, spotify:artist:58pmlPRkBEkTEd6KfiiOP9","Fabio Fusco, Livia","spotify:album:4BXnjRvqUm9CD8DL7VoU7v","Music Is My Remedy","spotify:artist:74QIWYXbKeKNYmdHB3nRJ7, spotify:artist:58pmlPRkBEkTEd6KfiiOP9","Fabio Fusco, Livia","2021-04-02","https://i.scdn.co/image/ab67616d0000b2738db23ca449959c6dbcd3de45","1","1","306857","https://p.scdn.co/mp3-preview/c0abbdce7fceb6038f9a84c1844167761dd786bf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","spotify:user:1121694588","2021-06-04T07:11:16Z"
"spotify:track:67NuwmxPxus9el9rjhYEsj","Closer","spotify:artist:5J41o0l7Wy6ZBc14nts5T4, spotify:artist:3XsyrntEvN0KOD4nn5hW4M","Pribe, Aátma","spotify:album:1277LFuEOQgGrQ6V00Uxqw","Closer","spotify:artist:5J41o0l7Wy6ZBc14nts5T4, spotify:artist:3XsyrntEvN0KOD4nn5hW4M","Pribe, Aátma","2021-04-23","https://i.scdn.co/image/ab67616d0000b273b07fa3499bbbcb406fdb1698","1","1","186851","https://p.scdn.co/mp3-preview/37ae05b965327a7521ed5bcf2bd40eccbcb3ce61?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","spotify:user:1121694588","2021-06-04T07:11:16Z"
