"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:05fi8xNQnQhoJhdb6pIEmO","Back To The Sky (feat. JFDR)","spotify:artist:7E3BRXV9ZbCt5lQTCXMTia, spotify:artist:5Lg2eWJA2ZmMnZszOYPMCJ","Ólafur Arnalds, JFDR","spotify:album:6NW97EFYSQ9X1CulKyL7wf","some kind of peace","spotify:artist:7E3BRXV9ZbCt5lQTCXMTia","Ólafur Arnalds","2020-11-06","https://i.scdn.co/image/ab67616d0000b273e2884db98b0ef093e43f4442","1","5","203153","https://p.scdn.co/mp3-preview/40fcfdce6d8bdf31b338e953683fe82e9215ab23?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","spotify:user:starbucks","2021-06-04T01:58:23Z"
"spotify:track:33pTrKPiYyP4F49jCgjNio","alien jewelry","spotify:artist:12U3blX0ilxf0tnejqPDYD","John The Blind","spotify:album:43zVD3ARisgdFdyPh8gt8Y","isolation","spotify:artist:12U3blX0ilxf0tnejqPDYD","John The Blind","2021-01-12","https://i.scdn.co/image/ab67616d0000b27345f6988d512ab2185a9ef53e","1","2","226066","https://p.scdn.co/mp3-preview/28c486b2fcb53ee1120f9f1ae48720bd30aba5b8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","spotify:user:starbucks","2021-06-04T01:58:23Z"
"spotify:track:0OzTZDKsnj33LcFlHzX8I8","Edge Of The Dark","spotify:artist:3VVLqeEqQQqTgT8YhfY9Z6","Emmit Fenn","spotify:album:596mgQppymQJnhfphd3RJP","Far From Here","spotify:artist:3VVLqeEqQQqTgT8YhfY9Z6","Emmit Fenn","2021-04-21","https://i.scdn.co/image/ab67616d0000b27375f9b430112d2a0428b08299","1","2","260338","https://p.scdn.co/mp3-preview/f4ad3c56a8fa53ae62e27654b797b395a8a6e5e9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","spotify:user:starbucks","2021-06-04T01:58:23Z"
"spotify:track:6o4lFpp8OAFhBqGQbWyAob","Hanging On","spotify:artist:54KTsBl98buzGkELjGlnuU","Active Child","spotify:album:0naMIQoMmwqmpXiO7qFqCX","You Are All I See","spotify:artist:54KTsBl98buzGkELjGlnuU","Active Child","2011-08-23","https://i.scdn.co/image/ab67616d0000b273d2118cd48afa7b4d7f49d5bd","1","2","321453","https://p.scdn.co/mp3-preview/af97b3aa8a2f5e36c2958e1df1090db2efaabdc7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","spotify:user:starbucks","2021-06-04T01:58:23Z"
"spotify:track:0JDjwpTkGeNIuNngtsJxub","I Want You to Stay","spotify:artist:1Wgasb7uZJqYcnHD36Ta2E","Nicki Neal","spotify:album:5OrCVTnRo5D0YaCFrXQpAw","Happy Songs About Sad Things","spotify:artist:1Wgasb7uZJqYcnHD36Ta2E","Nicki Neal","2020-11-15","https://i.scdn.co/image/ab67616d0000b2736d5f9103ad9b6a42a09418f6","1","1","174024","https://p.scdn.co/mp3-preview/5a95fdeca0b0746b8fb8ac4969e16d06392aadb2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","3","spotify:user:starbucks","2021-06-04T01:58:23Z"
"spotify:track:2ZbftivQaPw71ueUUMLS1m","The Tunnel","spotify:artist:0g6VRF5TU1BM5FvK0yKyS2","French For Rabbits","spotify:album:5neyMoybECZoccCm4nJgBv","The Tunnel","spotify:artist:0g6VRF5TU1BM5FvK0yKyS2","French For Rabbits","2020-05-29","https://i.scdn.co/image/ab67616d0000b2735247cb33372fb9f86eab1221","1","1","161858","https://p.scdn.co/mp3-preview/9c57f48266a467693d6b3c34179ede9b92f7e259?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","spotify:user:starbucks","2021-06-04T01:58:23Z"
"spotify:track:6HV9d8u4WJ9lzbGrH5OQ6G","We Will Always Love You (feat. Blood Orange)","spotify:artist:3C8RpaI3Go0yFF9whvKoED, spotify:artist:6LEeAFiJF8OuPx747e1wxR","The Avalanches, Blood Orange","spotify:album:0JiPHyEADRGjyZDoTRCxWj","We Will Always Love You (feat. Blood Orange)","spotify:artist:3C8RpaI3Go0yFF9whvKoED","The Avalanches","2020-02-20","https://i.scdn.co/image/ab67616d0000b273fa798ebf7876f26775f9ea67","1","1","172173","https://p.scdn.co/mp3-preview/8730d94478d99f76d368be805e44e8ad36c19523?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","spotify:user:starbucks","2021-06-04T01:58:23Z"
"spotify:track:1WMRCIrRLEkGiyHEDQTYpa","Through Water","spotify:artist:27ze6hCgfr3HcDZAHY60pg","Låpsley","spotify:album:4U7KMGWUL0FQtYCVxVy1Za","Through Water","spotify:artist:27ze6hCgfr3HcDZAHY60pg","Låpsley","2020-03-20","https://i.scdn.co/image/ab67616d0000b273589d00c7d2384076593f2a73","1","1","181160","https://p.scdn.co/mp3-preview/1613e1b00b954fe81a2d2ee33ecda6539bd3f77c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","spotify:user:starbucks","2021-05-06T17:08:54Z"
"spotify:track:6SFkLxjZLpK6PNwO91sMES","I'm God","spotify:artist:5vSQUyT33qxr1xAX2Tkf3A, spotify:artist:6Xb4ezwoAQC4516kI89nWz","Clams Casino, Imogen Heap","spotify:album:78KItyBfSF4CcSvCJBBfps","I'm God","spotify:artist:5vSQUyT33qxr1xAX2Tkf3A, spotify:artist:6Xb4ezwoAQC4516kI89nWz","Clams Casino, Imogen Heap","2020-04-24","https://i.scdn.co/image/ab67616d0000b273febe78922d5244a048b80e24","1","1","277710","https://p.scdn.co/mp3-preview/b3b4e58ac20fe9b9eb96f6728cf784f8086b96c3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","spotify:user:starbucks","2021-05-06T17:08:54Z"
"spotify:track:0YqJFO4bUZn1chzZ6KR9l9","Paraíso","spotify:artist:4rNzwpjkFq8A7SeCMKBkEV","Monogem","spotify:album:4X61CX0485026hU97ZPc57","Paraíso","spotify:artist:4rNzwpjkFq8A7SeCMKBkEV","Monogem","2020-05-29","https://i.scdn.co/image/ab67616d0000b273f3678c5e549f70f086ba5f2c","1","1","231990","https://p.scdn.co/mp3-preview/8b0018f9934d76a17d5a0fef80d65b67f0b41c6a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","spotify:user:starbucks","2021-05-06T17:08:54Z"
"spotify:track:72fuu9qDb0xXCH9vIaeJGa","Slack","spotify:artist:7ItbAZITSFxSy5LJChXe18, spotify:artist:1ONhS8pN5UbzqoZlLF69kI","ford., Knapsack","spotify:album:1WAExahkEGsMUauWU4CS6f","(The) Evening","spotify:artist:7ItbAZITSFxSy5LJChXe18","ford.","2018-11-16","https://i.scdn.co/image/ab67616d0000b273e95c575d8c7ee842ad01405e","1","4","192000","","false","44","spotify:user:starbucks","2021-05-06T17:08:54Z"
"spotify:track:7uYyF3E0ODlqM0tuATFv7n","honey","spotify:artist:7uK0DQd6ovJfq8IjDy64fE","altopalo","spotify:album:6cKU91hbtmDIOjBgENXwKx","honey","spotify:artist:7uK0DQd6ovJfq8IjDy64fE","altopalo","2020-01-31","https://i.scdn.co/image/ab67616d0000b27385b5f9b74f8371d99f796e9f","1","1","253533","https://p.scdn.co/mp3-preview/36a11018b9d137e050f6760dc5e5fd2c2bd20811?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","spotify:user:starbucks","2021-05-06T17:08:54Z"
"spotify:track:76KumSfWF8BFG9mi1d6U3Q","Fall Back","spotify:artist:3w18CP1k8zFZb1GfRlPHyK, spotify:artist:7lWm7B37N2Phj7l1bpEx91","Maths Time Joy, Matt Woods","spotify:album:0tdiJXYhlzQe3DKoqCKCZC","Fall Back","spotify:artist:3w18CP1k8zFZb1GfRlPHyK","Maths Time Joy","2020-11-13","https://i.scdn.co/image/ab67616d0000b273bdd556dfbf53244e092e3ece","1","1","227070","https://p.scdn.co/mp3-preview/f4d37e336279f1e609f1c208090bcbb46191110c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","spotify:user:starbucks","2021-05-06T17:08:54Z"
"spotify:track:63C0NgSgz93pMnYC7Vj150","Heart On Fire","spotify:artist:3WiytRnvoL0kT3oAGl9TCt","Alice Boman","spotify:album:4EKA6cOPmM0VmjHigV03QH","Dream On","spotify:artist:3WiytRnvoL0kT3oAGl9TCt","Alice Boman","2020-01-17","https://i.scdn.co/image/ab67616d0000b2730a07d07f7fdc1c1dd79cbc5c","1","2","246800","https://p.scdn.co/mp3-preview/c18afd5c558cc43c6be5bf2b7144f88c03acf097?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","spotify:user:starbucks","2021-05-06T17:08:54Z"
"spotify:track:1FwzXjlBq400NTd6wjFqqX","Insomnia","spotify:artist:0RDC2Krd2nmqseGx5C8PQz","Kllo","spotify:album:2BiFMWQ13mDXv7fSk6G9HF","Insomnia","spotify:artist:0RDC2Krd2nmqseGx5C8PQz","Kllo","2020-05-07","https://i.scdn.co/image/ab67616d0000b273f33684b15f0ac95a5afcf020","1","1","216797","https://p.scdn.co/mp3-preview/c2f24c06b12a7fcf4d8609accf921455cccc1720?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","spotify:user:starbucks","2021-05-06T17:08:54Z"
"spotify:track:11VPN6SfBRRmF2fESXlNep","Nirvana","spotify:artist:5t0KCCFs6BIelOxE4XGDRT","ELLIANA","spotify:album:6HcXFfZ41boaTaIwGa3oPh","Nirvana","spotify:artist:5t0KCCFs6BIelOxE4XGDRT","ELLIANA","2020-04-16","https://i.scdn.co/image/ab67616d0000b27350ab87179db457a93f8b8cb3","1","1","266036","https://p.scdn.co/mp3-preview/f0fead201d1067533e297895690a4d402ace0b35?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","spotify:user:starbucks","2021-05-06T17:08:54Z"
"spotify:track:6BCCRgphhE20BtBWCNPjvd","Summit - Mixed","spotify:artist:2VzzhmEHXT4nGim8nBw4ij","OCULA","spotify:album:3cgI8QdGphui8QtkFFodvu","Hayden James Presents Waves of Gold (DJ Mix)","spotify:artist:4csQIMQm6vI2A2SCVDuM2z","Hayden James","2020-07-10","https://i.scdn.co/image/ab67616d0000b273b8569f65fe6248bb21612795","1","4","236331","https://p.scdn.co/mp3-preview/b3cda6cc976e4b3469c39f34ec12a7613ea8fbaf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","spotify:user:starbucks","2021-05-06T17:08:54Z"
"spotify:track:05FzWxV5hv2Idl8dNXj8w9","Sundial","spotify:artist:73A3bLnfnz5BoQjb4gNCga","Bicep","spotify:album:2g86N6aADQwynCr0CRlWzQ","Sundial","spotify:artist:73A3bLnfnz5BoQjb4gNCga","Bicep","2021-01-12","https://i.scdn.co/image/ab67616d0000b2733742b76be144622e8046d946","1","1","275800","https://p.scdn.co/mp3-preview/5adecd58aaa1eb3a4ea82359ab8ee0fd8a50f7e0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","spotify:user:starbucks","2021-05-06T17:08:54Z"
"spotify:track:1uqvGAiwoPAvklKCD7Ne77","Flutter","spotify:artist:0haVkZJ5vDIVN5mhDtnnY1","Renkon","spotify:album:44aI5XTEsTfxLIsQyFiX4f","At the Blue Hour","spotify:artist:5pfrwvctp6ywcc9a0C1cwH","majestic","2020-06-05","https://i.scdn.co/image/ab67616d0000b273c4db934a8cdb72a530edc597","1","8","135145","https://p.scdn.co/mp3-preview/8fa34d468f5766972395a41bb224295609281060?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","spotify:user:starbucks","2021-03-11T19:00:55Z"
