"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:2jfiDZCg4UjLJEFktdcAV4","Unsquare Dance","spotify:artist:3kUKwTJdH8FuWzF8p6Dg9E","Dave Brubeck","spotify:album:425dVE44lkA2a0FBI7MGLE","Dave Brubeck's Greatest Hits","spotify:artist:3kUKwTJdH8FuWzF8p6Dg9E","Dave Brubeck","1966","https://i.scdn.co/image/ab67616d0000b2736ca90aff3927a8b212258770","1","9","119826","https://p.scdn.co/mp3-preview/0d5e19e4dfa54ace6e49c9f4c9f8d7f82fe563ee?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","spotify:user:starbucks","2021-06-04T01:51:43Z"
"spotify:track:2x91iJc0UkFcjRMEZ2CoWB","Freddie Freeloader (feat. John Coltrane, Cannonball Adderley, Wynton Kelly & Paul Chambers)","spotify:artist:0kbYTNQb4Pb1rPbbaF0pT4, spotify:artist:2hGh5VOeeqimQFxqXvfCUf, spotify:artist:5v74mT11KGJqadf9sLw4dA, spotify:artist:5ncBRFyyylFng7kQJaRXN0, spotify:artist:0M1UOBJZ9tcKJbrbnVlHZG","Miles Davis, John Coltrane, Cannonball Adderley, Wynton Kelly, Paul Chambers","spotify:album:4sb0eMpDn3upAFfyi4q2rw","Kind Of Blue (Legacy Edition)","spotify:artist:0kbYTNQb4Pb1rPbbaF0pT4","Miles Davis","1959-08-17","https://i.scdn.co/image/ab67616d0000b2730ebc17239b6b18ba88cfb8ca","1","2","586400","https://p.scdn.co/mp3-preview/254460379133630c31488ffa15b6dbd37ea78da8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","spotify:user:starbucks","2021-06-04T01:51:43Z"
"spotify:track:0SkEb2gTCQWMvQxMh6bc9j","Easy To Love - Alternate Take","spotify:artist:3UcvB0rDa44LfjsOO5Btfc","Chet Baker Quartet","spotify:album:2ne69wnZ79HpZDBS8Zc1XJ","Pretty/Groovy (Expanded Edition)","spotify:artist:3rxeQlsv0Sc2nyYaZ5W71T","Chet Baker","1958-01-01","https://i.scdn.co/image/ab67616d0000b2737d22726eef551e24afb608aa","1","12","149066","https://p.scdn.co/mp3-preview/a1ae150d7cff13c7c71c07c6d0d3d8aa48960fb4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","spotify:user:starbucks","2021-06-04T01:51:43Z"
"spotify:track:5yIUlo7Hf7Yuy8hZaWlBsF","Soft Impression - Remastered","spotify:artist:5cbutZUQE7SUCA6MsEMbBv","Hank Mobley","spotify:album:3G4RWt6cqZDeNumYAZOL8C","Straight No Filter (Limited Edition)","spotify:artist:5cbutZUQE7SUCA6MsEMbBv","Hank Mobley","2001-01-01","https://i.scdn.co/image/ab67616d0000b273e43977e5f3ef561cfe0a65e9","1","3","286573","https://p.scdn.co/mp3-preview/05d72b10d7fc48d35cb307c73f3826836bfe866f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","spotify:user:starbucks","2021-06-04T01:51:43Z"
"spotify:track:1Pt7htydCAL9lJzrKmAkyV","Not A Tear","spotify:artist:49XXRf3IT5eeUgAbYeBOmr","Wynton Kelly Trio","spotify:album:14CbMw1lBMs4xI2JacW9ad","It's All Right!","spotify:artist:49XXRf3IT5eeUgAbYeBOmr","Wynton Kelly Trio","1964-01-01","https://i.scdn.co/image/ab67616d0000b273564f4fd1da117b9d43e4784b","1","3","358346","https://p.scdn.co/mp3-preview/370967f30c5dd57232f6bdc15a8a4763cc1f6fa6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","spotify:user:starbucks","2021-06-04T01:51:43Z"
"spotify:track:6ZjYhwFtfYsZxkjDjZLeLY","Me 'N You - Remastered 2000 / Rudy Van Gelder Edition","spotify:artist:5cbutZUQE7SUCA6MsEMbBv","Hank Mobley","spotify:album:3qer0IWDm6mSLUJy4ji0Oi","No Room For Squares (Remastered 2000 / Rudy Van Gelder Edition)","spotify:artist:5cbutZUQE7SUCA6MsEMbBv","Hank Mobley","2000-01-01","https://i.scdn.co/image/ab67616d0000b273b550dd904a424c2f18bf5f1c","1","5","437693","https://p.scdn.co/mp3-preview/93548749523d320e51fd167039051184243288fa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","spotify:user:starbucks","2021-06-04T01:51:43Z"
"spotify:track:5BOnzvRO8D1ndYxeVTpOwI","The Feelin's Good - Remastered","spotify:artist:5cbutZUQE7SUCA6MsEMbBv","Hank Mobley","spotify:album:3G4RWt6cqZDeNumYAZOL8C","Straight No Filter (Limited Edition)","spotify:artist:5cbutZUQE7SUCA6MsEMbBv","Hank Mobley","2001-01-01","https://i.scdn.co/image/ab67616d0000b273e43977e5f3ef561cfe0a65e9","1","8","338266","https://p.scdn.co/mp3-preview/a6c46bd69546ea50945ce4e57d8ba11be76bbd4a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","11","spotify:user:starbucks","2021-06-04T01:51:43Z"
"spotify:track:5L8yfDH7MIE7jWidHZPwBX","High Wire","spotify:artist:6C65D20ASusYqHGSIktfED","Erroll Garner","spotify:album:2wWuVfDOvITHUmb0KDzbrM","Ready Take One","spotify:artist:6C65D20ASusYqHGSIktfED","Erroll Garner","2016-09-30","https://i.scdn.co/image/ab67616d0000b27310faa16cefd4374a51b38944","1","1","227323","https://p.scdn.co/mp3-preview/1fa3676bc04c262d789e8ac893b4e8c6569222f5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","spotify:user:starbucks","2021-02-19T01:03:24Z"
"spotify:track:7gwFh2UvZlmckqWEnz2ujS","Black Orchid","spotify:artist:6plyOBsqrNKBe1Y1zitlK5","Gene Russell","spotify:album:7dlYzieb4qYk0cd0p2PO6b","New Direction","spotify:artist:6plyOBsqrNKBe1Y1zitlK5","Gene Russell","1971-06-13","https://i.scdn.co/image/ab67616d0000b273cdebac2d6e5a093dc62b7967","1","1","194149","https://p.scdn.co/mp3-preview/d85bcf1d0b777466ec5f0341f97edfe55868b664?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","spotify:user:starbucks","2021-02-19T01:03:24Z"
"spotify:track:5bviLLEiggJf5l0m94FAmZ","Things Ain't What They Used to Be","spotify:artist:3cE7UG46bdFd8gHHgzyQEz, spotify:artist:0i5yrKtlP4URcRBXQQwnik","Herb Ellis, Charlie Byrd","spotify:album:7G0ekgKz6FTr8jtuBgZVzn","Guitar / Guitar","spotify:artist:3cE7UG46bdFd8gHHgzyQEz, spotify:artist:0i5yrKtlP4URcRBXQQwnik","Herb Ellis, Charlie Byrd","1964-07-01","https://i.scdn.co/image/ab67616d0000b273cc06b49fe023102b9d6c01b6","1","9","280626","https://p.scdn.co/mp3-preview/c53b6666bf7cc5ba2136bb6fbb641ad8605331a8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","spotify:user:starbucks","2021-02-19T01:03:24Z"
