"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:3KNLdyNTmZM0GnZ1x7mrsJ","My Name Is Unpronounceable","spotify:artist:7JlEsQrASVtaQaZNUnLkUc","The Queen Guillotined","spotify:album:1nlgs28TnF76ALypnjTnaC","My Name Is Unpronounceable","spotify:artist:7JlEsQrASVtaQaZNUnLkUc","The Queen Guillotined","2021-05-28","https://i.scdn.co/image/ab67616d0000b2735b32efb1dcf0ef84ce8f264f","1","1","205728","https://p.scdn.co/mp3-preview/719f960f5bc535a6aa84713f6d184722f780c90a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","10","spotify:user:particledetector","2021-06-04T13:14:33Z"
"spotify:track:2hrYeomXsqC1XwZGTHyVjO","This Summer's Sorrow Ⅱ: Growing Old in the Waiting Place","spotify:artist:2d75DTub8rPPrm6veUsyf6","Wristmeetrazor","spotify:album:4DMlSOwjZTqm6xo6HjpBN5","This Summer's Sorrow Ⅱ: Growing Old in the Waiting Place","spotify:artist:2d75DTub8rPPrm6veUsyf6","Wristmeetrazor","2021-05-21","https://i.scdn.co/image/ab67616d0000b27388fc077eb1a5f74b7222ee7e","1","1","246563","https://p.scdn.co/mp3-preview/18a7777e8d66094d852721435ce0395d33eca629?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","spotify:user:particledetector","2021-05-28T14:14:50Z"
"spotify:track:0VaFLmSKPkDGrKhHK4sHoR","Snakes With Human Traits","spotify:artist:1TXrR3RaxKlYRiRyt9oHrB","Kurama","spotify:album:2T9zx6Q3OKmqqlZEsZPGRx","Snakes With Human Traits","spotify:artist:1TXrR3RaxKlYRiRyt9oHrB","Kurama","2021-05-28","https://i.scdn.co/image/ab67616d0000b273e57314f2a075c1a55b6a06dc","1","1","152500","https://p.scdn.co/mp3-preview/6f657d8e27c02af8a3d035bf4bbbb9392ef3ed67?cid=9950ac751e34487dbbe027c4fd7f8e99","false","11","spotify:user:particledetector","2021-06-04T13:14:33Z"
"spotify:track:5deMwAgCFunJ92GAfW9u9F","Catastrophic","spotify:artist:3blU4e5MOffdoQakkajUXm","Yautja","spotify:album:6FfSpyQIuSZAUWWf08MZHE","The Lurch","spotify:artist:3blU4e5MOffdoQakkajUXm","Yautja","2021-05-21","https://i.scdn.co/image/ab67616d0000b273d6a9f9551bd8721aa9d061c6","1","7","376533","https://p.scdn.co/mp3-preview/2fa42491903869835deb69c8a9fcb1decaa6fbda?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","spotify:user:particledetector","2021-05-28T14:14:50Z"
"spotify:track:7em8aAHvyU2YssjeyS90t8","Attack Its Weak Point For Massive Damage!!!","spotify:artist:1VUYbwXCTxDT7U9KCNTEnE","Thotcrime","spotify:album:1oyeixwLjWIP1QrrIzV3CH","Attack Its Weak Point For Massive Damage!!!","spotify:artist:1VUYbwXCTxDT7U9KCNTEnE","Thotcrime","2021-05-28","https://i.scdn.co/image/ab67616d0000b273aa1157cfebafbfddda4bcd38","1","1","203506","https://p.scdn.co/mp3-preview/34f4a868f42f87c9e95beac4c5a253c849774bdd?cid=9950ac751e34487dbbe027c4fd7f8e99","true","9","spotify:user:particledetector","2021-06-04T13:14:33Z"
"spotify:track:59LRmb8mOHkFXTRznyBaar","Shortcuts to Hell","spotify:artist:1G8ZXUcibFnxwmvOpUDhl5","fallfiftyfeet","spotify:album:45iLkQOwsIUYOGpBImKYob","Shortcuts to Hell","spotify:artist:1G8ZXUcibFnxwmvOpUDhl5","fallfiftyfeet","2021-05-28","https://i.scdn.co/image/ab67616d0000b273929334e4a1f7d1556b30c519","1","1","188124","https://p.scdn.co/mp3-preview/bc19ebf6a05d8ce2578a1dae69e1789d6518b186?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","spotify:user:particledetector","2021-06-04T13:14:33Z"
"spotify:track:2lQE1Wd3ESsZrfgZcsKX1u","_BLUR","spotify:artist:0tPLXpO9Br4cvdm2EF8lWS","Blind Equation","spotify:album:4YMIhGtLjJj3onE5kbLF9s","_BLUR","spotify:artist:0tPLXpO9Br4cvdm2EF8lWS","Blind Equation","2021-05-28","https://i.scdn.co/image/ab67616d0000b273d4e1f52647256189e79d9296","1","1","121058","https://p.scdn.co/mp3-preview/c805352939c8202a4c8962be068b923ff88a1ea6?cid=9950ac751e34487dbbe027c4fd7f8e99","true","10","spotify:user:particledetector","2021-06-04T13:14:33Z"
"spotify:track:31CLIGGq1DcUjsdlg48M4D","Paths We Have Strayed From","spotify:artist:3KhiJJWOBiJzJcAFUNaAZe","Vorvaň","spotify:album:2LUiNS96YrMsNSUGEqUidX","Awakened","spotify:artist:3KhiJJWOBiJzJcAFUNaAZe","Vorvaň","2021-05-28","https://i.scdn.co/image/ab67616d0000b2734a5330ddd2f539000a58de0f","1","2","285446","https://p.scdn.co/mp3-preview/bef03fa9ae7fa61f4c035bdbf18da5e523965c4b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","13","spotify:user:particledetector","2021-06-04T13:14:33Z"
"spotify:track:27FOuvuyJuABoQHaBqVP57","Slpwlkr","spotify:artist:39w1ijjuCJ9oEOwkzAZBEA","End You","spotify:album:4GDMtk24thlfU4Kde0De3M","Aimless Dread","spotify:artist:39w1ijjuCJ9oEOwkzAZBEA","End You","2021-05-21","https://i.scdn.co/image/ab67616d0000b273d2ba9348ced98ec57b4d2773","1","1","186560","https://p.scdn.co/mp3-preview/0e762f843765bae5d7b8398942a5a3195f9bc48a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","11","spotify:user:particledetector","2021-05-28T14:14:50Z"
"spotify:track:1G8DHYbzT1RGybHTzlPTBN","Unrelenting Force","spotify:artist:6g6sWfMwXneKLVkmV2ww7a","Noctule","spotify:album:4LNObd7xucB7pkqafA223u","Wretched Abyss","spotify:artist:6g6sWfMwXneKLVkmV2ww7a","Noctule","2021-05-28","https://i.scdn.co/image/ab67616d0000b273e5fbb3c56157664ade43e0c1","1","7","320624","https://p.scdn.co/mp3-preview/f220f14eb10d7bb0176b5d5e7eb16ec1c18caf66?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","spotify:user:particledetector","2021-06-04T13:14:33Z"
"spotify:track:2DBD6lA5ku68GHG2674242","Affection & Care.","spotify:artist:1NV2n4DkUNfCCuaaxsWJnl","The Hirs Collective","spotify:album:4l93L6YDZZifO4XqUkxxQq","Affection & Care.","spotify:artist:1NV2n4DkUNfCCuaaxsWJnl","The Hirs Collective","2021-05-18","https://i.scdn.co/image/ab67616d0000b2739b6d9953f7442b58e1c61ebd","1","1","161173","https://p.scdn.co/mp3-preview/158139cafbfe007b31e57d70db077e5c801112ed?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","spotify:user:particledetector","2021-05-21T14:15:59Z"
"spotify:track:2EMUzH6PbhSVMn6EteClhA","Dream of Ascension","spotify:artist:7vLZNhMpvcom2sIx0fYRrS","Tooth and Claw","spotify:album:1QDRmJdkvBUpc19WW4DKUC","Dream of Ascension","spotify:artist:7vLZNhMpvcom2sIx0fYRrS","Tooth and Claw","2021-05-21","https://i.scdn.co/image/ab67616d0000b273fba951cd5db0922e1c5f82a8","1","1","159581","https://p.scdn.co/mp3-preview/f6ff0e8c8db27e7b43d0459c69b7ff22482a6bd3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","spotify:user:particledetector","2021-05-28T14:14:50Z"
"spotify:track:3qkCnjnjceIXCkXgfJMzky","The Truth of the Beast","spotify:artist:59yyIBUqHF7KorpIH7IGlm","Epiphanic Truth","spotify:album:7Askvl8BpBnQquxDt7S4NK","Dark Triad: Bitter Psalms to a Sordid Species","spotify:artist:59yyIBUqHF7KorpIH7IGlm","Epiphanic Truth","2021-05-21","https://i.scdn.co/image/ab67616d0000b273666e9404d92a918f323c8bd2","1","1","587866","https://p.scdn.co/mp3-preview/0ebaf6ae9cf2cd2307e7cd8de9ce5f40ff892bba?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","spotify:user:particledetector","2021-05-28T14:14:50Z"
"spotify:track:56e2fyZdaFREG4l0lJPEul","Fluorescence","spotify:artist:28pGsQdTG1BGVJuJjv8YUn","Eyeball","spotify:album:3qzl9flPEhfc58eOguTWUT","Found My Way to Heaven When I Let Go","spotify:artist:28pGsQdTG1BGVJuJjv8YUn","Eyeball","2021-05-18","https://i.scdn.co/image/ab67616d0000b273217c001cef357ec191144a47","1","1","195403","https://p.scdn.co/mp3-preview/3808f41ae0f08ac5d50cdce59abd6c46637ced4d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","spotify:user:particledetector","2021-05-28T14:14:50Z"
"spotify:track:5CJuTo15ss9srrY7qKFDGD","Hounds in the Abyss","spotify:artist:3LWd0AXTUoiJeBTM0DOLhM","Alexis Marshall","spotify:album:66s1HJOIzc4y7i3SmgRcEb","Hounds in the Abyss","spotify:artist:3LWd0AXTUoiJeBTM0DOLhM","Alexis Marshall","2021-06-03","https://i.scdn.co/image/ab67616d0000b273d396463f36efdb5f2c363e44","1","1","362117","https://p.scdn.co/mp3-preview/a6cab13b1068609ddd13d3bc01ba5dc4ecd82975?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","spotify:user:particledetector","2021-06-04T13:14:33Z"
"spotify:track:7wlXul7oCmSDBpaWED8fT4","I Dont Want to Feel at All","spotify:artist:2XWmtvXZ0FHiRT9PGzGPaF","Mouth for War","spotify:album:1X9OirFVMhj4mQujvrx8v1","Life Cast in Glass","spotify:artist:2XWmtvXZ0FHiRT9PGzGPaF","Mouth for War","2021-05-14","https://i.scdn.co/image/ab67616d0000b2735d3f63c8e7d469f9a3256603","1","3","204065","https://p.scdn.co/mp3-preview/2981073ad2e086728dc3b58579a67f618cf4f051?cid=9950ac751e34487dbbe027c4fd7f8e99","true","22","spotify:user:particledetector","2021-06-04T13:14:33Z"
"spotify:track:40aqeRGLW4XKowXLMdYYcm","False Prophets","spotify:artist:5c8exrjq7WxBC9S3UpJW3Q","Bleeth","spotify:album:1ldlRU1xJ4ktKM85MGkcJF","Harbinger","spotify:artist:5c8exrjq7WxBC9S3UpJW3Q","Bleeth","2021-05-28","https://i.scdn.co/image/ab67616d0000b273d50efccccf6227cda1333b2f","1","3","154373","https://p.scdn.co/mp3-preview/262c2e613307d5509c67427c4fe6233652c7514e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","11","spotify:user:particledetector","2021-06-04T13:14:33Z"
"spotify:track:0cGisSFZTabhdiy4MgCHss","Monologue of What Was Not","spotify:artist:0odvP9Wl4QfkNMr1rCRZFN, spotify:artist:6xRLhPK5qG279mbzDqMMyT","Cannula, From Sorrow To Serenity","spotify:album:7Jh8IRkoi93ZRdd6i1iX9k","Confined By The Chains of The Subconscious Mind","spotify:artist:0odvP9Wl4QfkNMr1rCRZFN","Cannula","2021-05-28","https://i.scdn.co/image/ab67616d0000b273f93e21b22055a9cbbdac2233","1","1","189391","https://p.scdn.co/mp3-preview/58c7d179d769c92a915dc5644dfa23bf47bf98b1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","7","spotify:user:particledetector","2021-06-04T13:14:33Z"
