"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:0tzfH5AOmKZElt7Q6me7Gb","Purple Rain","spotify:artist:5ZG7r3Jg0Y1hGQRMQ8hdRs","Inter Arma","spotify:album:4Wv1Nvmw1HIprqEoSX07cv","Garbers Days Revisited","spotify:artist:5ZG7r3Jg0Y1hGQRMQ8hdRs","Inter Arma","2020-07-10","https://i.scdn.co/image/ab67616d0000b2731959a0f058e77e1202b3f13c","1","8","473000","https://p.scdn.co/mp3-preview/df391ec1c19b518beee16cd90fa30be38af7b6e8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","spotify:user:thesoundsofspotify","2020-07-17T11:22:54Z"
"spotify:track:35tPdAU04Ivcv87rsCDYbw","Hawk as Weapon","spotify:artist:11tiA94VlUZOUTVCdQYw3a","Conan","spotify:album:6mwaHNgIMNdUPlcgymNUbn","Monnos","spotify:artist:11tiA94VlUZOUTVCdQYw3a","Conan","2016-01-01","https://i.scdn.co/image/ab67616d0000b2736ca877fc8a992f2b2c3861f3","1","1","380107","https://p.scdn.co/mp3-preview/f44c20e03a6b9fc9981302c49251342290f5eece?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","spotify:user:thesoundsofspotify","2016-04-23T23:52:50Z"
"spotify:track:0SElYK9iouvepQe6zONE7q","Haunter of the Dark","spotify:artist:1jR6DBqtAnOcCPJpzXDvg9","Cough","spotify:album:5QfDoahaCCdcEC6EaZDWiH","Still They Pray","spotify:artist:1jR6DBqtAnOcCPJpzXDvg9","Cough","2016-06-03","https://i.scdn.co/image/ab67616d0000b2731a644924aa1b2afc11016d7c","1","1","470213","https://p.scdn.co/mp3-preview/2068d4da58f179f875638d51b07a31e88b2c73f7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","spotify:user:thesoundsofspotify","2016-06-11T23:13:33Z"
"spotify:track:3pcBKxqjaf6SMaa7sZVk0O","Electric Breath","spotify:artist:2uEQL5iDUQWZopufadIW13","Slomatics","spotify:album:573mjpIdp6Luk4gIJcBU6j","Future Echo Returns","spotify:artist:2uEQL5iDUQWZopufadIW13","Slomatics","2016-09-02","https://i.scdn.co/image/ab67616d0000b2731df75be298e3fd8a6b23b619","1","2","326955","https://p.scdn.co/mp3-preview/1e1d53758eeba6f869de44576c2abe800a6fed65?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","spotify:user:thesoundsofspotify","2019-09-06T14:06:26Z"
"spotify:track:0dNYQLzN18pkZD5MAqqKWs","Too Many Devils and Drugs","spotify:artist:0vnjhCrXCcFwS5tw9k6DT9","Fistula","spotify:album:6s3F32MP1uGLWa55MjTEkZ","Longing for Infection","spotify:artist:0vnjhCrXCcFwS5tw9k6DT9","Fistula","2016-07-15","https://i.scdn.co/image/ab67616d0000b2737df2dde4643a9e9148ee90a6","1","1","240973","https://p.scdn.co/mp3-preview/cf45a5b550bc0f319e5cb531b0431cabc35a0bdc?cid=9950ac751e34487dbbe027c4fd7f8e99","true","16","spotify:user:thesoundsofspotify","2020-05-29T12:12:35Z"
"spotify:track:6STWKZbP78JlHcg23bLmVM","The Rise, the Fall","spotify:artist:3CaRDeXR9ytlqxA6iuiBvu","haarp","spotify:album:6CJKT1BMXrpvB2jOQ9k0dC","The Filth","spotify:artist:3CaRDeXR9ytlqxA6iuiBvu","haarp","2010-11-22","https://i.scdn.co/image/ab67616d0000b273c4946f21c086b54458537fec","1","1","257266","https://p.scdn.co/mp3-preview/05f780229b82b8b0fa6039a999fb4a762dccd118?cid=9950ac751e34487dbbe027c4fd7f8e99","false","3","spotify:user:thesoundsofspotify","2019-03-22T15:35:19Z"
"spotify:track:6yJKN68fEXFVM1GF99xrPA","Elevation","spotify:artist:3VtQk5f7Gg6f7bj08t9aCR","Demonic Death Judge","spotify:album:2ulP45BhFcbCgOC79Nizbb","The Trail","spotify:artist:3VtQk5f7Gg6f7bj08t9aCR","Demonic Death Judge","2020-03-27","https://i.scdn.co/image/ab67616d0000b27359ac1ed5a1f0cf3edb78104b","1","4","253306","https://p.scdn.co/mp3-preview/bb70b44c26c69ec7d2a34411f1284d4c9530ea41?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","spotify:user:thesoundsofspotify","2020-05-08T18:34:10Z"
"spotify:track:7hm8borArIfKVXICShfVJ1","Rape","spotify:artist:2gGtmGJgiDqR08ljJ4t81q","Indian","spotify:album:1rFCX8VEjIWN35Oe1evxBE","From All Purity","spotify:artist:2gGtmGJgiDqR08ljJ4t81q","Indian","2013","https://i.scdn.co/image/ab67616d0000b273f343fb629ece42c7611f181e","1","1","467826","https://p.scdn.co/mp3-preview/fefa722b0a70ab66d93bc9802d29110b95d6a934?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","spotify:user:thesoundsofspotify","2017-12-04T22:03:18Z"
"spotify:track:4gYJEu9pEr2BlRiNtN9MDK","Undone","spotify:artist:6zUqy21CRq8PuZcq5qHpTT","Mockingbird","spotify:album:5IkyIgmyCHxUdT7huLqAeF","Undone","spotify:artist:6zUqy21CRq8PuZcq5qHpTT","Mockingbird","2020-04-26","https://i.scdn.co/image/ab67616d0000b273497a11c08fc9a12c724e353d","1","1","228609","https://p.scdn.co/mp3-preview/d4deb2bee482d11815647533e5618128f7c5029a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","spotify:user:thesoundsofspotify","2020-05-15T17:30:17Z"
"spotify:track:1KSDtFQCJDsGb8lAjDOhNt","Savior-Nemesis-Redeemer","spotify:artist:6u21BVCCtNoccqrN4Qev7X","Beneath Oblivion","spotify:album:15IPnEBERwRXtiWoU64Oom","The Wayward and the Lost","spotify:artist:6u21BVCCtNoccqrN4Qev7X","Beneath Oblivion","2018-03-27","https://i.scdn.co/image/ab67616d0000b273fb71a40427c8d034f53951c0","1","4","441224","https://p.scdn.co/mp3-preview/927a87553b57548629e81ff83ae0e2c0b2002a85?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","spotify:user:thesoundsofspotify","2020-04-10T17:22:48Z"
"spotify:track:5XwyZXR3shRBrqD5RygQZY","Loose Screws","spotify:artist:3lytXTgvrhQ5Itqer7Rp4U","Starve","spotify:album:3F4IoiUBNeUhMsR8RDG82X","Desperate Measures","spotify:artist:3lytXTgvrhQ5Itqer7Rp4U","Starve","2015-12-11","https://i.scdn.co/image/ab67616d0000b273c5fed162f3ac4f1d0c700502","1","2","136881","https://p.scdn.co/mp3-preview/4e515b517c1be98dcc4d047cd4c796d8d99fb551?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","spotify:user:thesoundsofspotify","2021-01-15T10:43:31Z"
"spotify:track:6MbQochA8WGj2mTlseXjvz","Revelation I: Day Of Reckoning","spotify:artist:1FMm0o9iqEKuk1B624okFn","Lazarus Blackstar","spotify:album:0LThCDgL8lBBSb9gJFJwLa","Revelations","spotify:artist:1FMm0o9iqEKuk1B624okFn","Lazarus Blackstar","2006-03-27","https://i.scdn.co/image/ab67616d0000b273eda219834eb21e12c6cf678a","1","1","451720","https://p.scdn.co/mp3-preview/a77d1d365ccc3c8796e778204b1c3f8f873584d7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","spotify:user:thesoundsofspotify","2019-07-19T16:07:09Z"
"spotify:track:7F2yPpQJGP6mb3iwvamwXX","Young Bones","spotify:artist:2reHmbLpxqElV9zAyji0dp","Ultraphallus","spotify:album:2meLTlZxO5LLd1ZwBsthcF","Geisteskrank / Young Bones","spotify:artist:3GOGdbb6vgQlwkjeqGzjED, spotify:artist:2reHmbLpxqElV9zAyji0dp","Suma, Ultraphallus","2012-03-19","https://i.scdn.co/image/ab67616d0000b27381e254f26462648a8608adf2","1","2","242573","https://p.scdn.co/mp3-preview/8f7e0808f6316fe450ea625908b822dc5bfb39eb?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","spotify:user:thesoundsofspotify","2021-03-19T21:26:06Z"
"spotify:track:049lsFK7bVROnd5C5NbN45","Pyramidal Existinctualism","spotify:artist:6WCeq4FOhUj0WSsqUIgLYd","Lesbian","spotify:album:1p7aNTpWQzZRobWKJLuKcH","Hallucinogenesis","spotify:artist:6WCeq4FOhUj0WSsqUIgLYd","Lesbian","2016-08-26","https://i.scdn.co/image/ab67616d0000b273e0bd55ba87520d473bccc6ae","1","1","536145","https://p.scdn.co/mp3-preview/b625241e36d97e449fd51f382668229702b9bd13?cid=9950ac751e34487dbbe027c4fd7f8e99","false","4","spotify:user:thesoundsofspotify","2016-09-03T23:23:22Z"
"spotify:track:2r1I2TOOwm1F1ssiwDxBhL","The Prostitute","spotify:artist:3zbsh8As245tuzauLHqvGH","Mugwart","spotify:album:06PwHhJPgviaG3MOzR9nLb","Discography","spotify:artist:3zbsh8As245tuzauLHqvGH","Mugwart","2009-08-18","https://i.scdn.co/image/ab67616d0000b27366b55242adb15e48ed3907c5","1","1","241840","https://p.scdn.co/mp3-preview/e8d72dc3b88ea92bb9da2267361188ce0f5e5ad7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","3","spotify:user:thesoundsofspotify","2015-09-22T13:23:16Z"
"spotify:track:6NaJoKk27GkXrHQmuvD0yc","Gnaw","spotify:artist:7g2rOQz2jLpiec9hlP2X9Q","Toadliquor","spotify:album:5tfYcqZq9i4uy20Od7ESLc","The Hortator's Lament","spotify:artist:7g2rOQz2jLpiec9hlP2X9Q","Toadliquor","2003","https://i.scdn.co/image/ab67616d0000b2739ed6cf1fb5be41ee7e2fedc7","1","2","277226","https://p.scdn.co/mp3-preview/af936f9783ee4c42e3a342d152a13c9317b78593?cid=9950ac751e34487dbbe027c4fd7f8e99","false","11","spotify:user:thesoundsofspotify","2015-10-19T04:05:36Z"
"spotify:track:6bcmQn8rHFYQ0sTqJLtNcm","Abandon the Wolf","spotify:artist:2Rb1B6Iz4fJZ3ozBeHiXSR","Wizard's Beard","spotify:album:277K3KWk0hIbN10MnDPgPC","Four Tired Undertakers","spotify:artist:2Rb1B6Iz4fJZ3ozBeHiXSR","Wizard's Beard","2011","https://i.scdn.co/image/ab67616d0000b27345df9ec8021b5949c457852f","1","2","376986","https://p.scdn.co/mp3-preview/4b7b32116d8722ebeadebbdcf369dbbfdf82f9d8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","spotify:user:thesoundsofspotify","2021-05-28T12:53:12Z"
"spotify:track:4Xj9a1ImCagTRTr3DqThQS","Pussy Witch","spotify:artist:1NggMz3y8JctYhecfAvy4l","Ultralord","spotify:album:1ZWv9B6dLtooInCNa3lHjF","We Hate You and Hope You Die","spotify:artist:1NggMz3y8JctYhecfAvy4l","Ultralord","2006","https://i.scdn.co/image/ab67616d0000b27398666237fe31776bbacfd758","1","2","418560","https://p.scdn.co/mp3-preview/7e48bae0ccd14e98d3ea69910c918e69d89f0e60?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","spotify:user:thesoundsofspotify","2020-10-16T11:22:51Z"
"spotify:track:10hyA1E9zttuDHjvszQfzq","Three Sisters of the Wolves","spotify:artist:5rv7D2XBrZdrq1RAqScj9o","Lord By Fire","spotify:album:2VCcQ3bzDwxDLo45EDec4e","Lord By Fire","spotify:artist:5rv7D2XBrZdrq1RAqScj9o","Lord By Fire","2009-01-01","https://i.scdn.co/image/ab67616d0000b273d68c848f01c3400baa7301f5","1","1","230431","https://p.scdn.co/mp3-preview/8b0c92da1c47d954b0a7c967a1b5ba6def3b0780?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","spotify:user:thesoundsofspotify","2018-02-28T01:56:30Z"
"spotify:track:38X1RqChZ8wqdV9QdYjEwP","Endless","spotify:artist:4D9q6ezJmEXgqVk3xm8oLp","Pombagira","spotify:album:2ip6mfM4kynojipIH2bkrz","Flesh Throne Press","spotify:artist:4D9q6ezJmEXgqVk3xm8oLp","Pombagira","2015-03-27","https://i.scdn.co/image/ab67616d0000b2738fcbec6dd7815d7cba518dce","1","3","353413","https://p.scdn.co/mp3-preview/4a1b3762f385ddb7f3bcd9f74402c7d92556c382?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","spotify:user:thesoundsofspotify","2020-10-30T11:24:44Z"
