"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:6E3CfnXv6GKVC9rBfGptp6","Necromaniac","spotify:artist:2OjtmMho2pBS86zQ1PliRu","Exhumed","spotify:album:1yeVvAIJpzqsxKsaw9yn28","Gore Metal","spotify:artist:2OjtmMho2pBS86zQ1PliRu","Exhumed","1998-10-27","https://i.scdn.co/image/ab67616d0000b27355d57c0c1f8e5f8fcfeda444","1","1","151933","https://p.scdn.co/mp3-preview/019ab1d4274bb76f5661150aa05d5f8d16839b48?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","spotify:user:thesoundsofspotify","2019-12-13T16:25:15Z"
"spotify:track:4Hl8ohhuAt8AvjIGsyfuli","New Salem","spotify:artist:1kTUJy3zL57iEANLB9FpIA","Misery Index","spotify:album:3UfGYkMLGwGq6PP1KwzPPH","Rituals of Power","spotify:artist:1kTUJy3zL57iEANLB9FpIA","Misery Index","2019-03-08","https://i.scdn.co/image/ab67616d0000b27394015722a324cd4cfab09f8d","1","4","203960","https://p.scdn.co/mp3-preview/5b81d6e49d41d78acb7bcb62359b6ce33f58096f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","36","spotify:user:thesoundsofspotify","2019-03-15T16:08:04Z"
"spotify:track:5OEngf4Mfvm2E495yD4F8t","Birth of Ignorance","spotify:artist:4TvgUScBiJZP1P9V1tmMPi","Brutal Truth","spotify:album:5iscsBqhMEy4oTYjA9iHf8","Extreme Conditions Demand Extreme Responses","spotify:artist:4TvgUScBiJZP1P9V1tmMPi","Brutal Truth","1992","https://i.scdn.co/image/ab67616d0000b273042e8f2f4efd3eeb2ec82400","1","2","208866","https://p.scdn.co/mp3-preview/4eacf6f3388c74aca0391cdd39837d3cd1634f2b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","spotify:user:thesoundsofspotify","2020-10-09T12:33:32Z"
"spotify:track:6HXEqLx0PC7xtdPEKVwHme","Burden","spotify:artist:4aglyvdJ7ApTfDC6aQ2LFf","Rotten Sound","spotify:album:0Mg5tsgYliLx7reFB5NSNp","Exit","spotify:artist:4aglyvdJ7ApTfDC6aQ2LFf","Rotten Sound","2016-06-17","https://i.scdn.co/image/ab67616d0000b27387002e729134ec2ca205b429","1","2","105120","https://p.scdn.co/mp3-preview/ccb24a59231a12703445c7165f1c45ac3b60d27d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","spotify:user:thesoundsofspotify","2018-07-06T13:01:51Z"
"spotify:track:7KuAKFlB8NSMabLZ0vubCd","Inhale / Exhale","spotify:artist:7ubUEBqbef0F5Z7GLo1t8j","Nasum","spotify:album:2YlDNcXgRa1w79T1CcNMcO","Inhale / Exhale","spotify:artist:7ubUEBqbef0F5Z7GLo1t8j","Nasum","1998-05-26","https://i.scdn.co/image/ab67616d0000b273104236135d74058c7ec25a20","1","7","95026","https://p.scdn.co/mp3-preview/44249aa73387e5b1bb07b0a82dd92f5b760d2647?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","spotify:user:thesoundsofspotify","2018-02-27T06:17:39Z"
"spotify:track:5PXujKcOnfltD5fZgSpwAR","Dying Will Be the Death of Me","spotify:artist:4S2VWuUV0ei7LG0I8JDFww","Cephalic Carnage","spotify:album:6qygc1bUGzDLiJ4uG7cAAx","Anomalies","spotify:artist:4S2VWuUV0ei7LG0I8JDFww","Cephalic Carnage","2005-03-15","https://i.scdn.co/image/ab67616d0000b273e8de8e457e6762c947877c39","1","7","281626","https://p.scdn.co/mp3-preview/b2b87c6d69287308d66223e856c1a7f5c74af20e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","spotify:user:thesoundsofspotify","2018-02-28T01:58:59Z"
"spotify:track:76rl8bu092FOT8xrT5fJVU","Chainsaw Dismemberment","spotify:artist:34PPy9Ut9m8qB8BnmCiVmO","Mortician","spotify:album:2BG0B4ZOL2m4JWkMhsp3Nq","Chainsaw Dismemberment","spotify:artist:34PPy9Ut9m8qB8BnmCiVmO","Mortician","1999-06-29","https://i.scdn.co/image/ab67616d0000b2731ed7b9013de182dfbd2bf94c","1","15","159266","https://p.scdn.co/mp3-preview/cb52c6cb8cac95c12c952b692e42ece51e75c06c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","spotify:user:thesoundsofspotify","2018-02-03T04:01:22Z"
"spotify:track:3dfO5e6kvudYYQwWiLbBoo","Fear Of Napalm","spotify:artist:09eXH2A1Zi3E7MZJXGg5oG","Terrorizer","spotify:album:1OAUXcUtKiPdDtftxbjGV2","World Downfall","spotify:artist:09eXH2A1Zi3E7MZJXGg5oG","Terrorizer","1989","https://i.scdn.co/image/ab67616d0000b2733016bdf067e898a1050f9702","1","3","181400","https://p.scdn.co/mp3-preview/d31bb8b26bd3b2451d49be8dda32d2dfd5772020?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","spotify:user:thesoundsofspotify","2015-11-15T23:33:11Z"
"spotify:track:79DHdvI3WjP9DGmJL0upxi","The Diplomat","spotify:artist:4raqfuxaWjPjrOQGb6zoa7","Pig Destroyer","spotify:album:604JFtgeDXfwIRVqZtaCZg","Book Burner","spotify:artist:4raqfuxaWjPjrOQGb6zoa7","Pig Destroyer","2012-10-22","https://i.scdn.co/image/ab67616d0000b273786cc74181d353cc4a4ada87","1","5","176573","https://p.scdn.co/mp3-preview/afe07ecc5b8a3eda10282e449c259a2014d8b980?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","spotify:user:thesoundsofspotify","2020-09-26T18:41:50Z"
"spotify:track:2vjoV2tKJMfhLCPjPa9dWt","Bring Back the Plague","spotify:artist:67ZMMtA88DDO0gTuRrzGjn","Cattle Decapitation","spotify:album:7pp0eBrLEcmprISZOmY4ve","Death Atlas","spotify:artist:67ZMMtA88DDO0gTuRrzGjn","Cattle Decapitation","2019-11-29","https://i.scdn.co/image/ab67616d0000b273063b22f279027efafc714e92","1","7","268080","https://p.scdn.co/mp3-preview/b9134fc41c93583fc1c1547446f6a491d44a89b1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","spotify:user:thesoundsofspotify","2019-12-20T16:23:02Z"
"spotify:track:352Xb6jVxDanrtT7hQyJDH","TerrorVision","spotify:artist:1XRhUgCyzIdeT8d9KMfeDR","Aborted","spotify:album:27xwKH56493UoaSsK3k6Sh","TerrorVision","spotify:artist:1XRhUgCyzIdeT8d9KMfeDR","Aborted","2018-09-21","https://i.scdn.co/image/ab67616d0000b273e047bd108592a6089281da10","1","2","273480","https://p.scdn.co/mp3-preview/77f2a23dbbbccc7d02e48700ae7b42902ff402bb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","spotify:user:thesoundsofspotify","2018-09-28T16:05:30Z"
"spotify:track:3ATJOfT2wj2CfnOtyRFqeL","Brethren of the Pentagram","spotify:artist:0AKZrsOYW77C7QW1jzdhNX","Lock Up","spotify:album:2lU21agTgyhWlxCwoBWrrl","Necropolis Transparent","spotify:artist:0AKZrsOYW77C7QW1jzdhNX","Lock Up","2011-07-01","https://i.scdn.co/image/ab67616d0000b273e1f1c6626aa62c3fb1da75a4","1","1","95546","https://p.scdn.co/mp3-preview/20438c7c5a3cf013e487873cc5b1ac5db4c5fb2a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","spotify:user:thesoundsofspotify","2020-04-03T17:33:53Z"
"spotify:track:1pDaIv4kERYDqeCzYDpZ80","Behold Judas","spotify:artist:4Ru4H8nvpjbqHFStsJJcHV","Hate Eternal","spotify:album:1Q7JD6equFgtI9qmDe3Ghq","I Monarch","spotify:artist:4Ru4H8nvpjbqHFStsJJcHV","Hate Eternal","2005","https://i.scdn.co/image/ab67616d0000b273a58a06979de64de0e035b5f3","1","2","261506","https://p.scdn.co/mp3-preview/f4f2d6ef680ddaab74aa6bafadf57fb30e32098d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","spotify:user:thesoundsofspotify","2019-10-18T15:29:53Z"
"spotify:track:3zDz4v8AGsiP9NdmllRDUV","Negative Approach","spotify:artist:3UqRgrDIQ208yNGiWKRMNt","Napalm Death","spotify:album:51wqCUWehVrNj2Ltc83zJu","Scum","spotify:artist:3UqRgrDIQ208yNGiWKRMNt","Napalm Death","1987","https://i.scdn.co/image/ab67616d0000b2734c16b131533c69af1f8c7503","1","16","32933","https://p.scdn.co/mp3-preview/68a848632befe459537f5b42ddcf11688bc849e9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","spotify:user:thesoundsofspotify","2021-04-16T13:00:08Z"
"spotify:track:5hXwhzrOCMhy5wwbCrtoZ6","Ominous Lamentation","spotify:artist:7uqRm8hzY1AGigP9Qd6j4U","General Surgery","spotify:album:0gFLxSOuVnKWTS11wC2zIg","Necrology - Reissue","spotify:artist:7uqRm8hzY1AGigP9Qd6j4U","General Surgery","2011-06-21","https://i.scdn.co/image/ab67616d0000b273844c0f69e148d52dc37fc8b0","1","1","191866","https://p.scdn.co/mp3-preview/09faf06b37b4216fd0ca989969c361f89c7e7760?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","spotify:user:thesoundsofspotify","2020-02-14T17:32:21Z"
"spotify:track:0blpJaoRvc35QKsEMck6ak","Self Termination","spotify:artist:0aYwzdDqX80Li5uMaC4bgK","Insect Warfare","spotify:album:6hfj38XYUJU7zR2qSYe13L","World Extermination","spotify:artist:0aYwzdDqX80Li5uMaC4bgK","Insect Warfare","2009-08-18","https://i.scdn.co/image/ab67616d0000b273a33dd3576a53cee0f8c02651","1","2","85240","https://p.scdn.co/mp3-preview/12465887043f2669c0732c45bc73100bf1453356?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","spotify:user:thesoundsofspotify","2015-11-15T23:33:11Z"
"spotify:track:1JHI0rwH8w5zPFO49R4yaM","Blockhead Fuck Off","spotify:artist:3vMnvW7u5207ATyxTQIxNz","Wormrot","spotify:album:1uvVgNgiiHhAz5pYODbCkl","Voices","spotify:artist:3vMnvW7u5207ATyxTQIxNz","Wormrot","2016-10-14","https://i.scdn.co/image/ab67616d0000b27326754b34e5949bc7316a4339","1","1","68373","https://p.scdn.co/mp3-preview/6437a9e75775d685e039786f19e6edd8f0dd9a94?cid=9950ac751e34487dbbe027c4fd7f8e99","true","30","spotify:user:thesoundsofspotify","2016-10-22T23:52:10Z"
"spotify:track:7dU9Z24yR9AKuS9cAe2Tj7","Subjected to a Beating","spotify:artist:2DqzOWVL2ly48IA9bpZdie","Dying Fetus","spotify:album:6SGhbpz7boAiDk9CotSDSD","Reign Supreme","spotify:artist:2DqzOWVL2ly48IA9bpZdie","Dying Fetus","2012-06-19","https://i.scdn.co/image/ab67616d0000b27367c22e14a2f2adb1799f4748","1","2","293386","https://p.scdn.co/mp3-preview/125f5ae1d9e2fd4155cc407a285e33e661f0fd50?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","spotify:user:thesoundsofspotify","2017-09-24T00:15:30Z"
"spotify:track:5y25DV4hGYUizcnAH1kFgM","The Aftermath","spotify:artist:4Mmo0f1kp7dyyH3UbK9vUU","Origin","spotify:album:6REQaOJBYlO74nR0ax16tc","Antithesis","spotify:artist:4Mmo0f1kp7dyyH3UbK9vUU","Origin","2008-04-01","https://i.scdn.co/image/ab67616d0000b273f491802e4e5e3b922026b003","1","1","274800","https://p.scdn.co/mp3-preview/e63fdf42dc1094dcc608f88ef17404998c5b8083?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","spotify:user:thesoundsofspotify","2017-07-30T00:49:30Z"
"spotify:track:1sfAvEhjwftgdHNS3rFGBX","Hitchhiker","spotify:artist:2lbJzDX11fy6cLeFtlkUA8","MACABRE","spotify:album:62sr4rxwcx98O1BHJBpdt2","Dahmer (Remastered)","spotify:artist:2lbJzDX11fy6cLeFtlkUA8","MACABRE","2000-10-31","https://i.scdn.co/image/ab67616d0000b273152a653f6fad22df2db9fd72","1","2","210160","https://p.scdn.co/mp3-preview/0bef41bec8679e6397bf626ebe6bcbafa7aadd0e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","26","spotify:user:thesoundsofspotify","2021-02-05T17:17:29Z"
