"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:7fftnG8BcZ7385YMvWuBes","Speed","spotify:artist:1EMlPfrse4I1I1hA3iwhk9","Atari Teenage Riot","spotify:album:54wUk6OMtgc2dm6MXzDNIM","Delete Yourself","spotify:artist:1EMlPfrse4I1I1hA3iwhk9","Atari Teenage Riot","1994","https://i.scdn.co/image/ab67616d0000b273c8f367dd3ba73dab107eaaf3","1","4","168293","https://p.scdn.co/mp3-preview/e9e1e98c11600da6d87c3565f6ff33ae8e4f323d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","spotify:user:thesoundsofspotify","2017-06-11T00:26:59Z"
"spotify:track:1GGLejpsjVbAAxK1qav7L2","Think About","spotify:artist:0j6rtPpOJntNlv3iad0Xcq","Ec8or","spotify:album:3kT5WsKKIEGXbPa4xgaY1h","AK 78","spotify:artist:0j6rtPpOJntNlv3iad0Xcq","Ec8or","1995-04-24","https://i.scdn.co/image/ab67616d0000b27300174c535dfa563987bce393","1","1","343440","https://p.scdn.co/mp3-preview/25ffa635b5c868466460ce5d5799f438f2788e60?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","spotify:user:thesoundsofspotify","2019-11-15T20:23:00Z"
"spotify:track:6J7PJ9cVNf8hFZUr7eP82h","Hold Me (feat. Electrosexual)","spotify:artist:56M1ls3RwB3XSPjWGG1FXy, spotify:artist:3xwez51lNAHrixkHqCWUPH","Hanin Elias, Electrosexual","spotify:album:1COZd8j84yO8IBPvPAG6Yk","Hold Me EP","spotify:artist:56M1ls3RwB3XSPjWGG1FXy","Hanin Elias","2016-03-19","https://i.scdn.co/image/ab67616d0000b2731223f0651d5a7187e0e3e9c2","1","1","265695","https://p.scdn.co/mp3-preview/78d60cb302a03c2146c66e983a9a932e49308506?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","spotify:user:thesoundsofspotify","2019-11-08T15:37:42Z"
"spotify:track:1uWj0lwSlPa1ReoUcob757","Reach","spotify:artist:4p1n4vV7gPt3XOvPBLGIPf","Panic DHH","spotify:album:4ssRWKty4pI13Yg1r8rIi1","Panic Drives Human Herds","spotify:artist:4p1n4vV7gPt3XOvPBLGIPf","Panic DHH","2004-03-29","https://i.scdn.co/image/ab67616d0000b27304db4c7fd97f5fed0abf892e","1","2","229680","https://p.scdn.co/mp3-preview/81fe2ec4c1b339c297ba32735199901d40649eff?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","spotify:user:thesoundsofspotify","2015-09-07T03:17:23Z"
"spotify:track:50fQpNxss8lKs7yJ6JAXo0","Red Hot Riding Hood","spotify:artist:6YF9sFv4SPlpLL6808Gsny","Lolita Storm","spotify:album:69wksuPldtwiKixYBHCsO0","Girls Fucking Shit Up","spotify:artist:6YF9sFv4SPlpLL6808Gsny","Lolita Storm","2000-04-17","https://i.scdn.co/image/ab67616d0000b273f2e7d641dff5355a68406b2b","1","15","159160","https://p.scdn.co/mp3-preview/3333dfe47492e92e29c2fcc921dacd3ef5875fbd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","11","spotify:user:thesoundsofspotify","2016-10-22T23:57:16Z"
"spotify:track:0zNCV2kE3YWSyivbnD6See","Generation Fuck You","spotify:artist:0gs9oukjBB54XvFOvkZa9z","Schizoid","spotify:album:4uxJr7WVTxrQavR0oFLE5J","Rising Tide","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2003","https://i.scdn.co/image/ab67616d0000b2739bf30ab9ea67dfbb9b168962","1","2","222186","https://p.scdn.co/mp3-preview/ae68a025885e370851f7337f6e2c6ce8db631a60?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","spotify:user:thesoundsofspotify","2018-03-30T14:43:14Z"
"spotify:track:3QBwtdYiaUfgCkEc5KhejR","Central Industrial","spotify:artist:0f5hf5BD7WmJ3zfo0ksu1K","Sonic Subjunkies","spotify:album:0XRf8Bc2cZKBLTxGYpx16Q","Harder Than the Rest","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","1995-10-23","https://i.scdn.co/image/ab67616d0000b273dbf6661e28c233374a1e33d8","1","12","279666","https://p.scdn.co/mp3-preview/7c7783d4747f989c03d475293b6d5ae5e62a3473?cid=9950ac751e34487dbbe027c4fd7f8e99","false","6","spotify:user:thesoundsofspotify","2015-08-10T10:32:12Z"
"spotify:track:1Zf5yohpEoTuakY0uAvG9V","Addicted to You","spotify:artist:3YGigudQiWDb5NdJOC5StS","Alec Empire","spotify:album:3ggBtKbiorIJUV7qzFXEOr","Intelligence & Sacrifice","spotify:artist:3YGigudQiWDb5NdJOC5StS","Alec Empire","2001","https://i.scdn.co/image/ab67616d0000b273634813eab68b81f78656547d","1","6","231493","https://p.scdn.co/mp3-preview/b069805410e30658cb79125c4a3f8e4a3beca122?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","spotify:user:thesoundsofspotify","2015-09-14T16:06:25Z"
"spotify:track:3li4fj8zHRkYPmHqyMCq1B","Gangsta","spotify:artist:35Zgy6e4fE5POJn10DP9Vh","Carl Crack","spotify:album:48Ap7JnrnNtjI5gbuF3Ekl","Black Ark","spotify:artist:35Zgy6e4fE5POJn10DP9Vh","Carl Crack","1998-05-05","https://i.scdn.co/image/ab67616d0000b27333c474cef3b761fc8bf393ed","1","2","262266","https://p.scdn.co/mp3-preview/b06e6f7a77fe6e4f8954ecd1b5334e8b2587a226?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","spotify:user:thesoundsofspotify","2019-02-01T16:29:19Z"
"spotify:track:1e4qhblGY57kE6k76bh8tu","Gapin' Above the Day Dream","spotify:artist:37N7rLGUtLTSFa3Zypu9Ot","DK Dance","spotify:album:4L4mUEmgexOQJYCXL7IBts","La Decroissance","spotify:artist:37N7rLGUtLTSFa3Zypu9Ot","DK Dance","2008-07-01","https://i.scdn.co/image/ab67616d0000b27313315fce49cc859d28efb509","1","3","225560","https://p.scdn.co/mp3-preview/94d2f64e4076678ca74b59e84d893ffc59e2bd2f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","spotify:user:thesoundsofspotify","2017-10-01T01:39:53Z"
