"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:3jWZXDktZVgDelnDJx9DtO","Creation Dub","spotify:artist:0K1lHu1BP65Z1DErnljxUw","Forest Drive West","spotify:album:00qCuTBME8tBVE31DUC9A5","Parallel Space EP","spotify:artist:0K1lHu1BP65Z1DErnljxUw","Forest Drive West","2020-01-10","https://i.scdn.co/image/ab67616d0000b27390eaf71ef924abe154d8a3b2","1","1","352947","https://p.scdn.co/mp3-preview/8d73e23c64582e9b24f8c83fdfc5d85b045273c9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","spotify:user:thesoundsofspotify","2020-01-17T20:03:43Z"
"spotify:track:1M2R7cAdnwWO08JinxumOU","Cosmology","spotify:artist:403OOa2mD7jcUgpC8F7Qgs","Roza Terenzi","spotify:album:5zHzMujcNpkEWGmO2IYcrA","Stylish Tantrum","spotify:artist:403OOa2mD7jcUgpC8F7Qgs","Roza Terenzi","2020-12-20","https://i.scdn.co/image/ab67616d0000b273c22f85f1c77d158bafb0490a","1","1","381268","https://p.scdn.co/mp3-preview/0e5dccf8520091fb1576ecb76be3cb6a9d00997b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","spotify:user:thesoundsofspotify","2021-01-01T11:36:20Z"
"spotify:track:6ArmDUal0z5UVujYS5lvLl","Volumes","spotify:artist:7xkfvmfvOfMBZmIGKaLtzi","Minor Science","spotify:album:6PSZUZ4UWsxXegLh7uBN3f","Whities 012","spotify:artist:7xkfvmfvOfMBZmIGKaLtzi","Minor Science","2017-09-15","https://i.scdn.co/image/ab67616d0000b2735dde1007f6fafa647bd067b3","1","1","434954","https://p.scdn.co/mp3-preview/bd85e24a615faa85c6928e1b03622e46e97a983f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","spotify:user:thesoundsofspotify","2019-02-14T16:37:17Z"
"spotify:track:2qrv1aWef5yc3QUBqiAlng","Orbu","spotify:artist:64v9ctTSV0oUJeZTFBoosp","Konduku","spotify:album:5CPTJPb9lK5gl8FsrfxAtd","Orbu","spotify:artist:64v9ctTSV0oUJeZTFBoosp","Konduku","2021-01-15","https://i.scdn.co/image/ab67616d0000b273acc3257b1c0b6c551e5493fc","1","1","338082","https://p.scdn.co/mp3-preview/3deca87f6aeba3566941e168de879eb71d9660fb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","11","spotify:user:thesoundsofspotify","2021-01-22T11:56:27Z"
"spotify:track:3PtkNAno7id9NFWCxgZ5A1","Fire Kit","spotify:artist:6SitppNJBatzwwW1cmuQ3q","Laksa","spotify:album:6pM5EKCBaur5IuZ23jquMb","Fire Kit EP","spotify:artist:6SitppNJBatzwwW1cmuQ3q","Laksa","2020-11-06","https://i.scdn.co/image/ab67616d0000b27305a54efbb0e78c14dd7773a3","1","1","348149","https://p.scdn.co/mp3-preview/cf5fe480d6795cee0712c6b8bdd8cfbc7e1e9623?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","spotify:user:thesoundsofspotify","2020-11-13T12:47:15Z"
"spotify:track:46nxNiDM5C9Z0ppVTkn1Tc","Through The Pressure","spotify:artist:2NArTWfXN317Ok1Ale3xkX","AceMo","spotify:album:0wlICzORLGl8yJwnc8q74I","All My Life 2","spotify:artist:2NArTWfXN317Ok1Ale3xkX","AceMo","2021-01-15","https://i.scdn.co/image/ab67616d0000b2732b32d0ba5a8f452ca06f6eea","1","2","403821","https://p.scdn.co/mp3-preview/fb6fda70a52aa5f1d29259d5725f76554ae89c27?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","spotify:user:thesoundsofspotify","2021-01-22T11:56:27Z"
"spotify:track:6TCIop28gbXzEWFPQoxWwL","What Does Your Heart Tell You?","spotify:artist:6J30Iyy8uZbhTzepsSs5yJ","Eomac","spotify:album:2yrNEjM6FJZ3tfbXtB2VVs","Cracks","spotify:artist:6J30Iyy8uZbhTzepsSs5yJ","Eomac","2021-04-16","https://i.scdn.co/image/ab67616d0000b273ed6fb186748c72f6e660e056","1","4","329761","https://p.scdn.co/mp3-preview/9f7ab3ed7a53dc8c6ebfa650d915bde13a7189d1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","spotify:user:thesoundsofspotify","2021-04-23T15:25:31Z"
"spotify:track:7ehCjVyc4yEVI00XXx9UkD","Sea (The Time Gate)","spotify:artist:31Ldq0GNXx6ShgToypsNHq, spotify:artist:7jQL7Zs8uuQrfCZvHz6dEP","Stenny, Andrea","spotify:album:2YrSmT2TYmcAwEmNTc3mUP","Vostok Smokescreen","spotify:artist:31Ldq0GNXx6ShgToypsNHq, spotify:artist:7jQL7Zs8uuQrfCZvHz6dEP","Stenny, Andrea","2013-09-27","https://i.scdn.co/image/ab67616d0000b273a4f264cce860d0dbc554831e","1","1","304280","https://p.scdn.co/mp3-preview/b72235468c0345b66de3e0db2918d751d79e0a70?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","spotify:user:thesoundsofspotify","2021-02-19T11:09:14Z"
"spotify:track:3xgZpPF6YoiUG9lNEggoKK","Fig Jelly","spotify:artist:6MlWr55xB3YaIuYr8Dk4r8","Exael","spotify:album:4AbdndhZtDN3Z6NS2bQHwz","Flowered Knife Shadows","spotify:artist:6MlWr55xB3YaIuYr8Dk4r8","Exael","2021-02-05","https://i.scdn.co/image/ab67616d0000b273147a4dde631a97196399f57a","1","4","155453","https://p.scdn.co/mp3-preview/404c970b94e0fb748858591eca03dd16c1af77ed?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","spotify:user:thesoundsofspotify","2021-04-27T20:36:07Z"
"spotify:track:7E1BhljCUF1S94qimDgpzz","Soft Rocks With Socks","spotify:artist:438TWpixWUH0KLP6ARfymt","Parris","spotify:album:11jv74sZXJdVIxuyT2rtlg","Terrapin EP","spotify:artist:438TWpixWUH0KLP6ARfymt","Parris","2020-10-02","https://i.scdn.co/image/ab67616d0000b2739f186c7bf25a9e690b647886","1","1","329602","https://p.scdn.co/mp3-preview/882b998162f6eebebef337e168dd81a120b3a928?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","spotify:user:thesoundsofspotify","2020-10-09T12:39:40Z"
