"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:1JYyyOcywOFtPF5KhTD4oB","Synaptic Plasticity","spotify:artist:7ljGraiXXxLQv88TVlOIZQ","Blotted Science","spotify:album:71EHzen65tPpxuAy0h7a2f","The Machinations Of Dementia","spotify:artist:7ljGraiXXxLQv88TVlOIZQ","Blotted Science","2007-01-01","https://i.scdn.co/image/ab67616d0000b273d256f9ea8f294fe5978f4c79","1","1","356733","https://p.scdn.co/mp3-preview/b6f6c0b7e4c131dfa1395a245e61311f51138949?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","spotify:user:thesoundsofspotify","2018-07-02T14:32:27Z"
"spotify:track:2Vw4xopTTArXUTjusgdLXO","True Hallucination Speak","spotify:artist:5nXldeedEas60jZnMi40p4","Cynic","spotify:album:0L9q210Dguhq0nmGlCe1hR","Kindly Bent to Free Us","spotify:artist:5nXldeedEas60jZnMi40p4","Cynic","2014-02-18","https://i.scdn.co/image/ab67616d0000b273d8434144c00222410778ced5","1","1","363333","https://p.scdn.co/mp3-preview/c7166287e709606d4b102c65d23db5f7b29445b4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","spotify:user:thesoundsofspotify","2019-04-05T16:15:53Z"
"spotify:track:5dGORkbz0aubKk6pZXviyA","Ripple Of A Tear","spotify:artist:1kYsYRtVq1Po3luPqeAnm2","Exivious","spotify:album:7us0VRYUOseOfX0FsK699h","Exivious","spotify:artist:1kYsYRtVq1Po3luPqeAnm2","Exivious","2009-05-11","https://i.scdn.co/image/ab67616d0000b273ed12fb9fc25c9a17bcbb9d92","1","1","450160","https://p.scdn.co/mp3-preview/be1cdd721bb56583f1dfee4f4c1a7358f9991ec6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","spotify:user:thesoundsofspotify","2016-03-29T00:49:03Z"
"spotify:track:5u1uQkwDNJHOo3dap1pTtq","Immortal Bliss","spotify:artist:4jL78Ta4OMlWppSPXM1Fnb","Aghora","spotify:album:0mZSVO2VJg38rBiDeYmYNR","Aghora","spotify:artist:4jL78Ta4OMlWppSPXM1Fnb","Aghora","1999","https://i.scdn.co/image/ab67616d0000b273c2e80cbbaf58424fecf7529a","1","1","278866","https://p.scdn.co/mp3-preview/d78ebbde38f7dc72fd9b54c7306feefb9efe34cd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","11","spotify:user:thesoundsofspotify","2020-10-16T11:57:13Z"
"spotify:track:2aGqhiRrIH5GJe6oFcpayP","Take Five","spotify:artist:6NO4yN3PJL0PeMBPgdBWGq","Panzerballett","spotify:album:6dHt9f76g0PiZ45eLxmYa6","Tank Goodness","spotify:artist:6NO4yN3PJL0PeMBPgdBWGq","Panzerballett","2012-09-28","https://i.scdn.co/image/ab67616d0000b27330091552d9d780f1d9d86251","1","8","427013","https://p.scdn.co/mp3-preview/e5ae2f142ce4ce84cb162dea54a2d992550a3668?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","spotify:user:thesoundsofspotify","2021-01-15T11:20:04Z"
"spotify:track:21xHU2J7HGFrGoCusuO3mt","Power Symmetry","spotify:artist:27kqsn8A5Ab4I3FLrtZFDh","Dysrhythmia","spotify:album:72wKTJ6Z4MEIg72x8tStGA","Terminal Threshold","spotify:artist:27kqsn8A5Ab4I3FLrtZFDh","Dysrhythmia","2019-10-04","https://i.scdn.co/image/ab67616d0000b27307de5ef9c9eaadf892b263f5","1","2","219177","https://p.scdn.co/mp3-preview/215979f799613150bf59ae6615700c41bbe30468?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","spotify:user:thesoundsofspotify","2019-10-18T15:37:58Z"
"spotify:track:6VhRSM3vxmTnZOruWq1XFg","Spheres in Design","spotify:artist:430a9HgL9dKZIPzdiMZICS","Canvas Solaris","spotify:album:3f26ZEBJcYCpXZIb38vDNt","Sublimation: Redux","spotify:artist:430a9HgL9dKZIPzdiMZICS","Canvas Solaris","2004","https://i.scdn.co/image/ab67616d0000b273ccd0f3e49d4a0f30a630b246","1","2","268026","https://p.scdn.co/mp3-preview/73a25c66392156a8760dd4c057ab4b3510a2cb92?cid=9950ac751e34487dbbe027c4fd7f8e99","false","11","spotify:user:thesoundsofspotify","2017-02-18T23:49:17Z"
"spotify:track:0yyMabAQJonykzX39hrJ6X","Muttersprache","spotify:artist:7l1yLQXFpLePSmWyAyA7UJ","Gordian Knot","spotify:album:7rRKPtQLQNdV3qboR1yQun","Emergent","spotify:artist:7l1yLQXFpLePSmWyAyA7UJ","Gordian Knot","2003-01-14","https://i.scdn.co/image/ab67616d0000b273c684ed70c6ab861c90864542","1","2","386573","https://p.scdn.co/mp3-preview/8cdaa97b9b0b5898f08d304b9b32f1581751ba7c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","spotify:user:thesoundsofspotify","2017-02-26T00:07:28Z"
"spotify:track:0CPwjGVmXnX1lCPtYfi0zT","To Counter And Groove In E Minor","spotify:artist:6rr2GYpITSsMMTegsFsDNP","Spastic Ink","spotify:album:3s8EU82BH0kwFL6PBzXFX2","Ink Complete","spotify:artist:6rr2GYpITSsMMTegsFsDNP","Spastic Ink","1997","https://i.scdn.co/image/ab67616d0000b2735d1cbf52621bde1b2f3f3dc8","1","8","244133","https://p.scdn.co/mp3-preview/23f62d7e7f47142b97f930acad8ddced0a682920?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","spotify:user:thesoundsofspotify","2018-07-02T14:32:27Z"
"spotify:track:0wu0hJZ61dT5uSzL0tuPnQ","Canada","spotify:artist:7owQnmdzdbHxE35vge9pWV","Behold... The Arctopus","spotify:album:7cWMddMo38ItXuBfWyf8h2","Skullgrid","spotify:artist:7owQnmdzdbHxE35vge9pWV","Behold... The Arctopus","2007-10-16","https://i.scdn.co/image/ab67616d0000b273650a43802f34b359845fc183","1","2","331808","https://p.scdn.co/mp3-preview/f59c336eff97bbe236b341293c23cae18db6fde6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","spotify:user:thesoundsofspotify","2020-09-04T11:08:29Z"
"spotify:track:71oukCqwzyzk7qEebQO9Tr","The Passage (Pearl Grey)","spotify:artist:64kVHXvBa8xYVayD3v3YKi","Ephel Duath","spotify:album:0wTjVm8vexbMkxqdMIX210","The Painter's Palette","spotify:artist:64kVHXvBa8xYVayD3v3YKi","Ephel Duath","2003","https://i.scdn.co/image/ab67616d0000b273122be018e170f32475b68e87","1","1","251906","https://p.scdn.co/mp3-preview/c4202dbee5145495123f5479777fb91b190e2523?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","spotify:user:thesoundsofspotify","2015-11-29T23:58:16Z"
"spotify:track:0d0GGqspmqz8zcA5qMUlYq","South Winds","spotify:artist:2E1jLcUfqd9w2XtybNB2Za","Ihsahn","spotify:album:58Kyna6rwEssbvRxh7c9de","Arktis.","spotify:artist:2E1jLcUfqd9w2XtybNB2Za","Ihsahn","2016-04-08","https://i.scdn.co/image/ab67616d0000b2733f808b1529c3a3368f403c6c","1","4","334791","https://p.scdn.co/mp3-preview/615d5625cdd121f6a5fbe4bb314daa7b014baa51?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","spotify:user:thesoundsofspotify","2020-10-16T11:57:13Z"
