"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:67MkU3b7k2fBL6oHHUiM09","Dark Entries","spotify:artist:5N5tQ9Dx1h8Od7aRmGj7Fi","Bauhaus","spotify:album:4hPJRedKOmbvKnLdzV9w1w","In the Flat Field","spotify:artist:5N5tQ9Dx1h8Od7aRmGj7Fi","Bauhaus","1980-11-03","https://i.scdn.co/image/ab67616d0000b2736289415633eb3507cfe187e6","1","1","231560","https://p.scdn.co/mp3-preview/c72387687e98a46e2171902db156bcb748be3c76?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","spotify:user:","2021-06-07T13:32:45Z"
"spotify:track:7q5n3kuNbHCWx6LZOY1Z0r","Bela Lugosi's Dead (Official Version)","spotify:artist:5N5tQ9Dx1h8Od7aRmGj7Fi","Bauhaus","spotify:album:6hOBzGBmyvoPu7ZFAoLP2m","The Bela Session","spotify:artist:5N5tQ9Dx1h8Od7aRmGj7Fi","Bauhaus","2018-11-23","https://i.scdn.co/image/ab67616d0000b2731cfde3e21a00cf3bcaa06e20","1","1","576703","https://p.scdn.co/mp3-preview/9c2447216bfa3a303ca2765cb9ef17f84b4f35ea?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","spotify:user:","2021-06-07T13:32:45Z"
"spotify:track:0Ha6Oee9KzRwNxAbfznzYJ","The Passion of Lovers","spotify:artist:5N5tQ9Dx1h8Od7aRmGj7Fi","Bauhaus","spotify:album:6Cj5mXjHSi8eJ5jOAI8tsV","Mask","spotify:artist:5N5tQ9Dx1h8Od7aRmGj7Fi","Bauhaus","1981","https://i.scdn.co/image/ab67616d0000b273f751c3ba76a73a3456706818","1","2","231333","https://p.scdn.co/mp3-preview/5e9e5a85438347c4c5ebc684e0a9efb1fd4b2c33?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","spotify:user:","2021-06-07T13:32:45Z"
"spotify:track:6Q9kdCHXpAef5YbKXKeG9M","All We Ever Wanted Was Everything","spotify:artist:5N5tQ9Dx1h8Od7aRmGj7Fi","Bauhaus","spotify:album:42L0285NmWnp6lF0Tf6uyw","The Sky's Gone Out","spotify:artist:5N5tQ9Dx1h8Od7aRmGj7Fi","Bauhaus","1982","https://i.scdn.co/image/ab67616d0000b273575105908dc3ea7635626861","1","9","232306","https://p.scdn.co/mp3-preview/3a170d00b82ab36912bec55ceacbcf6669c62679?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","spotify:user:","2021-06-07T13:32:45Z"
"spotify:track:2u7J292h3IjJlWSs4VBYkf","In the Flat Field","spotify:artist:5N5tQ9Dx1h8Od7aRmGj7Fi","Bauhaus","spotify:album:4hPJRedKOmbvKnLdzV9w1w","In the Flat Field","spotify:artist:5N5tQ9Dx1h8Od7aRmGj7Fi","Bauhaus","1980-11-03","https://i.scdn.co/image/ab67616d0000b2736289415633eb3507cfe187e6","1","3","300266","https://p.scdn.co/mp3-preview/9a190b6504eca70f03f41d73c4ced2c23f4aa6a5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","spotify:user:","2021-06-07T13:32:45Z"
"spotify:track:57QSyj5zCax7vmsbALbRpl","The Sanity Assassin","spotify:artist:5N5tQ9Dx1h8Od7aRmGj7Fi","Bauhaus","spotify:album:7oaHUMs14oldwahz1WaVaR","Burning from the Inside","spotify:artist:5N5tQ9Dx1h8Od7aRmGj7Fi","Bauhaus","1983","https://i.scdn.co/image/ab67616d0000b273b5ed88c3f990cad6aee88eb9","1","14","245466","https://p.scdn.co/mp3-preview/02c118ac8e3ea549fdc1235aeff48f3ebc736f08?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","spotify:user:","2021-06-07T13:32:45Z"
"spotify:track:1WmDtKY1clNiRdc5xY8Bms","Kick in the Eye","spotify:artist:5N5tQ9Dx1h8Od7aRmGj7Fi","Bauhaus","spotify:album:6Cj5mXjHSi8eJ5jOAI8tsV","Mask","spotify:artist:5N5tQ9Dx1h8Od7aRmGj7Fi","Bauhaus","1981","https://i.scdn.co/image/ab67616d0000b273f751c3ba76a73a3456706818","1","6","220160","https://p.scdn.co/mp3-preview/8129307303b676a20f113c30b3f11f2e4173515d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","spotify:user:","2021-06-07T13:32:45Z"
"spotify:track:2wBKNmYONrCxgmHc2HhQ8C","Ziggy Stardust","spotify:artist:5N5tQ9Dx1h8Od7aRmGj7Fi","Bauhaus","spotify:album:42L0285NmWnp6lF0Tf6uyw","The Sky's Gone Out","spotify:artist:5N5tQ9Dx1h8Od7aRmGj7Fi","Bauhaus","1982","https://i.scdn.co/image/ab67616d0000b273575105908dc3ea7635626861","1","11","193266","https://p.scdn.co/mp3-preview/3e13f85d0df55d556f1c8f5c3794b384d8900870?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","spotify:user:","2021-06-07T13:32:45Z"
"spotify:track:3zAkC5zINEpRwn5FaeKNSn","Double Dare","spotify:artist:5N5tQ9Dx1h8Od7aRmGj7Fi","Bauhaus","spotify:album:4hPJRedKOmbvKnLdzV9w1w","In the Flat Field","spotify:artist:5N5tQ9Dx1h8Od7aRmGj7Fi","Bauhaus","1980-11-03","https://i.scdn.co/image/ab67616d0000b2736289415633eb3507cfe187e6","1","2","295000","https://p.scdn.co/mp3-preview/5941b48735704763d2d669fbaf851e8e4d788727?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","spotify:user:","2021-06-07T13:32:45Z"
"spotify:track:2jzwBN6HfhW99saMHpYkBx","She's In Parties","spotify:artist:5N5tQ9Dx1h8Od7aRmGj7Fi","Bauhaus","spotify:album:7dHMjDZl9EZB2uvID1rijT","Bauhaus - 1979-1983 Volume Two","spotify:artist:5N5tQ9Dx1h8Od7aRmGj7Fi","Bauhaus","1986-05-01","https://i.scdn.co/image/ab67616d0000b27379720b134f8b326351e54b75","1","13","231066","https://p.scdn.co/mp3-preview/bb2775f101fd12e913d73fef15a0509da3926787?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","spotify:user:","2021-06-07T13:32:45Z"
"spotify:track:6C0jR6PqOluW9xwrTSeCvt","The Man with X-Ray Eyes","spotify:artist:5N5tQ9Dx1h8Od7aRmGj7Fi","Bauhaus","spotify:album:6Cj5mXjHSi8eJ5jOAI8tsV","Mask","spotify:artist:5N5tQ9Dx1h8Od7aRmGj7Fi","Bauhaus","1981","https://i.scdn.co/image/ab67616d0000b273f751c3ba76a73a3456706818","1","9","185200","https://p.scdn.co/mp3-preview/baa69daf66fe8ac7ba0035ecc9638c8e6a9a64ad?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","spotify:user:","2021-06-07T13:32:45Z"
"spotify:track:0Z3JCiIGRaJ3EfyQyrScI4","Lagartija Nick","spotify:artist:5N5tQ9Dx1h8Od7aRmGj7Fi","Bauhaus","spotify:album:7oaHUMs14oldwahz1WaVaR","Burning from the Inside","spotify:artist:5N5tQ9Dx1h8Od7aRmGj7Fi","Bauhaus","1983","https://i.scdn.co/image/ab67616d0000b273b5ed88c3f990cad6aee88eb9","1","11","184626","https://p.scdn.co/mp3-preview/9aaa1e889f03a0fdba912d4569fa6b677401477c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","spotify:user:","2021-06-07T13:32:45Z"
"spotify:track:4dga7PnLJ870cfrXevpMDi","Stigmata Martyr","spotify:artist:5N5tQ9Dx1h8Od7aRmGj7Fi","Bauhaus","spotify:album:4hPJRedKOmbvKnLdzV9w1w","In the Flat Field","spotify:artist:5N5tQ9Dx1h8Od7aRmGj7Fi","Bauhaus","1980-11-03","https://i.scdn.co/image/ab67616d0000b2736289415633eb3507cfe187e6","1","9","221706","https://p.scdn.co/mp3-preview/590bccde54253af6adcc397c128c65677ba3ed8b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","spotify:user:","2021-06-07T13:32:45Z"
