"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:34SVUs66rBnOqsCJl45Ek8","Loco","spotify:artist:69k6uTSZMPLpSnhmLCiKxQ","Coal Chamber","spotify:album:1f67cRBr8LloCk9sEdUINv","Coal Chamber","spotify:artist:69k6uTSZMPLpSnhmLCiKxQ","Coal Chamber","1997-01-01","https://i.scdn.co/image/ab67616d0000b2737fffb882d8a7c4b5bde6872a","1","1","254693","https://p.scdn.co/mp3-preview/a17418d704119c2ae55ae6268527dd6301784255?cid=9950ac751e34487dbbe027c4fd7f8e99","true","56","spotify:user:","2021-06-07T13:32:12Z"
"spotify:track:4Jcz9DveYMyNgDxuspZv3r","Fiend","spotify:artist:69k6uTSZMPLpSnhmLCiKxQ","Coal Chamber","spotify:album:1zshtbyPH8rrkqulAbV9V0","Dark Days","spotify:artist:69k6uTSZMPLpSnhmLCiKxQ","Coal Chamber","2002-05-06","https://i.scdn.co/image/ab67616d0000b2735f92c0d2656af08a13643f64","1","1","180066","https://p.scdn.co/mp3-preview/49d4bb2b00cea170c3b3ff56005219591ab12da5?cid=9950ac751e34487dbbe027c4fd7f8e99","true","47","spotify:user:","2021-06-07T13:32:12Z"
"spotify:track:55fRL1pNYMXgxLOHPCfLh5","Shock the Monkey","spotify:artist:69k6uTSZMPLpSnhmLCiKxQ","Coal Chamber","spotify:album:2cgzZlPUtj75UJlktSMbvM","Chamber Music","spotify:artist:69k6uTSZMPLpSnhmLCiKxQ","Coal Chamber","1999-08-30","https://i.scdn.co/image/ab67616d0000b273521a3d9083d6d0ffe05ce0ed","1","8","222533","https://p.scdn.co/mp3-preview/6ee9e3748de8c27de6db23989b33a6f325f5063f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","spotify:user:","2021-06-07T13:32:12Z"
"spotify:track:2wR4GdCwue1EYCRSVGLs3V","Headstones and the Walking Dead","spotify:artist:69k6uTSZMPLpSnhmLCiKxQ","Coal Chamber","spotify:album:67nk667gnOpJgkaqe2XJF8","Giving the Devil His Due","spotify:artist:69k6uTSZMPLpSnhmLCiKxQ","Coal Chamber","2003-08-17","https://i.scdn.co/image/ab67616d0000b273c645d68a90e5753d0be0404b","1","1","207360","https://p.scdn.co/mp3-preview/4818e2f203360b4b850554146c04301d5e0717aa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","spotify:user:","2021-06-07T13:32:12Z"
"spotify:track:2ohZZYCWfdKZlNf5Exj35Y","Sway","spotify:artist:69k6uTSZMPLpSnhmLCiKxQ","Coal Chamber","spotify:album:1f67cRBr8LloCk9sEdUINv","Coal Chamber","spotify:artist:69k6uTSZMPLpSnhmLCiKxQ","Coal Chamber","1997-01-01","https://i.scdn.co/image/ab67616d0000b2737fffb882d8a7c4b5bde6872a","1","6","215133","https://p.scdn.co/mp3-preview/cae33b6b41b20d94cc3891e7e8c52ca6f13347e3?cid=9950ac751e34487dbbe027c4fd7f8e99","true","48","spotify:user:","2021-06-07T13:32:12Z"
"spotify:track:1nYiLob7FmHBRK5rElOw7j","Rowboat","spotify:artist:69k6uTSZMPLpSnhmLCiKxQ","Coal Chamber","spotify:album:1zshtbyPH8rrkqulAbV9V0","Dark Days","spotify:artist:69k6uTSZMPLpSnhmLCiKxQ","Coal Chamber","2002-05-06","https://i.scdn.co/image/ab67616d0000b2735f92c0d2656af08a13643f64","1","9","289280","https://p.scdn.co/mp3-preview/3fb849914ce7c838429ed46eb30170ce2bc915d9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","spotify:user:","2021-06-07T13:32:12Z"
"spotify:track:2e2rwk6sR3HcLhbgpvSt1A","Tyler's Song","spotify:artist:69k6uTSZMPLpSnhmLCiKxQ","Coal Chamber","spotify:album:2cgzZlPUtj75UJlktSMbvM","Chamber Music","spotify:artist:69k6uTSZMPLpSnhmLCiKxQ","Coal Chamber","1999-08-30","https://i.scdn.co/image/ab67616d0000b273521a3d9083d6d0ffe05ce0ed","1","5","171826","https://p.scdn.co/mp3-preview/207d35b55e5bc0b93ef6f15565e462b843b58992?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","spotify:user:","2021-06-07T13:32:12Z"
"spotify:track:6j1ORxAIUsxEIjmYhGdefY","Bad Blood Between Us","spotify:artist:69k6uTSZMPLpSnhmLCiKxQ","Coal Chamber","spotify:album:0VZ5HAr19cR6qSOvaXmSE8","Rivals","spotify:artist:69k6uTSZMPLpSnhmLCiKxQ","Coal Chamber","2015-05-19","https://i.scdn.co/image/ab67616d0000b273ef902ceaf4b578b910712407","1","2","240160","https://p.scdn.co/mp3-preview/5858a40b889b94b7b85dbabcc04620d61bf82189?cid=9950ac751e34487dbbe027c4fd7f8e99","true","21","spotify:user:","2021-06-07T13:32:12Z"
"spotify:track:1YKCrA82XHYjcghcLUTVoj","Big Truck","spotify:artist:69k6uTSZMPLpSnhmLCiKxQ","Coal Chamber","spotify:album:1f67cRBr8LloCk9sEdUINv","Coal Chamber","spotify:artist:69k6uTSZMPLpSnhmLCiKxQ","Coal Chamber","1997-01-01","https://i.scdn.co/image/ab67616d0000b2737fffb882d8a7c4b5bde6872a","1","5","211066","https://p.scdn.co/mp3-preview/8a30f5c3e298e5a3bf7a8cdd45e61744a34631c4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","spotify:user:","2021-06-07T13:32:12Z"
"spotify:track:4L9x3gdnvbGSS0PAV1GlrK","Dark Days","spotify:artist:69k6uTSZMPLpSnhmLCiKxQ","Coal Chamber","spotify:album:1zshtbyPH8rrkqulAbV9V0","Dark Days","spotify:artist:69k6uTSZMPLpSnhmLCiKxQ","Coal Chamber","2002-05-06","https://i.scdn.co/image/ab67616d0000b2735f92c0d2656af08a13643f64","1","5","221000","https://p.scdn.co/mp3-preview/ed246adec5c4d1489858f8293451399999dda8b2?cid=9950ac751e34487dbbe027c4fd7f8e99","true","31","spotify:user:","2021-06-07T13:32:12Z"
"spotify:track:4VQCWL9B1fLybSz8vVuk9n","El Cu Cuy","spotify:artist:69k6uTSZMPLpSnhmLCiKxQ","Coal Chamber","spotify:album:2cgzZlPUtj75UJlktSMbvM","Chamber Music","spotify:artist:69k6uTSZMPLpSnhmLCiKxQ","Coal Chamber","1999-08-30","https://i.scdn.co/image/ab67616d0000b273521a3d9083d6d0ffe05ce0ed","1","3","263240","https://p.scdn.co/mp3-preview/fb6979f598335ebca2f5eec9a37b966f70acab4e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","spotify:user:","2021-06-07T13:32:12Z"
"spotify:track:2KaRaFEnrRvMnfSCrRWJha","I.O.U. Nothing","spotify:artist:69k6uTSZMPLpSnhmLCiKxQ","Coal Chamber","spotify:album:0VZ5HAr19cR6qSOvaXmSE8","Rivals","spotify:artist:69k6uTSZMPLpSnhmLCiKxQ","Coal Chamber","2015-05-19","https://i.scdn.co/image/ab67616d0000b273ef902ceaf4b578b910712407","1","1","183360","https://p.scdn.co/mp3-preview/c549d6e35e081ae385c8da4bc3e8eae3c2ef0b17?cid=9950ac751e34487dbbe027c4fd7f8e99","true","24","spotify:user:","2021-06-07T13:32:12Z"
"spotify:track:12DEGU1r2Tz8uTGMfFNQUE","Bradley","spotify:artist:69k6uTSZMPLpSnhmLCiKxQ","Coal Chamber","spotify:album:1f67cRBr8LloCk9sEdUINv","Coal Chamber","spotify:artist:69k6uTSZMPLpSnhmLCiKxQ","Coal Chamber","1997-01-01","https://i.scdn.co/image/ab67616d0000b2737fffb882d8a7c4b5bde6872a","1","2","183733","https://p.scdn.co/mp3-preview/ca6720c02d3d5635ea4ffa870e2a4e8f794b3698?cid=9950ac751e34487dbbe027c4fd7f8e99","true","36","spotify:user:","2021-06-07T13:32:12Z"
"spotify:track:1rwk7pBqDhZ2AEMYVLx6fT","Friend","spotify:artist:69k6uTSZMPLpSnhmLCiKxQ","Coal Chamber","spotify:album:1zshtbyPH8rrkqulAbV9V0","Dark Days","spotify:artist:69k6uTSZMPLpSnhmLCiKxQ","Coal Chamber","2002-05-06","https://i.scdn.co/image/ab67616d0000b2735f92c0d2656af08a13643f64","1","8","212813","https://p.scdn.co/mp3-preview/cb4458501f0917feb15c0645e59cf92c39a58476?cid=9950ac751e34487dbbe027c4fd7f8e99","true","36","spotify:user:","2021-06-07T13:32:12Z"
"spotify:track:1NM2jn3z5dxdUat7qxTZ0T","Not Living","spotify:artist:69k6uTSZMPLpSnhmLCiKxQ","Coal Chamber","spotify:album:2cgzZlPUtj75UJlktSMbvM","Chamber Music","spotify:artist:69k6uTSZMPLpSnhmLCiKxQ","Coal Chamber","1999-08-30","https://i.scdn.co/image/ab67616d0000b273521a3d9083d6d0ffe05ce0ed","1","7","231200","https://p.scdn.co/mp3-preview/cc802deffa02cf772c411956e3066526eae6634d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","29","spotify:user:","2021-06-07T13:32:12Z"
"spotify:track:6TM1mL00CPNevorSS5hM0v","Suffer In Silence","spotify:artist:69k6uTSZMPLpSnhmLCiKxQ","Coal Chamber","spotify:album:0VZ5HAr19cR6qSOvaXmSE8","Rivals","spotify:artist:69k6uTSZMPLpSnhmLCiKxQ","Coal Chamber","2015-05-19","https://i.scdn.co/image/ab67616d0000b273ef902ceaf4b578b910712407","1","4","231913","https://p.scdn.co/mp3-preview/1d3cefd42fc6ebffdfdb1ad5b542c5ba75c66957?cid=9950ac751e34487dbbe027c4fd7f8e99","true","21","spotify:user:","2021-06-07T13:32:12Z"
"spotify:track:1IYiRGdJNJl3gfU1Fp5vHv","Oddity","spotify:artist:69k6uTSZMPLpSnhmLCiKxQ","Coal Chamber","spotify:album:1f67cRBr8LloCk9sEdUINv","Coal Chamber","spotify:artist:69k6uTSZMPLpSnhmLCiKxQ","Coal Chamber","1997-01-01","https://i.scdn.co/image/ab67616d0000b2737fffb882d8a7c4b5bde6872a","1","3","198933","https://p.scdn.co/mp3-preview/a86e76a8667a56a61b2743c007c2e8abaed1e311?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","spotify:user:","2021-06-07T13:32:12Z"
"spotify:track:6VghB1jVqUGZqQQJDr3NOU","Something Told Me","spotify:artist:69k6uTSZMPLpSnhmLCiKxQ","Coal Chamber","spotify:album:1zshtbyPH8rrkqulAbV9V0","Dark Days","spotify:artist:69k6uTSZMPLpSnhmLCiKxQ","Coal Chamber","2002-05-06","https://i.scdn.co/image/ab67616d0000b2735f92c0d2656af08a13643f64","1","4","203946","https://p.scdn.co/mp3-preview/12509516962395179d255c5935d3e26274f626b6?cid=9950ac751e34487dbbe027c4fd7f8e99","true","36","spotify:user:","2021-06-07T13:32:12Z"
"spotify:track:7ioRCralpxXJAKtcRR8Zbp","Tragedy","spotify:artist:69k6uTSZMPLpSnhmLCiKxQ","Coal Chamber","spotify:album:2cgzZlPUtj75UJlktSMbvM","Chamber Music","spotify:artist:69k6uTSZMPLpSnhmLCiKxQ","Coal Chamber","1999-08-30","https://i.scdn.co/image/ab67616d0000b273521a3d9083d6d0ffe05ce0ed","1","2","171400","https://p.scdn.co/mp3-preview/2960a94bb5559b31209ff1a7927b30fbac7df8e7?cid=9950ac751e34487dbbe027c4fd7f8e99","true","28","spotify:user:","2021-06-07T13:32:12Z"
"spotify:track:3qQ0kNXN7MwG5tlFSq0iuM","Blisters","spotify:artist:69k6uTSZMPLpSnhmLCiKxQ","Coal Chamber","spotify:album:67nk667gnOpJgkaqe2XJF8","Giving the Devil His Due","spotify:artist:69k6uTSZMPLpSnhmLCiKxQ","Coal Chamber","2003-08-17","https://i.scdn.co/image/ab67616d0000b273c645d68a90e5753d0be0404b","1","7","292493","https://p.scdn.co/mp3-preview/2ef08b26b8e3251ba23a3159d80458dfd2ded0f0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","spotify:user:","2021-06-07T13:32:12Z"
"spotify:track:2AyUF3jZ6atGW44oFl65eP","I","spotify:artist:69k6uTSZMPLpSnhmLCiKxQ","Coal Chamber","spotify:album:1f67cRBr8LloCk9sEdUINv","Coal Chamber","spotify:artist:69k6uTSZMPLpSnhmLCiKxQ","Coal Chamber","1997-01-01","https://i.scdn.co/image/ab67616d0000b2737fffb882d8a7c4b5bde6872a","1","9","229373","https://p.scdn.co/mp3-preview/99fcc72ab1b41b893f0aee68f039ea7c3535d21a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","29","spotify:user:","2021-06-07T13:32:12Z"
"spotify:track:13dXfwqqLCiWIqA2b1wQZa","Alienate Me","spotify:artist:69k6uTSZMPLpSnhmLCiKxQ","Coal Chamber","spotify:album:1zshtbyPH8rrkqulAbV9V0","Dark Days","spotify:artist:69k6uTSZMPLpSnhmLCiKxQ","Coal Chamber","2002-05-06","https://i.scdn.co/image/ab67616d0000b2735f92c0d2656af08a13643f64","1","6","197413","https://p.scdn.co/mp3-preview/b4a6fba29e79b137e557e0d09819fec3c507d96c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","spotify:user:","2021-06-07T13:32:12Z"
"spotify:track:4ymJmYU3ryuSZuQMYwdtp8","Untrue","spotify:artist:69k6uTSZMPLpSnhmLCiKxQ","Coal Chamber","spotify:album:2cgzZlPUtj75UJlktSMbvM","Chamber Music","spotify:artist:69k6uTSZMPLpSnhmLCiKxQ","Coal Chamber","1999-08-30","https://i.scdn.co/image/ab67616d0000b273521a3d9083d6d0ffe05ce0ed","1","4","206826","https://p.scdn.co/mp3-preview/9ad3aa4b0bd3d426f07372f67983f489ed901e79?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","spotify:user:","2021-06-07T13:32:12Z"
"spotify:track:6p5TM8uzCkSXJK7R6P4F9S","Light In The Shadows","spotify:artist:69k6uTSZMPLpSnhmLCiKxQ","Coal Chamber","spotify:album:0VZ5HAr19cR6qSOvaXmSE8","Rivals","spotify:artist:69k6uTSZMPLpSnhmLCiKxQ","Coal Chamber","2015-05-19","https://i.scdn.co/image/ab67616d0000b273ef902ceaf4b578b910712407","1","3","221163","https://p.scdn.co/mp3-preview/9fb73dbcb1fc42193ade3d1d99ad6d1260e8c368?cid=9950ac751e34487dbbe027c4fd7f8e99","true","20","spotify:user:","2021-06-07T13:32:12Z"
