"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:1BRwuvjhkgezmv1gcI6lT6","Die Young","spotify:artist:39vA9YljbnOApXKniLWBZv","Sylvan Esso","spotify:album:1BJMCEXQ7JmuVlJ6cYbe3x","What Now","spotify:artist:39vA9YljbnOApXKniLWBZv","Sylvan Esso","2017-04-28","https://i.scdn.co/image/ab67616d0000b273bdc6bc37f3812d2a834bffba","1","3","210613","https://p.scdn.co/mp3-preview/64f38818d68bef5ead91de59a634956003a3921e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","spotify:user:","2021-06-07T13:32:46Z"
"spotify:track:71cUqXJ3h1r0Ees6YdENLU","Coffee","spotify:artist:39vA9YljbnOApXKniLWBZv","Sylvan Esso","spotify:album:5Abelpx4c3FzhTOZP3ZIvS","Sylvan Esso","spotify:artist:39vA9YljbnOApXKniLWBZv","Sylvan Esso","2014-05-13","https://i.scdn.co/image/ab67616d0000b273ea6019a29888aaba30f440db","1","7","269693","","false","59","spotify:user:","2021-06-07T13:32:46Z"
"spotify:track:5Y42u37PlyQXegnuI1Hpo1","Funeral Singers","spotify:artist:39vA9YljbnOApXKniLWBZv, spotify:artist:4mGXknIZtImmEXjSQfGGQp","Sylvan Esso, Collections Of Colonies Of Bees","spotify:album:3sxhYvPOJo2WYjEhvCaA2n","Funeral Singers","spotify:artist:39vA9YljbnOApXKniLWBZv","Sylvan Esso","2018-09-07","https://i.scdn.co/image/ab67616d0000b273f6428b8d0aa8e7f31148f601","1","1","219374","https://p.scdn.co/mp3-preview/e6786ed8972add0c496eb8c589a847dd19343330?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","spotify:user:","2021-06-07T13:32:46Z"
"spotify:track:6ZMYbLF33jIECoG2MClauD","Dark Days [Feat. Sylvan Esso]","spotify:artist:75dQReiBOHN37fQgWQrIAJ, spotify:artist:39vA9YljbnOApXKniLWBZv","Local Natives, Sylvan Esso","spotify:album:4DZlJSUZnQUFMv4nW6Ijgv","Dark Days [Feat. Sylvan Esso]","spotify:artist:75dQReiBOHN37fQgWQrIAJ, spotify:artist:39vA9YljbnOApXKniLWBZv","Local Natives, Sylvan Esso","2020-05-21","https://i.scdn.co/image/ab67616d0000b273d37160b8c64ec946bc4377cc","1","1","181212","https://p.scdn.co/mp3-preview/508cd3f3435701f11a360ce40169dcbba4a08ec1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","spotify:user:","2021-06-07T13:32:46Z"
"spotify:track:0idjTHGhGRBdWTmsalq3tF","Radio","spotify:artist:39vA9YljbnOApXKniLWBZv","Sylvan Esso","spotify:album:1BJMCEXQ7JmuVlJ6cYbe3x","What Now","spotify:artist:39vA9YljbnOApXKniLWBZv","Sylvan Esso","2017-04-28","https://i.scdn.co/image/ab67616d0000b273bdc6bc37f3812d2a834bffba","1","4","212333","https://p.scdn.co/mp3-preview/f26f8f108b84bfaf93831635284556980f233325?cid=9950ac751e34487dbbe027c4fd7f8e99","true","56","spotify:user:","2021-06-07T13:32:46Z"
"spotify:track:0yiJNNm39cp1T7RnXOMVLX","Ferris Wheel","spotify:artist:39vA9YljbnOApXKniLWBZv","Sylvan Esso","spotify:album:2KAPJ40On8JY1Yt64JJgTk","Free Love","spotify:artist:39vA9YljbnOApXKniLWBZv","Sylvan Esso","2020-09-25","https://i.scdn.co/image/ab67616d0000b273bffb48cb7afb996ecefdcfba","1","3","177920","https://p.scdn.co/mp3-preview/56ed4b1f0f2b41f4d255dc837c660adb585c7698?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","spotify:user:","2021-06-07T13:32:46Z"
"spotify:track:4gB5Idv1iw8jgxyEvuwPVA","Hey Mami","spotify:artist:39vA9YljbnOApXKniLWBZv","Sylvan Esso","spotify:album:5Abelpx4c3FzhTOZP3ZIvS","Sylvan Esso","spotify:artist:39vA9YljbnOApXKniLWBZv","Sylvan Esso","2014-05-13","https://i.scdn.co/image/ab67616d0000b273ea6019a29888aaba30f440db","1","1","200160","","false","53","spotify:user:","2021-06-07T13:32:46Z"
"spotify:track:2Yu0AtCUsskiFKqtLCm0zc","Hot Heavy Summer","spotify:artist:5schNIzWdI9gJ1QRK8SBnc, spotify:artist:39vA9YljbnOApXKniLWBZv","Ben Howard, Sylvan Esso","spotify:album:2rsmAi0OAtqU4Er2qvhRUa","Another Friday Night / Hot Heavy Summer / Sister","spotify:artist:5schNIzWdI9gJ1QRK8SBnc","Ben Howard","2018-09-13","https://i.scdn.co/image/ab67616d0000b273884d0b5900544d92155c66d2","1","2","229291","https://p.scdn.co/mp3-preview/6047477c53be3f12f61fe40b41119c554f5abc68?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","spotify:user:","2021-06-07T13:32:46Z"
"spotify:track:6vXBhZm9Yv8CvYX9ukLNz8","Rewind - Echo Mountain Sessions","spotify:artist:39vA9YljbnOApXKniLWBZv","Sylvan Esso","spotify:album:7iMZ2wghJOguDaRo8Pn1DU","Echo Mountain Sessions EP","spotify:artist:39vA9YljbnOApXKniLWBZv","Sylvan Esso","2017-07-28","https://i.scdn.co/image/ab67616d0000b2731fc08eb0d6f3991d1b906415","1","1","290187","https://p.scdn.co/mp3-preview/1c58052aff9e922a263894fdc47beb2c7ca30fa7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","spotify:user:","2021-06-07T13:32:46Z"
"spotify:track:4q7wwwMXLoIkuOJv3LvbON","Rooftop Dancing","spotify:artist:39vA9YljbnOApXKniLWBZv","Sylvan Esso","spotify:album:2KAPJ40On8JY1Yt64JJgTk","Free Love","spotify:artist:39vA9YljbnOApXKniLWBZv","Sylvan Esso","2020-09-25","https://i.scdn.co/image/ab67616d0000b273bffb48cb7afb996ecefdcfba","1","9","183386","https://p.scdn.co/mp3-preview/9ea9b7b0f743ff755565d1040a4d18a27b215532?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","spotify:user:","2021-06-07T13:32:46Z"
"spotify:track:1edOSqQG1mP9hcrI0EDNhw","PARAD(w/m)E","spotify:artist:39vA9YljbnOApXKniLWBZv","Sylvan Esso","spotify:album:2AaecLzfxfufCRUae36vmA","PARAD(w/m)E","spotify:artist:39vA9YljbnOApXKniLWBZv","Sylvan Esso","2018-01-12","https://i.scdn.co/image/ab67616d0000b2731deb154a3b51288b3e10b388","1","1","208668","https://p.scdn.co/mp3-preview/af0d2cda87e721dcf0ae4c6efbccfbd596532526?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","spotify:user:","2021-06-07T13:32:46Z"
