"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:3XSHoPUiTR7cvQoQPHGb8E","Out of It","spotify:artist:6meTcQ79DrfkIuSLPZkpBg","The Story So Far","spotify:album:2go3nVQ6oxBB5UERsGUUz0","Proper Dose","spotify:artist:6meTcQ79DrfkIuSLPZkpBg","The Story So Far","2018-09-21","https://i.scdn.co/image/ab67616d0000b273120ba5947ebc67fb4eb2e2aa","1","3","158452","https://p.scdn.co/mp3-preview/85abd9d6cb2af5cdaa2dd40bc5f8fdcbc97c6da4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","spotify:user:purenoiserecords","2020-06-11T21:33:34Z"
"spotify:track:3WwRWXVHZj1PCj0HMlb0fo","Learn to Love the Lie","spotify:artist:0qqxspZOkbN00bu6DaRIrn","Four Year Strong","spotify:album:2a4cziYbGCoqvltbbnXxR1","Brain Pain","spotify:artist:0qqxspZOkbN00bu6DaRIrn","Four Year Strong","2020-02-28","https://i.scdn.co/image/ab67616d0000b2734c5e1e05dbbd31f7d25532e4","1","5","224921","https://p.scdn.co/mp3-preview/49e39ffd1abe6b8981a0ed19cee10a273f9e575f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","spotify:user:purenoiserecords","2020-06-11T21:35:46Z"
"spotify:track:25PtrOA0qzM9IUtkGuEAn3","New Jersey Makes, The World Takes","spotify:artist:591yCCsZCLXvaJ0Rg38vLZ","Senses Fail","spotify:album:5Bdj3JrmjvkampuUvA8nx0","If There Is Light, It Will Find You","spotify:artist:591yCCsZCLXvaJ0Rg38vLZ","Senses Fail","2018-02-16","https://i.scdn.co/image/ab67616d0000b273ff00970afd283af4445896b5","1","3","179466","https://p.scdn.co/mp3-preview/18c5f84a8a7a743d2cc4d61706339b8daf9d880b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","spotify:user:purenoiserecords","2020-06-11T21:36:00Z"
"spotify:track:0923qW6h4CkmHPkzyF5MqG","Lie to Me","spotify:artist:20oQv3LStCKCjI9oQ0JNha","Less Than Jake","spotify:album:0XiGdRixyh1riDphzZWmR9","Dear Me","spotify:artist:20oQv3LStCKCjI9oQ0JNha","Less Than Jake","2020-10-19","https://i.scdn.co/image/ab67616d0000b273e76cde920f154beaaa0145d6","1","2","218240","https://p.scdn.co/mp3-preview/f67712913e222890acf37cfcf72e5185764b386d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","spotify:user:purenoiserecords","2020-11-09T18:07:50Z"
"spotify:track:5kBLTJUqeEpnyNwXTwdciC","By My Side","spotify:artist:6hxiY0CFXTibGUtp8TdCxp","Belmont","spotify:album:6Ssjfu521rsdo7d4IemiPo","Reflections","spotify:artist:6hxiY0CFXTibGUtp8TdCxp","Belmont","2020-03-13","https://i.scdn.co/image/ab67616d0000b27339be38dc765525eeb147171a","1","1","175750","https://p.scdn.co/mp3-preview/421ea93a60498a6fd000dd0e15cef14b147faab7?cid=9950ac751e34487dbbe027c4fd7f8e99","true","30","spotify:user:purenoiserecords","2020-06-11T21:36:35Z"
"spotify:track:6kepVFnWcsvPl6s9oPNZBZ","Mrs. David","spotify:artist:0JXDwBs1sEp6UKoAP58UdF","Seaway","spotify:album:5vq4KjTtsUKmWWIlHoWZad","Big Vibe","spotify:artist:0JXDwBs1sEp6UKoAP58UdF","Seaway","2020-10-16","https://i.scdn.co/image/ab67616d0000b273fdf2fa8f462fc2d07424a90c","1","3","201500","https://p.scdn.co/mp3-preview/accffa1561082b7d4120a0f6a735fee9e88b12c4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","spotify:user:purenoiserecords","2020-10-21T20:33:51Z"
"spotify:track:3sdMZWhtbfwfazzDPyPUgU","Stupid","spotify:artist:5489Aao4KjbdU9l5CUadOa","Just Friends","spotify:album:6lqdshNzLu0xUK5ntZkE6c","Stupid","spotify:artist:5489Aao4KjbdU9l5CUadOa","Just Friends","2019-10-01","https://i.scdn.co/image/ab67616d0000b2731e52f847cb7dcc3b3e6f0696","1","1","193503","https://p.scdn.co/mp3-preview/07dc5710e7d684f5ab3974691f61ff68db466340?cid=9950ac751e34487dbbe027c4fd7f8e99","true","39","spotify:user:purenoiserecords","2020-06-12T19:31:15Z"
"spotify:track:4KjUSS19sJWVE0IhccDuDT","BANG SH!T","spotify:artist:3uPce3TKw7cjheMNhuhNs9","UnityTX","spotify:album:7vKNtOYlGmXNbx4QN5Og0u","Madboy","spotify:artist:3uPce3TKw7cjheMNhuhNs9","UnityTX","2019-09-25","https://i.scdn.co/image/ab67616d0000b27317b8c0b40507fe2ab76d60bd","1","5","132098","https://p.scdn.co/mp3-preview/5a59a5c0fd6da83c0ca14775ab019bdea244fcd1?cid=9950ac751e34487dbbe027c4fd7f8e99","true","28","spotify:user:purenoiserecords","2020-06-12T21:15:55Z"
"spotify:track:2DHH4ERARq7J3uSll6gN1C","Teenagers","spotify:artist:77YbJ4a9IlKX18ck6qoot1","Meg & Dia","spotify:album:4SEG0tkPNvYmlGKlexNM3l","happysad (Deluxe Edition)","spotify:artist:77YbJ4a9IlKX18ck6qoot1","Meg & Dia","2020-01-31","https://i.scdn.co/image/ab67616d0000b2736fe16f0e2624871f3cb7fbc5","1","2","221038","https://p.scdn.co/mp3-preview/9b12e4f12028e5384e3c5358ad4d75c34b15133a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","spotify:user:purenoiserecords","2020-06-11T21:39:34Z"
"spotify:track:5U104u8oChUSxKzIi7kiJ4","4th and Broadway","spotify:artist:2ij0RdiGAa1sEKWEBwLhXm","The American Scene","spotify:album:5gGYj7rnWkhN3XT7I0x7yP","Haze","spotify:artist:2ij0RdiGAa1sEKWEBwLhXm","The American Scene","2014-09-09","https://i.scdn.co/image/ab67616d0000b2737ae25f52c739a4c371feec1b","1","4","204378","https://p.scdn.co/mp3-preview/9f8caaf5a41b556ee59f480eb8189ee45386f4d2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","spotify:user:purenoiserecords","2020-06-11T23:36:40Z"
"spotify:track:04NIZKiZ8kn11vBh0BTqpg","Pick It up Again","spotify:artist:2N2EFVDEbp2JB8ulEUVIxp","Violent Soho","spotify:album:4IayAjHP3LfFZZ79jetguT","Everything Is A-OK","spotify:artist:2N2EFVDEbp2JB8ulEUVIxp","Violent Soho","2020-04-03","https://i.scdn.co/image/ab67616d0000b27372b189a54ef83ed6bc2b5b51","1","3","190422","https://p.scdn.co/mp3-preview/a728c2a7b7dce9a03ee0c1c1a91e1da6297f69c6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","spotify:user:purenoiserecords","2020-06-11T23:33:17Z"
"spotify:track:63ztRIotk46fwE2ieOBhmF","Self-Destruction (as a Sensible Career Choice)","spotify:artist:5DaZV3qmFT3aS57df8KPkV","Spanish Love Songs","spotify:album:7GP702lI6EeRJnruJPoznv","Brave Faces Everyone","spotify:artist:5DaZV3qmFT3aS57df8KPkV","Spanish Love Songs","2020-02-07","https://i.scdn.co/image/ab67616d0000b273b649f5aac1135562aa25fc49","1","2","179257","https://p.scdn.co/mp3-preview/5e285d0e1c0ea06ec24c5df9450d3826a27ba7c9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","spotify:user:purenoiserecords","2020-06-11T23:34:11Z"
"spotify:track:4hrAATDrRxSoOwM8stEENa","Bliss Out","spotify:artist:6q4AmzK3GzCuEzkurnYuEQ","Drug Church","spotify:album:2EcIpGexPckL3RhI9fszQ7","Bliss Out","spotify:artist:6q4AmzK3GzCuEzkurnYuEQ","Drug Church","2020-01-21","https://i.scdn.co/image/ab67616d0000b273301fd336bcfe1e13f41b1123","1","1","113000","https://p.scdn.co/mp3-preview/7897cef3fd5a94eefe45908aed6e290ae7270f5c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","spotify:user:purenoiserecords","2020-06-12T19:45:49Z"
"spotify:track:6ErAb4Xcc0P22YDjFUexK7","Hell in a Handbasket","spotify:artist:62elZbH5Iop8UPcChp7OrU","Can't Swim","spotify:album:2CQK9vC9ic6f9wECBlhhgk","This Too Won't Pass","spotify:artist:62elZbH5Iop8UPcChp7OrU","Can't Swim","2018-11-16","https://i.scdn.co/image/ab67616d0000b2737a7210cdf298822f2399d579","1","4","184739","https://p.scdn.co/mp3-preview/5ac9323655e377e139f9e7fe012f84f7e8b954af?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","spotify:user:purenoiserecords","2020-06-11T23:37:29Z"
"spotify:track:1smfaaFx8ulrGRh20sSZkc","Slow Burn","spotify:artist:1qqdO7xMptucPDMopsOdkr","State Champs","spotify:album:1lLm5kIRG1acxB4DlEZTL8","Around the World and Back (Deluxe)","spotify:artist:1qqdO7xMptucPDMopsOdkr","State Champs","2015","https://i.scdn.co/image/ab67616d0000b27323e570654be6c010703cb9cd","1","17","188160","https://p.scdn.co/mp3-preview/0dd39b0d0469aee81e593ad4bad7acd6e076a1ad?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","spotify:user:purenoiserecords","2020-06-11T23:33:36Z"
